chinese,english
或問：「五百歲而聖人出，有諸？」曰：「堯、舜、禹，君臣也而並；文、武、周公，父子也而處。湯、孔子數百歲而生。因往以推來，雖千一不可知也。」,"Someone asked: Every five hundred years a sage appears. Is there truth in this?Yangzi said: Yao, Shun, and Yu were rulers and subjects to one another, all [during] the same era. Wen, Wu, and the Duke of Zhou, were fathers and sons, all during the same era. But Tang and Confucius were born several centuries removed from each other. As for using the past to forecast what is to come, whether it be a thousand years or one year, one cannot know."
聖人有以擬天地而參諸身乎！,"The sage has the means to emulate Heaven and Earth, himself making a triad with them!"
或問：「聖人有詘乎？」曰：「有。」曰：「焉詘乎？」曰：「仲尼於南子，所不欲見也；陽虎，所不欲敬也。見所不見，敬所不敬，不詘如何？」曰：「衛靈公問陳，則何以不詘？」曰：「詘身，將以通道也。如詘道而信身，雖天下不為也。」,"Someone asked: Does the sage not have times when he is flexible? Yangzi said: He has.The other said: When is he flexible?Yangzi said: As for Confucius's relationship with Nanzi, she was somebody that he did not want to see. As for Yang Huo, he was somebody to whom Confucius did not want to pay his respects. Yet Confucius saw the one he did not want to see, and he paid his respects to the one to whom he did not want to pay his respects. How could he have not been flexible?The other said: When Duke Ling of Wei asked about the military, why was Confucius inflexible? Yangzi said: Confucius yielded himself to promote the Dao. If it were a matter of yielding the Dao to promote himself, even if he could have got all under Heaven, he wouldn't have done it."
聖人重其道而輕其祿，眾人重其祿而輕其道。聖人曰：「於道行與？」眾人曰：「於祿殖與？」,"The sage considers his dao important and treats his salary lightly. The common man considers his salary important and takes his dao lightly. The sage says, ""Am I walking the Dao?"" The common man says, ""Is my salary increasing?"""
昔者齊、魯有大臣，史失其名。曰：「何如其大也？」曰：「叔孫通欲制君臣之儀，征先生於齊、魯，所不能致者二人。」曰：「若是，則仲尼之開跡諸侯也，非邪？」曰：「仲尼開跡，將以自用也。如委己而從人，雖有規矩準繩，焉得而用之。」,"In the past Qi and Lu had great ministers, but history has lost their names.Someone said: Why were they great?Yangzi said: Shusun Tong wanted to formulate new ceremonies for rulers and ministers, and recruited ru from Qi and Lu. There were two men that he could not lure.The other said: If this is so, then was it wrong for Confucius to travel around in search for employment by the feudal lords?Yangzi said: Confucius traveled around and searched, but he did so in order to employ himself. If he had given up on himself and followed others, then even though he had compass and square, level and marking line, how could he have been able to use them?"
或問：「孔子之時，諸侯有知其聖者與？」曰：「知之。」「知之則曷為不用？」曰：「不能。」曰：「知聖而不能用也，可得聞乎？」曰：「用之則宜從之，從之則棄其所習，逆其所順，強其所劣，捐其所能，沖沖如也。非天下之至，孰能用之！」,"Someone asked: In Confucius's time, did the feudal lords know he was a sage?Yangzi said: They knew it. The other asked: If they knew it, then why did they not employ him?Yangzi said: They were not able to.The other said: They knew he was a sage, yet were unable to employ him. May I hear the explanation for this?Yangzi said: If they had employed him, it would have been appropriate to follow him. If they had followed him, then they would have had to abandon what they already practiced, go against what they were accustomed to following, improve what they degraded, and give up what they were skilled in. It would be like rushing headlong into the unknown. Apart from the greatest ruler under Heaven, who could have employed him?"
或問，「孔子知其道之不用也，則載而惡乎之？」曰：「之後世君子。」曰：「賈如是，不亦鈍乎？」曰：「眾人愈利而後鈍，聖人愈鈍而後利。關百聖而不慚，蔽天地而不恥，能言之類，莫能加也。貴無敵，富無倫，利孰大焉。」,"Someone asked: When Confucius knew that his dao could not be realized, then where did he take it?Yangzi said: To junzi of later generations.The other said: If a merchant were like this, he would be dull-witted indeed!Yangzi said: The more sharply a common man seeks profit, the duller he becomes. The duller the sage becomes, the sharper his profit. He would not feel regrets before a hundred [generations of] sages; he would not be ashamed before the whole world. Among men, none can surpass him. Honor without equal, or wealth without comparison: which profit is greater?"
或曰：「孔子之道，不可小與？」曰：「小則敗聖，如何！」曰：「若是則何為去乎？」曰：「愛日。」曰：「愛日而去，何也？」曰：「由群謀之故也。不聽正，諫而不用。噫者，吾於觀庸邪，無為飽食安坐而厭觀也。由此觀之，夫子之日亦愛矣。」或曰：「君子愛日乎？」曰：「君子仕則欲行其義，居則欲彰其道。事不厭，教不倦，焉得日？」,"Someone said: Is it possible to lower the standards of Confucius's dao.Yangzi said: Lowering [its standards] would destroy the sage's dao, would it not?The other said: If this is so, then why did he leave the state of Lu?Yangzi said: He valued his time.The other said: He valued his time and left. Why?Yangzi said: Because of a bunch of slave girls. The ruler of Lu did not listen to his corrections. Confucius remonstrated but [the ruler] would not accept his advice. Confucius sighed, ""I am sick of watching this! I will not stuff myself with food, sit at leisure, and watch these girls perform until I'm weary of them!"" From this point of view, Confucius indeed valued his time.The other said: Does the junzi value his time?Yangzi said: If the junzi takes office, he wants to implement his yi. If he retires from public life, then he wants to expound his dao. In service, he does not become weary. In teaching, he does not become fatigued. When is there time to waste?"
或問：「其有繼周者，雖百世可知也。秦已繼周矣，不待夏禮而治者，其不驗乎？」曰：「聖人之言，天也，天妄乎？繼周者未欲太平也，如欲太平也，舍之而用它道，亦無由至矣。」,"Someone said: ""Should there be those who would succeed the Zhou, even a hundred generations hence could be known."" The Qin followed the Zhou, but did not rule using Xia li. Is Confucius's statement not incorrect?Yangzi said: The sage's words are Tian. Is Tian wrong? Those who followed the Zhou did not want peace. If they had wanted peace, dispensing with Xia li and using another dao was not the way to get there."
赫赫乎日之光，群目之用也；渾渾乎聖人之道，群心之用也。,"Brilliant is the light of the sun, it is the means whereby people can use their eyes. Broad and encompassing is the sage's dao, it is the means by which people can use their xin."
