chinese,english
修身以為弓，矯思以為矢，立義以為的，奠而後發，發必中矣。,"Cultivating oneself is the bow; rectifying one's thoughts is the arrow; establishing yi is the target. Being settled and then shooting, the shot will inevitably hit the bull's-eye."
人之性也善惡混。修其善則為善人，修其惡則為惡人。氣也者，所以適善惡之馬也與？,"Man's xing is a mixture of good and bad. If he cultivates its good aspects, then he becomes a good man. If he cultivates its bad aspects, then he becomes a bad man. As for qi, is it not the horse that one rides toward good or bad?"
或曰：「孔子之事多矣，不用，則亦勤且憂乎？」曰：「聖人樂天知命，樂天則不勤，知命則不憂。」,"Someone said: Confucius's abilities were many. Since he was not employed, was he not distressed and worried.Yangzi said: The sage takes pleasure in Tian and knows ming. Since he takes pleasure in Tian, he is not distressed. Since he knows ming, he is not worried."
或問「銘」。曰：「銘哉！銘哉！有意於慎也。」,Someone asked about inscriptions.Yangzi said: Inscriptions! Inscriptions! They are intended to make people conscientious.
聖人之辭，可為也；使人信之，所不可為也。是以君子強學而力行。,"The sage's words can be practiced, but making people believe them cannot be done. Thus, the junzi assiduously studies and diligently puts them into practice."
珍其貨而後市，修其身而後交，善其謀而後動成道也。,To refine one's goods and then go to market;To cultivate oneself and then make friends;To perfect one's plans and then act— [This is] the dao of success.
君子之所慎：言、禮、書。,"That which the junzi is cautious about are his speech, li, and writings."
上交不諂，下交不驕，則可以有為矣。或曰：「君子自守，奚其交？」曰：「天地交，萬物生；人道交，功勛成，奚其守？」,"If he does not flatter in interacting with superiors and does not boast in interacting with inferiors, then he can create friendships. Someone said: The junzi keeps to himself; why must he interact with others?Yangzi said: When Heaven and Earth interact, the myriad things are born; when men interact with the Dao, accomplishments of merit are completed. Why must he keep to himself?"
好大而不為，大不大矣；好高而不為，高不高矣。,"If you love the great but do not employ it, then the great is not great. If you love the lofty but do not employ it, then the lofty is not lofty."
仰天庭而知天下之居卑也哉！,Looking up at Tian's Hall one knows the lowliness of the world's station.
公儀子、董仲舒之才之邵也，使見善不明，用心不剛，儔克爾？,"Even with the perfection of Gong Yizi and Dong Zhongshu's talents, if they had not distinguished the good clearly, and if they had not used a steadfast mind, then how could they have so prevailed?"
或問「仁、義、禮、智、信之用」。曰，「仁，宅也；義，路也；禮，服也；智，燭也：信，符也。處宅，由路、正服，明燭，執符，君子不動，動斯得矣。」,"Someone asked about the function of ren, yi, li, wisdom, and trustworthiness.Yangzi said: Ren is your dwelling; yi is the road; li is your clothing; wisdom is a candle; and trustworthiness is a tally. Live in the dwelling, walk the road, straighten your clothing, use the candle to light your way, and clasp the tally. The junzi is unmoved, but when he acts, he will succeed."
有意哉！孟子曰：「夫有意而不至者有矣，未有無意而至者也。」,"Have determination! Mengzi said: ""Now, there have been those who were determined but did not reach the goal, but there has never been one who was not determined and yet did reach the goal."""
或問「治己」。曰：「治己以仲尼。」或曰：「治己以仲尼，仲尼奚寡也？」曰：「率馬以驥，不亦可乎。」或曰：「田圃田者莠喬喬，思遠人者心忉忉。」曰：「日有光，月有明。三年不目日，視必盲；三年不目月，精必蒙。熒魂曠枯，糟莩曠沈，擿埴索塗，冥行而已矣。」,"Someone asked about governing oneself.Yangzi said: Govern yourself by using Confucius as a model.The other said: 'Govern yourself by using Confucius as a model.' But people like Confucius are rare!Yangzi said: Use a good horse to lead other horses. Indeed, can this not be done?The other said: If one plants too large a field, the weeds grow higher and higher. If one thinks of those far away, the heart grows more miserable.Yangzi said: The sun shines, the moon is bright. If for three years you do not see the light of the sun, you will inevitably go blind. If for three years you do not see the light of the moon, your spirit will become obscured. Once the spirit is withered and vision has been destroyed, like a blind man using a walking stick to poke at the ground to find the road, you simply walk in darkness."
