chinese,english
「先知其幾於神乎？敢問先知。」曰：「不知。知其道者其如視，忽、眇、綿作昞。」,"Foreknowledge of the future is probably similar to shen.May I ask about foreknowledge?Yangzi said: I do not know. For one who knows its dao, it is probably just like seeing the obscure, the small, and the remote as being completely illuminated."
先甲一日易，後甲一日難。,"If you issue a decree a day before it becomes necessary, it will be easy to implement. If you wait until a day after it becomes necessary, it will be difficult to implement."
或問：「何以治國？」曰：「立政。」曰：「何以立政？」曰：「政之本，身也，身立則政立矣。」,"Someone asked: How does one rule a kingdom?Yangzi said: By establishing good government.The other said: How does one establish good government?Yangzi said: The root of good government lies in the ruler himself. If the ruler is able to cultivate himself properly, then good government will be established."
或問：「為政有幾？」曰：「思斁。」或問「思斁」？曰：「昔在周公，征於東方，四國是王。召伯述職，蔽芾甘棠，其思矣。夫齊桓欲徑陳，陳不果內，執袁濤塗，其斁矣夫。於戲，從政者審其思斁而已矣。」,"Someone asked: Does governing have a key element?Yangzi said: Being cherished or being despised.The other asked about being cherished and being despised.Yangzi said: In the past the Duke of Zhou attacked and rectified the four kingdoms of the east. Shaobo carried out his duties and resided under ""the shade of the pear tree."" Being thus remembered in verse is being cherished. Huan of Qi wanted to pass through Chen, but Chen would not allow him to enter, so he arrested Yuan Taotu. This is being despised. Alas! One who governs simply has to pay close attention to whether he is cherished or despised."
或問：「何思？何斁？」曰：「老人老，孤人孤，病者養，死者葬，男子畝，婦人桑之謂思。若汙人老，屈人孤，病者獨，死者逋，田畝荒，杼軸空之謂斁。」,"The other said: What makes one cherished or despised?Yangzi said: Treat the elderly as elderly, treat orphans as orphans; nourish the sick and bury the dead; let men tend their mou of land and let women tend the mulberry trees —you will be referred to as ""cherished."" Treat the elderly disrespectfully and neglect orphans; abandon the sick and leave the dead exposed; leave the fields uncultivated and the shuttles for weaving empty—you will be referred to as ""despised."""
為政日新。或人：「敢問日新。」曰：「使之利其仁，樂其義，厲之以名，引之以美，使之陶陶然之謂日新。」,"In governing, [practice] daily renewal.The other said: Do I dare ask about daily renewal?Yangzi said: Make the people see their ren as a benefit, their yi as happiness. Encourage them to make a name for themselves, guide them with praise, and make them feel pleased with themselves. This is called daily renewal."
或問「民所勤」。曰：「民有三勤。」曰：「何哉所謂三勤？」曰：「政善而吏惡，一勤也；吏善而政惡，二勤也；政、吏駢惡，三勤也。禽獸食人之食，土木衣人之帛。谷人不足於晝，絲人不足於夜之謂惡政。」,"Someone asked about what troubles the people.Yangzi said: The people have three troubles.The other said: What are these three troubles?Yangzi said: When the rules of government is good but the officials are bad, this is the first trouble. When the officials are good but the rules of government is bad, this is the second trouble. When the rules of government and officials are both bad, this is the third trouble. When the birds and beasts eat people's food, when buildings are adorned with the silk that ought to be used for clothing, when farmers and weavers work day and night and it is still not sufficient—this is called bad government."
聖人，文質者也。車服以彰之，藻色以明之，聲音以揚之，詩書以光之。籩豆不陳，玉帛不分，琴瑟不鏗，鐘鼓不抎，則吾無以見聖人矣。,"The sage is one who ornaments people's zhi. Carts and robes are used to display it; beautiful colors are used to illuminate it; singing and music are used to praise it; poetry and writings are used to make it glorious. If the ritual vessels are not set out, the jade and silk not properly distributed, the zither and harp not struck, the bells and drums not beaten, then I have no way to recognize the sage."
或曰：「以往聖人之法治將來，譬猶膠柱而調瑟，有諸？」曰，「有之。」,"Someone said: Using the model of the sages of the past in order to govern the present is like gluing the pegs and trying to tune the zither, is it not?Yangzi said: It is."
曰：「聖君少而庸君多，如獨守仲尼之道，是漆也。」曰：「聖人之法，未嘗不關盛衰焉。昔者，堯有天下，舉大綱，命舜、禹；夏、殷、周屬其子，不膠者卓矣！唐、虞象刑惟明，夏后肉辟三千，不膠者卓矣！堯親九族，協和萬國。湯武桓桓，征伐四克。由是言之，不膠者卓矣。禮樂征伐，自天子所出。春秋之時，齊晉實予，不膠者卓矣！」,"The other said: Sage rulers are rare, but mediocre rulers are many. Sticking only to Confucius's dao—this is like lacquering the pegs.Yangzi said: Have the sage's ways ever been unrelated to [the kingdom's] flourishing and decline? In the past, when Yao ruled all under Heaven, he grasped the guidelines of government and appointed Shun to be ruler, and Shun appointed Yu to be ruler. The Xia, Yin, and Zhou gave it to their sons— they were not glued to the sages' ways, that much is clear! Yao and Shun employed symbolic punishments to make the laws clear. During the Xia, the types of corporeal punishments grew to three thousand—they were not glued to the sages' ways, that much is clear! Yao considered the nine tribes as his own family, and harmonized the ten thousand kingdoms. Tang and Wu were martial, and attacked all within the four directions. From these examples, we may conclude that they were not glued to the sages' ways, that much is clear! The Lunyu says, ""Li, music, and military attacks come from the Son of Heaven."" But during the Spring and Autumn period, Qi and Jin instigated them. They were not glued to the sages' ways, that much is clear!"
