chinese,english
或問「明」。曰：「微。」或曰：「微何如其明也？」曰：「微而見之，明其悖乎！」,"Someone asked about seeing clearly.Yangzi said: Focus on what is subtle.The other said: How can focusing on what is subtle be seeing clearly?Yangzi said: If it is subtle and yet you can perceive it, then can you not see wayward action clearly?"
聰明其至矣乎？不聰，實無耳也；不明，實無目也。「敢問大聰明。」曰：「眩眩乎，惟天為聰，惟天為明。夫能高其目而下其耳者，匪天也夫？」,"Having keen hearing and eyesight is the best. Not being able to hear clearly is truly like not having ears. Not being able to see clearly is truly like not having eyes.Dare I ask about superior clarity of sight and hearing?Yangzi said: Dazzlingly bright, only Tian sees and hears perfectly. The one who is able to raise up its eyes to see far and wide and lower its ears to the ground, is it not Tian?"
或問：「小每知之，可謂師乎？」曰：「是何師與？是何師與？天下小事為不少矣，每知之，是謂師乎？師之貴也，知大知也。小知之師亦賤矣。」,"Someone asked: Can someone who understands even the most trivial affairs be called a teacher?Yangzi said: What kind of teacher is this? What kind of teacher is this? The trivial affairs of the world are not few. Understanding them all, is this called being a teacher? The value of a teacher is knowing great knowledge. A teacher who only understands the trivial is indeed worthless."
孟子疾過我門而不入我室。或曰：「亦有疾乎？」曰：「摭我華而不食我實。」,"Mengzi detested ""those who passed my gate but did not enter my inner chambers."" Someone said: Are there others you detest as well?Yangzi said: Those who pick my flowers but do not eat my fruit."
或謂「仲尼事彌其年，蓋天勞諸，病矣夫？」曰：「天非獨勞仲尼，亦自勞也。天病乎哉？天樂天，聖樂聖。」,"Someone said: Confucius's affairs kept him busy all his life. Tian must have become weary belaboring him!Yangzi said: Tian did not only belabor Confucius, it also belabored itself. But does Tian become weary? Tian delights in being Tian, the sage delights in being the sage."
或問：「鳥有鳳，獸有麟，鳥、獸皆可鳳、麟乎？」曰：「群鳥之於鳳也，群獸之於麟也，形性。豈群人之於聖乎？」,"Someone asked: Among birds there is the phoenix, among beasts there is the unicorn. Can all birds and beasts really become a phoenix or unicorn?Yangzi said: The difference between other birds and the phoenix, and other beasts and the unicorn, are of form and nature. How can this be so with the other people's relationship to the sage?"
或曰：「甚矣！聖道無益於庸也。聖讀而庸行，盍去諸？」曰：「甚矣！子之不達也。聖讀而庸行，猶有聞焉。去之，抏也。抏秦者，非斯乎？投諸火。」,"Someone said: Indeed, the sage's dao is of no benefit in common practice. To read the sage's writings but continue in ordinary behaviors—why not just get rid of the sage's writings?Yangzi said: How much you fail to understand! If one reads the sage's writings but continues in ordinary behaviors, he still has knowledge of the sage's teachings. To get rid of the writings is foolishness. Was Li Si not the one who made fools of the Qin? He threw the writings into the fire!"
或問：「人何尚？」曰：「尚智。」曰：「多以智殺身者，何其尚？」曰：「昔乎臯陶以其智為帝謨，殺身者遠矣！箕子以其智為武王陳《洪範》，殺身者遠矣！」,"Someone asked: What do people honor?Yangzi said: They honor wisdom.The other said: Many people are killed because of their wisdom. Why do they honor it?Yangzi said: In the past, Gao Yao used his wisdom to remonstrate with the emperor Shun. He was far from getting himself killed. Jizi used his wisdom to layout the Hongfan for King Wu. He too was far from getting himself killed."
仲尼，聖人也，或者劣諸子貢，子貢辭而精之，然後廓如也。於戲！觀書者違子貢，雖多亦何以為？,"Confucius was a sage, but some said that he was inferior to Zigong. Zigong's own words cleared up the issue, so that afterwards, such an idea was dropped. Indeed! If those who read the the sage's writings oppose Zigong on this issue, then although they may have read much, what good has it done them?"
盛哉！成湯丕承也，文王淵懿也。或問「丕承」。曰：「由小至大，不亦丕乎？革夏以天，不亦承乎？」「淵懿」。曰：「重《易》六爻，不亦淵乎？浸以光大，不亦懿乎？」,"How magnificent! Cheng Tang was glorious and inherited the Mandate. King Wen was profound and virtuous.Someone said: What do you mean by ""Cheng Tang was glorious and inherited the Mandate?""Yangzi said: He made the Shang to transform from a small kingdom into a great dynasty. Is this not glorious? He revolted against the Xia using Heaven's Mandate, is this not to inherit the Mandate itself?What do you mean by ""King Wen was profound and virtuous?""Yangzi said: Doubling the Yijing's trigrams to make hexagrams, was this not profound? Making the Zhou gradually become honorable and great, is this not exemplary?"
