chinese,english
或問「道」。曰：「道也者，通也，無不通也。」或曰：「可以適它與？」曰：「適堯、舜、文王者為正道，非堯、舜、文王者為它道。君子正而不它。」,"Someone asked about the Dao.Yangzi said: The Dao is pervasive—there is nothing it does not penetrate. The other said: Can it lead in other directions? Yangzi said: That which leads to Shun, Yao, and King Wen is the correct dao. Those which do not lead to Shun, Yao, and King Wen are the other daos. The junzi follows the correct one and not the others."
或問「道」。曰：「道若塗若川，車航混混，不舍晝夜。」或曰：「焉得直道而由諸？」曰：「塗雖曲而通諸夏則由諸，川雖曲而通諸海則由諸。」或曰：「事雖曲而通諸聖則由諸乎？」,"Someone asked about the Dao.Yangzi said: The Dao is like a road or a river. The carts and boats hustle and bustle, not stopping day or night. The other said: How does one get on the straight dao and follow it?Yangzi said: Although the road is crooked, if it still reaches the Xia, then follow it. Although the river is winding, if it still reaches the ocean, then follow it. The other said: So although one's affairs may involve a crooked path, if it still reaches the sage, then follow it?"
道、德、仁、義、禮，譬諸身乎？夫道以導之，德以得之，仁以人之，義以宜之，禮以體之，天也。合則渾，離則散，一人而兼統四體者，其身全乎！,"The Dao, de, ren, yi, and li can be compared to one's body. Now, using the Dao to lead it; using de to complete it; using ren to make it human; using yi to make its behavior appropriate; and using li embody it—this is Tian. If they are united, then the body is complete. If they are separated, then it falls apart. A person whose four limbs work together—his body is complete."
或問「德表」。曰：「莫知作，上作下。」「請問禮莫知。」曰：「行禮於彼，而民得於此，奚其知！」或曰：「孰若無禮而德？」曰：「禮，體也。人而無禮，焉以為德？」,"Someone asked about the manifestation of de. Yangzi said: Nobody is aware of its influence. When those above act, those below are influenced.The other said: May I ask why nobody is aware of its influence?Yangzi said: If you put li into practice there, but the people get the benefits here, how could they be aware of it?The other said: What about those who do not perform li and yet have de?Yangzi said: Li is the bodily frame. If a person does not perform li, how can he attain de?"
或問「天」。曰：「吾於天與，見無為之為矣！」或問：「雕刻眾形者匪天與？」曰：「以其不雕刻也。如物刻商雕之，焉得力而給諸？」,"Someone asked about Tian.Yangzi said: In Tian I see the action of wuwei.The other said: The one who cuts and carves the multitude of forms, is it not Tian?Yangzi said: Exactly because it does not cut and carve, the multitude of forms are cut and carved. If things were cut and carved by Tian, where could the strength to sustain it come from?"
老子之言道德，吾有取焉耳。及捶提仁義，絕滅禮學，吾無取焉耳。,"As for the Laozi's words about Dao and de, I have adopted them; as for its attacks on ren and yi, cutting off li, and doing away with learning, I have not adopted them."
吾焉開明哉？惟聖人為可以開明，它則苓。大哉聖人，言之至也。開之廓然見四海，閉之閛然不睹墻之裏。,"How can I enlighten others! Only the sage is able to enlighten. Others only make things obscure. Great is the sage, his words are the ultimate! When he opens [the door], you can see the vastness of everything within the four oceans. When the door is slammed shut, you cannot see what is inside the walls of your own room."
聖人之言似於水火。或問「水火」。曰：「水，測之而益深，窮之而益遠；火，用之而彌明，宿之而彌壯。」,"The sage's words are like water and fire.Someone asked about water and fire.Yangzi said: As for water, the more you measure it, the deeper it gets. The more you trace it to its source, the broader it becomes. As for fire, the more you use it, the brighter it gets. The more you build it up, the more intense it becomes."
允治天下，不待禮文與五教，則吾以黃帝、堯、舜為疣贅。,"If I were allowed to govern all under Heaven, but did not use li, wen, and the Five Teachings, then I would also consider Huangdi, Yao, and Shun to be tumors and cysts."
或曰：「太上無法而治，法非所以為治也。」曰：「鴻荒之世，聖人惡之，是以法始乎伏犠而成乎堯，匪伏匪堯，禮義哨哨，聖人不取也。」,"Someone said: In the primordial past there were no laws and institutions but yet there was order. Thus laws and institutions are not a means to order. Yangzi said: The sages hated the primeval time. Thus, laws and institutions were established by Fu Xi and were completed by Yao. No Fu, no Yao—li and yi eliminated —the sage would not adopt this."
