chinese,english
孝，至矣乎！一言而該，聖人不加焉。,"Filial devotion is the highest priority! In this one word all is complete, [even] the sage [cannot] add to it!"
父母，子之天地與？無天何生？無地何形？天地裕於萬物乎？萬物裕於天地乎？裕父母之裕，不裕矣。事父母自知不足者，其舜乎？,"The father and mother are the child's Heaven and Earth. Without Heaven, how is one born? Without Earth, how is one formed? Are Heaven and Earth generous to the ten thousand things, or are the ten thousand things generous to Heaven and Earth? The ""generosity"" of being generous to ones father and mother is not ""generosity!"" One who served his father and mother and yet knew in himself that it was not enough—wasn't this Shun?"
不可得而久者，事親之謂也。孝子愛日。,That which cannot be prolonged enough—this is called serving one's parents. A filial son values each day he has with them.
孝子有祭乎？有齊乎？夫能存亡形，屬荒絕者，惟齊也。故孝子之於齊，見父母之存也，是以祭不賓。人而不祭，豺獺乎！,"Does a filial son not make offerings to his ancestors? Does he not fast? Now, only through the fast is one able to make the deceased's image survive and feel connected to those who are gone. Thus, in fasting a filial son preserves a vision of his father and mother. Because of this, during the fast, one does not take guests. Men who do not make offerings to their ancestors, are they even as good as jackals and otters?"
或問「子」。曰：「死生盡禮，可謂能子乎！」,"Someone asked about being a son.Yangzi said: If one exhausts li both during his parents life and after their death, then may he not be referred to as a capable son?"
曰：「石奮、石建，父子之美也。無是父，無是子；無是子，無是父。」或曰：「必也，兩乎？」曰：「與堯無子，舜無父，不如堯父舜子也。」,"Yangzi said: Shi Fen and Shi Jian were the perfect father and son. Without this father, there would not have been such a son. Without this son, there would not have been such a father.Someone said: Must there be both?Yangzi said: Rather than Yao not having a son and Shun not having a father, it would have been better had Yao been the father and Shun the son."
「子有含菽縕絮而致滋美其親，將以求孝也。人曰偽，如之何？」曰：「假儒衣書，服而讀之，三月不歸，孰曰非儒也？」或曰：「何以處偽？」曰：「有人則作，無人則輟之謂偽。觀人者，審其作輟而已矣。」,"A son eats coarse food and wears tattered clothing while he gives the good food and beautiful clothing to his parents, because he seeks to be filial. If some say he is a phony, what can be done about it?Yangzi said: Suppose he wore a ru's robes and read the Confucian books for three months without any lapse. Who would say he was not a ru?The other said: How can you tell if he is a phony?Yangzi said: If he does it when others are around, but stops when others are not around, then he can be called phony. In observing people, simply examine when they act and when they stop, and that's all."
不為名之名，其至矣乎！為名之名，其次也。,The good reputation that one makes without seeking is best. The reputation one makes by seeking after it is merely second best.
或問「忠言嘉謀」。曰：「言合稷、契之謂忠，謀合臯陶之謂嘉。」或曰：「邵如之何？」曰：「亦勖之而已，庳則秦、儀、鞅、斯亦忠嘉矣。」,"Someone asked: What are loyal words and excellent plans?Yangzi said: Words that accord with those of Hou Ji and Zi Xie's are referred to as loya1. Plans that accord with those of Gao Yao are referred to as excellent.The other said: What if this standard is too lofty?Yangzi said: Indeed, one must simply be diligent and that's all. If the standard were lower, then Su Qin, Zhang Yi, Shang Yang, and Li Si would also be considered loyal and excellent."
堯、舜之道皇兮，夏、殷、周之道將兮，而以延其光兮。或曰：「何謂也？」曰：「堯、舜以其讓，夏以其功，殷、周以其伐。」,"The dao of Yao and Shun was august! The dao of the Xia, Yin, and Zhou was magnificent! Thus their glory lives on!The other said: What do you mean?Yangzi said: Yao and Shun were glorious by means of abdicating the throne. The Xia were glorious because of their meritorious deeds, and the Yin and Zhou because of their righteous military campaigns."
或曰：「食如蟻，衣如華，朱輪駟馬，金朱煌煌，無已泰乎？」曰：「由其德，舜、禹受天下不為泰。不由其德，五兩之綸，半通之銅，亦泰矣。」,"Someone said: Food as delicate and finely prepared as little ants, robes as beautiful as paintings, a vermilion wheeled four-horse chariot, and a glittering gold seal with the vermilion silk ribbons—is this not excessive? Yangzi said: Because of their de, Shun and Yu's inheritance of all under Heaven was not excessive; but if it is not because of one's de, then even five strands of silk and the copper seal of the lowest office is still too excessive."
天下通道五，所以行之一，曰勉。,"The world is penetrated by five daos, but there is only one means by which to walk on them—it is called diligence."
或曰：「力有扛洪鼎，揭華旗。智德亦有之乎？」曰：「百人矣。德諧頑嚚，讓萬國，知情天地，形不測，百人乎？」,"Someone said: As for physical strength, there are those who can carry a massive ritual cauldron or raise military flags. In terms of wisdom and de, are there not also those who compare in this way?Yangzi said: These are merely cases of one man being like a hundred. De that allows one to harmonize with the stupid and foolish, and to abdicate the ten thousand kingdoms; wisdom that clearly perceives Heaven and Earth, and can give form to unfathomable profundity—are these merely equal to the de and wisdom of a hundred men?"
或問「君」。曰：「明光。」問「臣」。曰：「若禔。」「敢問何謂也？」曰：「君子在上，則明而光其下；在下，則順而安其上。」,"Someone asked about the ruler.Yangzi said: He should be bright and illuminating.The other asked about the minister.Yangzi said: He should be dutiful and have a settling influence. The other said: May I ask to what you refer?Yangzi said: When a junzi is in a high position, then he is bright and illuminates those below. When he is in a low position, then he is dutiful and has a settling influence on those above."
或曰：「聖人事異乎？」曰：「聖人德之為事，異亞之。故常修德者，本也；見異而修德者，末也。本末不修而存者，未之有也。」,"Someone asked: Does the sage give attention to strange phenomena?Yangzi said: The sage attends to de; strange phenomena are secondary. Thus, constantly cultivating de—this is to grasp the root. Waiting to see strange phenomena and only then cultivating de—this is to grasp the tip of the branch. To cultivate neither the root nor the tip of the branch and yet survive—there has yet to be a case of this."
天地之得，斯民也；斯民之得，一人也；一人之得，心矣。,Heaven and Earth's accomplishments are due to the people. The people's accomplishments are due to the One Man. The One Man's accomplishments are due to his xin.
吾聞諸傳，老則戒之在得。年彌高而德彌邵者，是孔子之徒與？,"I have heard this from the Lunyu: ""In old age, the junzi guards against covetousness."" Those whose de increases in excellence as they grow older—are they not the followers of Confucius?"
或問：「德有始而無終，與有終而無始也，孰寧？」曰：「寧先病而後瘳乎？寧先瘳而後病乎？」,"Someone asked: De that has a beginning but no end, or de that has an end but no beginning—which would you prefer?Yangzi said: Would you rather first become ill and then be cured, or first be cured and then become ill?"
或問「大」。曰：「小。」問「遠」。曰「邇。」未達。曰：「天下為大，治之在道，不亦小乎？四海為遠，治之在心，不亦邇乎？」,"Someone asked about the great.Yangzi said: It is small.He asked about the far away.Yangzi said: It is near.He failed to understand.Yangzi said: The world is great, but controlling it lies in the Dao. Is this not small indeed? The four seas are far away, but governing the kingdoms within them lies in the xin. Is this not near indeed?"
或問「俊哲、洪秀」。曰：「知哲聖人之謂俊，秀穎德行之謂洪。」,"Someone asked about exceptional wisdom and great flourishing.Yangzi said: Wisdom that enables one to know the sage is called ""exceptional."" When putting de into action flourishes bearing abundant fruit, this is called ""great."""
君子動則擬諸事，事則擬諸禮。,"The junzi's actions are determined according to the situation, and the situation is understood according to li."
或問「群言之長，群行之宗」。曰：「群言之長，德言也；群言之宗，德行也。」,Someone asked: What is the guiding principle of all speech? What is the source of all conduct? Yangzi said: The guiding principle of all speech is virtuous (de) speech. The source of all conduct is virtuous (de) conduct.
或問「泰和」。曰：「其在唐、虞、成周乎？觀《書》及《詩》溫溫乎，其和可知也。」,"Someone asked about times of great harmony?Yangzi said: Were they not the times of Yao, Shun, King Cheng and the Duke of Zhou? Read the Book of Documents and the Book of Poetry's warmth and gentleness, and you can learn of their harmony."
周康之時，頌聲作乎下，《關雎》作乎上，習治也。齊桓之時縕，而《春秋》美邵陵，習亂也。故習治則傷始亂也。習亂，則好始洽也。,"In King Kang of the Zhou's time, hymns of praise were sung from below, while the ""Guan Ju (The Ospreys)"" was written above. This is because the people were accustomed to order.Duke Huan of Qi's time was chaotic, and the Spring and Autumn Annals praised the peace reached by Qi and Chu at Shaoling, because the people were accustomed to chaos. Thus, if one is accustomed to order, then he worries at the first appearance of chaos. If one is accustomed to chaos, one delights in the first appearance of order."
漢德其可謂允懷矣。黃支之南，大夏之西，東鞮、北女，來貢其珍。漢德其可謂允懷矣，世鮮焉。,"One may say the de of the Han is sincerely missed! From the south of Huangzhi, the west of Daxia, Dongdi, and Beinu, the barbarians came to offer their treasures in tribute. One may say the de of the Han truly is missed! It is rare in this generation!"
芒芒聖德，遠人咸慕，上也；武義璜璜，兵征四方，次也；宗夷猾夏，蠢迪王人，屈國喪師，無次也。,"Great and sagely de which people from far away all long for—this is the best. Grave and bold military rites with soldiers attacking the four directions—this is next. The Man and Yi barbarians causing trouble for the empire, causing rulers to squirm in agitation while kingdoms submit and armies are defeated—this is the worst."
麟之儀儀，鳳之師師，其至矣乎！螭虎桓桓，鷹隼䎒䎒，未至也。,"The grave deportment of the unicorn, the eminence of the phoenix—these are the ultimate. The warlike nature of the dragon and tiger, the cruelty of the hawk and falcon—these have never been the ultimate."
