chinese,english
或問：「南正重司天，北正黎司地，今何僚也？」曰：「近羲近和。」「孰重？孰黎？」曰：「羲近重，和近黎。」,"Someone asked: Zhong of the Southern Region was the officer of the heavens, Li of the Northern Region was the officer of the earth. What are these offices today?Yangzi said: The offices of Xi and He are similar.The other said: Which is similar to Zheng and which is similar to Li?Yangzi said: Xi is similar to Zhong and He is similar to Li."
或問「黃帝終始」。曰：「托也。昔者姒氏治水土，而巫步多禹；扁鵲，盧人也，而醫多盧。夫欲讎偽者必假真。禹乎？盧乎？終始乎？」,"Someone asked about the Cycle of the Yellow Emperor. Yangzi said: It falsely borrows his name. In the past, Yu controlled the waters flooding the land, and now shamans dance the many Steps of Yu. Bian Qiao was a man of Lu, and now many healers are called Men of Lu. Those who want to sell what is fake inevitably borrow from the genuine. The Steps of Yu? Men of Lu? The Cycle of Huangdi? Please!"
或問「渾天」。曰：「落下閎營之，鮮於妄人度之，耿中丞象之，幾乎！幾乎！莫之能違也。」,"Someone asked about the huntian theory. Yangzi said: Luoxia Hong devised it, Xianyu Wangren calculated it, and Geng Zhongcheng created the armillary sphere. So subtle, so subtle! No one can contradict it!"
「請問『蓋天』。」曰：「蓋哉！蓋哉！應難未幾也。」,May I ask about gaitian theory?Yangzi said: The gaitian theory! The gaitian theory! For answering difficult questions it is not as subtle.
或問：「趙世多神，何也？」曰：「神怪茫茫，若存若亡，聖人曼雲。」,"Someone asked: Why were the rulers of Qin so preoccupied with spirits?Yangzi said: Spirits are strange and unintelligible, now seeming to be here, now not. The sage does not speak about them."
或問：「子胥、種、蠡孰賢？」曰：「胥也，俾吳作亂，破楚入郢，鞭尸，藉館，皆不由德。謀越諫齊不式，不能去，卒眼之。種、蠡不強諫而山棲，俾其君詘社稷之靈而童僕，又終斃吳，賢皆不足邵也，至蠡策種而遁，肥矣哉！」,"Someone asked: Among Wu Zixu, Wen Zhong and Fan Li, who was worthy?Yangzi said: Zi Xu helped the state of Wu make trouble, destroyed the state of Chu, entered the capital at Ying, whipped the corpse of King Ping and expelled the government officials —none of this was virtuous (de). He plotted against the state of Yue and remonstrated against attacking Qi to no good use. Unable to leave, he finally saw the destruction of Wu with his own eyes. Wen Zhong and Fan Li did not strongly remonstrate against King Gou Jian of Yue's plan to attack the state of Wu, and he was held by King Fuchai of Wu for three years on Mount Kuaiji. They caused their ruler to yield the altars of the spirits of earth and become a servant boy to King Fuchai. In the end, they destroyed Wu, but none of them were good enough to be considered worthy. In the end Fan Li sent Wen Zhong a letter warning him to flee and then escaped to go fatten himself!"
或問「陳勝、吳廣」。曰：「亂。」曰：「不若是則秦不亡。」曰：「亡秦乎？恐秦未亡而先亡矣。」,"Someone asked about Chen Sheng and Wu Guang.Yangzi said: They were rebels.The other said: But if not for them, the Qin would not have been destroyed.Yangzi said: Did they really destroy the Qin? I'm afraid that Chen Sheng and Wu Guang were destroyed before the Qin."
或問：「六國並，其已久矣。一病一瘳，迄始皇三載而咸，時激、地保、人事乎？」曰：「具。」「請問事。」曰：「孝公以下，強兵力農，以蠶食六國，事也。」「保。」曰：「東溝大河，南阻高山，西采雍、梁，北鹵涇垠，便則申，否則蟠，保也。」「激。」曰：「始皇方斧，將相方刀，六國方木，將相方肉，激也。」,"Someone said: The six kingdoms stood together for a long time, one now weak, the other now strong. Qin Shi Huangdi appeared and they were all[unified within three years. Was this because of fortunate timing, the natural defensibility of the land, or man's doing?Yangzi said: All of them.May I ask about man's doing?Yangzi said: From the time of Duke Xiao on down, Qin strengthened its armies and empowered its farmers—they were like silkworms eating away at the six kingdoms. This was man's doing.The other said: May I ask about the natural defensibility of the land?Yangzi said: To the east, the Yellow River served as a moat; to the south, it was obstructed by high mountains; to the west they took Yong and Liang, and to the north, it was bordered by the Jing River. When it was advantageous, Qin expanded its territory. When it was not, it just coiled up. This was the natural defensibility of the land.The other said: How was it due to fortunate timing?Yangzi said: At that time Qin Shi Huangdi was like an axe and his generals were like knives. The six kingdoms were like wood, and their generals were like meat. This was fortunate timing."
或問：「秦伯列為侯衛，卒吞天下，而赧曾無以制乎？」曰：「天子制公侯伯子男也，庸節。節莫差於僣，僣莫重於祭，祭莫重於地，地莫重於天，則襄、文、宣、靈其兆也。昔者，襄公始僣，西畤以祭白帝；文、宣、靈宗，興鄜、密、上、下，用事四帝，而天王不匡，反致文、武胙。是以四疆之內各以其力來侵，攘肌及骨，而赧獨何以制秦乎？」,"The descendants of Bo Yi of the Qin were the protectors of the feudal lords, but suddenly they swallowed up all under Heaven. Why did King Nan of Zhou to restrict their expansion. Yangzi replied: The Son of Heaven restricts dukes, marquis, earls, viscounts and barons using rules of ceremony. In the rules of ceremony there is no fault greater than usurpation. In usurpation, no fault is greater those than in making sacrificial offerings. In making offerings, there is nothing more important than the place of the ceremony, and in the place of the ceremony, nothing is more important than choosing a place to sacrifice to Tian. This being so, Duke Xiang, Duke Wen, Duke Xuan and Duke Ling built their temples. In the past, Duke Xiang usurped the Western Alter and made offerings to the White Emperor. Dukes Wen, Xuan and Ling built temples at Fu, Mi, Shang and Xia to sacrifice to the Four Deities. The Son of Heaven did not rectify this, and to the contrary, wrongly made offerings to King Wen and King Wu. As a result, all within the four boundaries used their power to encroach upon each other, tearing apart flesh and bone. How could King Nan alone control the Qin?"
或問：「贏政二十六載，天下擅秦。秦十五載而楚，楚五載而漢。五十載之際，而天下三擅，天邪？人邪？」曰：「具。周建子弟，列名城，班五爵，流之十二，當時雖欲漢，得乎？六國蚩蚩，為嬴弱姬，卒之屏營。嬴擅其政，故天下擅秦。秦失其猷，罷侯置守，守失其微，天下孤睽。項氏暴強，改宰侯王，故天下擅楚。擅楚之月，有漢創業山南，發跡三秦，迫項山東，故天下擅漢：天也。」「人。」曰：「兼才尚權，右計左數，動謹於時，人也。」天不人不因，人不天不成。,"Someone asked: In twenty-six years of rule, Qin Shi Huang had seized all under Heaven. Fifteen years later Chu seized it, and only five years after that Han controlled it. In a fifty-year period, the empire had changed hands three times. Was this due to Tian or man?Yangzi said: Both. The Zhou installed their sons and brothers, divided up the titles and fiefdoms, ordered the five ranks, and established the twelve kingdoms. Even at that time, there were some like the Han that desired to control the empire, but what could they do about it? Then six kingdoms became foolish and disordered, helping Qin Shi Huang to weaken the Zhou, and finally to brush aside their armies and seize control of their kingdoms. Thus, the empire was seized by the Qin. They ended the Zhou system of feudal appointments and the establishment of prefectures, and the prefects lost their control, leaving the world orphaned and separated. Xiang Yu rebelled and replaced the ministers and princes, and thus empire was taken over by Chu. In the month Chu seized control and divided the empire into eighteen kingdoms, Liu Bang of Han was established in the southern mountains. He set out searching throughout the three kingdoms at the heart of the former Qin, and pursued Xiang Yu to Shandong, and thus the empire was taken by the Han. This was due to Tian.The other said: What about man?Yangzi said: Collecting together men of talent and respecting their knowledge, planning and calculating meticulously, and carefully acting at just the right moment—this is due to man. Without man, Tian has nothing to rely on. Without Tian, man cannot succeed."
