chinese,english
子墨子曰：「萬事莫貴於義。今謂人曰：『予子冠履，而斷子之手足，子為之乎？』必不為，何故？則冠履不若手足之貴也。又曰：『予子天下而殺子之身，子為之乎？』必不為，何故？則天下不若身之貴也。爭一言以相殺，是貴義於其身也。故曰，萬事莫貴於義也。」,"Mozi said: Of the multitude of things none is more valuable than righteousness. Suppose we say to a person: We shall give you a hat and shoes on condition you let us cut off your hands and feet. Would he agree to this? Of course, he will not agree. Why? Just because hats and shoes are not so valuable as hands and feet. Again (if we say), we shall give you the whole world on condition you let us kill you. Would he agree to this? Of course he will not agree. Why? Just because the world is not so valuable as one's person. Yet people have struggled against one another for a single principle. This shows righteousness is even more valuable than one's person. Hence we say, of the multitude of things none is more valuable than righteousness."
子墨子自魯即齊，過故人，謂子墨子曰：「今天下莫為義，子獨自苦而為義，子不若已。」子墨子曰：「今有人於此，有子十人，一人耕而九人處，則耕者不可以不益急矣。何故？則食者眾，而耕者寡也。今天下莫為義，則子如勸我者也，何故止我？」子墨子南游於楚，見楚獻惠王，獻惠王以老辭，使穆賀見子墨子。子墨子說穆賀，穆賀大說，謂子墨子曰：「子之言則成善矣！而君王，天下之大王也，毋乃曰『賤人之所為』，而不用乎？」子墨子曰：「唯其可行。譬若藥然，天子食之以順其疾，豈曰『一草之本』而不食哉？今農夫入其稅於大人，大人為酒醴粢盛以祭上帝鬼神，豈曰『賤人之所為』而不享哉？故雖賤人也，上比之農，下比之藥，曾不若一草之本乎？且主君亦嘗聞湯之說乎？昔者，湯將往見伊尹，令彭氏之子御。彭氏之子半道而問曰：『君將何之？』湯曰：『將往見伊尹。』彭氏之子曰：『伊尹，天下之賤人也。若君欲見之，亦令召問焉，彼受賜矣。』湯曰：『非女所知也。今有藥此，食之則耳加聰，目加明，則吾必說而強食之。今夫伊尹之於我國也，譬之良醫善藥也。而子不欲我見伊尹，是子不欲吾善也。』因下彭氏之子，不使御。彼苟然，然後可也」。,"On his way from Lu to Qi, Mozi met an old friend who said to him: ""Nowadays none in the world practises any righteousness. You are merely inflicting pain on yourself by trying to practise righteousness. You had better give it up."" Mozi replied: Suppose a man has ten sons. Only one attends to the farm while the other nine stay at home. Then the farmer must work all the more vigorously. Why? Because many eat while few work. Now, none in the world practises righteousness. Then you should all the more encourage me. Why do you stop me? Mozi travelled south to Chu to see Lord Hui of Chu. Lord Hui refused to see him with the excuse of his being old, and let Mu He receive him. Mozi talked to Mu He and Mu He was greatly pleased. He said to Mozi: ""Your ideas may be quite good. But our Lord is a great lord of the empire. Can't he refuse to employ them because they come only from a humble man?"" Mozi replied: So long as they are applicable they are like (good) medicines, which are only the roots of herbs. Yet even the emperor takes them to cure his sickness. Does he refuse to take them because they are only the roots of a herb? Now, the farmer pays his tax to the superior. (With this,) the superior prepares wine and cakes to do sacrifice to God, ghosts and spirits. Do these refuse to accept them because they come from the humble? So, even a humble man can yet be compared to the farmer, or, at least to medicine. Is he even of less value than the roots of a herb? Moreover, has not my Lord heard the story of Tang? Anciently, Tang was going to see Yi Yin and let a son of the house of Peng be the driver. On the way, the son of Peng inquired where the lord was going. Tang told him that he was going to see Yi Yin. The son of Peng said: ""Yi Yin is but a humble man of the world. If you want to see him just send for him and he will feel quite flattered."" Tang said: ""This is not what you can understand. Here is some medicine. When taken, it will sharpen the ears and brighten the eyes. Then I shall be pleased and endeavour to take it. Now, Yi Yin to me is like a good physician and an effective medicine. Yet you don't think I should see him. It means you do not want to see me become good."" Thereupon he dismissed the son of Peng and did not let him drive any more. They did not resume their journey till the son of Peng became respectful."
子墨子曰：「凡言凡動，利於天鬼百姓者為之；凡言凡動，害於天鬼百姓者舍之；凡言凡動，合於三代聖王堯舜禹湯文武者為之；凡言凡動，合於三代暴王桀紂幽厲者舍之。」,"Mozi said: Any word, any action, that is beneficial to Heaven, the spirits, and the people is to be carried out. Any word, any action, that is harmful to Heaven, the spirits, and the people is to be abandoned. Any word, any action, that is in harmony with the sage-kings of the Three Dynasties, Yao, Shun, Yu, Tang, Wen, and Wu, is to be carried out. Any word, any action, that is in agreement with the wicked kings of the Three Dynasties, Jie, Zhou, You, and Li, is to be abandoned."
子墨子曰：「言足以遷行者，常之；不足以遷行者，勿常。不足以遷行而常之，是蕩口也。」,"Mozi said: Any principle that can modify conduct, (expound) much; any principle that cannot modify conduct, do not (expound) much. To (expound) much what cannot modify conduct is just to wear out one's mouth."
子墨子曰：「必去六辟。嘿則思，言則誨，動則事，使三者代御，必為聖人。必去喜，去怒，去樂，去悲，去愛，而用仁義。手足口鼻耳，從事於義，必為聖人。」,"Mozi said: The six peculiarities must be removed. When silent one should be deliberating; when talking one should instruct; when acting one should achieve (something). When one employs these three alternatively he will be a sage. Pleasure, anger, joy, sorrow, love (and hate) are to be removed and magnanimity and righteousness are to replace them. When hands, feet, mouth, nose, ears (and eyes) are employed for righteousness, then one will surely be a sage."
子墨子謂二三子曰：「為義而不能，必無排其道。譬若匠人之斲而不能，無排其繩。」,"Mozi said to a few of his disciples: Though one cannot achieve righteousness one must not abandon the way, just as the carpenter must not blame the line though he cannot saw the lumber straight."
子墨子曰：「世之君子，使之為一犬一彘之宰，不能則辭之；使為一國之相，不能而為之。豈不悖哉！」,"Mozi said: As the gentlemen in the world cannot be butchers of dogs and pigs, they would refuse when asked to be such. Yet, though they are not capable of being ministers in a state, they would accept it when asked to be such. Isn't this perverse?"
子墨子曰：「今瞽曰：『鉅者白也，黔者黑也。』雖明目者無以易之。兼白黑，使瞽取焉，不能知也。故我曰瞽不知白黑者，非以其名也，以其取也。今天下之君子之名仁也，雖禹湯無以易之。兼仁與不仁，而使天下之君子取焉，不能知也。故我曰天下之君子不知仁者，非以其名也，亦以其取也。」,"Mozi said: The blind say that which is bright is white, that which is dark is black. Even the keen-sighted cannot alter this. But if we should mix up the black and white objects and let the blind select them they could not do it. Hence the reason that I say the blind do not know white from black does not lie in the matter of definition but in the process of selection. Now, the way the gentlemen of the world define magnanimity even Yu and Tang cannot alter. But when we mix up magnanimous conduct with unmagnanimous conduct and let the gentlemen of the world choose them they do not know which is which. So, the reason that I say the gentlemen of the world do not know magnanimity does not lie in the matter of definition either; it also lies in the process of selection."
子墨子曰：「今士之用身，不若商人之用一布之慎也。商人用一布布，不敢繼苟而讎焉，必擇良者。今士之用身則不然，意之所欲則為之，厚者入刑罰，薄者被毀醜，則士之用身不若商人之用一布之慎也。」,Mozi said: The gentlemen of to-day handle their persons with even less care than the merchant would handle a bale of cloth. When the merchant handles a bale of cloth he dare not sell it without discretion; he will surely select a good one. But the gentlemen of to-day handle their person quite differently. Whatever they happen to desire they will carry out. In the more severe cases they fall into punishment; even in less severe cases they are visited with condemnation. So then the gentlemen are even less careful in handling their persons than the merchant is in handling a bale of cloth.
子墨子曰：「世之君子欲其義之成，而助之修其身則慍，是猶欲其牆之成，而人助之築則慍也，豈不悖哉！」,Mozi said: The gentlemen of our time desire to achieve righteousness. Yet when we endeavour to help them in the cultivation of their personality they become resentful. This is like desiring the completion of a wall and becoming resentful when helped in the building. Isn't this perverse?
