chinese,english
魯君謂子墨子曰：「吾恐齊之攻我也，可救乎？」子墨子曰：「可。昔者，三代之聖王禹湯文武，百里之諸侯也，說忠行義，取天下。三代之暴王桀紂幽厲，讎怨行暴，失天下。吾願主君，之上者尊天事鬼，下者愛利百姓，厚為皮幣，卑辭令，亟遍禮四鄰諸侯，敺國而以事齊，患可救也，非此，顧無可為者。」,"The Lord of Lu asked Mozi: ""I fear Qi will attack me. Is there any remedy?"" Mozi said: Yes, the sage-kings of the Three Dynasties, Yu, Tang, Wen, and Wu, were originally feudal lords of states of only a hundred li square. Yet, enlisting the loyal and practising righteousness, they acquired the empire. While the wicked kings of the Three Dynasties, Jie, Zhou, You, and Li, by estranging the loyal and practising wickedness, lost the empire. I wish your Lordship would reverence Heaven and the spirits above and love and benefit the people below; prepare plenty of furs and money and humble your speech to befriend all the neighbouring lords, and lead the state to serve Qi. Besides this, indeed nothing can be done."
齊將伐魯，子墨子謂項子牛曰：「伐魯，齊之大過也。昔者，吳王東伐越，棲諸會稽，西伐楚，葆昭王於隨。北伐齊，取國子以歸於吳。諸侯報其讎，百姓苦其勞，而弗為用，是以國為虛戾，身為刑戮也。昔者，智伯伐范氏與中行氏，兼三晉之地，諸侯報其讎，百姓苦其勞，而弗為用，是以國為虛戾，身為刑戮用是也。故大國之攻小國也，是交相賊也，過必反於國。」,"Qi was going to attack Lu. Mozi said to Xiang Zi Niu: To attack Lu is a great wrong on the part of Qi. Formerly, the Lord of Wu attacked Yue on the east and drove (Lord Gou Jian of Yue) to take refuge upon Guiji. He attacked Chu on the west and hold fast Lord Zhao at Sui. On the north he attacked Qi and brought Guozi back to Wu. The feudal lords then took vengeance and his people complained of the hardship and would not be commanded. Thereupon the state perished and the Lord of Wu was executed. Formerly, Zhi Bo attacked both the house of Fan and the house of Zhongxing, and absorbed all the land of the Three Jin states. The feudal lords then took vengeance and his people complained of the hardship and would not be commanded. Thereupon the state perished and he was executed. Therefore the attack of a large state on a small state is injury to both and the consequences of the wrong will always return to the large state."
子墨子見齊大王曰：「今有刀於此，試之人頭，倅然斷之，可謂利乎？」大王曰：「利。」子墨子曰：「多試之人頭，倅然斷之，可謂利乎？」大王曰：「利。」子墨子曰：「刀則利矣，孰將受其不祥？」大王曰：「刀受其利，試者受其不祥。」子墨子曰：「并國覆軍，賊殺百姓，孰將受其不祥？」大王俯仰而思之曰：「我受其不祥。」,"Mozi saw the Grand Lord of Qi and said: Suppose here is a sword. When it is tried on a man's neck it severs it swiftly. Can it be said to be sharp? The Grand Lord said it is sharp. Mozi said: When it is tried on several men's necks, it severs them swiftly. Can it be said to be sharp? The Grand Lord said it is sharp. Mozi said: Of course, the sword is (proved to be) sharp, but who will take the curse of the deed upon him? The Grand Lord said that the sword reaped the benefit but he who tries it will be visited by the curse for the act. Mozi continued : Now to capture a state, ruin an army, and destroy the people - who will be visited by the curse for this act? The Grand Lord looked down and up and deliberated, saying: ""I shall be visited with the curse for this act."""
魯陽文君將攻鄭，子墨子聞而止之，謂陽文君曰：「今使魯四境之內，大都攻其小都，大家伐其小家，殺其人民，取其牛馬狗豕布帛米粟貨財，則何若？」魯陽文君曰：「魯四境之內，皆寡人之臣也。今大都攻其小都，大家伐其小家，奪之貨財，則寡人必將厚罰之。」子墨子曰：「夫天之兼有天下也，亦猶君之有四境之內也。今舉兵將以攻鄭，天誅亓不至乎？」魯陽文君曰：「先生何止我攻鄭也？我攻鄭，順於天之志。鄭人三世殺其父，天加誅焉，使三年不全。我將助天誅也。」子墨子曰：「鄭人三世殺其父而天加誅焉，使三年不全。天誅足矣，今又舉兵將以攻鄭，曰『吾攻鄭也，順於天之志』。譬有人於此，其子強梁不材，故其父笞之，其鄰家之父舉木而擊之，曰：『吾擊之也，順於其父之志』，則豈不悖哉？」,"Prince Wen of Lu Yang was going to attack Zheng. Mozi heard of it and tried to stop him, saying to him: Suppose within the borders of Lu Yang the large cities should attack the small cities and the large houses attack the small houses, killing the people and carrying away the oxen and horses, dogs and hogs, cloth and silk, and grains and valuables. What would you say? Prince Wen of Lu Yang replied: ""Within the borders of Lu Yang all are my subjects. Now, should the large cities attack the small cities and the large houses attack the small houses, carrying away their valuables, I should punish them severely."" Mozi said: Now, Heaven possesses the whole world just as your Lordship possesses your state. But you are raising an army to attack Zheng. Shouldn't punishment from Heaven come to you? Prince Wen of Lu Yang said: ""Why should you, sir, prevent me from attacking Zheng? I attack Zheng, in accordance with the will of Heaven. The people of Zheng have murdered their father for three generations. Heaven has been visiting them with punishment. It has caused them to be unprosperous for three years. I am only helping Heaven to carry out the punishment."" Mozi said: The people of Zheng have murdered their father for three generations. Heaven has been visiting them with punishment. It has caused them to be unprosperous for three years. The punishment of Heaven is sufficient. Yet, you are raising an army to attack Zheng, proclaiming: ""My attack on Zheng is in accordance with the will of Heaven."" Suppose there is a man whose son is strong but insolent. So the father punished him with a ferule. But the neighbour's father struck him with a heavy staff, saying: ""It is in accordance with his father's will that I strike him."" Isn't this perversity?"
子墨子謂魯陽文君曰：「攻其鄰國，殺其民人，取其牛馬、粟米、貨財，則書之於竹帛，鏤之於金石，以為銘於鍾鼎，傳遺後世子孫曰：『莫若我多。』今賤人也，亦攻其鄰家，殺其人民，取其狗豕食糧衣裘，亦書之竹帛，以為銘於席豆，以遺後世子孫曰：『莫若我多。』亓可乎？」魯陽文君曰：「然吾以子之言觀之，則天下之所謂可者，未必然也。」,"Mozi said to Prince Wen of Lu Yang: If a lord had attacked the neighbouring states, killed their people, carried away their oxen and horses, grains and valuables, a lord might yet record it on bamboos and silk and engrave it on metal and stone and write it up into maxims on the bell and the ting to hand down to posterity, saying: ""None possess so much as I."" Now, the unscrupulous common man also attacks neighbouring homes, kills their inmates, and takes the dogs and hogs, food and clothing. They would also like to record it on bamboos and silk and write it up into maxims on the vessels and dishes to hand down to posterity, saying: ""None possesses so much as I."" Is this permissible? Prince Wen of Lu Yang said: ""According to what you have said then what the world takes for granted may not be right after all."""
子墨子為魯陽文君曰：「世俗之君子，皆知小物而不知大物。今有人於此，竊一犬一彘則謂之不仁，竊一國一都則以為義。譬猶小視白謂之白，大視白則謂之黑。是故世俗之君子，知小物而不知大物者，此若言之謂也。」,"Mozi said to Prince Wen of Lu Yang: The gentlemen of the world know only trifles but not things of importance. If a man steals a dog or pig, they call him wicked. But stealing a state or a city is regarded as righteous. This is similar to calling it white when one sees a little white, but calling it black when he sees much white. And this is what is meant when we say the gentlemen of the world know only trifles and not things of importance."
魯陽文君語子墨子曰：「楚之南有啖人之國者橋，其國之長子生，則鮮而食之，謂之宜弟。美，則以遺其君，君喜則賞其父。豈不惡俗哉？」子墨子曰：「雖中國之俗，亦猶是也。殺其父而賞其子，何以異食其子而賞其父者哉？苟不用仁義，何以非夷人食其子也？」,"Prince Wen of Lu Yang said to Mozi: There is a cannibal tribe on the south of Chu. When the first son is born they dissect and devour him. This is said to be propitious to his younger brothers. If he tastes delicious, he will be offered to the chief, and if the chief is pleased the father will be rewarded. Isn't this a wicked custom?"" Mozi said: So is the custom in China. How is killing the father and rewarding the son different from devouring the son and rewarding the father? If magnanimity and righteousness are not observed, wherefore shall we condemn the barbarians for eating their sons?"
魯君之嬖人死，魯君為之誄，魯人因說而用之。子墨子聞之曰：「誄者，道死人之志也，今因說而用之，是猶以來首從服也。」,"Upon the death of a favourite concubine of the Lord of Lu, somebody in Lu wrote an obituary for her. The Lord of Lu was pleased with it and employed the writer. Mozi heard of it and remarked: An obituary is but to narrate the ambitions of the dead. To employ the man because his obituary is pleasing is like making the wild cat pull a carriage."
魯陽文君謂子墨子曰：「有語我以忠臣者，令之俯則俯，令之仰則仰，處則靜，呼則應，可謂忠臣乎？」子墨子曰：「令之俯則俯，令之仰則仰，是似景也。處則靜，呼則應，是似響也。君將何得於景與響哉？若以翟之所謂忠臣者，上有過則微之以諫，己有善，則訪之上，而無敢以告。外匡其邪，而入其善，尚同而無下比，是1以美善在上，而怨讎在下，安樂在上，而憂慼在臣。此翟之所2謂忠臣者也。」,"Prince Wen of Lu Yang asked Mozi: ""Suppose somebody was recommended as a loyal minister. And he would bow down when I let him bow down; he would bend back when I let him bend back. Staying there he would be silent, and when called upon he would answer. Can this be said to be loyal?"" Mozi said: To bow down when permitted, to bend back when permitted - this is but a shadow. To remain silent when let alone, to answer when called upon - this is but an echo. What would your Lordship get out of an echo or a shadow? According to my conception of a loyal minister, when the superior is at fault he should wait and warn; possessing a good idea he should give counsel to the superior without revealing it to the world; he should correct irregularities and lead in goodness ; he should identify himself with the superior and not ally himself with subordinates. So that goodness and excellences will be attributed to the superior and complaints and grudges lodged against the subordinates; so that ease and happiness be with the superior and trouble and worry with the ministers. This is what I call a loyal minister.1. 是 : Inserted.  孫詒讓《墨子閒詁》 2. 所 : Inserted. 孫詒讓《墨子閒詁》"
魯君謂子墨子曰：「我有二子，一人者好學，一人者好分人財，孰以為太子而可？」子墨子曰：「未可知也，或所為賞與為是也。魡者之恭，非為魚賜也；餌鼠以蟲，非愛之也。吾願主君之合其志功而觀焉。」,"The Lord of Lu consulted Mozi, saying: ""Now I have two sons. One likes learning and the other likes dividing property for people. Which one should be crowned Prince?"" Mozi said: We can't tell (just from this). It may be that they behave so just for the praise and reward of it. The fisherman's bait is not intended to feed the fish. Trapping a mouse with worms is not for the love of the mouse. I wish your Lordship would observe both their intention and consequences."
