chinese,english
子墨子言曰：「仁者之為天下度也，辟之無以異乎孝子之為親度也。今孝子之為親度也，將柰何哉？曰：『親貧則從事乎富之，人民寡則從事乎眾之，眾亂則從事乎治之。』當其於此也，亦有力不足，財不贍，智不智，然後己矣。無敢舍餘力，隱謀遺利，而不為親為之者矣。若三務者1，孝子之為親度也，既若此矣。,"Mozi said: The magnanimous ruler takes care of the empire, in the same way as a filial son takes care of his parents. But how does the filial son take care of his parents? If the parents are poor he would enrich them; if the parents have few people (descendants) he would increase them; if the members (of the family) are in confusion he would put them in order. Of course, in doing this he might find his energy insufficient, his means limited, or his knowledge inadequate. But he dare not allow any energy, learning, or means unused to serve his parents. Such are the three interests of the filial son in taking care of his parents.1. 者 : Inserted.  孫詒讓《墨子閒詁》"
雖仁者之為1天下度，亦猶此也。曰：『天下貧則從事乎富之，人民寡則從事乎眾之，眾而亂則從事乎治之。』當其於此，亦有力不足，財不贍、智不智，然後已矣。無敢舍餘力，隱謀遺利，而不為天下為之者矣。若三務者，此仁者之為天下度也2，既若此矣。,"And the same is true of the magnanimous ruler in taking care of the empire: if the empire is poor he would enrich it; if the people are few he would increase them; if the multitude are in confusion he would put them in order. Of course in doing these he might find his energy insufficient, means limited, or knowledge inadequate, but he dare not allow any energy, learning, or means unused to serve the world. And such are the three interests of the magnanimous ruler in taking care of the empire.1. 為 : Inserted.  孫詒讓《墨子閒詁》2. 也 : Inserted.  孫詒讓《墨子閒詁》"
今逮至昔者三代聖王既沒，天下失義，後世之君子，或以厚葬久喪以為仁也，義也，孝子之事也；或以厚葬久喪以為非仁義，非孝子之事也。曰二子者，言則相非，行即相反，皆曰：『吾上祖述堯舜禹湯文武之道者也。』而言即相非，行即相反，於此乎後世之君子，皆疑惑乎二子者言也。若苟疑惑乎之二子者言，然則姑嘗傳而為政乎國家萬民而觀之。計厚葬久喪，奚當此三利者？我意若使法其言，用其謀，厚葬久喪實可以富貧眾寡，定危治亂乎，此仁也，義也，孝子之事也1，為人謀者不可不勸也。仁者將興之天下，誰賈而使民譽之，終勿廢也。意亦使法其言，用其謀，厚葬久喪實不可以富貧眾寡，定危理亂乎，此非仁非義，非孝子之事也，為人謀者不可不沮也。仁者將興之天下，誰賈而使民譽之，終勿廢也。意亦使法其言，用其謀，厚葬久喪實不可以富貧眾寡，定危理亂乎，此非仁非義，非孝子之事也，為人謀者不可不沮也。2仁者將求除之天下，相廢而使人非之，終身勿為。,"When the sage-kings of the Three Dynasties had passed away, and the world had become ignorant of their principles, some of the gentlemen in later generations regarded elaborate funeral and extended mourning as magnanimous, and righteous, and the duty of a filial son; while others held them to be not magnanimous, not righteous, and not the duty of the filial son. These two groups condemn each other in words and contradict each other in deed, and yet both claim to be followers of the way of Yao, Shun, Yu, Tang, Wen, and Wu. But since they are disagreed in word and opposed in deed, people doubt the assertions of both. Now that the assertions of both are doubted, it will be well to turn to the government of the country and the people and see how elaborate funeral and extended mourning affect the three interests. In my opinion, if in adopting the doctrine and practising the principle, elaborate funeral and extended mourning could enrich the poor, increase the few, remove danger, and regulate disorder, it would be magnanimous, righteous, and the duty of a filial son. Those who are to give counsel could not but encourage it. And the magnanimous (ruler) would seek to have it flourish in the empire and establish it so as to have the people praise it and never disregard it in their whole life. (On the other hand,) if in adopting the doctrine and practising the principle, elaborate funeral and extended mourning really cannot enrich the poor, increase the few, remove danger, and regulate disorder, it will not be magnanimous, righteous, and the duty of the filial son. Those who are to give counsel cannot but discourage it. And the magnanimous will seek to have it abolished in the empire and abandon it so as to have the people condemn it, never to practise it in their whole life.1. 也 : Inserted.  孫詒讓《墨子閒詁》2. 仁者將興之天下，誰賈而使民譽之，終勿廢也。意亦使法其言，用其謀，厚葬久喪實不可以富貧眾寡，定危理亂乎，此非仁非義，非孝子之事也，為人謀者不可不沮也。 : Deleted."
且故興天下之利，除天下之害，令國家百姓之不治也，自古及今，未嘗之有也。何以知其然也？今天下之士君子，將猶多皆疑惑厚葬久喪之為中是非利害也。」故子墨子言曰：「然則姑嘗稽之，今雖毋法執厚葬久喪者言，以為事乎國家。此存乎王公大人有喪者，曰棺槨必重，葬埋必厚，衣衾必多，文繡必繁，丘隴必巨；存乎匹夫賤人死者，殆竭家室；乎諸侯死者，虛車府，然後金玉珠璣比乎身，綸組節約，車馬藏乎壙，又必多為屋幕。鼎鼓几梴壺濫，戈劍羽旄齒革，挾而埋之，滿意。若送從，曰天子殺殉，眾者數百，寡者數十。將軍大夫殺殉，眾者數十，寡者數人。處喪之法將柰何哉？曰哭泣不秩聲翁，縗絰垂涕，處倚廬，寢苫枕塊，又相率強不食而為飢，薄衣而為寒，使面目陷陬，顏色黧黑耳目不聰明，手足不勁強，不可用也。又曰上士之操喪也，必扶而能起，杖而能行，以此共三年。若法若言，行若道使王公大人行此，則必不能蚤朝，五官六府，辟草木，實倉廩。使農夫行此。則必不能蚤出夜入，耕稼樹藝。使百工行此，則必不能修舟車為器皿矣。使婦人行此，則必不能夙興夜寐，紡績織紝。細計厚葬。為多埋賦之財者也。計久喪，為久禁從事者也。財以成者，扶而埋之；後得生者，而久禁之，以此求富，此譬猶禁耕而求穫也，富之說無可得焉。,"It has never happened, from ancient times to the present day, that benefits are procured, calamities averted for the world, and disorder among the people of the country is regulated by elaborate funerals and extended mourning. How do we know? For even at the present the gentlemen of the world are still doubtful whether elaborate funeral and extended mourning are right and beneficial. Mozi said: I have examined the sayings of those who uphold elaborate funeral and extended mourning. If they should be taken seriously in the country, it would mean: when a lord dies, there would be several inner and outer coffins. He would be buried deep. There would be many shrouds. Embroidery would be elaborate. The grave mound would be massive. So, then, the death of a common man would exhaust the wealth of a family. And the death of a feudal lord would empty the state treasury before his body would be surrounded with gold, jade, and pearls, and the grave filled with carts and horses and bundles of silk. Further, there should be plenty of canopies and hangings, dings, drums, tables, pots, and ice receptacles, spears, swords, feather banners, and hides all to be carried along and buried. Not till then are the requirements considered fulfilled. And, regarding those who were to die to accompany their lord, for the emperor or a feudal lord there should be from several hundred to several tens, and for a minister or secretary there should be from several tens to several. What are the rules to be observed by the mourner? He must weep without restraint and sound as if he is choking. Sackcloth is worn on the breast and hat of flax on the head. His tears and snivel are not to be wiped away. The mourner is to live in a mourning hut, sleep on a coarse mat of straw, and lay his head on a lump of earth. Then, he would be obliged to abstain from food in order to look hungry, and to wear little in order to look cold. The face and eyes are to look sunken and as if in fear, and the complexion is to appear dark. Ears and eyes are to become dull, and hands and feet to become weak and unusable. And, also, if the mourner is a high official, he has to be supported to rise, and lean on a cane to walk. And all this is to last three years. Adopting such a doctrine and practising such a principle rulers cannot come to court early (and retire late); the officials cannot attend to the five offices and six posts and encourage farming and forestry and fill the granaries; the farmers cannot start out early and come in late to cultivate the land and plant trees; the artisans cannot build boats and vehicles and make vessels and utensils; and the women cannot rise early and retire late to weave and spin. So, then, in elaborate funerals much wealth is buried, and in extended mourning abstention from work is prolonged. Wealth already produced is carried away into the grave. Child-bearing is postponed. To seek wealth in this way is like seeking a harvest by prohibiting farming. The way to wealth then is not here found."
是故求以富家而既已不可矣，欲以眾人民，意者可邪？其說又不可矣。今唯無以厚葬久喪者為政，君死，喪之三年；父母死，喪之三年；妻與後子死者，五皆喪之三年；然後伯父叔父兄弟孽子其；族人五月；姑姊甥舅皆有月數。則毀瘠必有制矣，使面目陷陬，顏色黧黑，耳目不聰明，手足不勁強，不可用也。又曰上士操喪也，必扶而能起，杖而能行，以此共三年。若法若言，行若道，苟其飢約，又若此矣，是故百姓冬不仞寒，夏不仞暑，作疾病死者，不可勝計也。此其為敗男女之交多矣。以此求眾，譬猶使人負劍，而求其壽也。眾之說無可得焉。,"Now that the practice of elaborate funerals and extended mourning has failed to enrich the country perhaps it can yet increase the population? Again it is powerless. For if elaborate funeral and extended mourning are adopted as the rule, then upon the death of the emperor there will be three years' mourning, upon the death of a parent there will be three years' mourning, upon the death of the wife or the eldest son there will be three years' mourning. There will be three years' mourning for all five (relations). Besides, there will be one year for uncles, brothers, and the other sons; and five months for the near relatives, and also several months for aunts, sisters, nephews, and uncles on the mother's side. Further, there are set rules to emaciate one's health: the face and eyes are to look sunken and as if in fear, and the complexion is to appear dark. Ears and eyes are to become dull, and hands and feet are to become weak and unusable. And, also, if the mourner is a high official, he has to be supported to rise and lean on a cane to walk. And this is to last three years if such a doctrine is adopted and such a principle is practised. Being so hungry and weak, the people cannot stand the cold in winter and the heat in summer. And countless numbers will become sick and die. Sexual relations between husband and wife are prevented. To seek to increase the population by this way is like seeking longevity by thrusting one's self upon a sword. The way to dense population is not here found."
是故求以眾人民，而既以不可矣，欲以治刑政，意者可乎？其說又不可矣。今唯無以厚葬久喪者為政，國家必貧，人民必寡，刑政必亂。若法若言，行若道，使為上者行此，則不能聽治；使為下者行此，則不能從事。上不聽治，刑政必亂；下不行1從事，衣食之財必不足。若苟不足，為人弟者，求其兄而不得不弟弟必將怨其兄矣；為人子者，求其親而不得，不孝子必是怨其親矣；為人臣者，求之君而不得，不忠臣必且亂其上矣。是以僻淫邪行之民，出則無衣也，入則無食也，內續奚吾，並為淫暴，而不可勝禁也。是故盜賊眾而治者寡。夫眾盜賊而寡治者，以此求治，譬猶使人三還而毋負己也，治之說無可得焉。,"Now that it has failed to increase the population, perhaps it can yet regulate jurisdiction? Again it is powerless. For, adopting elaborate funerals and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly. Adopting such a doctrine and practising such a principle superiors cannot give attention to administration and subordinates cannot attend to their work. When the superiors are unable to give their attention to administration there will be disorder. When the subordinates are unable to attend to their work, the supply of food and clothing will be insufficient. When there is insufficiency, the undutiful younger brother will ask his older brother for help, and when he does not receive it he will hate the elder brother. The unfilial son will turn to his father for help and when he does not receive it he will spurn his father. And the disloyal minister will turn for help to his lord and when he does not receive it he will mock his lord. And vicious and immoral people will commit evil and immorality beyond control when they are without clothing abroad and without food at home. So, bandits and thieves will be numerous but law-abiding people few. Now, to seek order by multiplying the bandits and thieves and diminishing the law-abiding people is like demanding of a person not to present his back to you after making him turn around three times. The way to order is not here found.1. 行 : Deleted.  孫詒讓《墨子閒詁》"
是故求以治刑政，而既已不可矣，欲以禁止大國之攻小國也，意者可邪？其說又不可矣。是故昔者聖王既沒，天下失義，諸侯力征。南有楚、越之王，而北有齊、晉之君，此皆砥礪其卒伍，以攻伐并兼為政於天下。是故凡大國之所以不攻小國者，積委多，城郭修，上下調和，是故大國不耆攻之，無積委，城郭不修，上下不調和，是故大國耆攻之。今唯無以厚葬久喪者為政，國家必貧，人民必寡，刑政必亂。若苟貧，是無以為積委也；若苟寡，是城郭溝渠者寡也；若苟亂，是出戰不克，入守不固。,"Now that it has failed to regulate jurisdiction and government, perhaps it can yet prevent the large states from attacking the small states? Again it is powerless. For since the ancient sage-kings have passed away and the world has become ignorant of their principles, the feudal lords resort to attack by force. On the south there are the kings of Chu and Yue, and on the north there are the lords of Qi and Jin. All of these show favours and encouragement to their warriors and soldiers, making it their business in the world to attack and absorb (others). Some small states, however, they do not attack, and this because these small states are well stored with supplies, their inner and outer city walls are in repair, and in them the superior and the subordinates are harmonious. Therefore the large states would not want to attack them. Those which are not well stored with supplies, whose inner and outer city walls are not in repair, and in which the superior and the subordinates are not harmonious, the large states would want to attack. Adopting elaborate funerals and extended mourning in government, the state will become poor, the people few, and jurisdiction disorderly. Since the state is poor, no surplus goods can be stored. Since its numbers are few, there will be few workmen to keep the city walls and moats in repair. Since it is disorderly, a state will not be victorious in attack or strong in defence."
此求禁止大國之攻小國也，而既已不可矣。欲以干上帝鬼神之褔，意者可邪？其說又不可矣。今唯無以厚葬久喪者為政，國家必貧，人民必寡，刑政必亂。若苟貧，是粢盛酒醴不淨潔也；若苟寡，是事上帝鬼神者寡也；若苟亂，是祭祀不時度也。今又禁止事上帝鬼神，為政若此，上帝鬼神，始得從上撫之曰：『我有是人也，與無是人也，孰愈？』曰：『我有是人也，與無是人也，無擇也。』則惟上帝鬼神降之罪厲之禍罰而棄之，則豈不亦乃其所哉！,"Now that it has failed in preventing the large states from attacking the small states, perhaps it can yet procure blessing from God and the spirits. Again it is powerless. For, adopting elaborate funeral and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly. When the state is poor the cakes and wine will be unclean. When the people are few the worshippers of God and the spirits will be reduced in number. And when jurisdiction is in disorder the sacrifice will not be made according to season. Moreover, the worship of God and the spirits is now even prohibited. When the government is run like this, God and the spirits would deliberate from on high, saying: ""Which is better, to have these people exist or not to have them exist? It really makes no difference whether they exist or not."" Therefore God and spirits will send judgement upon them and visit them with calamities and punish and desert them. Is not this quite in place?"
故古聖王制為葬埋之法，曰：『棺三寸，足以朽體；衣衾三領，足以覆惡。以及其葬也，下毋及泉，上毋通臭，壟若參耕之畝，則止矣。死則既以葬矣，生者必無久哭，而疾而從事，人為其所能，以交相利也。』此聖王之法也。」,"Therefore the ancient sage-kings authorized the code of laws regarding the burial of the dead thus: The coffin shall be three inches thick, sufficient to hold the body. As to shrouds there shall be three pieces adequate to cover the corpse. It shall not be buried so deep as to reach water and neither so shallow as to allow the odour to ascend. Three feet in size shall be big enough for the mound. There shall be no extended mourning after burial, but speedy return to work and pursuit in what one can do to procure mutual benefit. Such are the laws of the sage-kings."
今執厚葬久喪者之言曰：「厚葬久喪雖使不可以富貧眾寡，定危治亂，然此聖王之1道也。」子墨子曰：「不然。昔者堯北教乎八狄，道死，葬蛩山之陰，衣衾三領，榖木之棺，葛以緘之，既窆而後哭，滿埳無封。已葬，而牛馬乘之。舜西教乎七戎，道死，葬南己之市，衣衾三領，榖木之棺，葛以緘之，已葬，而市人乘之。禹東教乎九夷，道死，葬會稽之山，衣衾三領，桐棺三寸，葛以緘之，絞之不合，通之不埳，土地之深，下毋及泉，上毋通臭。既葬，收餘壤其上，壟若參耕之畝，則止矣。若以此若三聖王者觀之，則厚葬久喪果非聖王之道。故三王者，皆貴為天子，富有天下，豈憂財用之不足哉？以為如此葬埋之法。,"Those who uphold elaborate funerals and extended mourning say: ""Although elaborate funerals and extended mourning cannot enrich the poor, increase the few, remove danger and regulate disorder, yet they were a principle of the sage-kings."" Mozi replied: Not at all. Anciently, Yao went north to instruct the eight tribes of Di. He died on the way and was buried in the shade of Mt. Qiong. Of shrouds there were three pieces. The coffin was of soft wood, and sealed with flax linen. Weeping started only after burial. There was no mound, only the pit was filled up. After burial, oxen and horses plodded over it. Shun went west to instruct the seven tribes of Rong. He died on the way and was buried in the market place of Nanji. Of shrouds there were three pieces. The coffin was of soft wood and sealed with flax linen. After burial the people in the market place walked over it. Yu went east to instruct the nine tribes of Yi. He died on the way and was buried at Mt. Guiji. Of clothing there were three pieces. The coffin was of tong wood and sealed with flax linen. It did not crush when bound, and it did not sink in when pressed. The pit was not deep enough to strike water and not so shallow as to allow the odour to ascend. When the coffin had been buried, the remaining earth was gathered on it, and the mound was three feet high and no more. So, to judge according to these three sage-kings, elaborate funerals and extended mourning were really not the way of the sage-kings. These three sage-kings held the rank of Sons of Heaven and possessed the whole empire, yet they authorized their burial in this way; was it because of any fear of lack of means?1. 之 : Originally read: ""也以"". Corrected by 孫詒讓《墨子閒詁》"
