chinese,english
明鬼上,On Ghosts I
明鬼中,On Ghosts II
子墨子言曰：「逮至昔三代聖王既沒，天下失義，諸侯力正，是以存夫為人君臣上下者之不惠忠也，父子弟兄之不慈孝弟長貞良也，正長之不強於聽治，賤人之不強於從事也，民之為淫暴寇亂1盜賊，以兵刃毒藥水火，退無罪人乎道路率徑，奪人車馬衣裘以自利者並作，由此始，是以天下亂。此其故何以然也？則皆以疑惑鬼神之有與無之別，不明乎鬼神之能賞賢而罰暴也。今若使天下之人，偕若信鬼神之能賞賢而罰暴也，則夫天下豈亂哉！」,"Mozi said: With the passing of the sage-kings of the Three Dynasties, the world lost its righteousness and the feudal lords took might as right. The superior and the subordinates are no longer gracious and loyal; father and son, elder and younger brother are no longer affectionate and filial, brotherly and respectful, virtuous and kind. The rulers do not attend diligently to government and the artisans do not attend earnestly to their work. The people practise immorality and wickedness and become rebellious. Thieves and bandits with weapons, poison, water, and fire hold up innocent travellers on the highways and the bypaths, robbing them of their carts and horses, coats and fur coats, to enrich themselves. All these start therewith (with the passing of the sage-kings). And so the world falls into chaos. Now what is the reason for this confusion? It is all because of the doubt of the existence of the ghosts and spirits, and the ignorance of their being able to reward virtue and punish vice. If all the people in the world believed that the spirits are able to reward virtue and punish vice, how could the world be in chaos?1. 亂 : Inserted.  孫詒讓《墨子閒詁》"
今執無鬼者曰：「鬼神者，固無有。」旦暮以為教誨乎天下，之1疑天下之眾，使天下之眾皆疑惑乎鬼神有無之別，是以天下亂。是故子墨子曰：「今天下之王公大人士君子，實將欲求興天下之利，除天下之害，故當鬼神之有與無之別，以為將不可以不2明察此者也。既以鬼神有無之別，以為不可不察已。」,"Those who deny the existence of spirits proclaim: ""Of course there are no spirits."" And from morning till evening they teach this doctrine to the people of the empire. They bewilder the people, causing them all to doubt the existence of ghosts and spirits. In this way the empire becomes disorderly. Therefore Mozi said: If the rulers and the gentlemen of the world really desire to procure benefits for the empire and remove its calamities they must understand whether ghosts and spirits exist or not.1. 之 : Deleted.  孫詒讓《墨子閒詁》2. 不 : Inserted.  孫詒讓《墨子閒詁》"
然則吾為明察此，其說將柰何而可？子墨子曰：「是與天下之所以察知有與無之道者，必以眾之耳目之實知有與亡為儀者也，請惑聞之見之，則必以為有，莫聞莫見，則必以為無1。若是，何不嘗入一鄉一里而問之，自古以及今，生民以來者，亦有嘗見鬼神之物，聞鬼神之聲，則鬼神何謂無乎？若莫聞莫見，則鬼神可謂有乎？」,"Since we must understand whether ghosts and spirits exist or not, how can we find out? Mozi said: The way to find out whether anything exists or not is to depend on the testimony of the ears and eyes of the multitude. If some have heard it or some have seen it then we have to say it exists. If no one has heard it and no one has seen it then we have to say it does not exist. So, then, why not go to some village or some district and inquire? If from antiquity to the present, and since the beginning of man, there are men who have seen the bodies of ghosts and spirits and heard their voice, how can we say that they do not exist? If none have heard them and none have seen them, then how can we say they do?1. ，莫聞莫見，則必以為無 : Inserted.  孫詒讓《墨子閒詁》"
今執無鬼者言曰：「夫天下之為聞見鬼神之物者，不可勝計也，亦孰為聞見鬼神有無之物哉？」子墨子言1曰：「若以眾之所同見，與眾之所同聞，則若昔者杜伯是也。周宣王殺其臣杜伯而不辜，杜伯曰：『吾君殺我而不辜，若以死者為無知則止矣；若死而有知，不出三年，必使吾君知之。』其三年，周宣王合諸侯而田於圃，田車數百乘，從數千，人滿野。日中，杜伯乘白馬素車，朱衣冠，執朱弓，挾朱矢，追周宣王，射之車上，中心折脊，殪車中，伏弢而死。當是之時，周人從者莫不見，遠者莫不聞，著在周之《春秋》。為君者以教其臣，為父者以䜘其子，曰：『戒之慎之！凡殺不辜者，其得不祥，鬼神之誅，若此之憯遫也2！以若書之說觀之，則鬼神之有，豈可疑哉？,"But those who deny the existence of the spirits say: ""Many in the world have heard and seen something of ghosts and spirits. (Since they vary in their testimony,) who are to be accepted as really having heard and seen them?"" Mozi said: As we are to rely on what many have jointly seen and what many have jointly heard, the case of Du Bo is (to be accepted). King Xuan of Zhou put his minister Du Bo to death though he was innocent. Du Bo remarked: ""The king puts me to death while I am innocent. If man loses his consciousness after his death, then all is over. If I shall still retain my consciousness after death I shall let the king know of this within three years."" In three years, King Xuan assembled the feudal lords at Putian. There were several hundred carts. Attendants numbered by the thousand and the multitude covered the fields. At noon Du Bo in red garments and headgear appeared riding in a plain chariot drawn by a white horse, holding a red bow and carrying red arrows. He pursued King Xuan and shot him on his chariot. The arrow pierced his heart and broke his back. He fell and died prostrate. At the time all the people of Zhou who were there saw it and those far away heard of it, and it was recorded in the Spring and Autumn of Zhou. Rulers instructed their ministers with it and fathers warned their sons with it, saying: ""Be careful, be respectful. All who kill the innocent are speedily and severely visited by misfortune and punished by the ghosts and spirits like this."" Judging from what is recorded here, how can we doubt that ghosts and spirits exist?1. 言 : Inserted. 2. 也 : Inserted."
非惟若書之說為然也1，昔者鄭穆公，當晝日中處乎廟，有神入門而左，鳥身，素服三絕，面狀正方。鄭穆公見之，乃恐懼奔，神曰：『無懼！2帝享女明德，使予錫女壽十年有九，使若國家蕃昌，子孫茂，毋失。鄭穆公再拜稽首曰：『敢問神名3？』曰：『予為句芒。』若以鄭穆公之所身見為儀，則鬼神之有，豈可疑哉？,"Not only does the record in this book prove it to be so. Formerly, Lord Mu of Qin (about 640 B.C.) was once in the temple at noon. A spirit entered and alighted. He had the face of a man but the body of a bird. His attire was plain and dark. His appearance was dignified. Seeing him Lord Mu became afraid and was rushing away. The spirit said: ""Do not be afraid. God cherishes your intelligent virtue, authorizing me to prolong your age by nineteen years, and ordaining your state to be prosperous and your descendants to be many and not to lose Qin."" Lord Mu saluted him repeatedly and bowed, saying: ""May I ask the name of my god?"" He answered: ""I am Gou Mang."" If we are to accept what Lord Mu of Qin had seen personally as reliable, then how can we doubt that spirits and ghosts exist?1. 也 : Inserted. 2. 神曰：『無懼！ : Inserted.  孫詒讓《墨子閒詁》3. 名 : Inserted.  孫詒讓《墨子閒詁》"
非惟若書之說為然也，昔者，燕簡公殺其臣莊子儀而不辜，莊子儀曰：『吾君王殺我而不辜，死人毋知亦已，死人有知，不出三年，必使吾君知之』。期年，燕將馳祖，燕之有祖，當齊之社稷，宋之有桑林，楚之有雲夢也，此男女之所屬而觀也。日中，燕簡公方將馳於祖塗，莊子儀荷朱杖而擊之，殪之車上。當是時，燕人從者莫不見，遠者莫不聞，著在燕之春秋。諸侯傳而語之曰『凡殺不辜者，其得不祥，鬼神之誅，若此其憯遫也！』以若書之說觀之，則鬼神之有，豈可疑哉？,"Not only does the record in this book prove it to be so. Formerly Lord Jian of Yan (about 500 B.C.) put his Minister Zhuang Zeyi to death while he was innocent. Zhuang Zeyi remarked: ""The lord puts me to death though I am innocent. If man loses his consciousness after death then all is done. If I shall still retain my consciousness after death, I shall let the Lord know of this within three years."" In a year, Yan was going to repair to Zu. Such ceremonies were the occasions of large assemblages of men and women. At noon Lord Jian was riding on the road to Tsu. Zhuang Zeyi carried a red staff and struck and prostrated him. At the time all the people of Yen who were there saw it and all those who were far away heard of it. And it was recorded in the Spring and Autumn of Yan. The feudal lords circulated the news around, and remarked: ""So speedy and severe are the misfortunes and punishment from the spirits and ghosts upon him that kills the innocent."" Judging from the record in this book, how can we doubt that spirits and ghosts exist?"
非惟若書之說為然也，昔者，宋文君鮑之時，有臣曰𥙐觀辜，固嘗從事於厲，祩子杖揖出與言曰：『觀辜是何珪璧之不滿度量？酒醴粢盛之不淨潔也？犧牲之不全肥？春秋冬夏「選」失時？豈女為之與？意鮑為之與？』觀辜曰：『鮑幼弱在荷繈之中，鮑何與識焉。官臣觀辜特為之』。祩子舉揖而槁之，殪之壇上。當是時1，宋人從者莫不見，遠者莫不聞，著在宋之春秋。諸侯傳而語之曰：『諸不敬慎祭祀者，鬼神之誅，至若此其憯遫也2！』以若書之說觀之，鬼神之有，豈可疑哉？,"Not only does the record in this book prove it to be so. Anciently, in the reign of Lord Wen of Song, whose name was Bao (610-589 B.C.), there was a master of ceremonies by the name of Guan Gu. While he was working in the temple, a wizard carrying a cane appeared and said to him: ""Guan Gu, why don't the jades and stones measure up to the standard, and why are the cakes and wine unclean, and the victims imperfect and not fat, and the sacrifices not in season? Did you do this or did Bao do this?"" Guan Gu answered: ""Bao is still small and in his swaddle-clothes. What does he have to do with this? It is all done by the official in charge, Guan Gu."" Thereupon the wizard lifted his cane and struck him, prostrating him on the altar. At the time those people who were present all saw it and those far away heard of it. And it was recorded in the Spring and Autumn of Song. The feudal lords circulated the news and remarked: ""So speedy and severe is the punishment from spirits and ghosts to him who is not reverent in performing sacrifices!"" Judging from the record of this book, how can we doubt that spirits and ghosts exist?1. 時 : Inserted. 2. 也 : Inserted."
非惟若書之說為然也。昔者，齊莊君之臣1有所謂王里國、中里徼者，此二子者，訟三年而獄不斷。齊君由謙殺之恐不辜，猶謙釋之。恐失有罪，乃使之人共一羊，盟齊之神社，二子許諾。於是泏洫𢵣羊而漉其血，讀王里國之辭既已終矣，讀中里徼之辭未半也，羊起而觸之，折其腳，祧神之而槁之，殪之盟所。當是時，齊人從者莫不見，遠者莫不聞，著在齊之春秋。諸侯傳而語之曰：『請品先不以其請者，鬼神之誅，至若此其憯遫也。』以若書之說觀之，鬼神之有，豈可疑哉？」,"Not only does the record in this book prove it to be so. Formerly the Lord Zhuang of Qi (794-731 B.C.) had two ministers, Wang Liguo and Zhong Lijiao, who were engaged in a lawsuit. For three years no judgment could be reached. The Lord of Qi thought of putting both of them to death, but was afraid to slay the innocent; he thought of acquitting both of them but was afraid to let loose the guilty. So he let them provide a lamb and take oath on the altar of Qi. The two men agreed to take the oath of blood. The throat of the lamb was cut and its blood sprinkled on the altar. The case of Wang Liguo was read all through. But before half of the case of Zhong Lijiao was read, the lamb arose and butted at him, broke his leg and prostrated him on it. At the time those people who were present all saw it and those far away heard of it. It was recorded in the Spring and Autumn of Qi. The feudal lords circulated the news around and remarked: ""So speedy and severe is the punishment from spirits and ghosts to him that takes an oath in insincerity!"" Judging from the record in this book, how can we doubt that spirits and ghosts exist?1. 臣 : Inserted.  孫詒讓《墨子閒詁》"
