chinese,english
卻說周瑜立於山頂，觀望良久，忽然望後而倒，口吐鮮血，不省人事。左右救回帳中。諸將皆來動問，盡皆愕然，相顧曰：「江北百萬之眾，虎踞鯨吞。不料都督如此，倘曹兵一至，，如之奈何？」慌忙差人申報吳侯，一面求醫調治。,"In the last chapter Zhou Yu was seized with sudden illness as he watched the fleets of his enemy. He was borne to his tent, and his officers came in multitudes to inquire after him.They looked at each other, saying, ""What a pity our general should be taken ill, when Cao Cao's legions threaten so terribly! What would happen if Cao Cao attacked?""Messengers with the evil tidings were sent to Sun Quan, while the physicians did their best for the invalid."
卻說魯肅見周瑜臥病，心中憂悶，來見孔明，言周瑜猝病之事。孔明曰：「公以為何如！」肅曰：「此乃曹操之福，江東之禍也。」孔明笑曰：「公瑾之病，亮亦能醫。」肅曰：「誠如此，則國家幸甚！」即請孔明同去看病。肅先入見周瑜。瑜以被蒙頭而臥。肅曰：「都督病勢若何？」周瑜曰：「心腹攪痛，時復昏迷。」肅曰：「曾服何藥餌？」瑜曰：「心中嘔逆，藥不能下。」肅曰：「適來去望孔明，言能醫都督之病。現在帳外，煩來醫治，何如？」,"Lu Su was particularly sad at the illness of his patron and went to see Zhuge Liang to talk it over.""What do you make of it?"" said Zhuge Liang.""Good luck for Cao Cao; bad for us,"" said Lu Su.""I could cure him,"" said Zhuge Liang laughing.""If you could, Wu would be very fortunate,"" said Lu Su.Lu Su prayed Zhuge Liang to go to see the sick man. They went, and Lu Su entered first. Zhou Yu lay in bed, his head covered by a quilt.""How are you, General?"" said Lu Su.""My heart pains me. Every now and again I feel faint and dizzy.""""Have you taken any remedies?""""My gorge rises at the thought. I could not.""""I saw Zhuge Liang just now, and he says he could heal you. He is just outside, and I will call him if you like."""
瑜命請入，教左右扶起，坐於床上。孔明曰：「連不晤君顏，何期貴體不安！」瑜曰：「『人有旦夕禍福』，豈能自保？」孔明笑曰：「『天有不測風雲』，人又豈能料乎？」瑜聞失色，乃作呻吟之聲。孔明曰：「都督心中似覺煩積否？」瑜曰：「然。」孔明曰：「必須用涼藥以解之。」瑜曰：「已服涼藥，全然無效。」孔明曰：「須先理其氣；氣若順，則呼吸之間，自然痊可。」,"""Ask him to come in.""Zhou Yu bade his servants help him to a sitting position, and Zhuge Liang entered.""I have not seen you for days,"" said Zhuge Liang. ""How could I guess that you were unwell?""""How can anyone feel secure? We are constantly the playthings of luck, good or bad.""""Yes. Heaven's winds and clouds are not to be measured. No one can reckon their comings and goings, can they?""Zhou Yu turned pale and a low groan escaped him, while his visitor went on, ""You feel depressed, do you not? As though troubles were piling up in your heart?""""That is exactly how I feel,"" said Zhou Yu.""You need cooling medicine to dissipate this sense of oppression.""""I have taken a cooling draught, but it has done no good.""""You must get the humors into good order before the drugs will have any effect."""
瑜料孔明必知其意，乃以言挑之曰：「欲得順氣，當服何藥？」孔明笑曰：「亮有一方，便教都督氣順。」瑜曰：「願先生賜教。」孔明索紙筆，屏退左右，密書十六字曰：「欲破曹公，宜用火攻；萬事俱備，只欠東風。」寫畢，遞與周瑜曰：「此都督病源也。」,"Zhou Yu began to think Zhuge Liang knew what was really the matter and resolved to test him.""What should be taken to produce a favorable temper?"" said Zhou Yu.""I know one means of producing a favorable temper,"" replied Zhuge Liang.""I wish you would tell me.""Zhuge Liang got out writing materials, sent away the servants, and then wrote a few words:""To defeat Cao CaoYou have to use fire;All are in your wish,But wind from the east.""This he gave to the sick general, saying, ""That is the origin of your illness."
瑜見了大驚，暗思：「孔明真神人也！早已知我心事！只索以實情告之。」乃笑曰：「先生已知我病源，將用何藥治之？事在危急，望即賜教。」孔明曰：「亮雖不才，曾遇異人，傳授奇門遁甲天書，可以呼風喚雨。都督若要東南風時，可於南屏山建一臺，名曰『七星壇』。高九尺，作三層，用一百二十人，手執旗旛圍遶。亮於臺上作法，借三日三夜東南大風，助都督用兵，何如？」瑜曰：「休道三日三夜，只一夜大風，大事可成矣。只是事在目前，不可遲緩。」孔明曰：「十一月二十日甲子祭風，至二十二日丙寅風息，如何？」,"Zhou Yu read the words with great surprise, and it confirmed his secret opinion that Zhuge Liang really was rather more than human. He decided that the only course was to be open and tell him all.So he said, ""Since you know the cause of the disease, what do you recommend as treatment? The need of a remedy is very urgent.""""I have no great talent,"" said Zhuge Liang, ""but I have had to do with humans of no ordinary gifts from whom I have received certain magical books called 'Concealing Method'. I can call the winds and summon the rains. Since you need a southeast breeze, General, you must build an altar on the Southern Hills, the Altar of the Seven Stars. It must be nine spans high, with three steps, surrounded by a guard of one hundred and twenty humans bearing flags. On this altar I will work a spell to procure a strong southeast gale for three days and three nights. Do you approve?""""Never mind three whole days,"" said Zhou Yu. ""One day of strong wind will serve my purpose. But it must be done at once and without delay.""""I will sacrifice for a wind for three days from the twentieth day of the moon. Will that suit you?"""
瑜聞言大喜，矍然而起。便傳令差五百精壯軍士，往南屏山築壇；撥一百二十人，執旗守壇，聽候使令。,"Zhou Yu was delighted and hastily rose from his couch to give the necessary orders. He commanded that five hundred men should be sent to the mountains to build the altar, and he told off the guard of one hundred and twenty to bear the flags and be at the orders of Zhuge Liang."
孔明辭別出帳，與魯肅上馬，來南屏山相度地勢，令軍士取東南方赤土築壇。方圓二十四丈，每一層高三尺，共是九尺。下一層插二十八宿旗：東方七面青旗，按角，亢，氐，房，心，尾，箕，布蒼龍之形；北方七面皂旗，按斗，牛，女，虛，危，室，壁，作玄武之勢：西方七面白旗，按奎，婁，冑，昴，畢，觜，參，踞白虎之威；南方七面紅旗，按井，鬼，柳，星，張，翼，軫，成朱雀之狀。第二層周圍黃旗六十四面，按六十四卦，分八位而立。上一層用四人，各人戴束髮冠，穿皂羅袍，鳳衣博帶，朱履方裾，前左立一人，手執長竿，竿尖上用雞羽為葆，以招風信；前右立一人，手執長竿，竿上繫七星號帶，以表風色；後左立一人，捧寶劍；後右立一人，捧香爐。壇下二十四人，各持旌旗，寶蓋，大戟，長戈，黃旄，白銊，朱旛，皂縣，環遶四面。,"Zhuge Liang took his leave, went forth, and rode off with Lu Su to the mountains where they measured out the ground. He bade the soldiers build the altar of red earth from the southeast quarter. It was two hundred and forty spans in circuit, square in shape, and of three tiers, each of three spans, in all nine spans high.On the lowest tier he placed the flags of the twenty-eight ""houses"" of the heavens and four constellations: On the east seven, with blue flags; on the north seven, with black flags; on the west seven, with white flags; and on the south seven, with red flags.Around the second tier he placed sixty-four yellow flags, corresponding to the number of the diagrams of the Book of Divination, in eight groups of eight.Four men were stationed on the highest platform, each wearing a Daoist headdress and a black silk robe embroidered with the phoenix and confined with wide sashes. They wore scarlet boots and square-cut skirts. On the left front stood a man supporting a tall pole bearing at its top a plume of light feathers to show by their least movement the wind's first breathing. On the right front was a man holding a tall pole whereon was a flag with the symbol of the seven stars to show the direction and force of the wind. On the left rear stood a man with a sword, and on the right rear a man with a censer.Below the altar were forty-four men holding flags, umbrellas, spears, lances, yellow banners, white axes, red banderoles, and black ensigns. And these were spaced about the altar."
孔明於十一月二十日甲子吉辰，沐浴齋戒，身披道衣，跣足散髮，來到壇前，分付魯肅曰：「子敬自往軍中相助公瑾調兵。倘亮所祈無應，不可有怪。」魯肅別去。孔明囑付守壇將士：「不許擅離方。不許交頭接耳。不許失口亂言。不許失驚打怪。如違令者斬。」眾皆領命。孔明緩步登壇，觀瞻方位已定，焚香於爐，注水於盂，仰天暗祝。下壇入帳中少歇，令軍士更替吃飯。孔明一日上壇三次，下壇三次，──卻不見有東南風。,"On the appointed day Zhuge Liang, having chosen a propitious moment, bathed his body and purified himself. Then he robed himself as a Daoist, loosened his locks, and approached the altar.He bade Lu Su retire, saying, ""Return to the camp and assist the General in setting out his forces. Should my prayers avail not, do not wonder.""So Lu Su left him. Then Zhuge Liang commanded the guards on no account to absent themselves, to maintain strict silence, and to be reverent. Death would be the penalty of disobedience.Next, with solemn steps he ascended the altar, faced the proper quarter, lighted the incense, and sprinkled the water in the basins. This done he gazed into the heavens and prayed silently. The prayer ended he descended and returned to his tent. After a brief rest he allowed the soldiers by turns to go away to eat.Thrice that day he ascended the altar and thrice descended, but there was no sign of the wind."
且說周瑜請程普，魯肅一班軍官，在帳中伺侯，只等東南風起，便調兵出；一面關報孫權接應。黃蓋已自準備火船二十隻，船頭密布大釘；船內裝載蘆葦乾柴，灌以魚油，上鋪硫黃燄硝引火之物，各用青布油單遮蓋；船頭上插青龍牙旗，船尾各繫走舸。在帳下聽侯，只等周瑜號令。甘寧，闞澤窩盤蔡和，蔡中，在外寨中，每日飲酒，不放一卒登岸。周圍盡是東吳軍馬，把得水洩不通。只等帳上號令下來。,"During that time, Zhou Yu, with Cheng Pu and Lu Su and other military officials on duty, sat waiting in the tent till the wished-for wind should blow and the attack could be launched. Messengers were also sent to Sun Quan to prepare to support the forward movement.Huang Gai had his fire ships ready, twenty of them. The fore parts of the ships were thickly studded with large nails, and they were loaded with dry reeds, wood soaked in fish oil, and covered with sulfur, saltpeter, and other inflammables. The ships were covered in with black oiled cloth. In the prow of each was a black dragon flag with indentations. A fighting ship was attached to the stern of each to propel it forward. All were ready and awaited orders to move.Meanwhile Cao Cao's two spies, Cai He and Cai Zhong, were being guarded carefully in an outer camp far from the river bank and daily entertained with feasting. They were not allowed to know of the preparations. The watch was so close that not a trickle of information reached the prisoners."
周瑜正在帳中坐議，探子來報：「吳侯船隻離寨八十五里停泊，只等都督好音。」瑜即差魯肅遍告各部下官兵將士：「俱各收拾船隻軍器帆櫓等物。號令一出，時刻休違。倘有違誤，即按軍法。」眾兵將得令，一個個磨拳擦掌，準備廝殺。,"Presently, while Zhou Yu was anxiously awaiting in his tent for the desired wind, a messenger came to say that Sun Quan had anchored at a place thirty miles from the camp, where he awaited news from the Commander-in-Chief.Lu Su was sent to warn all the various commanders to be ready, the ships and their weapons, sails and oars, all for instant use, and to impress upon them the penalties of being caught unprepared. The soldiers were indeed ready for the fight and yearning for the fray."
