chinese,english
卻說張飛因關公放了上流水，遂引軍從下流殺將來，截住曹仁混殺。忽遇許褚，便與交鋒。許褚不敢戀戰，奪路走脫。張飛趕來，接著玄德、孔明，一同沿河到上流。劉封、糜芳，已安排船隻等候，遂一齊渡河，盡望樊城而去。孔明教將船筏放火燒毀。,"The last chapter closed with the attack made by Zhang Fei as soon as his brother had let loose the waters on the doomed army. He met with Xu Chu and a combat began, but a fight with such a warrior was not to Xu Chu's taste and he ran away. Zhang Fei followed till he came upon Liu Bei and Zhuge Liang, and the three went upstream till they came to the boats that had been prepared by Liu Feng and Mi Fang, when they all crossed over and marched toward Fancheng. As soon as they disembarked, Zhuge Liang ordered the boats and rafts to be burned."
卻說曹仁收拾殘軍，就新野屯住，使曹洪去見曹操，具言失利之事。操大怒曰：「諸葛村夫，安敢如此！」催動三軍，漫山塞野，盡至新野下寨；傳令軍士一面搜山，一面填塞白河；令大軍分作八路，一齊去取樊城。劉曄曰：「丞相初至襄陽，必須先買民心。今劉備盡遷新野百姓入樊城，若我兵逕進，二縣為虀粉矣；不如先使人招降劉備。備即不降，亦可見我愛民之心；若其來降，則荊州之地，可不戰而定也。」,"Cao Ren gathered in the remnants of his army and camped at Xinye, while his colleague Cao Hong went to tell their lord the evil tidings of defeat.""How dare he, this rustic Zhuge Liang!"" exclaimed Cao Cao angrily.Cao Cao then hastily sent an overwhelming army to camp near the place and gave orders for enormous works against the city, leveling hills and turning rivers to launch a violent assault on Fancheng from every side at once.Then Liu Ye came in to see his lord and said, ""Sir, you are new to this region, and you should win over the people's hearts. Liu Bei has moved all the people from Xinye to Fancheng. If we march through the country, the people will be ground to powder. It would be well to call upon Liu Bei first to surrender, which will prove to the people that you have a care for them. If he yields, then we get Jingzhou without fighting."""
操從其言，便問：「誰可為使？」劉曄曰：「徐庶與劉備至厚，今現在軍中，何不命他一往？」操曰：「他去恐不復來。」曄曰：「他若不來，貽笑於人矣。丞相勿疑。」操乃召徐庶至，謂曰：「我今欲踏平樊城，奈憐眾百姓之命。公可往說劉備：如肯來降，免罪賜爵；若更執迷，軍民共戮，玉石俱焚。吾知公忠義，故特使公往，願勿相負。」,"Cao Cao agreed and asked who would be a suitable messenger. Liu Ye suggested Xu Shu.""He is a close friend of Liu Bei, and he is here with the army,"" said Liu Ye.""But he will not come back,"" objected Cao Cao.""If he does not return, he will be a laughing stock to the whole world. He will come back.""Xu Shu was sent for, and Cao Cao said, ""My first intention was to level Fancheng with the ground. But out of pity for its people, you may carry an offer to Liu Bei that if he will surrender, he will not only not be punished but he shall be given rank. But if he holds on his present misguided course, the whole of his followers shall be destroyed. Now you are an honest man and so I confide this mission to you, and I trust you will not disappoint me."""
徐庶受命而行，至樊城。玄德、孔明接見，共訴舊日之情。庶曰：「曹操使庶來招降使君，乃假買民心也。今彼分兵八路，填白河而進，樊城恐不可守，宜速作行計。」玄德欲留徐庶。庶謝曰：「某若不還，恐惹人笑。今老母已喪，抱恨終天。身雖在彼，誓不為設一謀。公有臥龍輔佐，何愁大業不成？庶請辭。」,"Xu Shu said nothing but accepted his orders and went to the city, where he was received by both Liu Bei and Zhuge Liang. They enjoyed a talk over old times before Xu Shu mentioned the object of his mission.Then he said, ""Cao Cao has sent me to invite you to surrender, thereby making a bid for popularity. But you ought also to know that he intends to attack the city from every point, that he is damming up the White River's waters to be sent against you, and I fear you will not be able to hold the city. You ought to prepare.""Liu Bei asked Xu Shu to remain with them, but Xu Shu said, ""That is impossible, for all the world would ridicule me if I stayed. My old mother is dead, and I never forget my resentment. My body may be over there, but I swear never to form a plan for Cao Cao. You have the Sleeping Dragon to help you and need have no anxiety about the ultimate achievement of your undertaking. But I must go.""And Xu Shu took his leave."
玄德不敢強留。徐庶辭回，見了曹操，言玄德並無降意。操大怒，即日進兵。玄德問計於孔明，孔明曰：「可速棄樊城，取襄陽暫歇。」玄德曰：「奈百姓相隨許久，安忍棄之？」孔明曰：「可令人遍告百姓：有願隨者同去，不願者留下。」先使雲長往江岸整頓船隻，令孫乾、簡雍，在城中聲揚曰：「令曹兵將至，孤城不可久守，百姓願隨者便同過江。」,"Liu Bei felt he could not press his friend to stay. Xu Shu returned to Cao Cao's camp and reported that Liu Bei had no intention of surrender. This angered Cao Cao who gave orders to begin the advance and siege.When Liu Bei asked what Zhuge Liang meant to do, Zhuge Liang replied, ""We shall abandon Fancheng and take Xiangyang.""""But what of the people who have followed us? They cannot be abandoned.""""You can tell them to do as they wish. They may come if they like, or remain here.""They sent Guan Yu to prepare boats and told Sun Qian to proclaim to the people that Cao Cao was coming, that the city could not be defended, and those who wished to do so might cross the river with the army."
兩縣之民，齊聲大呼曰：「我等雖死，亦願隨使君！」即日號泣而行。扶老攜幼，將男帶女，滾滾渡河，兩岸哭聲不絕。玄德於船上望見，大慟曰：「為吾一人而使百姓遭此大難，吾何生哉！」欲投江而死，左右急救止，聞者莫不痛哭。船到南岸，回顧百姓，有未渡者，望南而哭。玄德急令雲長催船渡之，方纔上馬。行至襄陽東門，只見城上遍插旌旗，壕邊密布鹿角。玄德勒馬大叫曰：「劉琮賢姪，吾但欲救百姓，並無他念，可快開門。」,"All the people cried, ""We will follow the Prince even if it be to death!""They started at once, some lamenting, some weeping, the young helping the aged, parents leading their children, the strong soldiers carrying the women. As the crowds crossed the river, from both banks arose the sound of lamentation.Liu Bei was much affected as he saw all this from the boat.""Why was I ever born,"" said he, ""to be the cause of all this misery to the people?""He made to leap into the river, but they held him back. All were deeply sympathetic. When the boat reached the southern shore, he looked back at the weeping crowds waiting still on the other bank and was again moved to tears. He bade Guan Yu hasten the boats before he mounted and rode on.When Xiangyang came in sight, they saw many flags flying on the walls and that the moat was protected by barbed barriers.Liu Bei checked his horse and called out, ""Liu Zong, good nephew! I only wish to save the people and nothing more. I pray you quickly open the gates."""
劉琮聞玄德至，懼而不出。蔡瑁、張允，逕來敵樓上，叱軍士亂箭射下。城外百姓，皆望敵樓而哭。城中忽有一將，引數百人逕上城樓，大喝：「蔡瑁、張允，賣國之賊！劉使君乃仁德之人，今為救民而來投，何得相拒！」眾觀其人，身長八尺，面如重棗；乃義陽人也，姓魏，名延，字文長。,"But Liu Zong was too frightened to appear. Cai Mao and Zhang Yun went up to one of the fighting towers and ordered the soldiers to shoot arrows down on those without the walls. The people gazed up at the towers and wept aloud.Suddenly there appeared a general, with a small following, who cried out, ""Cai Mao and Zhang Yun are two traitors. The princely Liu Bei is a most upright man and has come here to preserve his people. Why do you repulse him?""All looked at this man. He was of eight-span height, with a face dark brown as a ripe date. He was from Yiyang and named Wei Yan."
當下魏延輪刀砍死守門將士，開了城門，放下弔橋，大叫：「劉皇叔快領兵入城，共殺賣國之賊！」張飛便躍馬欲入。玄德急止之曰：「休驚百姓！」魏延只管招呼玄德軍馬入城。只見城內一將飛馬引軍而出，大喝：「魏延無名小卒，安敢造亂！認得我大將文聘麼！」魏延大怒，挺槍躍馬，便來交戰。,"At that moment he looked very terrible, whirling his sword as if about to slice up the gate guards. They lost no time in throwing open the gate and dropping the bridge.""Come in, Uncle Liu Bei,"" cried Wei Yan, ""and bring your army to slay these traitors!""Zhang Fei plunged forward to take Cai Mao and Zhang Yun, but he was checked by his brother, who said, ""Do not frighten the people!""Thus Wei Yan let in Liu Bei. As soon as he entered, he saw a general galloping up with a few men.The newcomer yelled, ""Wei Yan, you nobody! How dare you create trouble? Do you not know me, General Wen Ping?""Wei Yan turned angrily, set his spear, and galloped forward to attack the general."
兩下軍兵在城邊混殺，喊聲大震。玄德曰：「本欲保民，反害民也！吾不願入襄陽！」孔明曰：「江陵乃荊州要地，不如先取江陵為家。」玄德曰：「正合吾心。」於是引著百姓，盡離襄陽大路，望江陵而走。襄陽城中百姓，多有乘亂逃出城來，跟玄德而去。魏延與文聘交戰，從已至未，手下兵卒，皆已折盡。延乃撥馬而逃，卻尋不見玄德，自投長沙太守韓玄去了。,"The soldiers joined in the fray and the noise of battle rose to the skies.""I wanted to preserve the people, and I am only causing them injury,"" cried Liu Bei distressed. ""I do not wish to enter the city.""""Jiangling is an important point. We will first take that as a place to dwell in,"" said Zhuge Liang.""That pleases me greatly,"" said Liu Bei.So they led the people thither and away from Xiangyang. Many of the inhabitants of that city took advantage of the confusion to escape, and they also joined themselves to Liu Bei.Meanwhile, within the inhospitable city, Wei Yan and Wen Ping fought. The battle continued for four or five watches, all through the middle of the day, and nearly all the combatants fell. Then Wei Yan got away. As he could not find Liu Bei, he rode off to Changsha and sought an asylum with Governor Han Xuan."
卻說玄德同行軍民十餘萬，大小車數千輛，挑擔背包者不計其數。路過劉表之墓，玄德率眾將拜於墓前，哭告曰：「辱弟備無德無才，負兄寄託之重，罪在備一身，與百姓無干。望兄英靈，垂救荊襄之民！」言甚悲切，軍民無不下淚。,"Liu Bei wandered away from the city of Xiangyang that had refused shelter. Soldiers and people, his following numbered more than a hundred thousand. The carts numbered scores of thousands, and the burden bearers were innumerable. Their road led them past the tomb of Liu Biao, and Liu Bei turned aside to bow at the grave.He lamented, saying, ""Shameful is thy brother, lacking both in virtue and in talents. I refused to bear the burden you wished to lay upon me, wherein I was wrong. But the people committed no sin. I pray your glorious spirit descend and rescue these people.""His prayer was fraught with sorrow, and all those about him wept."
忽哨馬報說：「曹操大軍已屯樊城，使人收拾船筏，即日渡江趕來也。」眾將皆曰：「江陵要地，足可拒守。今擁民眾數萬，日行十餘里，似此幾時得至江陵？倘曹兵到，如何迎敵？不如暫棄百姓，先行為上。」玄德泣曰：「舉大事者必以人為本。今人歸我，奈何棄之？」百姓聞玄德此言，莫不傷感。後人有詩讚之曰：,"Just then a scout rode up with the news that Fancheng was already taken by Cao Cao and that his army were preparing boats and rafts to cross the river.The generals of Liu Bei said, ""Jiangling is a defensible shelter, but with this crowd we can only advance very slowly, and when can we reach the city? If Cao Cao pursue, we shall be in a parlous state. Our counsel is to leave the people to their fate for a time and press on to Jiangling.""But Liu Bei wept, saying, ""The success of every great enterprise depends upon humanity. How can I abandon these people who have joined me?""Those who heard him repeat this noble sentiment were greatly affected."
臨難仁心存百姓，登舟揮淚動三軍。至今憑弔襄江口，父老猶然憶使君。,"In time of stress his heart was tender toward the people,And he wept as he went down into the ship,Moving the hearts of soldiers to sympathy.Even today, in the countryside,Fathers and elders recall the Princely One's kindness."
卻說玄德擁著百姓，緩緩而行。孔明曰：「追兵不久即至，可遺雲長往江夏求救公子劉琦，教他速起兵乘船會於江陵。」玄德從之，即修書令雲長同孫乾領五百軍往江夏求救；令張飛斷後；趙雲保護老小；其餘俱管顧百姓而行。每日只走十餘里便歇。,"The progress of Liu Bei, with the crowd of people in his train, was very slow.""The pursuers will be upon us quickly,"" said Zhuge Liang. ""Let us send Guan Yu to Jiangxia for succor. Liu Qi should be told to bring soldiers and prepare boats for us at Jiangling.""Liu Bei agreed to this and wrote a letter which he sent by the hands of Guan Yu and Sun Qian and five hundred troops. Zhang Fei was put in command of the rear guard. Zhao Zilong was told to guard Liu Bei's family, while the others ordered the march of the people.They only traveled three or four miles daily and the halts were frequent."
卻說曹操在樊城，使人渡江至襄陽，召劉琮相見。琮懼怕不敢往見，蔡瑁、張允請行。王威密告琮曰：「將軍既降，玄德又走，曹操必懈弛無備。願將軍奮整奇兵，設於險處擊之，操可獲矣。獲操則威震天下，中原雖廣，可傳檄而定。此難遇之機，不可失也。」,"Meanwhile Cao Cao was at Fancheng, whence he sent troops over the river toward Xiangyang. He summoned Liu Zong, but Liu Zong was too afraid to answer the call. No persuasion could get him to go.Wang Wei said to him privately, ""Now you can overcome Cao Cao if you are wise. Since you have announced surrender and Liu Bei has gone away, Cao Cao will relax his precautions, and you can catch him unawares. Send a well-prepared but unexpected force to waylay him in some commanding position, and the thing is done. If you were to take Cao Cao prisoner, your fame would run throughout the empire, and the land would be yours for the taking. This is a sort of opportunity that does not recur, and you should not miss it."""
琮以其言告蔡瑁。瑁叱王威曰：「汝不知天命，安敢妄言！」威怒罵曰：「賣國之徒，吾恨不生啖汝肉！」瑁欲殺之，蒯越勸止。瑁遂與張允同至樊城，拜見曹操。瑁等辭色甚是諂佞。操問：「荊州軍馬錢糧，今有多少？」瑁曰：「馬軍五萬，步軍十五萬，水軍八萬：共二十八萬。錢糧大半在江陵。其餘各處，亦足供給一載。」操曰：「戰船多少？原是何人管領？」瑁曰：「大小戰船，共七千餘隻，原是瑁等二人掌管。」,"The young man consulted Cai Mao, who called Wang Wei an evil counselor and spoke to him harshly.""You are mad! You know nothing and understand nothing of destiny,"" said Cai Mao.Wang Wei angrily retorted, saying, ""Cai Mao is the betrayer of the country, and I wish I could eat him alive!""The quarrel waxed deadly, and Cai Mao wanted to slay Wang Wei. But eventually peace was restored by Kuai Yue.Then Cai Mao and Zhang Yun went to Fancheng to see Cao Cao.Cai Mao was by instinct specious and flattering, and when his host asked concerning the resources of Jingzhou, he replied, ""There are fifty thousand of horse, one hundred fifty thousand of foot, and eighty thousand of marines. Most of the money and grain are at Jiangling. The rest is stored at various places. There are ample supplies for a year.""""How many war vessels are there? Who is in command?"" said Cao Cao.""The ships, of all sizes, number seven thousands, and we two are the commanders."""
操遂加瑁為鎮南侯水軍大都督、張允為助順侯水軍副都督。二人大喜拜謝。操又曰：「劉景升既死，其子降順，吾當表奏天子，使永為荊州之主。」二人大喜而退。荀攸曰：「蔡瑁、張允，乃諂佞之徒，主公何遂加以如此顯爵，更教都督水軍乎？」操笑曰：「吾豈不識人？止因吾所領北地之眾，不習水戰，故且權用此二人；待成事之後，別有理會。」,"Upon this Cao Cao conferred upon Cai Mao the title of the Lord Who Controls the South, and Supreme Admiral of the Naval Force; and Zhang Yun was his Vice-Admiral with the title of the Lord Who Brings Obedience.When they went to thank Cao Cao for these honors, he told them, saying, ""I am about to propose to the Throne that Liu Biao's son should be perpetual Imperial Protector of Jingzhou in succession to his late father.""With this promise for their young master and the honors for themselves, they retired.Then Xun You asked Cao Cao, ""Why these two evident self-seekers and flatterers have been treated so generously?""Cao Cao replied, ""Do I not know all about them? Only in the north, where we have been, we know very little of war by water, and these two men do. I want their help for the present. When my end is achieved, I can do as I like with them."""
卻說蔡瑁、張允歸見劉琮，具言曹操許保奏將軍永鎮荊襄。琮大喜；次日，與母蔡夫人齎捧印綬兵符，親自渡江拜迎曹操。操撫慰畢，即引隨征軍將，進屯襄陽城外。蔡瑁、張允令襄陽百姓，焚香拜接。曹操俱用好言撫諭；入城至府中坐定，即召蒯越近前，撫慰曰：「吾不喜得荊州，喜得異度也。」遂封蒯越為江陵太守樊城侯。傅巽、王粲等皆為關內侯；而以劉琮為青州刺史，便教起程。,"Liu Zong was highly delighted when his two chief supporters returned with the promise Cao Cao had given them. Soon after he gave up his seal and military commission and proceeded to welcome Cao Cao, who received him very graciously.Cao Cao next proceeded to camp near Xiangyang. The populace, led by Cai Mao and Zhang Yun, welcomed him with burning incense, and he on his part put forth proclamations couched in comforting terms.Cao Cao presently entered the city and took his seat in the residence in state. Then he summoned Kuai Yue and said to him graciously, ""I do not rejoice so much at gaining Jingzhou as at meeting you, friend Kuai Yue.""Cao Cao made Kuai Yue Governor of Jiangling and Lord of Fancheng; Wang Can, Fu Xuan, and Kuai Yue's other adherents were all ennobled. Liu Zong became Imperial Protector of Qingzhou in the north and was ordered to proceed to his region forthwith."
琮聞命大驚，辭曰：「琮不願為官，願守父母鄉土。」操曰：「青州近帝都，教你隨朝為官，免在荊襄被人圖害。」琮再三推辭，曹操不准。琮只得與母蔡夫人同赴青州。只有故將王威相隨，其餘官員俱送至江口而回。操喚于禁囑付曰：「你可引輕騎追劉琮母子殺之，以絕後患。」,"Liu Zong was greatly frightened and said, ""I have no wish to become an actual official. I wish to remain in the place where my father and mother live.""Said Cao Cao, ""Your protectorship is quite near the capital, and I have sent you there as a full official to remove you from the intrigues of this place.""In vain Liu Zong declined the honors thus thrust upon him: He was compelled to go and he departed, taking his mother with him. Of his friends, only Wang Wei accompanied him. Some of his late officers escorted him as far as the river and then took their leave.Then Cao Cao called his trusty officer Yu Jin and said, ""Follow Liu Zong and put him and his mother to death. Our worries are thus removed."""
