chinese,english
卻說徐庶趲程赴許昌，曹操知徐庶已到，遂命荀彧、程昱等一班謀士往迎之。庶入相府拜見曹操。操曰：「公乃高明之士，何故屈身而事劉備乎？」庶曰：「某幼逃難，流落江湖，偶至新野，遂與玄德交厚。老母在堂，幸蒙顧念，不勝愧感。」操曰：「公今至此，正可晨昏侍奉令堂，吾亦得聽清誨矣。」,"As has been said Xu Shu hastened to the capital. When Cao Cao knew Xu Shu had arrived, he sent two of his confidants, Xun Yu and Cheng Yu to receive the newcomer at the city gate, and so Xu Shu was led first to the Prime Minister's palace.""Why did such an illustrious scholar as you bow the knee to Liu Bei?"" said Cao Cao.""I am young, and I fled to avoid the results of certain escapades. I spent some time as a wanderer and so came to Xinye where I became good friends with him. But my mother is here, and when I thought of all her affection, I could no longer remain absent.""""Now you will be able to take care of your mother at all times. And I may have the privilege of receiving your instructions."""
庶拜謝而出。急往見其母，泣拜於堂下。母大驚曰：「汝何故至此？」庶曰：「近於新野事劉豫州，因得母書，故星夜至此。」徐母勃然大怒，拍案罵曰：「辱子飄蕩江湖數年，吾以為汝學業有進，何其反不如初也！汝既讀書，須知忠孝不能兩全。豈不識曹操欺君罔上之賊？劉玄德仁義布於四海，況又漢室之冑，汝既事之，得其主矣。今憑一紙偽書，更不詳察，遂棄明投暗，自取惡名，真愚夫也！吾有何面目與汝相見！汝玷辱祖宗，空生於天地間耳！」罵得徐庶拜伏於地，不敢仰視。母自轉入屏風後去了。,"Xu Shu then took his leave and hastened to his mother's dwelling. Weeping with emotion, he made his obeisance to her at the door of her room.But she was greatly surprised to see him and said, ""What have you come here for?""""I was at Xinye, in the service of Liu Bei of Yuzhou, when I received your letter. I came immediately.""His mother suddenly grew very angry.Striking the table she cried, ""You shameful and degenerate son! For years you have been a vagabond in spite of all my teaching. You are a student and know the books. You must then know that loyalty and filial piety are often opposed. Did you not recognize in Cao Cao a traitor, a man who flouts his king and insults the mighty ones? Did you not see that Liu Bei was virtuous and upright as all the world knows? Moreover, he is of the House of Han, and when you were with him you were serving a fitting master. Now on the strength of a scrap of forged writing, with no attempt at any inquiry, you have left the light and plunged into darkness and earned a disgraceful reputation. Truly you are stupid. How can I bear to look upon you? You have besmirched the fair fame of your forefathers and are of no use in the world!""The son remained bowed to the earth, not daring to lift his eyes while his mother delivered this vilifying tirade. As she said the last word, she rose suddenly and left the room."
少頃，家人出報曰：「老夫人縊於梁間。」徐庶慌入救時，母氣已絕。後人有徐母讚曰：,"Soon after one of the servants came out to say Lady Xun had hanged herself. Xu Shu rushed in to try to save her, but was too late. A eulogy of her conduct has been written thus:"
賢哉徐母！流芳千古！守節無虧，於家有補。教子多方，處身自苦。氣若丘山，義出肺腑。讚美豫州，毀觸魏武。不畏鼎鑊，不懼刀斧。惟恐後嗣，玷辱先祖。伏劍同流，斷機堪伍。生得其名，死得其所。賢哉徐母！流芳千古！,"Wise Mother Xun, fair is your fame,The storied page glows with your name,From duty's path you never strayed,The family's renown you made.To train your son no pains you spared,For your own body nothing cared.You stand sublime, from us apart,Through simple purity of heart.Brave Liu Bei's virtues you extolled,You blamed Cao Cao, the basely bold.Of blazing fire you felt no fear,You blenched not when the sword came near,But dreaded lest a willful sonShould dim the fame his fathers won.Yes, Mother Xun was of one moldWith famous heroes of old,Who never shrank from injury,And even were content to die.Fair meed of praise, while still alive,Was yours, and ever will survive.Hail! Mother Xun, your memory,While time rolls on, shall never die."
徐庶見母已死，哭絕於地，良久方甦。曹操使人齎禮弔問，又親往祭奠。徐庶葬母柩於許昌之南原，居喪守墓。凡曹操所賜，庶俱不受。時操欲商議南征，荀彧諫曰：「天寒未可用兵。姑待春暖，方可長驅大進。一操從之，乃引漳河之水作一池，名玄武池，於內教練水軍，準備南征。,"At sight of his mother dead, Xu Shu fell in a swoon and only recovered consciousness after a long time. By and bye Cao Cao heard of it and sent mourning gifts, and in due course went in person to condole and sacrifice. The body was interred on the south of the capital, and the dead woman's unhappy son kept vigil at her tomb. He steadily rejected all gifts from Cao Cao.At that time Cao Cao was contemplating an attack on the south.His adviser Xun Yu dissuaded him, saying, ""The winter is not favorable for this campaign. My lord should await milder weather.""And Cao Cao yielded. But he began to prepare, and led the River Zhang's waters aside to form a lake, which he called the Aquamarine Lake, where he could accustom his soldiers to fight on the water."
卻說玄德正安排禮物，欲往隆中謁諸葛亮，忽人報：「門外有一先生，峨冠博帶，道貌非常，特來相探。」玄德曰：「此莫非即孔明否？」遂整衣出迎。視之，乃司馬徽也。玄德大喜，請入後堂高坐，拜問曰：「備自別仙顏，日因軍務倥傯，有失拜訪。今得光降，大慰仰慕之私。」徽曰：「聞徐元直在此，特來一會。」玄德曰：「近因曹操囚其母，徐母遣人馳書喚回許昌去矣。」徽曰：「此中曹操之計矣！吾素聞徐母最賢，雖為操所囚，必不肯馳書召其子。此書必詐也。元直不去，其母尚存；今若去，母必死矣。」,"As has been said, Liu Bei prepared gifts to offer to Zhuge Liang on his visit. One day his servants announced a stranger of extraordinary appearance, wearing a lofty headdress and a wide belt.""Surely this is he,"" said Liu Bei, and, hastily arranging his dress, he went to welcome the visitor.But the first glance showed him that it was the recluse of the mountains, Sima Hui. However, Liu Bei was glad to see him and led him into the inner apartment as he would an old friend.There Liu Bei conducted him to the seat of honor and made his obeisance, saying, ""Since leaving you that day in the mountains, I have been overwhelmed with military preparations and so have failed to visit you as courtesy demanded. Now that the brightness has descended upon me, I hope this dereliction of duty may be pardoned.""""I hear Xu Shu is here. I have come expressly to see him,"" replied Water Mirror bluntly.""He has lately left for Xuchang. A messenger came with a letter telling of the imprisonment of his mother.""""Then he has just fallen into Cao Cao's trap, for that letter was a forgery. I have known his mother to be a very noble woman. Even if she were imprisoned by Cao Cao, she would not summon her son like that. Certainly the letter was a forgery. If the son did not go, the mother would be safe; if he went, she would be a dead woman."""
玄德驚問其故。徽曰：「徐母高義，必羞見其子也。」玄德曰：「元直臨行，薦南陽諸葛亮，其人若何？」徽笑曰：「元直欲去自去便了，何又惹他出來嘔心血也？」玄德曰：「先生何出此言？」徽曰：「孔明與博陵崔州平、潁川石廣元、汝南孟公威與徐元直四為密友。此四人務於精純，惟孔明獨觀其大略。嘗抱膝長吟，而指四人曰：『公等仕進，可至刺史、郡守。』眾問孔明之志若何，孔明但笑而不答。每常自比管仲、樂毅，其才不可量也。」玄德曰：「何潁川之多賢乎！」徽曰：「昔有殷馗善觀天文，嘗謂群星聚於潁分，其地必多賢士。」,"""But how?"" asked Liu Bei dismayed.""She is a woman of the highest principles, who would be greatly mortified at the sight of her son under such conditions.""Liu Bei said, ""Just as your friend was leaving, he mentioned the name of a certain Zhuge Liang. What think you of him?""Water Mirror laughed, saying, ""If Xu Shu wanted to go, he was free to go. But why did he want to provoke Zhuge Liang into coming out and showing compassion for someone else?""""Why do you speak like that?"" asked Liu BeiHe replied, ""Five persons, Zhuge Liang of Nanyang, Cui Zhouping of Boling, Shi Guangyuan of Yingchuan, Meng Gongwei of Runan, and Xu Shu of Yingchuan were the closest of friends. They formed a little coterie devoted to meditation on essential refinement. Only Zhuge Liang arrived at a perception of its meaning. He used to sit among them with his arms about his knees muttering and then, pointing to his companions, he would say, 'You, gentlemen, would become governors and protectors if you were in official life.'""When they asked him what was his ambition, he would only smile and always compared himself with the great ancient scholars Guan Zhong and Yue Yi. No one could gauge his talents.""""How comes it that Yingchuan produces so many able humans?"" said Liu Bei.""That old astrologer, Yin Kui, used to say that the stars clustered thick over the region, and so there were many wise people."""
時雲長在側曰：「某聞管仲、樂毅，乃春秋戰國名人，功蓋寰宇。孔明自比此二人，毋乃太過？」徽笑曰：「以吾觀之，不當比此二人。我欲另以二人比之。」雲長問那二人。徽曰：「可比興周八百年之姜子牙，旺漢四百年之張子房也。」眾皆愕然。徽下階相辭欲行。玄德留之不住。徽出門仰天大笑曰：「臥龍雖得其主，不得其時，惜哉！」言罷，飄然而去。玄德嘆曰：「真隱居賢士也！」次日，玄德同關、張并從人等來隆中，遙望山畔數人，荷鋤耕於田間，而作歌曰：,"Now Guan Yu was there. When he heard Zhuge Liang so highly praised, he said, ""Guan Zhong and Yue Yi are the two most famous leaders mentioned in the Spring and Autumn and the Warring States Periods. They well overtopped the rest of humankind. Is it not a little too much to say that Zhuge Liang compares with these two?""""In my opinion he should not be compared with these two, but rather with two others,"" said Water Mirror.""Who are these two?"" asked Guan Yu.""One of them is Lu Wang, who laid the foundations of the Zhou Dynasty so firmly that it lasted eight hundred years; and the other Zhang Liang, who made the Han glorious for four centuries.""Before the surprise called forth by this startling statement had subsided, Water Mirror walked down the steps and took his leave. Liu Bei would have kept him if he could, but he was obdurate.As he stalked proudly away, he threw up his head and said, ""Though Sleeping Dragon has found his lord, he has not been born at the right time. It is a pity!""""What a wise hermit!"" was Liu Bei's comment.Soon after the three brothers set out to find the abode of the wise man. When they drew near the Sleeping Dragon Ridge, they saw a number of peasants in a field hoeing up the weeds, and as they worked they sang:"
蒼天如圓蓋，陸地似棋局。世人黑白分，往來爭榮辱。榮者自安安，辱者定碌碌。南陽有隱居，高眠臥不足。,"""The earth is a checkered board,And the sky hangs over all,Under it humans are contending,Some rise, but a many fall.For those who succeed this is well,But for those who go under rough.There's a dozing dragon hard by,But his sleep is not deep enough."""
玄德聞歌，勒馬喚農夫問曰：「此歌何人所作？」答曰：「乃臥龍先生所作也。」玄德曰：「臥龍先生住何處？」農夫曰：「自此山之南，一帶高岡，乃臥龍岡也。岡前疏林內茅廬中，即諸葛先生高臥之地。」玄德謝之，策馬前行。不數里，遙望臥龍岡，果然清景異常。後人有古風一篇，單道臥龍居處。詩曰：,"Liu Bei and his brothers stopped to listen to the song and, calling up one of the peasants, asked who made it.""It was made by Master Sleeping Dragon,"" said the laborer.""Then he lives hereabout. Where?""""South of this hill there is a ridge called the Sleeping Dragon, and close by is a sparse wood. In it stands a modest cottage. That is where Master Zhuge Liang takes his repose.""Liu Bei thanked him and the party rode on. Soon they came to the ridge, most aptly named, for indeed it lay wrapped in an atmosphere of calm beauty.A poet wrote of it thus:"
