chinese,english
卻說吳國太見孫權疑惑不決，乃謂之曰：「先姊遺言云：『伯符臨終有言：內事不決問張昭，外事不決問周瑜。』今何不請公瑾問之？」權大喜，即遣使往鄱陽請周瑜議事。原來周瑜在鄱陽湖訓練水師，聞曹操大軍至漢上，便星夜回柴桑郡議軍機事。使者未發，周瑜已先到。魯肅與瑜最厚，先來接著，將前項事細述一番。周瑜曰：「子敬休憂，瑜自有主張。今可速請孔明來相見。」,"The dying message which Lady Wu recalled to Sun Quan's memory was, ""For internal matters consult Zhang Zhao; for external policy Zhou Yu.""Wherefore Zhou Yu was summoned.But Zhou Yu was already on the way. He had been training his naval forces on Poyang Lake when he heard of the approach of Cao Cao's hosts and had started for Chaisang without loss of time. So, before the messenger ordered to call him could start, he had already arrived. As he and Lu Su were close friends, the latter went to welcome him and told him of all that had happened.""Have no anxiety,"" said Zhou Yu. ""I shall be able to decide this. But go quickly and beg Zhuge Liang to come to see me."""
魯肅上馬去了。周瑜方纔歇息。忽報張昭、顧雍、張紘、步騭四人來相探。瑜接入堂中坐定，敘寒溫畢。張昭曰：「都督知江東之利害否？」瑜曰：「未知也。」昭曰：「曹操擁眾百萬，屯於漢上，昨傳檄文至此，欲請主公會獵於江夏。雖有相吞之意，尚未露其形。昭等勸主公且降之，庶免江東之禍。不想魯子敬從江夏帶劉備軍師諸葛亮至此，彼因自欲雪憤，特下說詞以激主公。子敬卻執迷不悟。正欲待都督一決。」瑜曰：「公等之見皆同否？」顧雍等曰：「所議皆同。」瑜曰：「吾亦欲降久矣。公等請回。明早見主公，自有定議。」,"So Lu Su went to seek out Zhuge Liang.Zhou Yu had many other visitors. First came Zhang Zhao, Zhang Hong, Gu Yong, and Bu Zhi to represent their faction to find out what might be afoot.They were received, and after the exchange of the usual commonplaces, Zhang Zhao said, ""Have you heard of our terrible danger?""""I have heard nothing,"" said Zhou Yu.""Cao Cao and his hordes are encamped up the Han River. He has just sent letters asking our lord to hunt with him in Jiangxia. He may have a desire to absorb this country but, if so, the details of his designs are still secret. We prayed our master to give in his submission and so avoid the horrors of war, but now Lu Su has returned bringing with him the Directing Instructor of Liu Bei's army, Zhuge Liang. Zhuge Liang, desiring to avenge himself for the recent defeat, has talked our lord into a mind for war, and Lu Su persists in supporting that policy. They only await your final decision.""""Are you all unanimous in your opinions?""""We are perfectly unanimous,"" said Zhang Zhao.Zhou Yu said, ""The fact is I have also desired to submit for a long time. I beg you to leave me now, and tomorrow we will see our master, and I shall make up his mind for him."""
昭等辭去。少頃，又報程普、黃蓋、韓當等一班戰將來見。瑜迎入，各問慰訖。程普曰：「都督知江東早晚屬他人否？」瑜曰：「未知也。」普曰：「吾等自隨孫將軍開基創業，大小數百戰，方纔戰得六郡城池。今主公聽謀士之言，欲降曹操，此真可恥可惜之事。吾等寧死不辱。望都督勸主公決計興兵。吾等願效死戰。」瑜曰：「將軍等所見皆同否？」黃蓋忿然而起，以手拍額曰：「吾頭可斷，誓不降曹！」眾人皆曰：「吾等皆不願降。」瑜曰：「吾正欲與曹操決戰，安肯投降？將軍等請回。瑜見主公，自有定議。」,"So they took their leave. Very soon came the military party led by Cheng Pu, Huang Gai, and Han Dang. They were admitted and duly inquired after their host's health.Then the leader Cheng Pu said, ""Have you heard that our country is about to pass under another's government?""""No, I have heard nothing,"" replied the host.""We helped General Sun Quan to establish his authority here and carve out this kingdom, and to gain that end we fought many a battle before we conquered the country. Now our lord lends his ear to his civil officers and desires to submit himself to Cao Cao. This is a most shameful and pitiful course, and we would rather die than follow it. So we hope you will decide to fight, and you may depend upon our struggling to the last person.""""And are you unanimous, Generals?"" asked Zhou Yu.Huang Gai suddenly started up and smote his forehead, saying, ""They may take my head, but I swear never to surrender.""""Not one of us is willing to surrender,"" cried all the others.""My desire also is to decide matters with Cao Cao on the battlefield. How could we think of submission? Now I pray you retire, Generals, and when I see our lord, I will settle his doubts."""
程普等別去。又未幾，諸葛瑾、呂範等一班兒文官相候。瑜迎入，講禮畢。諸葛瑾曰：「舍弟諸葛亮自漢上來，言劉豫州欲結東吳，共伐曹操，文武商議未定。因舍弟為使，瑾不敢多言，專候都督來決此事。」瑜曰：「以公論之若何？」瑾曰：「降者易安，戰者難保。」周瑜笑曰：「瑜自有主張。來日同至府下定議。」,"So the war party left. They were quickly succeeded by Zhuge Jin, Lu Fan, and their faction.They were brought in and, after the usual courtesies, Zhuge Jin said, ""My brother has come down the river saying that Liu Bei desires to ally himself with our lord against Cao Cao. The civil and military hold different opinions as to the course to be pursued. But as my brother is so deeply concerned, I am unwilling to say much on either side. We are awaiting your decision.""""And what do you think about it?"" asked Zhou Yu.""Submission is an easy road to tranquillity, while the result of war is hard to foretell.""Zhou Yu smiled, ""I shall have my mind made up. Come tomorrow to the palace, and the decision shall be announced."""
瑾等辭退。忽又報呂蒙、甘寧等一班兒來見。瑜請入，亦敘談此事。有要戰者，有要降者，互相爭論。瑜曰：「不必多言，來日都到府下公議。」眾乃辭去。周瑜冷笑不止。,"The trimmers took their leave. But soon after came Lu Meng, Gan Ning, and their supporters, also desirous of discussing the same thing, and they told him that opinions differed greatly, some being for peace and others for war. One party constantly disputed with the other.""I must not say much now,"" replied Zhou Yu, ""but you will see tomorrow in the palace, when the matter will be fully debated.""They went away leaving Zhou Yu smiling cynically."
至晚，人報魯子敬引孔明來拜。瑜出中門迎入。敘禮畢，分賓主而坐。肅先問瑜曰：「今曹操驅眾南侵，和與戰二策，主公不能決，一聽於將軍。將軍之意若何？」瑜曰：「曹操以天子為名，其師不可拒。且其勢大，未可輕敵。戰則必敗，降則易安。吾意已決。來日見主公，便當遣使納降。」,"About eventide Lu Su and Zhuge Liang came, and Zhou Yu went out to the main gate to receive them.When they had taken their proper seats, Lu Su spoke first, saying, ""Cao Cao has come against the South Land with a huge army. Our master cannot decide whether to submit or give battle and waits for your decision. What is your opinion?""Zhou Yu replied, ""We may not oppose Cao Cao when he acts at the command of the Emperor. Moreover, he is very strong, and to attack him is to take serious risks. In my opinion, opposition would mean defeat and, since submission means peace, I have decided to advise our lord to write and offer surrender."""
魯肅愕然曰：「君言差矣！江東基業，已歷三世，豈可一旦棄於他人？伯符遺言，外事付託將軍。今正欲仗將軍保全國家，為泰山之靠，奈何亦從懦夫之議耶？」瑜曰：「江東六郡，生靈無限；若罹兵革之禍，必有歸怨於我，故決計請降耳。」肅曰：「不然。以將軍之英雄，東吳之險固，操未必便能得志也。」,"""But you are wrong!"" stammered Lu Su. ""This country has been under the same rule for three generations and cannot be suddenly abandoned to some other. Our late lord Sun Ce said that you were to be consulted on matters beyond the border, and we depended upon you to keep the country as secure and solid as the Taishan Mountains. Now you adopt the view of the weaklings and propose to yield! I cannot believe you mean it.""Replied Zhou Yu, ""The six territories contain countless people. If I am the means of bringing upon them the misery of war, they will hate me. So I have decided to advise submission.""""But do you not realize our lord's might and the strength of our country? If Cao Cao does attack, it is very uncertain that he will realize his desire."""
二人互相爭辯，孔明只袖手冷笑。瑜曰：「先生何故哂笑？」孔明曰：「亮不笑別人，笑子敬不識時務耳。肅曰：「先生如何反笑我不識時務？」孔明曰：「公瑾主意欲降操，甚為合理。」瑜曰：「孔明乃識時務之士，必與吾有同心。」肅曰：「孔明，你也如何說此？」孔明曰：「操極善用兵，天下莫敢當。向只有呂布、袁紹、袁術、劉表敢與對敵。今數人皆被操滅，天下無人矣。獨有劉豫州不識時務，強與爭衡。今孤身江夏，存亡未保。將軍決計降曹，可以保妻子，可以全富貴。國祚遷移，付之天命，何足惜哉！」,"The two wrangled for a long time, while Zhuge Liang sat smiling with folded arms.Presently Zhou Yu asked, ""Why do you smile thus, Master?""And Zhuge Liang replied, ""I am smiling at no other than your opponent Lu Su, who knows nothing of the affairs of the day.""""Master,"" said Lu Su, ""what do you mean?""""Why, this intention to submit is perfectly reasonable. It is the one proper thing.""""There!"" exclaimed Zhou Yu. ""Zhuge Liang knows the times perfectly well, and he agrees with me.""""But, both of you, why do you say this?"" said Lu Su.Said Zhuge Liang, ""Cao Cao is an excellent commander, so good that no one dares oppose him. Only very few have ever attempted it, and they have been exterminated —-the world knows them no more. The only exception is Liu Bei, who did not understand the conditions and vigorously contended against him, with the result that he is now at Jiangxia in a very parlous state. To submit is to secure the safety of wives and children, to be rich and honored. But the dignity of the country would be left to chance and fate —-however, that is not worth consideration."""
魯肅大怒曰：「汝教吾主屈膝受辱於國賊乎！」孔明曰：「愚有一計。並不勞牽羊擔酒，納土獻印；亦不須親自渡江；只須遣一介之使，扁舟送兩個人到江上。操若得此兩人，百萬之眾，皆卸甲捲旗而退矣。」瑜曰：「用何二人，可退操兵？」孔明曰：「江東去此兩人，如大木飄一葉，太倉減一粟耳。而操得之，必大喜而去。」,"Lu Su interrupted angrily, ""Would you make our lord crook the knee to such a rebel as Cao Cao?""""Well,"" replied Zhuge Liang, ""there is another way, and a cheaper. There would be no need to 'lead the sheep and shoulder wine pots' for presents, nor any need to yield territory and surrender seals of office. It would not even be necessary to cross the river yourselves. All you would require is a simple messenger and a little boat to ferry a couple of persons across the river. If Cao Cao only got these two under his hand, his hordes and legions would just drop their weapons, furl their banners, and silently vanish away.""""What two persons could cause Cao Cao to go away as you say?"" asked Zhou Yu.""Two persons who could be easily spared from this populous country. They would not be missed any more than a leaf from a tree or a grain of millet from a granary. But if Cao Cao could only get them, would he not go away rejoicing?"""
瑜又問果用何二人孔明曰：「亮居隆中時，即聞操於漳河新造一臺，名曰銅雀，極其壯麗；廣選天下美女以實其中。操本好色之徒，久聞江東喬公有二女，長曰大喬，次曰小喬，有沈魚落雁之容，閉月羞花之貌。操曾發誓曰：『吾一願掃平四海，以成帝業；一願得江東二喬，置之銅雀臺，以樂晚年，雖死無恨矣。』今雖引百萬之眾，虎視江南，其實為此二女也。將軍何不去尋喬公，以千金買此二女，差人送與曹操。操得二女，稱心滿意，必班師矣。此范蠡獻西施之計，何不速為之？」,"""But who are the two?"" asked Zhou Yu again.""When I was living in the country, they told me that Cao Cao was building a pavilion on the River Zhang. It was to be named the Bronze Bird Tower. It is an exceedingly handsome building, and he has sought throughout all the world for the most beautiful women to live in it. For Cao Cao really is a sensualist.""Now there are two very famous beauties in Wu, born of the Qiao family. So beautiful are they that birds alight and fishes drown, the moon hides her face and the flowers blush for shame at sight of them. Cao Cao has declared with an oath that he only wants two things in this world: The imperial throne in peace and the sight of those two women on the Bronze Bird Terraces. Given these two, he would go down to his grave without regret. This expedition of his, his huge army that threatens this country, has for its real aim these two women. Why do you not buy these two from their father, the State Patriarch Qiao, for any sum however large and send them over the river? The object of the army being attained, it will simply be marched away. This is the ruse that Fan Li of Yue made to the king of Wu of the famous beauty Xi Shi."""
