chinese,english
卻說孫策自霸江東，兵精糧足。建安四年，襲取廬江，敗劉勳，使虞翻馳檄豫章，豫章太守華歆投降。自此聲勢大振，乃遣張紘往許昌上表獻捷。曹操知孫策強盛，歎曰：「獅兒難與爭鋒也！」遂以曹仁之女許配孫策幼弟孫匡，兩家結婚。留張紘在許昌。孫策求為大司馬，曹操不許。策恨之，常有襲許都之心。於是吳郡太守許貢，乃暗遣使赴許都，上書於曹操。其略曰：孫策驍勇，與項籍相似。朝廷宜外示榮寵，召還京師；不可使居外鎮，以為後患。,"Sun Ce gradually became supreme on the southeast of the Great River. In the fourth year of Rebuilt Tranquillity (AD 199), he took Lujiang by the defeat of the Governor Liu Xu. He dispatched Yu Fan with a dispatch to Governor Hua Xin of Yuzhang, and Hua Xin surrendered. Thence Sun Ce's renown increased, and he boldly sent a memorial on his military successes to the Emperor by the hand of Zhang Hong.Cao Cao saw in Sun Ce a powerful rival and said, ""He is a lion difficult to contend with.""So Cao Cao betrothed his niece, daughter of Cao Ren, to Sun Kuang, the youngest brother of Sun Ce, thus connecting the two families by marriage. Cao Cao also retained Zhang Hong near him in the capital.Then Sun Ce sought the title of Grand Commander, one of the highest offices of state, but Cao Cao prevented the attainment of this ambition, and Sun Ce keenly resented it. Henceforward his thoughts turned toward an attack on Cao Cao.About this time the Governor of Wujun, Xu Gong, sent a secret letter to the capital to Cao Cao, saying:""Sun Ce is a turbulent fellow of the Xiang Yu type. The government ought, under the appearance of showing favor to him, to recall him to the capital, for he is a danger in the southern regions."""
使者齎書渡江，被防江將士所獲，解赴孫策處。策觀書大怒，斬其使，遣人假意請許貢議事。貢至，策出書示之，叱曰：「汝欲送我於死地耶！」命武士絞殺之。貢家屬皆逃散。有家客三人，欲為許貢報仇，恨無其便。一日，孫策引軍會獵於丹徒之西山，趕起一大鹿，策縱馬上山逐之。,"But the bearer of this letter was captured on the Great River and sent to Sun Ce, who immediately put him to death. Then Sun Ce treacherously sent to ask the author of the letter to come and consult over some affair. The unsuspecting Xu Gong came.Sun Ce produced the letter, saying, ""So you wish to send me to the land of the dead, eh?""And thereupon the executioners came in and strangled Xu Gong. The family of the victim scattered, but three of his clients determined to avenge him if only they could find some means of attacking Sun Ce.One day Sun Ce went hunting in the hills to the west of Dantu. A stag was started, and Sun Ce pressed after it at topmost speed and followed it deep into the forest."
正趕之間，只見樹林之內，有三個人持槍帶弓而立。策勒馬問曰：「汝等何人？」答曰：「乃韓當軍士也。在此射鹿。」策方舉轡欲行，一人挺槍望策左腿便刺。策大驚，急取佩劍從馬上砍去，劍刃忽墜，止存劍靶在手。一人早拈弓搭箭射來，正中孫策面頰。策就拔面上箭，取弓回射放箭之人，應弦而倒。那二人舉槍向孫策亂搠，大叫曰：「我等是許貢家客，特來為主人報仇！」策別無器械，只以弓拒之，且拒且走。二人死戰不退。策身被數鎗，馬亦帶傷。,"Presently he came upon three armed men standing among the trees. Rather surprised to see them there, he reined in and asked who they were.""We belong to Han Dang's army and are shooting deer,"" was the reply.So Sun Ce shook his bridle to proceed. But just as he did so, one of the men thrust at him with a spear and wounded his thigh. Sun Ce drew the sword at his side, dashed forward, and tried to cut down the aggressor. The blade of his sword suddenly fell to the ground, only the hilt remaining in his hand. Then one of the assassins drew his bow, and an arrow wounded Sun Ce in the cheek. Sun Ce plucked out the arrow and shot at the offender, who fell, but the other two attacked him furiously with their spears, shouting, ""We are Xu Gong's men and his avengers!""Sun Ce then understood. But he had no weapons save his bow against them. He tried to draw off, keeping them at bay striking with his bow. But the fight was getting too much for him, and both he and his steed were wounded in several places."
正危急之時，程普引數人至。孫策大叫：「殺賊！」程普引眾齊上，將許貢家客砍為肉泥。看孫策時，血流滿面，被傷至重；乃以刀割袍，裹其傷處，救回吳會養病。後人有詩贊許家三客曰：,"However, just at the critical moment, Cheng Pu and some of his own officers came up, and they minced the assassins into pieces.But their lord was in a sorry plight. His face was streaming with blood, and some of the wounds were very severe.They tore up his robe and therewith bound up his wounds, and they carried him home.A poem in praise of the three avengers says:"
孫郎智勇冠江湄，射獵山中受困危。許客三人能死義，殺身豫讓未為奇。,"O Sun Ce was a warrior and a stranger he to fear.But he was basely murdered while hunting of the deer.Yet were they leal who slew him, to avenge a murdered lord.Self immolated like Yu Rang, they dreaded not the sword."
卻說孫策受傷而回，使人尋請華佗醫治。不想華佗已往中原去了，止有徒弟在吳，命其治療。其徒曰：「箭頭有藥，毒已入骨。須靜養百日，方可無虞。若怒氣衝激，其瘡難治。」,"Badly wounded, Sun Ce was borne to his home. They sent to call the famous physician Hua Tuo, but he was far away and could not be found. However, a disciple of his came, and the wounded man was committed to his care.""The arrowheads were poisoned,"" said the physician, ""and the poison has penetrated deep. It will take a hundred days of perfect repose before danger will be past. But if you give way to passion or anger, the wounds will not heal."""
孫策為人最是性急，恨不得即日便愈。將息到二十餘日，忽聞張紘有使者自許昌回，策喚問之。使者曰：「曹操甚懼主公；其帳下謀士，亦俱敬服；惟有郭嘉不服。」策曰：「郭嘉曾有何說？」使者不敢言。策怒，固問之。使者只得從實告曰：「郭嘉曾對曹操言：主公不足懼也。輕而無備，性急少謀，乃匹夫之勇耳；他日必死於小人之手。」策聞言，大怒曰：「匹夫安敢料吾！吾誓取許昌！」遂不待瘡愈，便欲商議出兵。張昭諫曰：「醫者戒主公百日休動，今何因一時之忿，自輕萬乘之軀？」,"Sun Ce's temperament was hasty and impatient, and the prospect of such a slow recovery was very distasteful. However, he remained quiet for some twenty of the hundred days. Then came Zhang Hong from the capital, and Sun Ce insisted on seeing and questioning him.""Cao Cao fears you, my lord, very greatly,"" said Zhang Hong, ""and his advisers have exceeding respect for you —-all except Guo Jia.""""What did Guo Jia say?"" asked the sick chieftain.Zhang Hong remained silent, which only irritated his master and caused him to demand to be told. So Zhang Hong had to speak the truth.He said, ""The fact is Guo Jia told Cao Cao that he needed not fear you, that you were frivolous and unready, impulsive and shallow, just a stupid swaggerer who would one day come to his death at the hands of some mean person.""This provoked the sick man beyond endurance.""The fool, how dare he say this of me?"" cried Sun Ce. ""I will take Xuchang from Cao Cao, I swear.""It was no more a question of repose. Ill as he was, he wanted to begin preparations for an expedition at once. They remonstrated with him, reminded him of the physician's orders and urged him to rest.""You are risking your priceless self in a moment's anger,"" said Zhang Zhao."
正話間，忽報袁紹遣使陳震至。策喚入問之。震具言袁紹欲結東吳為外應，共攻曹操。策大喜，即日會諸將於城樓上，設宴款待陳震。飲酒久間，忽見諸將互相耳語，紛紛下樓。策怪問何故。左右曰：「有于神仙者，今從樓下過，諸將欲往拜之耳。」,"Then arrived Chen Zhen, the messenger from Yuan Shao, and Sun Ce would have him brought in.He said, ""My master wishes to ally himself with the South Land in an attack on Cao Cao.""Such a proposal was just after Sun Ce's heart. At once he called a great meeting of his officers in the wall tower and prepared a banquet in honor of the messenger. While this was in progress, Sun Ce noticed many of his officers whispering to each other, and they all began to go down from the banquet chamber. He could not understand this and inquired of the attendants near him what it meant.They told him, ""Saint Yu Ji has just gone by, and the officers have gone down to pay their respects to him."""
策起身憑欄觀之，見一道人，身披鶴氅，手攜藜杖，立於當道，百姓俱焚香伏道而拜。策怒曰：「是何妖人？快與我擒來！」左右曰：「此人姓于，名吉。寓居東方，往來吳會。普施符水，救人萬病，無有不驗。當世呼為神仙，未可輕瀆。」策愈怒，喝令「速速擒來！違者斬！」,"Sun Ce rose from his place and went and leaned over the railing to look at the man. He saw a Daoist priest in snowy garb leaning on his staff in the middle of the road, while the crowd about him burnt incense and made obeisance.""What wizard fellow is this? Bring him here!"" said Sun Ce.""This is Yu Ji,"" said the attendants. ""He lives in the east and goes to and fro distributing charms and draughts. He has cured many people as everybody will tell you, and they say he is a saint. He must not be profaned.""This only angered Sun Ce the more, and he told them to arrest the man at once or disobey at their peril."
左右不得已，只得下樓，擁于吉至樓上。策叱曰：「狂道怎敢煽惑人心！」于吉曰：「貧道乃瑯琊宮道士。順帝時曾入山採藥，得神書於水上，號曰太平青領道，凡百餘卷，皆治人疾病方術。貧道得之，惟務代天宣化，普救萬人。未曾取人毫釐之物，安得煽惑人心？」策曰：「汝毫不取人，衣服飲食，從何而得？汝即黃巾張角之流。今若不誅，必為後患！」叱左右斬之。張昭諫曰：「于道人在江東數十年，並無過犯，不可殺害。」策曰：「此等妖人，吾殺之，何異屠豬狗！」,"So there being no help for it, they went down into the road and hustled the saint up the steps.""You madman! How dare you incite people to evil?"" said Sun Ce.""I am but a poor priest of the Langye Mountains. More than half a century ago, when gathering simples in the woods, I found near the Yangqu Spring a book called 'The Way of Peace.' It contains a hundred and more chapters and taught me how to cure the diseases of humans. With this in my possession I had only one thing to do: To devote myself to spreading its teachings and saving humankind. I have never taken any thing from the people. Can you say I incite people to evil deeds?""""You say you take nothing: Whence came your clothes and your food? The fact is you are one of the Yellow Scarves, and you will work mischief if you are left alive.""Then turning to his attendants, Sun Ce ordered, ""Take him away and put him to death.""Zhang Zhao interceded, ""The Daoist Saint has been here in the east these many years. He has never done any harm and does not deserve death or punishment.""""I tell you I will kill these wizard fellows just as I would cattle."""
