chinese,english
卻說程昱獻計曰：「雲長有萬人之敵，非智謀不能取之。今可即差劉備手下投降之兵，入下邳，見關公，只說是逃回的，伏於城中為內應；卻引關公出戰，詐敗佯輸，誘入他處，以精兵截其歸路，然後說之可也。」操聽其謀，即令徐州降兵數十，逕投下邳來降關公。關公以為舊兵，留而不疑。,"The plan to seduce Guan Yu from allegiance to his brothers was now announced by Cheng Yu, ""Since Guan Yu is far braver than ordinary warriors, he can only be overreached by superior cunning. Now send some of the captured soldiers who have lately been of Liu Bei's army into Xiapi, where they shall say they have come back. They shall thus be our allies on the inside. Then an attack and a feigned defeat will entice Guan Yu to a distance from the city. And his return road shall be cut.""Cao Cao accepted the scheme, and a few score of the troops who had lately been in Xuzhou were sent to the city. Guan Yu believed the story they told and trusted them. So they were suffered to remain."
次日，夏侯惇為先鋒，領兵五千來搦戰。關公不出，惇即使人於城下辱罵。關公大怒，引三千人馬出城，與夏侯惇交戰。約戰十餘合，惇撥回馬走。關公趕來，惇且戰且走。關公約趕二十里，恐下邳有失，提兵便回。只聽得一聲砲響，左有徐晃，右有許褚，兩隊軍截住去路。關公奪路而走，兩邊伏兵排下硬弩百，，箭如飛蝗。關公不過，勒兵再回，徐晃，許褚，接住交戰。關公奮力殺退二人，引軍欲回下邳，夏侯惇又截住廝殺。,"After this part of the game had been played, Xiahou Dun led forward five thousand troops against the city. At first, Guan Yu would not accept the challenge. But provoked by men sent to hurl insults at him from the foot of the wall, his wrath got the better of him, and he moved out with three thousand troops. After the leaders had exchanged some ten bouts, Xiahou Dun made to run away. Guan Yu pursued. Xiahou Dun stopped and made a stand, then he fled again. Thus alternately fighting and retiring, he enticed Guan Yu seven miles from Xiapi. Then Guan Yu suddenly remembering the risk to the city drew off his army to return homeward.Soon, at the sound of a signal bomb, from the left and right out moved two bodies of troops led by Xu Huang and Xu Chu who barred his way. Guan Yu hastened along a road that seemed to offer retreat, but from both sides his ambushing enemies shot their crossbows, and the arrows flew like locusts on the wing. No way past was found, and he turned back. Then both bodies joined in attacking him. He drove them off and got into the road to his own city, but soon Xiahou Dun came up again and attacked fiercely as before."
公戰至日晚，無路可歸，只得到一座土山，引兵屯於山頭，權且少歇。曹兵團團將土山圍住。關公於山上遙望下邳城中火光沖天卻是那詐降兵卒偷開城門，曹操自提大軍殺入城中，只教舉火以惑關公之心。,"Evening came and still Guan Yu was hemmed in, so he went up on a low hill of Tushan Mountains upon which he encamped for a rest.Guan Yu was surrounded on all sides by enemies. By and by, looking toward his city, he saw the glow of fire. It meant that the traitors, who had come in to surrender, had opened the gate, and the enemy had gone in force. They had made the fires in order to perplex and distress Guan Yu."
關公見下邳火起，心中驚惶，連夜幾番衝下山來，皆被亂箭射回。捱到天曉，再欲整頓下山衝突，忽見一人跑馬上山來，視之乃張遼也。關公迎謂曰：「文遠欲來相敵耶？」遼曰：「非也。想故人舊日之情，特來相見。」遂棄刀下馬，與關公敘禮畢，坐於山頂。公曰：「文遠莫非說關某乎？」遼曰：「不然。昔日蒙兄救弟，今日弟安得不救兄？」公曰：「然則文遠將欲助我乎？」遼曰：「亦非也。」公曰：「既不助我，來此何幹？」,"Indeed the sight of the fires at Xiapi saddened Guan Yu.In the night he made efforts to escape from the hill, but every attempt was checked by flights of arrows. At daybreak he prepared for one more effort, but before moving he saw a horseman riding up at full speed and presently discerned Zhang Liao.When within speaking distance, Guan Yu said, ""Are you come to fight me, Zhang Liao?""""No,"" replied Zhang Liao. ""I am come to see you because of our old friendship.""Wherefore Zhang Liao threw aside his sword, dismounted, and came forward saluting. And the two sat down.""Then naturally you have come to talk me over,"" said Guan Yu.""Not so!"" said Zhang Liao. ""Sometime ago you saved me. Can I help saving you?""""Then you desire to help me.""""Not exactly that,"" replied Zhang Liao.""Then what are you doing here if you have not come to help me?"""
遼曰：「玄德不知存亡，翼德未知生死。昨夜曹公已破下邳，軍民盡無傷害，差人護衛玄德家眷，不許驚擾。如此相待，弟特來報兄。」關公怒曰：「此言特說我也。吾今雖處絕地，視死如歸。汝當速去，吾即下山迎戰。」張遼大笑曰：「兄此言豈不為天下笑乎？」公曰：「吾仗忠義而死，安得為天下笑？」遼曰：「兄今即死，其罪有三。」公曰：「汝且說我那三罪？」,"""Nothing is known of the fate of your elder brother, nor whether your younger brother is alive or dead. Last night your city fell into the hands of Cao Cao, but neither soldiers nor people were harmed, and a special guard was set over the family of Liu Bei lest they should be alarmed. I came to tell you how well they had been treated.""""This is certainly talking me over,"" said Guan Yu. ""Though escape is impossible, yet I am not perturbed. I look upon death as going home. You had better depart quickly and let me go down and begin the struggle again.""""Surely you must know everybody will ridicule you when they hear of this,"" said Zhang Liao.""I shall die for loyalty and righteousness. Who will laugh?"" said Guan Yu.""You would be guilty of three faults if you died.""""Tell me them,"" said Guan Yu."
遼曰：「當初劉使君與兄結義之時，誓同生死；今使君方敗，而兄即戰死，倘使君復出，欲求兄相助，而不可復得，豈不負當年之盟誓乎？其罪一也。劉使君以家眷付託於兄，兄今戰死，二夫人無所倚賴，負卻使君依託之重。其罪二也。兄武藝超群，兼通經史，不思共使君匡扶漢室，徒欲赴湯蹈火，以成匹夫之勇，安得為義？其罪三也。──兄有此三罪，弟不得不告。」,"""First of all, you and your elder brother pledged yourselves in the Peach Garden to die or to live together. Now your brother has been defeated, and you want to fight to the death. Therefore, if your brother appears again by and by and wants your help, he will seek it in vain. Is this anything else than betraying the Peach Garden Oath? Secondly, you are in charge of your brother's family and, if you fought and died, the two women would be left forlorn and without a protector. That would be a betrayal of trust. Thirdly, your military skill stands out conspicuous and will go down in history. If you do not aid your brother in his noble attempt to maintain the dynasty, then all your labors and sufferings will have been spent to win a worthless reputation as a valiant fool. Where is the sense in that? I feel it my duty to point out these three faults to you."""
公沈吟曰：「汝說我有三罪，欲我如何？」遼曰：「今四面皆曹公之兵，兄若不降，則必死；徒死無益，不若且降曹公；卻打聽劉使君音信，知何處，即往投之。一者可以保二夫人，二者不背桃園之約，三者可留有用之身。有此三便，兄宜詳之。」,"Guan Yu remained silent and thought for some time. Then he said, ""You have spoken of my three faults. What do you desire?""""You are surrounded with the certainty of death if you do not yield. There is no advantage in a useless death. Wherefore your best course is to yield to Cao Cao till you hear news of Liu Bei and can rejoin him. Thus you will ensure the safety of the two ladies and also keep inviolate the Peach Garden compact. You will preserve a useful life. Brother, you must reflect on these things."""
公曰：「兄言三便，吾有三約。若丞相能從我，即當卸甲；如其不允，吾寧受三罪而死。」遼曰：「丞相寬洪大量，何所不容？願聞三事。」公曰：「一者，吾與皇叔設誓，共扶漢室，吾今只降漢帝，不降曹操；二者，二嫂處請給皇叔俸祿贍，一應上下人等，皆不許到門；三者，但知劉皇叔去向，不管千里萬里，便當辭去。三者缺一，斷不肯降。望文遠急急回報。」,"""Brother, you have spoken of three advantages; now I have three conditions. If the Prime Minister concede these, then will I doff my armor. If he refuses, then I prefer to be guilty of the three faults and die.""""Why should the Prime Minister not concede them? He is most liberal and large minded. I pray you let me hear your conditions.""""The first is that as I and the Imperial Uncle have sworn to support the Hans, I now submit to the Emperor and not to His Prime Minister Cao Cao. The second condition is that suitable provision be made for the two ladies under my care and that no one shall be allowed to approach them. The third is that I shall be allowed to set off to rejoin Uncle Liu Bei so soon as I shall hear where he is, whether it be far or near. I require all these to be satisfied. Failing a single one, I will not submit. Wherefore, Zhang Liao, I pray you hasten back and announce them."""
張遼應諾，遂上馬，回見曹操，先說降漢不降曹之事。操笑曰；「吾為漢相，漢即吾也。此可從之。」遼又言：「二夫人欲請皇叔俸給，并上下人等不許到門。」操曰：「吾於皇叔俸內，更加倍與之。至於嚴禁內外，乃是家法，又何疑焉？」遼又曰：「但知玄德信息，雖遠必往。」操搖首曰：「然則吾養雲長何用？此事卻難從。」遼曰：「豈不聞豫讓眾人國士之論乎？劉玄德待雲長不過恩厚耳。丞相更施厚恩以結其心，何憂雲長之不服也？」操曰：「文遠之言甚當，吾願從此三事。」,"Zhang Liao lost no time but rode back to Cao Cao. When he spoke of Guan Yu's intention to submit to the Hans but not to Cao Cao, the latter laughed, saying, ""As I am a minister of Han, so am I Han. I grant that.""Zhang Liao then spoke of provision due to their rank and security from molestation for the ladies, to which Cao Cao replied, ""I will give them twice the regular amount for an Uncle of the Emperor. As for securing them from molestation, that is simple. The ordinary domestic law is enough. Why should there be any doubt?""Then said Zhang Liao, ""Whenever he shall get news of the whereabouts of Liu Bei, he must go to him.""At this Cao Cao shook his head, saying, ""Then I am merely to feed Guan Yu. What is the use of this? I cannot consent.""Zhang Liao replied, ""You must know of Yu Rang's saying: The difference in behavior brought about by difference of treatment? Liu Bei treats Guan Yu just kindly and liberally. You can surely engage Guan Yu's heart and support by being kinder and more liberal.""""What you say is much to the point. I will grant the three conditions,"" said Cao Cao."
張遼再往上回報關公。關公曰：「雖然如此，暫請丞相退軍，容我入城見二嫂，告知其事，然後投降。」張遼再回，以此言報曹操。操即傳令，退軍至十里。荀彧曰：「不可。恐有詐。」操曰：「雲長義士，必不失信。」遂引軍退。關公引兵入下邳，見人民安妥不動，竟到府中，來見二嫂。,"Whereupon Zhang Liao left to carry the news to Guan Yu, still on the summit of the Tushan Mountains.Said Guan Yu, ""Now I expect the army to withdraw so that I may enter the city to tell the two ladies what has been arranged. After that I submit at once.""Zhang Liao rode back once more with this request, and the order was given for the army to retire three miles.""Do not do this,"" said Xun Yu. ""I fear treachery.""""He will certainly not break faith,"" said Cao Cao. ""He is too high principled.""The army retired, and Guan Yu with his force reentered the city of Xiapi, where he saw that the people were following their ordinary avocations in tranquillity. He came to the palace and went in to see the two ladies."
