chinese,english
且說董卓欲殺袁紹，李儒止之曰：「事未可定，不可妄殺。」袁紹手提寶劍，辭別百官而出，懸節東門，奔翼州去了。卓謂太傳袁隗曰：「汝姪無禮，吾看汝面，姑恕之。廢立之事若何？」隗曰：「太尉所見是也。」卓曰：「敢有阻大議者，以軍法從事。」群臣震恐，皆云：「一聽尊命。」宴罷，卓問侍中周毖、校尉伍瓊曰：「袁紹此去若何？」周毖曰：「袁紹忿忿而去，若購之急，勢必為變，且袁氏樹恩四世，門生故吏，遍於天下；倘收豪傑以聚徙眾，英雄因之而起，山東非公有也。不如赦之，拜為一郡守，則紹喜於免罪，必無患矣。」伍瓊曰：「袁紹好謀無斷，不足為慮；誠不若加之一郡守，以收民心。」,"Dong Zhuo was on the point of slaying Yuan Shao, but Li Ru checked him, saying, ""You must not kill rashly while the business hangs in the balance.""Yuan Shao, his sword still unsheathed, left the assembly. He hung up the seals of his office at the east gate and went to Jizhou Region. Dong Zhuo said to Imperial Guardian Yuan Wei, ""Your nephew behaved improperly, but I pardon him for your sake. What think you of my scheme?""""What you think is right,"" was the reply.""If anyone opposes the great scheme, he will be dealt with by military law!"" said Dong Zhuo.The ministers, thoroughly dreaded, promised obedience, and the feast came to an end. Dong Zhuo asked Counselor Zhou Bi and Commander Wu Qiong what they thought of the flight of Yuan Shao.Zhou Bi said, ""He left in a state of great anger. In such a state of excitement much harm may ensue to the present state of affairs, especially as the Yuan family have been noted for their high offices for four generations, and their proteges and dependents are everywhere. If they assemble bold people and call up their clients, all the valiant warriors will be in arms, and the whole Shandong Mountains will be lost. You had better pardon Yuan Shao and give him a post. He will be glad at being forgiven and will do no harm.""Wu Qiong said, ""Yuan Shao is fond of scheming, but he fails in decision and so is not to be feared. But it would be well to give him rank and thus win popular favor."""
卓從之，即日差人拜紹為渤海太守。九月朔，請帝陞嘉德殿，大會文武。卓拔劍在手，對眾曰：「天子闇弱，不足以君天下。今有策文一道，宜為宣讀。」乃令李儒讀策曰：「孝靈皇帝，早棄臣民；皇帝，海內仰望。而帝天資輕佻，威儀不恪，居喪慢惰：否德既彰，有忝大位。皇太后教無母儀，統政荒亂。永樂太后暴崩，眾論惑焉。三綱之道，天地之紀，毋乃有闕？陳留王協，聖德偉懋，規矩肅然；居喪哀戚，言不以邪；休聲美譽，天下所聞：宜承洪業，為萬世統。茲廢皇帝為弘農王，皇太后還政。請奉陳留王為皇帝，應天順人，以慰生靈之望。」,"Dong Zhuo followed this advice, and within that day sent a messenger to offer Yuan Shao the governorship of Bohai. On the first day of the ninth month, the Emperor was invited to proceed to the Hall of Virtue where was a great assembly of officials. There Dong Zhuo, sword in hand, faced the gathering and said, ""The Emperor is a weakling unequal to the burden of ruling this land. Now listen ye to the document I have prepared!""And Li Ru read as follows: ""The dutiful Emperor Ling too soon left his people. The emperor is the cynosure of all the people of this land. Upon the present Emperor Bian, Heaven has conferred but small gifts: In dignity and deportment he is deficient, and in mourning he is remiss. Only the most complete virtue can grace imperial dignity. Empress He has trained him improperly, and the whole state administration has fallen into confusion. Empress Dong died suddenly and no one knew why. The doctrine of the three bonds —-Heaven, Earth, and Human —-and the continuity of Heaven and Earth interdependence have both been injured.""But Liu Xian, Prince of Chenliu, is sage and virtuous beside being of handsome exterior. He conforms to all the rules of propriety: His mourning is sincere, and his speech is always correct. Eulogies of him fill the empire. He is well fitted for the great duty of consolidating the rule of Han.""Now therefore the Emperor is deposed and created Prince of Hongnong, and Empress He retires from the administration.""I pray the Prince of Chenliu to accept the throne in conformity with the decrees of Heaven and Earth, the desires of people, and the fulfillment of the hopes of humankind."""
李儒讀策畢，卓叱左右扶帝下殿，解其璽綬，北面長跪，稱臣聽命。又呼太后去服候敕。帝后皆號哭。群臣無不悲慘。階下一大臣，憤怒高叫曰：「賊臣董卓，敢為欺天之謀，吾當以頸血濺之！」揮手中象簡，直擊董卓。卓大怒，喝武士拏下，乃尚書丁管也。卓命牽出斬也。管罵不絕口，至死神色不變。後人有詩歎曰：,"This having been read, Dong Zhuo bade the officials lead the Emperor down from the throne, remove his seal, and cause him to kneel facing the north, styling himself faithful servant of the Throne and requesting commands. Moreover Dong Zhuo bade Empress He strip off her royal dress of ceremony and await the imperial command. Both victims of this oppression wept bitterly, and every minister present was deeply affected. One minister put his discontent into words, crying, ""The false Dong Zhuo is the author of this insult, which I will risk my life to wipe away!"" And with this he rushed at Dong Zhuo threatening with his ivory baton of office. It was Chair of the Secretariat Ding Guan. Dong Zhuo had Ding Guan removed and summarily put to death. Before his death, Ding Guan ceased not to rail at the oppressor, nor was he frightened at death."
董賊潛懷廢立圖，漢家宗社委丘墟。滿朝臣宰皆囊括，惟有丁公是丈夫。,"The rebel Dong Zhuo conceived the foul designTo thrust the King aside and wrong his line.With folded arms the courtiers stood, save oneDing Guan, who dared to cry that wrong was done."
卓請陳留王登殿。群臣朝賀畢，卓命扶何太后并弘農王及帝妃唐氏於永安宮閒住，封鎖宮門，禁群臣無得擅入。可憐少帝四月登基，至九月即被廢。卓所立陳留王協，表字伯和，靈帝中子，即獻帝也，時年九歲。改元初平。董卓為相國，贊拜不名，入朝不趨，劍履上殿，威福莫比。李儒勸卓擢用名流，以收人望，因薦蔡邕之才。卓命徵之，邕不赴。卓怒，使人謂邕曰：「如不來，當滅汝族。」邕懼，只得應命而至。卓見邕大喜，一月三遷其官，拜為侍中，甚見親厚。,"Then the emperor designate, Prince of Chenliu, went to the upper part of the hall to receive congratulations. After this the former Emperor —-now Prince of Hongnong —-, his mother, and the Imperial Consort, Lady Tang, were removed to the Palace of Forever Calm. The entrance gates were locked against all comers.It was pitiful! There was the young emperor, after reigning less than half a year, deposed and another put in his place. The new Emperor was Liu Xian, the second son of the late Emperor Ling. He was nine years of age, five years younger than his deposed brother. The new reign-style was changed to Inauguration of Tranquillity, the first year (AD 190).Becoming the Prime Minister, Dong Zhuo was most powerful and arrogant. When he bowed before the throne, he did not declare his name. In going to court he did not hasten. Booted and armed he entered the reception halls. He amassed a wealth exceeding any other's.His adviser, Li Ru, impressed upon Dong Zhuo constantly to employ people of reputation so that he should gain public esteem. Therefore, Dong Zhuo restored many offices of those who had been victims of the eunuchs. For those who had died, he gave ranks and positions to their progeny. When they told him Cai Yong was a man of talent, Dong Zhuo summoned him. But Cai Yong would not go. Dong Zhuo sent a message to him that if he did not come, he and his whole clan should be exterminated. Then Cai Yong gave in and appeared. Dong Zhuo was very gracious to him and promoted him thrice in a month. Cai Yong became Court Counselor. Such was the generosity of the Prime Minister."
卻說少帝與何太后、唐妃困於永安宮中，衣服飲食，漸漸欠缺；少帝淚不曾乾。一日，偶見雙燕飛於庭中，遂吟詩一首。詩曰：,"Meanwhile the deposed ruler, his mother, and his consort were immured in the Palace of Forever Calm and found their daily supplies gradually diminishing. The deposed Emperor wept incessantly. One day a pair of swallows gliding to and fro moved him to verse:"
嫩草綠凝煙，裊裊雙飛燕。洛水一條青，陌上人稱羨。遠望碧雲深，是吾舊宮殿。何人仗忠義，洩我心中怨！,"""Spring and the green of the tender grass,Flushes with joy as the swallows pass;The wayfarers pause by the rippling stream,And their eyes will new born gladness gleam;With lingering gaze the roofs I seeOf the Palace that one time sheltered me.But those whom I sheltered in all righteousness,Let's not stay in silence when the days pass useless?"""
董卓時常使人探聽。是日獲得此詩，來呈董卓。卓曰：「怨望作詩，殺之有名矣。」遂命李儒帶武士十人，入宮弒帝。帝與后、妃正在樓上，宮女報李儒至，帝大驚。儒以鴆酒奉帝，帝問何故。儒曰：「春日融和，董相國特上壽酒。」太后曰：「既云壽酒，汝可先飲。」儒怒曰：「汝不飲耶？」呼左右持短刀白練於前曰：「壽酒不飲，可領此二物！」唐妃跪告曰：「妾身代帝飲酒，願公存母子性命。」儒叱曰：「汝何人，可代王死？」乃舉酒與何太后曰：「汝可先飲！」后大罵何進無謀，引賊入京，致有今日之禍。儒催逼帝，帝曰：「容我與太后作別。」乃大慟而作歌。其歌曰：,"The messenger, sent by Dong Zhuo from time to time to the palace for news of the prisoners, got hold of this poem and showed it to his master. ""So he shows his resentment by writing poems, eh! A fair excuse to put them all out of the way,"" said Dong Zhuo.Li Ru was sent with ten men into the palace to consummate the deed. The three were in one of the upper rooms when Li Ru arrived. The Emperor shuddered when the maid announced the visitor's name. Presently Li Ru entered and offered a cup of poisoned wine to the Emperor. The Emperor asked what this meant.""Spring is the season of blending and harmonious interchange, and the Prime Minister sends a wine cup of longevity,"" said Li Ru.""If it be the wine of longevity, you may share it too,"" said Empress He. Then Li Ru became brutally frank.""You will not drink?"" asked he. He called the men with daggers and cords and bade the Emperor look at them. ""The cup, or these?"" said he.Then said Lady Tang, ""Let the handmaid drink in place of her lord. Spare the mother and her son, I pray!""""And who may you be to die for a prince?"" said Li Ru.Then he presented the cup to the Empress once more and bade her drink. She railed against her brother, the feckless He Jin, the author of all this trouble. She would not drink. Next Li Ru approached the Emperor.""Let me say farewell to my mother,"" begged he, and he did so in these lines:"
天地易兮日月翻，棄萬乘兮退守藩。為巨逼兮命不久，大勢去兮空淚潸！,"""The heaven and earth are changed,Alas! the sun and the moon leave their courses,I, once the center of all eyes, am driven to the farthest confines,Oppressed by an arrogant minister my life nears its end,Everything fails me and vain are my falling tears."""
唐妃亦作歌曰：,Lady Tang sang:
