chinese,english
卻說鍾縉、鍾紳，二人攔住趙雲廝殺。趙雲挺槍便刺。鍾縉當先揮大斧來迎。兩馬相交，戰不三合，被雲一槍刺落馬下，奪路便走。背後鍾紳持戟趕來，馬尾相衝，那枝戟只在趙雲後心內弄影。雲急撥轉馬頭，恰好兩胸相拍。雲左手持槍隔過畫戟，右手拔出青釭寶劍砍去，帶盔連腦，砍去一半，紳落馬而死，餘眾奔散。趙雲得脫，望長板橋而走。只聞後面喊聲大震。原來文聘引軍趕來。趙雲到得橋邊，人困馬乏。見張飛挺矛立馬於橋上，雲大呼曰：「翼德援我！」飛曰：「子龍速行，追兵我自當之。」,"As related in the last chapter two generals appeared in front of Zhao Zilong, who rode at them with his spear ready for a thrust. Zhong Jin was leading, flourishing his battle-ax. Zhao Zilong engaged and very soon unhorsed him. Then Zhao Zilong galloped away. Zhong Shen rode up behind ready with his halberd, and his horse's nose got so close to the other's tail that Zhao Zilong could see in his armor the reflection of the play of Zhong Shen's weapon. Then suddenly, and without warning, Zhao Zilong wheeled round his horse so that he faced his pursuer, and their two steeds struck breast to breast. With his spear in his left hand, Zhao Zilong warded off the halberd strokes, and in his right he swung the blue blade sword. One slash and he had cut through both helmet and head. Zhong Shen fell to the ground, a corpse with only half a head on his body. His followers fled, and Zhao Zilong retook the road toward Long Slope Bridge.But in his rear arose another tumultuous shouting, seeming to rend the very sky, and Wen Ping came up behind. However, although the man was weary and his steed spent, Zhao Zilong got close to the bridge where he saw standing, all ready for any fray, Zhang Fei.""Help me, Zhang Fei!"" he cried and crossed the bridge.""Hasten!"" cried Zhang Fei, ""I will keep back the pursuers!"""
雲縱馬過橋，行二十餘里，見玄德與眾人憩於樹下。雲下馬伏地而泣。玄德亦泣。雲喘息而言曰：「趙雲之罪，萬死猶輕！糜夫人身帶重傷，不肯上馬，投井而死。雲只得推土牆掩之；懷抱公子，身突重圍；賴主公洪福，幸而得脫。適纔公子尚在懷中啼哭，此一會不見動靜，想是不能保也。」遂解視之。原來阿斗正睡著未醒。雲喜曰：「幸得公子無恙！」雙手遞與玄德。玄德接過，擲之於地曰：「為汝這孺子，幾損我一員大將！」趙雲忙向地下抱起阿斗，泣拜曰：「雲雖肝腦塗地，不能報也！」後人有詩曰：,"About seven miles from the bridge, Zhao Zilong saw Liu Bei with his followers reposing in the shade of some trees. He dismounted and drew near, weeping. The tears also started to Liu Bei's eyes when he saw his commander.Still panting from his exertions, Zhao Zilong gasped out, ""My fault —-death is too light a punishment. Lady Mi was severely wounded. She refused my horse and threw herself into a well. She is dead, and all I could do was to fill in the well with the rubbish that lay around. But I placed the babe in the breast of my fighting robe and have won my way out of the press of battle. Thanks to the little lord's grand luck I have escaped. At first he cried a good deal, but for some time now he has not stirred or made a sound. I fear I may not have saved his life after all.""Then Zhao Zilong opened his robe and looked: The child was fast asleep.""Happily, Sir, your son is unhurt,"" said Zhao Zilong as he drew him forth and presented him in both hands.Liu Bei took the child but threw it aside angrily, saying, ""To preserve that suckling I very nearly lost a great general!""Zhao Zilong picked up the child again and, weeping, said, ""Were I ground to powder, I could not prove my gratitude."""
曹操軍中飛虎出，趙雲懷內小龍眠。無由撫慰忠臣意，故把親兒擲馬前。,"From out Cao Cao's host a tiger rushed,His wish but to destroy;Though Liu Bei's consort lost her life,Zhao Zilong preserved her boy.""Too great the risk you ran to saveThis child,"" the father cried.To show he rated Zhao Zilong high,He threw his son aside."
卻說文聘引軍追趙雲至長板橋，只見張飛倒豎虎鬚，圓睜環眼，手綽蛇矛，立馬橋上；又見橋東樹林之後，塵頭大起，疑有伏兵，便勒住馬不敢近前。,"Wen Ping and his company pursued Zhao Zilong till they saw Zhang Fei's bristling mustache and fiercely glaring eyes before them. There he was seated on his battle steed, his hand grasping his terrible serpent spear, guarding the bridge. They also saw great clouds of dust rising above the trees and concluded they would fall into an ambush if they ventured across the bridge. So they stopped the pursuit, not daring to advance further."
俄而曹仁、李典、夏侯惇、夏侯淵、樂進、張遼、張郃、許褚等都至。見飛怒目橫矛，立馬於橋上，又恐是諸葛孔明之計，都不敢近前，紮住陣腳，一字兒擺在橋西，使人飛報曹操。操聞知，急上馬，從陣後來。張飛圓睜環眼，隱隱見後軍青羅傘蓋、旄鉞旌旗來到，料得是曹操心疑，親自來看。飛乃厲聲大喝曰：「我乃燕人張翼德也！誰敢與我決一死戰？」聲如巨雷。曹軍聞之，盡皆股栗。曹操急令去其傘蓋，回顧左右曰：「我向曾聞雲長言，翼德於百萬軍中，取上將之首，如探囊取物。今日相逢，不可輕敵。」,"In a little time Cao Ren, Xiahou Dun, Xiahou Yuan, Li Dian, Yue Jing, Zhang Liao, Xu Chu, Zhang He, and other generals of Cao Cao came up, but none dared advance, frightened not only by Zhang Fei's fierce look, but lest they should become victims of a ruse of Zhuge Liang. As they came up, they formed a line on the west side, halting till they could inform their lord of the position.As soon as the messengers arrived and Cao Cao heard about it, he mounted and rode to the bridge to see for himself. Zhang Fei's fierce eye scanning the hinder position of the army opposite him saw the silken umbrella, the axes and banners coming along, and concluded that Cao Cao came to see for himself how matters stood.So in a mighty voice he shouted: ""I am Zhang Fei of Yan. Who dares fight with me?""At the sound of this thunderous voice, a terrible quaking fear seized upon Cao Cao, and he bade them take the umbrella away.Turning to his followers, he said, ""Guan Yu had said that his brother Zhang Fei was the sort of man to go through an army of a hundred legions and take the head of its commander-in-chief, and do it easily. Now here is this terror in front of us, and we must be careful."""
言未已，張飛睜目又喝曰：「燕人張翼德在此！誰敢來決死戰？」曹操見張飛如此氣概，頗有退心。飛望見曹操後軍陣腳移動，乃挺矛又喝曰：「戰又不戰，退又不退，卻是何故！」,"As he finished speaking, again that terrible voice was heard, ""I am Zhang Fei of Yan.Who dares fight with me?""Cao Cao, seeing his enemy so fierce and resolute, was too frightened to think of anything but retreat.Zhang Fei, seeing a movement going on in the rear, once again shook his spear and roared, ""What mean you? You will not fight nor do you run away!"""
喊聲未絕，曹操身邊夏侯傑驚得肝膽碎裂，倒撞於馬下。操便回馬而走。於是諸軍眾將一齊望西逃奔。正是：黃口孺子，怎聞霹靂之聲；病體樵夫，難聽虎豹之吼。一時棄槍落盔者，不計其數。人如潮湧，馬似山崩，自相踐踏。後人有詩曰：,"This roar had scarcely begun when one of Cao Cao's staff, Xiahou Jie, reeled and fell from his horse terror-stricken, paralyzed with fear. The panic touched Cao Cao and spread to his whole surroundings, and he and his staff galloped for their lives. They were as frightened as a suckling babe at a clap of thunder or a weak woodcutter at the roar of a tiger. Many threw away their spears, dropped their casques and fled, a wave of panic-stricken humanity, a tumbling mass of terrified horses. None thought of ought but flight, and those who ran trampled the bodies of fallen comrades under foot."
長板橋頭殺氣生，橫槍立馬眼圓睜。一聲好似轟雷震，獨退曹家百萬兵。,"Zhang Fei was wrathful; and who daredTo accept his challenge? Fierce he glared;His thunderous voice rolled out, and thenIn terror fled Cao Cao's armed soldiers."
卻說曹操懼張飛之威，驟馬望西而走，冠簪盡落，披髮奔逃。張遼、許褚趕上扯住轡環。曹操倉皇失措。張遼曰：「丞相休驚。料張飛一人，何足深懼！今急回軍殺去，劉備可擒也。」曹操方纔神色稍定，乃令張遼、許褚再至長板橋探聽消息。,"Panic-stricken Cao Cao galloped westward with the rest, thinking of nothing but getting away. He lost his headdress, and his loosened hair streamed behind him.Presently Zhang Liao and Xu Chu came up with him and seized his bridle; fear had deprived him of all self-control.""Do not be frightened,"" said Zhang Liao. ""After all Zhang Fei is but one man and not worthy of extravagant fear. If you will only return and attack, you will capture your enemy.""That time Cao Cao had somewhat overcome his panic and become reasonable. Two generals were ordered back to the bridge to reconnoiter."
且說張飛見曹軍一擁而退，不敢追趕，速喚回原隨二十餘騎，解去馬尾樹枝，令將橋梁拆斷，然後回馬來見玄德，具言斷橋一事。玄德曰：「吾弟勇則勇矣，惜失於計較。」飛問其故。玄德曰：「曹操多謀：汝不合拆斷橋梁。彼必追至矣。」飛曰：「他被我一喝，倒退數里，何敢再追？」玄德曰：「若不斷橋，彼恐有埋伏，不敢進兵；今拆斷了橋，彼料我無軍而怯，必來追趕。彼有百萬之眾，雖涉江漢，可填而過，豈懼一橋之斷耶？」於是即刻起身，從小路斜投漢津，望沔陽路而走。,"Zhang Fei saw the disorderly rout of the enemy but he dared not pursue. However, he bade his score or so of dust-raising followers to cut loose the branches from their horses' tails and come to help destroy the bridge. This done he went to report to his brother and told him of the destruction of the bridge.""Brave as you are, brother, and no one is braver, but you are no strategist,"" said Liu Bei.""What mean you, brother?""""Cao Cao is very deep. You are no match for him. The destruction of the bridge will bring him in pursuit.""""If he ran away at a yell of mine, think you he will dare return?""""If you had left the bridge, he would have thought there was an ambush and would not have dared to pass it. Now the destruction of the bridge tells him we are weak and fearful, and he will pursue. He does not mind a broken bridge. His legions could fill up the biggest rivers that we could get across.""So orders were given to march, and they went by a bye-road which led diagonally to Hanjin by the road of Minyang."
卻說曹操使張遼、許褚探長板橋消息，回報曰：「張飛已拆斷橋梁而去矣。」操曰：「彼斷橋而去，乃心怯也。」遂傳令差一萬軍，速搭三座浮橋，只今夜就要過。李典曰：「此恐是諸葛亮之詐謀，不可輕進。」操曰：「張飛一勇之夫，豈有詐謀？」遂傳下號令，火速進兵。,"The two generals sent by Cao Cao to reconnoiter near Long Slope Bridge returned, saying, ""The bridge has been destroyed. Zhang Fei has left.""""Then he is afraid,"" said Cao Cao.Cao Cao at once gave orders to set ten thousand men at work on three floating bridges to be finished that night.Li Dian said, ""I fear this is one of the wiles of Zhuge Liang. So be careful.""""Zhang Fei is just a bold warrior, but there is no guile about him,"" said Cao Cao. He gave orders for immediate advance."
卻說玄德行近漢津，忽見後面塵頭大起，鼓聲連天，喊聲震地。玄德曰：「前有大江，後有追兵，如之奈何？」急命趙雲準備抵敵。曹操下令軍中曰：「今劉備釜中之魚，阱中之虎；若不就此時擒捉，如放魚入海，縱虎歸山矣。眾將可努力向前。」眾將領令，一個個奮威追趕。忽山坡後鼓聲響處，一隊軍馬飛出，大叫曰：「我在此等候多時了！」,"Liu Bei was making all speed to Hanjin. Suddenly there appeared in his track a great cloud of dust whence came loud rolls of drums and shoutings.Liu Bei was dismayed and said, ""Before us rolls the Great River; behind is the pursuer. What hope is there for us?""But he bade Zhao Zilong organize a defense.Now Cao Cao in an order to his army had said, ""Liu Bei is a fish in the fish kettle, a tiger in the pit. Catch him this time, or the fish will get back to the sea and the tiger escape to the mountains. Therefore every general must use his best efforts to press on.""In consequence every leader bade those under him hasten forward. And they were pressing on at great speed, when suddenly a body of soldiers appeared from the hills and a voice cried, ""I have waited here a long time!"""
