chinese,english
且說董卓字仲顈，隴西臨洮人也。官拜河東太守，自來驕傲。當日怠慢了玄德，張飛性發，便欲殺之。玄德與關公急止之曰：「他是朝廷命官，豈可擅殺？」飛曰：「若不殺這廝，反要在他部下聽令，其實不甘！二兄要便住在此，我自投別處去也！」玄德曰：「我三人義同生死，豈可相離？不若都投別處去便了。」飛曰：「若如此，稍解吾恨。」,"Dong Zhuo was born in the far northwest at Lintao in the West Valley Land. As the Governor of Hedong, Dong Zhuo himself was arrogant and overbearing. But the day he had treated Liu Bei with contumely had been his last, had not Liu Bei and Guan Yu restrained their wrathful brother Zhang Fei.""Remember he has the government commission,"" said Liu Bei. ""Who are we to judge and slay?""""It is bitter to take orders from such a wretch. I would rather slay him! You may stay here if you wish to, but I will seek some other place,"" said Zhang Fei.""We three are one in life and in death; there is no parting for us. We will all go hence.""So spoke Liu Bei, and his brother was satisfied."
於是三人連夜引軍來投朱雋。雋待之其厚，合兵一處，進討張寶。是時曹操自跟皇甫嵩討張梁，大戰於曲陽。這裏朱雋進攻張寶。張寶引賊眾八九萬，屯於山後。雋令玄德為其先鋒，與賊對敵。張寶遣副將高昇出馬搦戰。玄德使張飛擊之。飛縱馬挺矛，與昇交戰，不數合，刺昇落馬。玄德麾軍直衝過去。張寶就馬上披髮仗劍，作起妖法。只見風雷大作，一股黑氣，從天而降：黑氣中似有無限人馬殺來。玄德連忙回軍，軍中大亂，敗陣而歸，與朱雋計議。雋曰：「彼用妖術，我來日可宰豬羊狗血，令軍士伏於山頭；候賊趕來，從高坡上潑之，其法可解。」,"Wherefore all three set out and lost no time in traveling until they came to Zhu Jun, who received them well and accepted their aid in attacking Zhang Bao. At this time Cao Cao had joined himself to Huangfu Song, and they were trying to destroy Zhang Lian, and there was a great battle at Quyang.Zhang Bao was commanding some eighty thousand troops. The rebel had led his army to a strong position in the rear of the hills. An attack being decided upon, Liu Bei was the van leader. On the rebel side a general of Zhang Bao, Gao Sheng, came out to offer battle. Liu Bei sent Zhang Fei to smite Gao Sheng. Out rode Zhang Fei at full speed, his spear ready set. After a few bouts Zhang Fei wounded Gao Sheng, who was unhorsed. At this Liu Bei signaled the main army to advance.Then Zhang Bao, while still mounted, loosened his hair, grasped his sword, and uttered his incantations. Thereupon began the wind to howl and the thunder to roll, while a dense black cloud from the heavens settled upon the field. And therein seemed to be horsemen and footmen innumerable, who swept to attack the imperial troops. Fear came upon them, and Liu Bei led off his troops, but they were in disorder and returned defeated. Zhu Jun and Liu Bei considered the matter.""Zhang Bao uses magic,"" said Zhu Jun. ""Tomorrow, then, will I prepare counter magic in the shape of the blood of slaughtered swine and goats. This blood shall be sprinkled upon their hosts from the precipices above by soldiers in ambush. Thus shall we be able to break the power of their shamanic art."""
玄德聽令，撥關公、張飛各引軍一千，伏於山後高岡之上，盛豬羊狗血並穢物準備。次日，張寶搖旗擂鼓，引軍搦戰，玄德出迎。交鋒之際，張寶作法，風雷大作，飛砂走石，黑氣漫天，滾滾人馬，自天而下。玄德撥馬便走，張寶驅兵趕來。將過山頭，關、張伏軍放起號砲，將穢物齊潑。但見空中紙人草馬，紛紛墜地；風雷頓息，砂石不飛。張寶見解了法，急欲退軍。左關公，右張飛，兩軍都出，背後玄德、朱雋一齊趕上，賊兵大敗。玄德望見地公將軍旗號，飛馬趕來，張寶落荒而走。玄德發箭，中其左臂。張寶帶箭逃脫，走入陽城，堅守不出。朱雋引兵圍住陽城攻打，一面差人打探皇甫嵩消息。,"So it was done. Guan Yu and Zhang Fei took each a thousand troops and hid them on the high cliffs behind the hills, and they had a plentiful supply of the blood of swine and goats and all manners of filthy things. And so next day, when the rebels with fluttering banners and rolling drums came out to challenge, Liu Bei rode forth to meet them. At the same moment that the armies met, again Zhang Bao began his magic and again the elements began to struggle together. Sand flew in clouds, pebbles were swept along the ground, black masses of vapor filled the sky, and rolling masses of foot and horse descended from on high. Liu Bei turned, as before, to flee and the rebels rushed on. But as they pressed through the hills, the trumpets blared, and the hidden soldiers exploded bombs, threw down filth and spattered blood. The masses of soldiers and horses in the air fluttered to the earth as fragments of torn paper, the wind ceased to blow, the thunder subsided, the sand sank, and the pebbles lay still upon the ground.Zhang Bao quickly saw his magic had been countered and turned to retire. Then he was attacked on the flanks by Guan Yu and Zhang Fei, and in rear by Liu Bei and Zhu Jun. The rebels were routed. Liu Bei, seeing from afar the banner of Zhang Bao The Lord of Earth, galloped toward it but only succeeded in wounding Zhang Bao with an arrow in the left arm. Wounded though he was, Zhang Bao got away into the city of Yangcheng, where he fortified himself and was besieged by Zhu Jun."
探子回報，具說：「皇甫嵩大獲勝捷，朝廷以董卓屢敗，命嵩代之。嵩到時，張角已死；張梁統其眾，與我軍相拒，被皇甫嵩連勝七陣，斬張梁於曲陽。發張角之棺，戮屍梟首，送往京師。餘眾俱降。朝廷加皇甫嵩為車騎將軍，領冀州牧。皇甫嵩又表奏盧植有功無罪，朝廷復盧植原官。曹操亦以有功，除濟南相，即日將班師赴任。」朱雋聽說，催促軍馬，悉力攻打陽城。賊勢危急，賊將嚴政，刺殺張寶，獻首投降。朱雋遂平數郡，上表獻捷。,"Scouts, sent out to get news of Huangfu Song, reported: ""Commander Huangfu Song had been very successful, and Dong Zhuo had suffered many reverses. Therefore the court put Huangfu Song in the latter's place. Zhang Jue had died before Huangfu Song's arrival. Zhang Lian had added his brother's army to his own, but no headway could be made against Huangfu Song, whose army gained seven successive victories. And Zhang Lian was slain at Quyang. Beside this, Zhang Jue's coffin was exhumed, the corpse beheaded, and the head, after exposure, was sent to Capital Luoyang. The common crowd had surrendered. For these services Huangfu Song was promoted to General of the Flying Chariots and the Imperial Protector of Jizhou.""Huangfu Song did not forget his friends. His first act after he had attained to power was to memorialize the Throne concerning the case of Lu Zhi, who was then restored to his former rank for his meritorious conduct. Cao Cao also received advancement for his services and is preparing to go to Jinan to his new post.""Hearing these things Zhu Jun pressed harder yet upon Yangcheng, and the approaching break-up of the rebellion became evident. Then one of Zhang Bao's officers, Yan Zheng, killed his leader and brought the head in token of submission. Thus rebellion in that part of the country was stamped out, and Zhu Jun made his report to the government."
時又黃巾餘黨三人，─趙弘、韓忠、孫仲─，聚眾數萬，望風燒劫，稱與張角報讎。朝廷命朱雋即以得勝之師討之。雋奉詔，率軍前進。時賊據宛城，雋引兵攻之，趙弘遣韓忠出戰。雋遣玄德、關、張攻城西南角。韓忠盡率精銳之眾，來西南角抵敵。朱雋自縱鐵騎二千，逕取東北角。賊恐失城，急棄西南而回。玄德從背後掩殺，賊眾大敗，奔入宛城。朱雋分兵四面圍定，城中斷糧，韓忠使人出城投降。雋不許。玄德曰：「昔高祖之得天下，蓋為能招降納順；公何拒韓忠耶？」雋曰：「彼一時，此一時也。昔秦項之際，天下大亂，民無定主，故招降賞附，以勸來耳。今海內一統，惟黃巾造反；若容其降，無以勸善。使賊得利恣意劫掠，失利便投降：此長寇之志，非良策也。」玄德曰：「不容寇降是矣。今四面圍如鐵桶，賊乞降不得，必然死戰，萬人一心，尚不可當，況城中有數萬死命之人乎？不若撤去東南，獨攻西北。賊必棄城而走，無心戀戰，可即擒也。」,"However, the embers of the Yellow Scarves still smoldered. Three other rebels, Zhao Hong, Han Zhong, and Sun Zhong, gathered some thirty thousand rebels and began to murder and rob and burn, calling themselves the avengers of Master Zhang Jue.The court commanded the successful Zhu Jun to lead his veteran and successful troops to destroy the rebels. He at once marched toward the city of Wancheng which the rebels were holding. When Zhu Jun arrived, Han Zhong went to oppose him. Zhu Jun sent Liu Bei and his brothers to attack the southwest corner of the city. Han Zhong at once led the best of his troops to defend the city. Meanwhile Zhu Jun himself led two thousand of armored horsemen to attack the opposite corner. The rebels, thinking the city being lost, abandoned the southwest and turned back into the city to help the defenders. Liu Bei pressed hotly in their rear, and they were utterly routed. They took refuge in the city which was then invested. When famine pressed upon the besieged, they sent a messenger to offer to surrender, but Zhu Jun refused the offer.Said Liu Bei to Zhu Jun, ""Seeing that the founder of the Han Dynasty, Liu Bang the Supreme Ancestor, could welcome the submissive and receive the favorable, why reject these?""""The conditions are different,"" replied Zhu Jun. ""In those old days disorder was universal and the people had no fixed lord. Wherefore submission was welcomed and support rewarded to encourage people to come over. Now the empire is united, and the Yellow Scarves are the only malcontents. To receive their surrender is not to encourage the good. To allow brigands, when successful, is to give way to every license, and to let them surrender when they fail is to encourage brigandage. Your plan is not a good one.""Liu Bei replied, ""Not to let brigands surrender is well. But the city is surrounded as by an iron barrel. If the rebels' request be refused, they will be desperate and fight to the death, and we can hardly withstand a myriad of such men. Moreover, in the city there are many times that number, all doomed to death. Let us withdraw from one corner and only attack the opposite. They will all assuredly flee and have no desire to fight. We shall take them."""
雋然之，隨撤東南二面軍馬，一齊攻打西北。韓忠果引軍棄城而奔。雋與玄德、關、張率三軍掩殺，射死韓忠，餘皆四散奔走。,"Zhu Jun saw that the advice was good and followed it. As predicted the rebels ran out, led by Han Zhong. The besiegers fell upon them as they fled, and Han Zhong was slain. The rebels scattered in all directions."
正追趕間，趙弘、孫仲引賊眾到，與雋交戰。雋見弘勢大，引軍暫退。弘乘勢復奪宛城。雋離十里下寨，方欲攻打，忽見正東一彪人馬到來。為首一將，生得廣額闊面，虎體熊腰；吳郡富春人也：姓孫，名堅，字文臺，乃孫武子之後。年十七歲，與父至錢塘，見海賊十餘人，劫取商人財物，於岸上分贓。堅謂父曰：「此賊可擒也。」遂奮力提刀上岸，揚聲大叫，東西指揮，如喚人狀。賊以為官兵至，盡棄財物奔走。堅趕上，殺一賊。由是郡縣知名，薦為校尉。後會稽妖賊許昌造反，自稱陽明皇帝，聚眾數萬；堅與郡司馬招募勇士千餘人，會合州郡破之，斬許昌并其子許韶。刺史臧旻上表奏其功，除堅為鹽瀆丞，又除盱眙丞、下邳丞。今見黃巾寇起，聚集鄉中少年及諸商旅，并淮泗精兵一千五百餘人，前來接應。,"But the other two rebel chieftains, Zhao Hong and Sun Zhong, came with large reinforcements, and as they appeared very strong, the imperial soldiers retired, and the new body of rebels reentered Wancheng. Zhu Jun encamped three miles from the city and prepared to attack. Just then there arrived a body of horse and foot from the east. At the lead was one general with a broad open face, a body as an alert tiger's, and a torso as a lofty bear's . His name was Sun Jian. He was a native of Fuchun in the old state of Wu, a descendant of the famous Sun Zi the Strategist.When he was seventeen, Sun Jian was with his father on the River Qiantang and saw a party of pirates, who had been plundering a merchant, dividing their booty on the river bank. ""We can capture these!"" said he to his father. So, gripping his sword, he ran boldly up the bank and cried out to this side and that as if he was calling his men to come on. This made the pirates believe the soldiers were on them and they fled, leaving their booty behind them. He actually killed one of the pirates. In this way be became known and was recommended for office.Then, in collaboration with the local officials, he raised a band of one thousand and helped to quell the rebellion of one Xu Chang, who called himself the Sun Emperor and had ten thousand supporters. The rebel's son Xu Hao was also slain with his father. For this Sun Jian was commended by Imperial Protector Zang Min in a memorial to the Throne, and he received further promotion to the post of magistrate of Yandu, then of Xuyi, and then of Xiapi.When the Yellow Scarves rebellion began, Sun Jian gathered together the youths of his village, some of the merchant class, got a troop of one thousand five hundred of veteran soldiers and took the field. Now he had reached the fighting area."
朱雋大喜，便令堅攻打南門，玄德打北門，朱雋打西門，留東門與賊走。孫堅首先登城，斬賊二十餘人，賊眾奔潰。趙弘飛馬突槊，直取孫堅。堅從城上飛身奪弘槊，刺弘下馬；卻騎弘馬，飛身往來殺賊。孫仲引賊突出北門，正迎玄德，無心戀戰，只待奔逃。玄德張弓一箭，正中孫仲，翻身落馬。朱雋大軍，隨後掩殺，斬首數萬級，降者不可勝計。南陽一路，十數郡皆平。雋班師回京，詔封為車騎對軍，河南尹。雋表奏孫堅、劉備等功。堅有人情，除別郡司馬上任去了；惟玄德聽候日久，不得除授。,"Zhu Jun welcomed Sun Jian gladly and ordered him to attack the south gate of Wancheng. The north and the west gates were simultaneously attacked by Liu Bei and Zhu Jun, but the east gate was left free to give the rebels a chance of exit. Sun Jian was the first to mount the wall and cut down more than twenty rebels with his own sword. The rebels ran, but the leader Zhao Hong rode directly at Sun Jian with his spear ready to thrust. Sun Jian leaped down from the wall, snatched away the spear and with it knocked Zhao Hong from the horse. Then Sun Jian, mounting Zhao Hong's horse, rode hither and thither, slaying as he went.The rebels fled north. Meeting Liu Bei, they declined to fight and scattered. But Liu Bei drew his bow, fitted an arrow, and shot their leader Sun Zhong, who fell to the ground. The main army of Zhu Jun came up, and after tremendous slaughter, the rebels surrendered. Thus was peace brought to the ten counties about the Nanyang area.Zhu Jun returned to Capital Luoyang, was promoted to the General of the Flying Cavalry, and received the governorship of Henan. He did not forget those who had helped him to win victory. Thus he reported the merits of Liu Bei and Sun Jian to the Throne.Sun Jian, having influential friends and connections to support him, quickly got an appointment to a post of Commander of Changsha and went to assume the new office. But Liu Bei, in spite of Zhu Jun's memorial, waited in vain for preferment."
三人鬱鬱不樂，上街閒行，正值郎中張鈞車到。玄德見之，自陳功績。鈞大驚，隨入朝見帝曰：「昔黃巾造反，其原皆由十常侍賣官鬻爵，非親不用，非讎不誅，以致天下大亂。今宜斬十常侍，懸首南郊，遣使者布告天下，有功者重加賞賜，則四海自清平也。」十常侍奏帝曰：「張鈞欺主。」帝令武士逐出張鈞。十常侍共議：「此必破黃巾有功者，不得除授，故生怨言。權且教省家銓注微名，待後卻再理會未晚。」因此玄德除授定州中山府安喜縣尉，剋日赴任。玄德將兵散回鄉里，止帶親隨二十餘人，與關、張來安喜縣中到任。署縣事一月，與民秋毫無犯，民皆感化。到任之後，與關、張食則同桌，寢則同床。如玄德在稠人廣坐，關、張侍立，終日不倦。,"The three brothers became very sad. Walking along one day in the capital, Liu Bei met a court official, Zhang Jun, to whom he related his services and told his sorrows. Zhang Jun was much surprised at this neglect and one day at court spoke to the Emperor about it.Said he, ""The Yellow Scarves rebelled because the eunuchs sold offices and bartered ranks. There was employment only for their friends, punishment only for their enemies. This led to rebellion. Wherefore it would be well to slay the Ten Eunuchs and expose their heads and proclaim what had been done throughout the whole empire. Then reward the worthy. Thereby the land would be wholly tranquil.""But the eunuchs fiercely opposed this and said Zhang Jun was insulting the Emperor, and the Emperor bade the guards thrust Zhang Jun out. However, the eunuchs took counsel together and one said, ""Surely someone who rendered some service against rebels resents being passed over.""So they caused a list of unimportant people to be prepared for preferment by and by. Among them was Liu Bei, who received the post of magistrate of the county of Anxi, to which he proceeded without delay after disbanding his army and sending them home to their villages. He retained two dozens or so as escort.The three brothers reached Anxi, and soon the administration of the county was so reformed and the rule so wise that in a month there was no law-breaking. The three brothers lived in harmony, eating at the same table and sleeping on the same couch. But when Liu Bei was in public sessions or in company of others, Guan Yu and Zhang Fei would stand in attendance, were it even a whole day."
到縣未及四月，朝廷降詔，凡有軍功為長吏者當沙汰。玄德疑在遣中。適督郵行部至縣，玄德出郭迎接，見督郵施禮。督郵坐於馬上，惟微以鞭指回答。關、張二公俱怒。及到館驛，督郵南面高坐，玄德侍立階下。良久，督郵問曰：「劉縣尉是何出身？」玄德曰：「備乃中山靖王之後；自涿郡剿戮黃巾，大小三十餘戰，頗有微功，因得除今職。」督郵大喝曰：「汝詐稱皇親，虛報功績！目今朝廷降詔，正要沙汰這等濫官汙吏！」玄德喏喏連聲而退。歸到縣中，與縣吏商議。吏曰：「督郵入威，無非要賄賂耳。」玄德曰：「我與民秋毫無犯，那得財物與他？」次日，督郵先提縣吏去，勒令指稱縣尉害民。玄德幾番自往求免，俱被門役阻住，不肯放參。,"Four months after their arrival, there came out a general order for the reduction of the number of military officers holding civil posts, and Liu Bei began to fear that he would be among those thrown out. In due course the inspecting official, Du Biao by name, arrived and was met at the boundary. But to the polite obeisance of Liu Bei, he made no return, save a wave of his whip as he sat on his horse. This made Guan Yu and Zhang Fei furious. But worse was to follow. When the inspector had arrived at his lodging, he took his seat on the dais, leaving Liu Bei standing below. After a long time he addressed Liu Bei.""Magistrate, what was your origin?""Liu Bei replied, ""I am descended from Prince Sheng of Zhongshan. Since my first fight with the Yellow Scarves rebels at Zhuo County, I have been in some thirty battles, wherein I gained some trifling merit. My reward was this office.""""You lie about your descent, and your statement of services is false!"" roared the inspector. ""Now the court has ordered the reduction of your sort of low class and corrupt officials.""Liu Bei muttered to himself and withdrew. On his return to the magistracy, he took council with his secretaries. ""This pompous attitude only means the inspector wants a bribe,"" said they.""I have never wronged the people to the value of a single coin: Then where is a bribe to come from?""Next day the inspector had the minor officials before him and forced them to bear witness that their master had oppressed the people. Liu Bei time after time went to rebut this charge, but the doorkeepers drove him away and he could not enter."
