chinese,english
卻說關公同孫乾保二嫂向汝南進發，不想夏侯惇領二百餘騎，從後追來。孫乾保車仗前行。關公回身勒馬按刀問曰：「汝來趕我，有失丞相大度。」夏侯惇曰：「丞相無明文傳報，汝於路殺人，又斬吾部將，無禮太甚！我特來擒你，獻與丞相發落！」,"Sun Qian had joined Guan Yu in escorting the two ladies, and they were on the road to Runan when Xiahou Dun suddenly determined to pursue. So with a couple of hundred horse, Xiahou Dun set out. When Xiahou Dun was seen approaching, Guan Yu bade Sun Qian go ahead with the carriage while he remained to deal with the pursuers.When they were near enough, Guan Yu said, ""In coming after me thus you do not reinforce the magnanimity of your master!""Replied Xiahou Dun, ""The Prime Minister has sent no definite instructions. You have caused the death of several people, among them one of my commanders, and so I have come to capture you! You have behaved most grossly. The Prime Minister will decide."""
言訖，便拍馬挺鎗欲鬥。只見後面一騎飛來，大叫「不可與雲長交戰！」關公按轡不動。來使於懷中取出公文，謂夏侯惇曰：「丞相敬愛關將軍忠義，恐於路關隘攔截，故遣某持齎公文，遍行諸處。」惇曰：「關某於路，殺把關將士，丞相知否？」來使曰：「此卻未知。」惇曰：「我只活捉他去見丞相，待丞相自放他。」關公怒曰：「吾豈懼汝耶！」拍馬持刀，直取夏侯惇。,"Thereupon Xiahou Dun dashed forward with his spear ready to thrust.But at that moment a rider came up behind him at full gallop, crying, ""You must not fight with Guan Yu!""Guan Yu stayed his steed at once and waited.The messenger came up, drew from his bosom an official letter, and said to Xiahou Dun, ""The Prime Minister loves General Guan Yu for his loyalty and honor, and fearing lest Guan Yu might be stopped at the various passes, he sent me with this letter to show when necessary at any point on the road.""""But this Guan Yu has slain several commanders of the passes. Does the Prime Minister know that?"" said Xiahou Dun.The messenger said these things were unknown.""Then,"" said Xiahou Dun, ""I will arrest him and take him to the Prime Minister, who may set him free or not as he wills.""""Do you think I fear anything you can do?"" said Guan Yu getting wrathful.And he rode forward. Xiahou Dun, nothing loth, set his spear and prepared for battle."
惇挺鎗來迎。兩馬相交，戰不十合，忽又一騎飛至，大叫「二將軍少歇！」惇停鎗問來使曰：「丞相叫擒關某乎？」使者曰：「非也。丞相恐守關諸將阻擋關將軍，故又差某馳公文來放行。」惇曰：「丞相知其於路殺人否？」使者曰：「未知。」惇曰：「既未知其殺人，不可放去。」指揮手下軍士，將關公圍住。關公大怒，舞刀迎戰。,"They met and had reached the tenth encounter when a second horseman came up at full speed, crying, ""Generals, wait a little!""Xiahou Dun stayed his hand and asked the messenger, saying, ""Am I to arrest him?""""No,"" replied the messenger. ""Fearing lest he should have difficulties at the passes, the Prime Minister has sent me with a dispatch to say he is to be released.""""Did the Prime Minister know that he had slain several commanders on the way?""""He did not know!""""Since he was ignorant of that, I may not let this Guan Yu go,"" and Xiahou Dun gave the signal to his men to close in round Guan Yu.But Guan Yu flourished his sword and made to attack them."
兩個正欲交鋒，陣後一人飛馬而來，大叫：「雲長，元讓，休得爭戰！」眾視之，乃張遼也。二人各勒住馬。張遼近前言曰：「奉丞相鈞旨：因聞知雲長斬關殺將，恐於路有阻，特差我傳諭各處關隘，任便放行。」惇曰：「秦琪是蔡陽之甥。他將秦琪託付我處，今被關某所殺，怎肯干休？」遼曰：「我見蔡將軍，自有分解。既丞相大度，教放雲長去，公等不可廢丞相之意。」夏侯惇只得將軍馬約退。遼曰：「雲長今欲何往？」關公曰：「聞兄長又不在袁紹處，吾今將遍天下尋之。」遼曰：「既未知玄德下落，且再回見丞相，若何？」關公笑曰：「安有是理！文遠回見丞相，幸為我謝罪。」說畢，與張遼拱手而別。,"A fight was again imminent, when a third rider appeared, who cried, ""Guan Yu, give way and do not fight!"" The speaker was Zhang Liao. Both combatants made no further move but awaited his arrival.Zhang Liao said, ""I bring the Prime Minister's order that since he has heard that Guan Yu has slain certain commanders on the way, he fears that some will hinder his passage. Wherefore he has sent me to deliver his command at each gate that Guan Yu is to be suffered to pass freely.""Xiahou Dun said, ""Qin Qi was the son of Cai Yang's sister, and he was confided to my especial care. Now this Guan Yu has killed him, and how can I refrain?""""When I see his uncle Cai Yang, I will explain. But now the main point is that you have the Prime Minister's orders to let Guan Yu pass and you may not despise his wish.""So the only thing for Xiahou Dun to do was to retire, and he did.""Whither are you going?"" then said Zhang Liao to Guan Yu.""I fear my brother is no longer with Yuan Shao, and now I am going to find him wherever he is.""""As you do not know where to go, why not return to the Prime Minister?""""Where is the sense of that?"" said Guan Yu with a smile. ""But, Zhang Liao, you return, and try to arrange pardon for my faults.""With this Guan Yu saluted Zhang Liao and took his leave."
於是張遼與夏侯惇領兵自回。關公趕上車仗，與孫乾說知此事。二人並馬而行。行了數日，忽值大雨滂沱，行裝盡濕。遙望山岡邊有一所莊院，關公引著車仗，到彼借宿。莊內一老人出迎。關公具言來意。老人曰：「某姓郭，名常，世居於此。久聞大名，幸得瞻拜。」遂宰羊置酒相待，請二夫人於後堂暫歇。郭常陪關公，孫乾於草堂飲酒。一邊烘焙行李，一邊餵養馬匹。,"Zhang Liao retired and joined Xiahou Dun.Guan Yu quickly regained the carriage, and as they went along side by side he told Sun Qian what had happened. Several days later a heavy rain storm came on which soaked everything. Looking about for protection they noticed a farm under the shelter of a precipice and took their way thither. An old man came out to them, to whom they told their story.When they had finished, the old fellow said, ""My name is Guo Chang, and I have lived here many years. I am very pleased to greet the man whom I have known so long by reputation.""Guo Chang quickly killed a sheep for their refreshment and brought out wine for the two men. The two ladies were entertained in the inner apartments. And while they refreshed themselves, their baggage was put out to dry and their steeds were fed."
至黃昏時候，忽見一少年，引數人入莊，逕上草堂。郭常喚曰：「吾兒來拜將軍。」因謂關公曰：「此愚男也。」關公問何來。常曰：「射獵方回。」少年見過關公，即下堂去了。常流涕言曰：「老夫耕讀傳家，止生此子，不務本業，惟以游獵為事。是家門不幸也！」關公曰：「方今亂世，若武藝精熟，亦可以取功名，何云不幸？」常曰：「他若肯習武藝，便是有志之人；今專務游蕩，無所不為，老夫所以憂耳！」,"As the day closed in, they saw several youths come along, and their host said, ""My son is come to pay his respects.""""This is my humble son,"" said Guo Chang, presenting a lad to Guan Yu.""What has he been doing?"" asked Guan Yu.""He has just come in from hunting.""The young fellow went out. The old man continued, ""All my family have been farmers or scholars. He is my only son, and instead of following in the footsteps of his ancestors he cares for nothing but gadding about and hunting, unhappily.""""Why unhappily?"" said Guan Yu. ""In these days of disorder a good soldier can make a name for himself.""""If he would only learn the military arts, that would be something of a career. But he is nothing but a vagabond and does everything he should not. He is a grief to me."""
關公亦為歎息。至更深，郭常辭出。關公與孫乾方欲就寢，忽聞後院馬嘶人叫。關公急喚從人，卻都不應，乃與孫乾提劍往視之。只見郭常之子倒在地上叫喚，從人正與莊客廝打。公問其故。從人曰：「此人來盜赤兔馬，被馬踢倒。我等聞叫喚之聲，起來巡看，莊客們反來廝鬧。」公怒曰：「鼠賊焉敢盜吾馬！」,"Guan Yu sighed in sympathy. The old gentleman stayed till a late hour; and when he took his leave, his two guests began to prepare for rest.Suddenly outside there arose a great hubbub, men shouting and horses neighing.Guan Yu called to his people; but as no one answered, he and Sun Qian drew their swords and went into the stable yard. There they found their host's son on the ground shouting to his followers to fight.Guan Yu asked what it was all about, and his guards told him, ""The young fellow had tried to steal Red Hare, but had been badly kicked. We heard shouting and went to see what it meant when his men had set on us.""Guan Yu was very wrathful.""You mean thieves! Would you steal my horse?"" cried he."
恰待發作，郭常奔至告曰：「不肖子為此歹事，罪合萬死！奈老妻最憐愛此子，乞將軍仁慈寬恕！」關公曰：「此子果然不肖，適纔老翁所言，真知子莫若父也。我看翁面，且姑恕之。」遂分付從人看好了馬，喝散莊客，與孫乾回草堂歇息。次日，郭常夫婦出拜於堂前，謝曰：「犬子冒瀆虎威，深感將軍恩恕。」關公令將喚出，我以正言教之。常曰：「他於四更時分，又引數個無賴之徒，不知何處去了。」,"But before he could do anything, his host came running out, saying, ""It was not with my consent that my son did this evil thing. I know he is very guilty and deserves death. But his mother loves him tenderly, and I pray you be generous and pardon him!""""Really he is unworthy of his father,"" said Guan Yu. ""What you told me shows he is a degenerate. For your sake I pardon him.""Then Guan Yu told his own people to keep a better lookout, sent the people about their business and, in company with Sun Qian, went away to rest.Next morning both the host and hostess were up betimes waiting to thank Guan Yu for forgiving their son's mad freak.""My son has insulted your tiger dignity, I know, and I am deeply affected by your kindness in not punishing him,"" said the old man.""Bring him here and I will talk to him,"" said Guan Yu.""He went out before daylight with a lot of his fellow rogues, and I know not where he is."""
關公謝別郭常，奉二嫂上車，出了莊院，與孫乾並馬，護著車仗，取山路而行。不及三十里，只見山背後擁出百餘人，為首兩騎馬。前面那人，頭裹黃巾，身穿戰袍；後面乃郭常之子也。黃巾者曰：「我乃天公將軍張角部將也！來者快留下赤兔馬，放你過去！」關公大笑曰：「無知狂賊！汝既從張角為盜，亦知劉，關，張兄弟三人名字否？」黃巾者曰：「我只聞赤面長髯者名關雲長，卻未識其面。汝何人也？」,"So Guan Yu bade them farewell, got the ladies into their carriage, and they moved out of the farmyard. Guan Yu and Sun Qian riding abreast as escort. They took the road toward the hills.Before they had gone far, they saw a large party of men, led by a couple of riders, pouring down one of the gullies.One of the riders wore a yellow turban and a battle robe. The other was Guo Chang's son.The wearer of the turban called out, saying, ""I am one of the commanders of Zhang Jue the Lord of Heaven. Whoever you may be, leave that horse you are riding for me. You may then go free!""Guan Yu greeted the speech with a hearty laugh.""O you mad ignoramus! If you had ever been with Zhang Jue as a bandit, you would have learned to know Liu Bei, Guan Yu, and Zhang Fei, the three brothers.""""I have heard of the ruddy long beard called Guan Yu, but I have never seen him. Who may you be?"""
公乃停刀立馬，解開鬚囊，出長髯令視之。其人滾鞍下馬，腦揪郭常之子拜獻於馬前。關公問其姓名。告曰：「某姓裴，名元紹。自張角死後，一向無主，嘯聚山林，權於此處藏伏。今早這廝來報：有一客人，騎一匹千里馬，在我家投宿。特邀某來劫奪此馬。不想卻遇將軍。」郭常之子拜伏乞命。關公曰：「吾看汝父之面，饒你性命！」,"Guan Yu then laid aside his sword, stopped his horse, and drew off the bag that covered his beard thus showing its magnificence.The turban wearer immediately slipped out of the saddle, laid an angry hand on his companion, and they both bowed low in front of Guan Yu's steed.""Who are you?"" asked Guan Yu.""I am Pei Yuanshao. After the death of Zhang Jue, I was left forlorn; and I got together a few others like myself, and we took refuge in the forests. This morning early this fellow came to tell us that a guest at his father's farm had a valuable horse and proposed to me to steal it. I did not think I should meet you, General.""The wretched Guo Chang's son implored that his life might be spared, and Guan Yu pardoned him for his father's sake."
