chinese,english
卻說李樂引軍詐稱李傕、郭汜來追車駕，天子大驚。楊奉曰：「此李樂也。」遂令徐晃出迎之，李樂親自出戰。兩馬相交，只一合，被徐晃一斧砍於馬下，殺散餘黨，保護車駕過箕關。太守張揚具粟帛迎駕於軹道。帝封張揚為大司馬。楊辭帝屯兵野王去了。,"The last chapter closed with the arrival of Li Yue who shouted out falsely that the army was that of the two arch rebels Li Jue and Guo Si come to capture the imperial cavalcade.But Yang Feng recognized the voice of Li Yue and said, ""This is only the cohort of Li Yue!""He bade Xu Huang go out to fight him. Xu Huang went and in the first bout the traitor fell. The White Wave rebels scattered.The travelers got safely through Gu Pass. Here the Governor of Henei, Zhang Yang, supplied them plentifully with food and other necessaries and escorted the Emperor to Zhidao. For his timely help, the Emperor conferred upon Zhang Yang the rank of a Regent General. Yang Feng moved his army to the northeast of Luoyang and camped at Yewang."
帝入洛陽，見宮室燒盡，街市荒蕪，滿目皆是蒿草，宮院中只有頹牆壞壁，命楊奉且蓋小宮居住。百官朝賀，皆立於荊棘之中。詔改興平為建安元年。,"Capital Luoyang was presently entered. Within the walls all was destruction. The palaces and halls had been burned, the streets were overgrown with grass and brambles and obstructed by heaps of ruins. The palaces and courts were represented by broken roofs and toppling walls. A small ""palace"" however was soon built, and therein the officers of court presented their congratulations, standing in the open air among thorn bushes and brambles. The reign style was changed from Prosperous Stability to Rebuilt Tranquillity, the first year (AD 196)."
是歲又大荒。洛陽居民，僅有數百家，無可為食，盡出城去剝樹皮掘草根食之。尚書郎以下，皆自出城樵採，多有死於頹牆壞壁之間者。漢末氣運之衰，無甚於此。後人有詩歎之曰：,"The year was grievous with famine. The Luoyang people, even reduced in numbers as they were to a few hundred families, had not enough to eat and they prowled about stripping the bark off trees and grubbing up the roots of plants to satisfy their starving hunger. Officers of the government of all but the highest ranks went out into the country to gather fuel. Many people were crushed by the falling walls of burned houses. At no time during the decadence of Han did misery press harder than at this period.A poem written in pity for the sufferings of that time says:"
血流芒碭白蛇亡，赤幟縱橫遊四方。秦鹿逐翻興社稷，楚騅推倒立封疆。天子懦弱姦邪起，宗社凋零盜賊狂。看到兩京遭難處，鐵人無淚也悽惶。,"Mortally wounded, the white serpent poured forth its life blood at Mangdang Hills;Blood-red pennons of war waved then in every quarter,Chieftain with chieftain strove and raided each other's borders,Midst the turmoil and strife the Kingship even was threatened.Wickedness stalks in a country when the King is a weakling,Brigandage always is rife, when a dynasty's failing,Had one a heart of iron, wholly devoid of feeling,Yet would one surely grieve at the sight of such desolation."
太尉楊彪奏帝曰：「前蒙降詔，未曾發遣。今曹操在山東，兵強將盛，可宣入朝，以輔王室。」帝曰：「朕前既降詔，卿何必再奏？今即差人前去便了。」彪領旨，即差使命赴山東，宣召曹操。,"Imperial Guardian Yang Biao memorialized the Throne, saying, ""The decree issued to me some time ago has never been acted upon. Now Cao Cao is very strong in the Shandong Mountains, and it would be well to associate him in the government that he might support the ruling house.""The Emperor replied, ""There was no need to refer to the matter again. Send a messenger when you will.""So the decree went forth and a messenger bore it into the Shandong Mountains."
卻說曹操在山東，聞知車駕已還洛陽，聚謀士商議。荀彧進曰：「昔晉文公納周襄王，而諸侯服從；漢高祖為義帝發喪，而天下歸心；今天子蒙塵，將軍誠因此時首倡義兵，奉天子以從眾望，不世之略也。若不早圖，人將先我而為之矣。」曹操大喜。正要收拾起兵，忽報有天使齎詔宣召。操接詔，剋日興師。,"Now when Cao Cao had heard that the court had returned to Capital Luoyang, he called together his advisers to consult.Xun Yu laid the matter before Cao Cao and the council thus: ""Eight hundred years ago, Duke Wen of Jin supported Prince Xiang of the declining Zhou Dynasty, and all the feudal lords backed Duke Wen. The Founder of the Hans, Liu Bang, won the popular favor by wearing mourning for Emperor Yi of Chu. Now Emperor Xian has been a fugitive on the dusty roads. To take the lead in offering an army to restore him to honor is to have an unrivaled opportunity to win universal regard. But you must act quickly, or someone will get in before you!""Cao Cao understood and at once prepared his army to move. Just at this moment an imperial messenger was announced with the very command Cao Cao wanted, and Cao Cao immediately set out."
卻說帝在洛陽，百事未備，城郭崩倒，欲修未能。人報李傕、郭汜領兵將到。帝大驚，問楊奉曰：「山東之使未回，李、郭之兵又至，為之奈何？」楊奉，韓暹曰：「臣願與賊決死戰，以保陛下。」董承曰：「城郭不堅，兵甲不多，戰如不勝，當復如何？不若且奉駕往山東避之。」帝從其言，即日起駕望山東進發。百官無馬，皆隨駕步行。,"At Luoyang everything was desolate. The walls had fallen, and there were no means of rebuilding them, while rumors and reports of the coming of Li Jue and Guo Si kept up a state of constant anxiety.The frightened Emperor spoke with Yang Feng, saying, ""What can be done? There is no answer from the East of Huashan, and our enemies are near!""Then Yang Feng and Han Xian said, ""We, your ministers, will fight to the death for you!""But Dong Cheng said, ""The fortifications are weak and our military resources small, so that we cannot hope for victory, and what does defeat mean? I see nothing better to propose than a move into the East of Huashan Mountains.""The Emperor agreed to this, and the journey began without further preparation. There being few horses, the officers of the court had to march afoot."
出了洛陽，行無一箭之地，但見塵頭蔽日，金鼓喧天，無限人馬到來，帝、后戰慄不能言。忽見一騎飛來，乃前差往山東之使命也；至車前拜啟曰：「曹將軍盡起山東之兵，應詔前來。聞李傕、郭汜犯洛陽，先差夏侯惇為先鋒，引上將十員，精兵五萬，前來保駕。」帝心方安。少頃，夏侯惇引許褚，典韋等，至駕前面君，俱以軍禮見。帝慰諭方畢，忽報正東又有一路軍到。帝即命夏侯惇往探之，回奏曰：「乃曹操步軍也。」,"Leaving Luoyang, hardly a bowshot outside the gate they saw a thick cloud of dust out of which came all the clash and clamor of an advancing army. The Emperor and his Consort were dumb with fear. Then appeared a horseman; he was the messenger returning from the East of Huashan Mountains.He rode up to the chariot, made an obeisance, and said, ""General Cao Cao, as commanded, is coming with all the military force of the East of Huashan; but hearing that Li Jue and Guo Si had again approached the capital, he has sent Xiahou Dun in advance. With Xiahou Dun are ten capable leaders and fifty thousand cavalry. They will guard Your Majesty.""All fear was swept away. Soon after Xiahou Dun and his staff arrived. Xiahou Dun, Xu Chu, and Dian Wei were presented to the Emperor, who graciously addressed them. Then one came to say a large army was approaching from the east, and at the Emperor's command Xiahou Dun went to ascertain who these were. He soon returned saying they were Cao Cao's infantry."
須臾，曹洪，李典，樂進，來見駕。通名畢，洪奏曰：「臣兄知賊兵至近，恐夏侯惇孤力難為，故又差臣等倍道而來協助。」帝曰：「曹將軍真社稷臣也！」遂命護駕前行。探馬來報：「李傕，郭汜，領兵長驅而來。」帝令夏侯惇分兩路迎之。惇乃與曹洪分為兩翼，馬軍先出，步軍後隨，儘力攻擊。傕、汜賊兵大敗，斬首萬餘。於是還洛陽故宮。夏侯惇屯兵於城外。,"In a short time Cao Hong, Li Dian, and Yue Jing came to the imperial chariot and their names having been duly communicated, Cao Hong said, ""When my brother, Cao Cao, heard of the approach of the rebels, he feared that the advance guard he had sent might be too weak, so he sent me to march quickly for reinforcement.""""General Cao Cao is indeed a trusty servant!"" said the Emperor.Orders were given to advance, Cao Hong leading the escort. By and by scouts came to say that the rebels were coming up very quickly. The Emperor bade Xiahou Dun divide his force into two parts to oppose them. Xiahou Dun and Cao Hong's armies threw out two wings with cavalry in front and foot behind. They attacked with vigor and beat off Li Jue and Guo Si's cohorts with a severe loss of ten thousand. Then Xiahou Dun and Cao Hong begged the Emperor to return to Luoyang, and Xiahou Dun guarded the city."
次日，曹操引大隊人馬到來。安營畢，入城見帝，拜於殿階之下。帝賜平身，宣諭慰勞。操曰：「臣向蒙國恩，刻思圖報。今傕、汜二賊，罪惡貫盈；臣有精兵二十餘萬，以順討逆，無不克捷。陛下善保龍體，以社稷為重。」帝乃封操領司隸校尉，假節鉞，錄尚書事。,"Next day Cao Cao came with his great army, and having got them duly camped he went into the city to audience. He knelt at the foot of the steps, but was called up hither to stand beside the Emperor and be thanked.Cao Cao replied, ""Having been the recipient of great bounty, thy servant owes the state much gratitude. The measure of evil of the two rebels is full, but I have two hundred thousand of good soldiers to oppose them, and those soldiers are fully equal to securing the safety of Your Majesty and the Throne. The preservation of the state sacrifice is the matter of real moment.""High honors were conferred on Cao Cao. He was appointed Commander of Capital District, Minister of War, and granted Military Insignia."
卻說李傕，郭汜知操遠來，議欲速戰。賈詡諫曰：「不可。操兵精將勇，不如降之，求免本身之罪。」傕怒曰：「你敢滅吾銳氣！拔劍欲斬詡，眾將勸免。是夜賈詡單馬走回鄉里去了。,"The two rebels, Li Jue and Guo Si, wished to attack Cao Cao's army while fatigued from its long march.But their adviser, Jia Xu, opposed this, saying, ""There was no hope of victory. He has both strong soldiers and brave leaders. Submission may bring us amnesty.""Li Jue was angry at the suggestion, crying, ""Do you wish to dishearten the army?""And he drew his sword on Jia Xu. But the other officers interceded and saved the adviser. That same night Jia Xu stole out of the camp and, quite alone, took his way home to his native village."
次日，李傕軍馬來迎操兵。操先令許褚，曹仁，典韋，領三百鐵騎，於傕陣中衝突三遭，方纔布陣。陣圓處，李傕姪李暹、李別出馬陣前，未及開言，許褚飛馬過去，一刀先斬李暹。李別吃了一驚，倒撞下馬，褚亦斬之，雙挽人頭回陣。曹操撫許褚之背曰：「子真吾之樊噲也！」隨令夏侯惇領兵左出，曹仁領兵右出，操自領中軍衝陣。鼓響一聲，三軍齊進。賊兵抵敵不住，大敗而走。操親掣寶劍押陣，率眾連夜追殺，剿戮極多，降者不計其數。傕、汜望西逃命，忙忙似喪家之狗；自知無處容身，只得往山中落草去了。,"Soon the rebels decided to offer battle. In reply, Cao Cao sent out Xu Chu, Cao Ren, and Dian Wei with three hundred horse. These three leaders dashed into the rebels army but quickly retired. This maneuver was repeated, and again repeated before the real battle array was formed.Then Li Xian and Li Bie, nephews of Li Jue, rode out. At once from Cao Cao's side dashed out Xu Chu and cut down Li Xian. Li Bie was so startled that he fell out of the saddle. He too was slain. The victor Xu Chu rode back to his own side with the two heads.When Xu Chu offered them to the chief, Cao Cao patted him on the back, crying, ""You are really my Fan Kuai!""Next a general move forward was made, Xiahou Dun and Cao Hong leading the two wings and Cao Cao in the center. They advanced to the roll of the drum. The rebels fell back before them and presently fled. They pursued, Cao Cao himself leading, sword in hand. The slaughter went on till night. Ten thousands were killed and many more surrendered. Li Jue and Guo Si went west, flying in panic like dogs from a falling house. Having no place of refuge they took to the hills and hid among the brushwood."
曹操回兵仍屯於洛陽城外。楊奉，韓暹兩個商議：「今曹操成了大功，必拿重權，如何容得我等？」乃入奏天子，只以追殺傕、汜為名，引本部軍屯於大梁去了。,"Cao Cao's army returned and camped again near the capital.Then Yang Feng and Han Xian said one to another, ""This Cao Cao has done a great service, and he will be the man in power. There will be no place for us.""So they represented to the Emperor that they wished to pursue the rebels, and under this excuse withdrew their army and camped at Daliang."
帝一日命人至操營，宣操入宮議事。操聞天使至，請入相見。只見那人眉清目秀，精神充足。操暗想曰：「今東郡大荒，官僚軍民，皆有飢色，此人何得獨肥？」因問之曰：「公尊顏充腴，以何調理而至此？」對曰：「某無他法，只食淡三十年矣。」操乃頷之；又問曰：「君居何職？」對曰：「某舉孝廉。原為袁紹，張揚從事。今聞天子還都，特來朝覲，官封正議郎。濟陰定陶人：姓董，名昭，字公仁。」曹操避席曰：「聞名久矣！幸得於此相見。」遂置酒帳中相待，令與荀彧相會。忽人報曰：「一隊軍往東而去，不知何人。」操急令人探之。董昭曰：「此乃李傕舊將楊奉，與白波帥韓暹，因明公來此，故引兵欲投大梁去耳。」操曰：「莫非疑操乎？」昭曰：「此乃無謀之輩，明公何足慮也？」操又曰：「李、郭二賊此去若何？」昭曰：「虎無爪，鳥無翼，不久當為明公所擒，無足介意。」,"One day the Emperor sent to summon Cao Cao to audience. The messenger was called in. Cao Cao noticed that the messenger looked remarkably well and could not understand it seeing that everyone else looked hungry and famine stricken.So Cao Cao said, ""You look plump and well, Sir, how do you manage it?""""Only this: I have lived meager for thirty years.""Cao Cao nodded, ""What office do you hold?""""I am a graduate recommended for filial piety and honesty. I had offices under Yuan Shao and Zhang Yang, but came here when the Emperor returned. Now I am one of the secretaries. I am a native of Dingtao, and my name is Dong Zhao.""Cao Cao got up from his place and crossed over, saying, ""I have heard of you. How happy I am to meet you!""Then wine was brought into the tent, and Xun Yu was called in and introduced. While they were talking, a man came in to report that a party was moving eastward. Cao Cao ordered to find out whose people these were, but Dong Zhao knew at once.""They are old leaders under the rebels, Yang Feng and the White Wave General Han Xian. They are running off because you have come, Illustrious Sir!""""Do they mistrust me?"" said Cao Cao.""They are not worthy of your attention. They are a poor lot.""""What of this departure of Li Jue and Guo Si?""""Tigers without claws, birds without wings —-they will not escape you very long. They are not worth thinking about."""
操見昭言投機，便問以朝廷大事。昭曰：「明公興義兵以除暴亂，入朝輔佐天子，此五伯之功也。但諸將人殊意異，未必服從。今留此，恐有不便。惟移駕幸許都為上策。然朝廷播越，新還京師，遠近仰望，以冀一朝之安；今復徙駕，不厭眾心。夫行非常之事，乃有非常之功：願將軍決計之。」操執昭手而笑曰：「此吾之本志也。但楊奉布大梁，大臣在朝，不有他變否？」昭曰：「易也以書與楊奉，先安其心；明告大臣，以京師無糧，欲車駕幸許都，近魯陽，轉運糧食，庶無欠缺懸隔之憂。大臣聞之，當欣從也。」操大喜。昭謝別。操執其手曰：「凡操有所圖，惟公教之。」昭稱謝而去。,"Cao Cao saw that he and his guest had much in common, so he began to talk of affairs of state.Said Dong Zhao, ""You, Illustrious Sir, with your noble army have swept away rebellion and have become the mainstay of the Throne, an achievement worthy of the ancient Five Protectors. But the officials will look at it in very different ways and not all favorably to you. I think you would not be wise to remain here, and I advise a change of capital to Xuchang. However, it must be remembered that the restoration of the capital has been published far and wide and the attention of all the people is concentrated on Luoyang, hoping for a period of rest and tranquillity. Another move will displease many. However, the performance of extraordinary deed may mean the acquisition of extraordinary merit. It is for you to decide.""""Exactly my own inclination!"" said Cao Cao, seizing his guest's hand. ""But are there not dangers? Yang Feng at Daliang and the court officials!""""That is easily managed. Write to Yang Feng and set his mind at rest. Then say to the high officials plainly that there is no food in the capital here, and so you are going to another place where there is, and where there is no danger of scarcity. When they hear it, they will approve.""Cao Cao had now decided; and as his guest took leave, Cao Cao seized his hands once more, saying, ""I shall need your advice in future affairs."" Dong Zhao thanked and left."
