chinese,english
卻說董承等問馬騰曰：「公卻用何人？」馬騰曰：「見有豫州牧劉玄德在此，何不求之？」承曰：「此人雖係皇叔，今正依附曹操，安肯行此事耶？」騰曰：「吾觀前日圍場之中，曹操迎受眾賀之時，雲長在玄德背後，挺刀欲殺操，玄德以目視之而止。玄德非不欲圖操，恨操爪牙多，恐力不及耳。公試求之，當必應允。」吳碩曰：「此事不宜太速，當從容商議。」眾皆散去。,"""Who is it?"" was the question on the lips of the conspirators.Ma Teng's reply was, ""The Imperial Protector of Yuzhou, Liu Bei. He is here and we will ask him to help.""""Though he is an uncle of the Emperor, he is at present a partisan of our enemy, and he will not join,"" said Dong Cheng.""But I saw something at the hunt,"" said Ma Teng. ""When Cao Cao advanced to acknowledge the congratulations due to the Emperor, Liu Bei's sworn brother Guan Yu was behind him, and grasped his sword as if to cut down Cao Cao. However, Liu Bei signed to him to hold his hand and Guan Yu did. Liu Bei would willingly destroy Cao Cao, only he thinks Cao Cao's teeth and claws are too many. You must ask Liu Bei, and he will surely consent.""Here Wu Shi urged caution, saying, ""Do not go too fast. Let us consider the thing most carefully."" They dispersed."
次日黑夜裏，董承懷詔，逕往玄德館中來。門吏入報，玄德迎出，請入小閣坐定。關、張侍立於側。玄德曰：「國舅夜至此，必有事故。」承曰：「白日乘馬相訪，恐操見疑，故黑夜相見。」玄德命取酒相待。承曰：「前日圍場之中，雲長欲殺曹操，將軍動目搖頭而退之，何也？」玄德失驚曰：「公何以知之？」承曰：「人皆不見，某獨見之。」,"Next day after dark Dong Cheng went to Liu Bei's lodging taking with him the decree. As soon as Dong Cheng was announced, Liu Bei came to greet him and led him into a private room where they could talk freely. The two younger brothers were there as well.""It must be something unusually important that has brought Uncle Dong Cheng here tonight,"" said Liu Bei.""If I had ridden forth by daylight, Cao Cao might have suspected something, so I came by night.""Wine was brought in, and while they were drinking, Dong Cheng said, ""Why did you check your brother the other day at the hunt, when he was going to attack Cao Cao?""Liu Bei was startled and said, ""How did you know?""""Nobody noticed but I saw."""
玄德不能隱諱，遂曰：「舍弟見操僭越，故不覺發怒耳。」承掩面而哭曰：「朝廷臣子，若盡如雲長，何憂不太平哉！」玄德恐是曹操使他來試探，乃佯言曰：「曹丞相治國，為何憂不太平？」承變色而起曰：「公乃漢朝皇叔，故剖肝瀝膽以相告，公何詐也？」玄德曰：「恐國舅有詐，故相試耳。」,"Liu Bei could not prevaricate and said, ""It was the presumption of the man that made my brother so angry. Guan Yu could not help it.""The visitor covered his face and wept.""Ah,"" said he, ""if all the court ministers were like Guan Yu, there would be no sighs for lack of tranquillity.""Now Liu Bei felt that possibly Cao Cao had sent his visitor to try him, so he cautiously replied, ""Where are the sighs for lack of tranquillity while Cao Cao is at the head of affairs?""Dong Cheng changed color and rose from his seat.""You, Sir, are a relative of His Majesty, and so I showed you my inmost feelings. Why did you mislead me?""But Liu Bei said, ""Because I feared you might be misleading me, and I wanted to find out."""
於是董承取衣帶詔令觀之。玄德不勝悲憤。又將義狀出示，上止有六位：一，車騎將軍董承；二，工部侍郎王子服；三，長水校尉种輯；四，議郎吳碩；五，昭信將軍吳子蘭；六，西涼太守馬騰。玄德曰：「公既奉詔討賊，備敢不犬馬之勞。」承拜謝，便請書名。玄德亦書「左將軍劉備」，押了字，付承收訖。承曰：「尚容再請三人，共聚十義，以圖國賊。」玄德曰：「切宜緩緩而行，不可輕洩。」,"At this Dong Cheng drew out the decree he had received and showed it. His host was deeply moved. Then Dong Cheng produced the pledge. There were only six names to it, and these were Dong Cheng, Wang Zifu, Chong Ji, Wu Shi, Wu Zilan, and Ma Teng.""Since you have a decree like this, I cannot but do my share,"" said Liu Bei, and at Dong Cheng's request he added his name and signature to the others and handed it back.""Now let us but get three more, which will make ten, and we shall be ready to act.""""But you must move with great caution and not let this get abroad,"" said Liu Bei."
共議到五更，相別去了。玄德也防曹操謀害，就下處後園種菜，親自澆灌，以韜晦之計。關、張曰：「兄不留心天下大事，而學小人之事，何也？」玄德曰：「此非二弟所知之。」二人乃不復言。,"The two remained talking till an early hour in the morning when the visitor left.Now in order to put Cao Cao quite off the scent that any plot against him was in progress, Liu Bei began to devote himself to gardening, planting vegetables, and watering them with his own hands. Guan Yu and Zhang Fei ventured to remonstrate with him for taking to such an occupation when great matters needed attention.""The reason for this you may not know,"" replied he.And they said no more."
一日，關、張不在，玄德正在後園澆菜，許褚、張遼引數十人入園中曰：「丞相有命，請使君便行。」玄德驚問曰：「有甚緊事？」許褚曰：「不知。只教我來相請。」玄德只得隨二人入府見操。操笑曰：「在家做得好大事！」諕得玄德面如土色。操執玄德手，直至後園曰：「玄德學圃不易。」玄德方纔放心，答曰：「無事消遣耳。」操曰：「適見枝頭梅子青青，忽感去年征張繡時，道上缺水，將士皆渴。吾心生一計，以鞭虛指曰：『前面有梅林。』軍士聞之，口皆生唾，由是不渴。今見此梅，不可不賞。又值煮酒正熟，故邀使君小亭一會。」玄德心神方定，隨至小亭，已設樽俎：盤置青梅，一樽煮酒。二人對坐，開懷暢飲。,"One day when the two brothers were absent, and Liu Bei was busy in his garden, two generals of Cao Cao, Xu Chu and Zhang Liao, with an escort came from Cao Cao, saying, ""The command of the Prime Minister is that you come at once.""""What important affair is afoot?"" asked Liu Bei nervously.""We know nothing. We were ordered to come and request your presence.""All he could do was to follow.When Liu Bei arrived, Cao Cao met him and laughingly said, ""That is a big business you have in hand at home.""This remark made Liu Bei turn the color of clay. Cao Cao took him by the hand and led him straight to the private garden, saying, ""The growth of vegetables that you are trying to learn is very difficult.""Liu Bei breathed again. He said, ""That is hardly a business. It is only a solace.""Cao Cao said, ""I happened to notice the green plums on the trees today, and suddenly my thoughts went back to a year ago when we were thrashing Zhang Xiu. We were marching through a parched county, and everyone was suffering from thirst. Suddenly I lifted my whip, and pointing at something in the distance I said, 'Look at those fruitful plum trees in the forest ahead.' The soldiers heard it, and it made their mouths water. Seeing the plums kindles my appreciation. I owe something to the plums, and we will repay it today. I ordered the servants to heat some wine very hot and sent to invite you to share it.""Liu Bei was quite composed by this time and no longer suspected any sinister design. He went with his host to a small spring pavilion in a plum garden, where the wine cups were already laid out and green plums filled the dishes. They sat down to a confidential talk and free enjoyment of their wine."
酒至半酣，忽陰雲漠漠，驟雨將至。從人遙指天外龍挂，操與玄德欄觀之。操日：「使君知龍之變化否？」玄德曰：「未知其詳。」操曰：「龍能大能小，能升能隱；大則興雲吐霧，小則隱介藏形；升則飛騰於宇宙之間，隱則潛伏於波濤之內。方今春深，龍乘時變化，猶人得志而縱橫四海。龍之為物，可比世之英雄。玄德久歷四方，必知當世英雄。請試指言之。」,"As they drank, the weather gradually changed, clouds gathering and threatening rain. The servants pointed out a mass of cloud that looked like a dragon hung in the sky. Both host and guest leaned over the balcony looking at it.""Do you understand the evolution of dragons?"" asked Cao Cao of the guest.""Not in detail.""""A dragon can assume any size, can rise in glory or hide from sight. Bulky, it generates clouds and evolves mist; attenuated, it can scarcely hide a mustard stalk or conceal a shadow. Mounting, it can soar to the empyrean; subsiding, it lurks in the uttermost depths of the ocean. This is the midspring season, and the dragon chooses this moment for its transformations like a person realizing his own desires and overrunning the world. The dragon among animals compares with the hero among people. You, General, have traveled all lakes and rivers. You must know who are the heroes of the present day, and I wish you would say who they are."""
玄德曰：「備肉眼安識英雄？」操曰：「休得過謙。」玄德曰：「備叨恩庇，得仕於朝。天下英雄，實有未知。」操曰：「既不識其面，亦聞其名。」玄德曰：「淮南袁術，兵糧足備，可謂英雄。」操笑曰：「塚中枯骨，吾早晚必擒之！」玄德曰：「河北袁紹，四世三公，門多故吏；今虎踞冀州之地，部下能事者極多，可謂英雄。」操笑曰：「袁紹色厲膽薄，好謀無斷；幹大事而惜身，見小利而忘命：非英雄也。」玄德曰：「有一人名稱八駿，威鎮九州──劉景升可為英雄。」操曰：「劉表虛名無實，非英雄也。」玄德曰：「有一人血氣方剛，江東領袖──孫伯苻乃英雄也。」操曰：「孫策藉父之名，非英雄也。」玄德曰：「益州劉季玉，可為英雄乎？」操曰：「劉璋雖係宗室，乃守戶之犬耳，何足為英雄！」玄德曰：「如張繡、張魯、韓遂等輩皆何如？」操鼓掌大笑曰：「此等碌碌小人，何足挂齒！」玄德曰：「舍此之外，備實不知。」操曰：「夫英雄者，胸懷大志，腹有良謀；有包藏宇宙之機，吞吐天地之志者也。」玄德曰：「誰能當之？」操以手指玄德，後自指曰：「今天下英雄，惟使君與操耳。」,"""I am just a common dullard. How can I know such things?""""Do not be so modest,"" said Cao Cao.""Thanks to your kindly protection I have a post at court. But as to heroes I really do not know who they are.""""You may not have looked upon their faces, but you must have heard their names.""""Yuan Shu of the South of River Huai, with his strong army and abundant resources: Is he one?"" asked Liu Bei.His host laughed, ""A rotting skeleton in a graveyard. I shall put him out of the way shortly.""""Well, Yuan Shao then. The highest offices of state have been held in his family for four generations, and his clients are many in the empire. He is firmly posted in Jizhou, and he commands the services of many able people. Surely he is one.""""A bully, but a coward. He is fond of grandiose schemes, but is devoid of decision. He makes for great things but grudges the necessary sacrifice. He loses sight of everything else in view of a little present advantage. He is not one.""""There is Liu Biao of Jingzhou. He is renowned as a man of perfection, whose fame has spread on all sides. Surely he is a hero.""""He is a mere semblance, a man of vain reputation. No, not he.""""Sun Ce is a sturdy sort, the chief of all in the South Land. Is he a hero?""""He has profited by the reputation of his father Sun Jian. Sun Ce is not a real hero.""""What of Liu Zhang of Yizhou?""""Though he is of the reigning family, he is nothing more than a watch dog. How could you make a hero of him?""""What about Zhang Xiu, Zhang Lu, Han Sui, and all those leaders?""Cao Cao clapped his hands and laughed very loudly, saying, ""Paltry people like them are not worth mentioning.""""With these exceptions I really know none.""""Now heroes are the ones who cherish lofty designs in their bosoms and have plans to achieve them. They have all-embracing schemes, and the whole world is at their mercy.""""Who is such a person?"" said Liu Bei.Cao Cao pointed his finger first at his guest and then at himself, saying, ""The only heroes in the world are you and I."""
玄德聞言，吃了一驚，手中所執匙箸，不覺落於地下。時正值天雨將至，雷聲大作。玄德乃從容俯首拾箸曰：「一震之威，乃至於此。」操笑曰：「丈夫亦畏雷乎？」玄德曰：「聖人迅雷風烈必變，安得不畏？」將聞言失箸緣故，輕輕掩飾過了。操遂不疑玄德。後人有詩讚曰：,"Liu Bei gasped, and the spoon and chopsticks rattled to the floor. Now just at that moment the storm burst with a tremendous peal of thunder and rush of rain.Liu Bei stooped down to recover the fallen articles, saying, ""What a shock! And it was quite close.""""What! Are you afraid of thunder?"" said Cao Cao.Liu Bei replied, ""The Sage One paled at a sudden peal of thunder or fierce gust of wind. Why should one not fear?""Thus he glossed over the real fact, that it was the words he had heard that had so startled him."
勉從虎穴暫趨身，說破英雄驚殺人。巧借聞雷來掩飾，隨機應變信如神。,"Constrained to lodge in a tiger's lair,He played a waiting part,But when Cao Cao talked of breaking humans,Then terror gripped his heart.But he cleverly used the thunder pealAs excuse for turning pale;O quick to seize occasions thus!He surely must prevail."
