chinese,english
卻說曹仁忿怒，遂大起本部之兵，星夜渡河，意欲踏平新野。,"In hot anger, Cao Ren lost no time in marching out to avenge the loss of so many of his army. He hastily crossed the River Yu to attack Xinye and trample it in the dust."
且說單福得勝回縣，謂玄德曰：「曹仁屯兵樊城，今知二將被誅，必起大軍來戰。」玄德曰：「當何以迎之？」福曰：「彼若盡提兵而來，樊城空虛，可乘間襲之。」玄德問計。福附耳低言如此如此。玄德大喜，預先準備已定。忽探馬報說：「曹仁引大軍渡河來了。」單福曰：「果不出吾之料。」遂請玄德出軍迎敵。兩陣對圓，趙雲出馬喚彼將答話。曹仁命李典出陣，與趙雲交鋒。約戰十數合，李典料敵不過，撥馬回陣。雲縱馬追趕，兩翼軍射住，遂各罷兵歸寨。,"When Shan Fu got back into the city, he said to Liu Bei, ""When Cao Ren, now at Fancheng, hears of his losses, he will try to retrieve them and will come to attack us.""""What is the counter move?"" asked Liu Bei.""As he will come with all his force, his own city will be left undefended. We will surprise it.""""By what ruse?""The adviser leaned over and whispered to his chief. Whatever the plan was, it pleased Liu Bei, who made arrangements. Soon the scouts reported Cao Ren crossing the river with a mighty host.""Just as I guessed,"" said Shan Fu, hearing of it.Then he suggested that Liu Bei should lead out one army against the invaders. Liu Bei did so, and, when the formation was complete, Zhao Zilong rode to the front as champion and challenged the other side.Li Dian rode out and engaged. At about the tenth bout Li Dian found he was losing and retired toward his own side. Zhao Zilong pressed after him, but was checked by a heavy discharge of arrows from the wings. Then both sides stopped the battle and retired to their camps."
李典回見曹仁，言：「彼軍精銳，不可輕敵，不如回樊城。」曹仁大怒曰：「汝未出軍時，已慢吾軍心；今又賣陣，罪當斬首！」便喝刀斧手推出李典要斬。眾將苦告方免。乃調李典領後軍，仁自引兵為前部。次日鳴鼓進軍，布成一個陣勢，使人問玄德曰：「識吾陣否？」,"Li Dian reported to his chief: ""Our enemy are brave, very full of spirit, and we will be hard to overcome. We had better retreat to Fancheng and wait for reinforcements.""Cao Ren angrily replied, ""You damped the army's spirit before we started, and now you betray us. You have been bought, and you deserve death.""Cao Ren called in the executioners, and they led away their victim. But the other officers came to intercede, and Li Dian was spared. However, he was transferred to the command of the rear, while Cao Ren himself led the attack.Next day the drums beat an advance and Cao Ren, having drawn up his soldiers, sent a messenger over to ask if Liu Bei recognized his plan of battle array."
單福便上高處觀望畢，謂玄德曰：「此『八門金鎖陣』也。八門者：休、生、傷、杜、景、死、驚、開。如從生門、景門、開門而入則吉，從傷門、驚門、休門而入則傷，從杜門、死門而入則亡。今八門雖布得整齊，只是中間還欠主持。如從東南角上生門擊入，往正西景門而出，其陣必亂。」,"So Shan Fu went on a hill and looked over it.Then he said to Liu Bei, ""The arrangement is called 'The Eight Docked Gates,' and the names of the gates are Birth, Exit, Expanse, Wound, Fear, Annihilation, Obstacle, and Death. If you enter by one of the three Birth, Exit, or Expanse you succeed. If by one of the gates Wound, Fear, or Annihilation, you sustain injuries. The other two gates Obstacles and Death will bring the end. Now, though the eight gates are all there quite correct, the central key-post is lacking, and the whole formation can be thrown into confusion by entry from the southeast and exit due west."""
玄德傳令，教軍士把住陣角，命趙雲引五百軍從東南而入，逕往西出。雲得令，挺槍躍馬，引兵逕投東南角上吶喊，殺入中軍。曹仁便投北走。雲不追趕，卻突出西門，又從西殺轉東南角上來。曹仁軍大亂。玄德麾軍衝擊，曹兵大敗而退。單福命休追趕，收軍自回。,"Wherefore certain orders were issued and Zhao Zilong, leading five hundred troops, rode out on his prancing steed to break the array. He burst in, as directed, at the southeast and, with great clamor and fighting, reached the center. Cao Ren made for the north, but Zhao Zilong, instead of following him, made a dash westward and got through. Thence he turned round to the southeast again and smote till Cao Ren's army was in disarray. Liu Bei gave a general advance signal, and the victory was complete. The beaten enemy retired.Shan Fu forbade pursuit, and they returned. The loss of the battle convinced Cao Ren of the wisdom of his colleague Li Dian, and he sent for Li Dian to consult.""They certainly have some very able person in Liu Bei's army since my formation was so quickly broken,"" said Cao Ren."
卻說曹仁輸了一陣，方信李典之言；因復請典商議，言：「劉備軍中必有能者，吾陣竟為所破。」李典曰：「吾雖在此，甚憂樊城。」曹仁曰：「今晚去劫寨。如得勝，再行計議；如不勝，便退軍回樊城。」李典曰：「不可。劉備必有準備。」仁曰：「若如此多疑，何以用兵？」遂不聽李典之言。自引軍為前隊，使李典為後應，當夜二更劫寨。,"""My chief anxiety is about Fancheng,"" said Li Dian.""I will raid their camp this night,"" said Cao Ren. ""If I succeed, we will decide upon what should be done next. If I fail, we will return to Fancheng.""""Their camp will be well prepared against such a thing, and you will fail,"" said Li Dian.""How can you expect to fight successfully when you are so full of doubts?"" said Cao Ren, angrily.He held no more converse with his cautious colleague, but himself took command of the van and set out. Li Dian was relegated to the rear. The attack on the enemy's camp was fixed for the second watch."
卻說單福正與玄德在寨中議事，忽狂風驟起。福曰：「今夜曹仁必來劫寨。」玄德曰：「何以敵之？」福笑曰：「吾已預算定了。」遂密密分撥已畢。至二更，曹仁兵將近寨，只見寨中四圍火起，燒著寨柵。曹仁知有準備，急令退軍。趙雲掩殺將來。仁不及收兵回寨，急望北河而走。將到河邊，纔欲尋船渡河，岸上一彪軍殺到，為首大將，乃張飛也。曹仁死戰，李典保護曹仁下船渡河。曹軍大半淹死水中。,"Now as Shan Fu was discussing plans with his chief a whirlwind from the northeast went by, which Shan Fu said, ""There will be a raid on the camp tonight.""""How shall we meet it?"" said Liu Bei.""The plans are quite ready,"" was the reply. Shan Fu whispered them to the chief. So at the second watch, when the enemy arrived, they saw fires on all sides, the stockades and huts burning. Cao Ren understood at once that all hope of a surprise was vain, and he turned to get away as quickly as possible. This was the signal for Zhao Zilong to fall on, and that cut Cao Ren's return road. He hastened north toward the river, and reached the bank, but, while waiting for boats to cross the stream, up came Zhang Fei and attacked.By dint of great efforts and with the support of Li Dian, Cao Ren got into a boat, but most of the soldiers were drowned in the stream."
曹仁渡過河面，上岸奔至樊城，令人叫門。只見城上一聲鼓響，一將引軍而出，大喝曰：「吾已取樊城多時矣！」眾驚視之，乃關雲長也。仁大驚，撥馬便走。雲長追殺過來。曹仁又折了好些軍馬，星夜投許昌。於路打聽，方知有單福為軍師，設謀定計。,"As soon as he got to the farther shore, he bolted for Fancheng. He reached the wall and hailed the gate, but, instead of a friendly welcome, he heard the rolling of drums, which was soon followed by the appearance of a body of troops. Guan Yu led them.""I took the city a long time ago!"" shouted Guan Yu.This was a severe shock to Cao Ren, who turned to flee. As soon as he faced about, Guan Yu attacked and killed many of his force."
不說曹仁敗回許昌。且說玄德大獲全勝，引軍入樊城，縣令劉泌出迎。玄德安民已定。那劉泌乃長沙人，亦漢室宗親，遂請玄德到家，設宴相待。只見一人侍立於側，玄德視其人器宇軒昂，因問泌曰：「此何人？」泌曰：「此吾之甥寇封，本羅侯寇氏之子也；因父母雙亡，故依於此。」玄德愛之，欲嗣為義子。劉泌欣然從之，遂使寇封拜玄德為父，改名劉封。玄德帶回，令拜雲長、翼德為叔。雲長曰：「兄長既有子，何必用螟蛉？後必生亂。」玄德曰：「吾待之如子，彼必事吾如父，何亂之有？」雲長不悅。玄德與單福計議，令趙雲引一千軍守樊城。玄德領眾自回新野。,"The remnant hastened to Xuchang. On the road the beaten general wondered who had advised his opponents with such success, and he asked the natives for the answer.While the defeated Cao Ren had to find his way back to the capital, Liu Bei had scored a great success. Afterwards he marched to Fancheng, where he was welcomed by Magistrate Liu Mi, himself a scion of the ruling family, who had been born in Changsha. Liu Mi received Liu Bei as a guest in his own house and gave banquets and treated him exceedingly well.In the train of the Magistrate, Liu Bei saw a very handsome and distinguished-looking young man, and asked who he was.Liu Mi replied, ""He is my nephew, Kou Feng, son of Lord Kou of Luo. I have taken care of him after his parents died.""Liu Bei had taken a great liking for the lad and proposed to adopt him. His guardian was willing, and so the adoption was arranged. The young man's name was changed to Liu Feng. When Liu Bei left, he took his adopted son with him. Liu Feng was then made to bow before Guan Yu and Zhang Fei as uncles.Guan Yu was doubtful of the wisdom of adopting another son, saying, ""You have a son. Why do you think it necessary to adopt another? It may cause confusion.""""How? I shall treat him as a father should, and he will serve me as befits a son.""Guan Yu was displeased.Then Liu Bei and Shan Fu began further discussions of strategy, and they decided to leave Zhao Zilong with one thousand soldiers to guard Fancheng, and they returned to Xinye."
卻說曹仁與李典回許都，見曹操，泣拜於地請罪，具言損將折兵之事。操曰：「勝負乃兵家之常。但不知誰為劉備畫策？」曹仁言是單福之計。操曰：「單福何人也？」程昱笑曰：「此非單福也。此人幼好學擊劍。中平末年，嘗為人報讎殺人，披髮塗面而走，為吏所獲。問其姓名不答，吏乃縳於車上，擊鼓行於市，令市人識之，雖有識者不敢言。而同伴竊解救之，乃更姓名而逃，折節向學，遍訪名師。嘗與司馬徽談論。此人乃潁川徐庶，字元直。單福乃其託名耳。」操曰：「徐庶之才，比君何如？」昱曰：「十倍於昱。」操曰：「惜乎賢士歸於劉備！羽翼成矣，奈何？」昱曰：「徐庶雖在彼，丞相要用，召來不難。」操曰：「安得彼來歸？」昱曰：「徐庶為人至孝。幼喪其父，止有老母在堂。現今其弟徐康已亡，老母無人侍養。丞相可使人賺其母至許昌，令作書召其子，則徐庶必至矣。」,"In the meantime Cao Cao's defeated generals had gone back. When they saw the Prime Minister, Cao Ren threw himself on the ground weeping and acknowledging his faults. He told the tale of his losses.""The fortune of war,"" said Cao Cao.""But I should like to know who laid Liu Bei's plans.""""That was Shan Fu,"" said Cao Ren.""Who is he?"" asked Cao Cao.Cheng Yu said, ""The man is not Shan Fu. When young this man was fond of fencing and used to take up the quarrels of other people and avenge their wrongs. At the end of Emperor Ling, he killed a man to avenge his friend, and then he let down his hair, muddled his face, and was trying to escape when a lictor caught him and questioned him. He would not reply. So they carted him through the streets beating a drum and asking if anyone recognized him. Nobody dared own to knowing him, even if they did so. However, his comrades managed to release him secretly, and he ran away under some other name. Then he turned to study and wandered hither and thither wherever scholars were to be found. He was a regular disputant with Sima Hui. His real name is Xu Shu and he comes from Yingchuan. Shan Fu is merely an assumed name.""""How does he compare with yourself?"" asked Cao Cao.""Ten times cleverer.""""It is a pity. If able people gather to Liu Bei, his wings will soon grow. What is to be done?""""Xu Shu is there now. But if you wanted him, it would not be difficult to call him,"" replied Cheng Yu.""How could I make him come?"" said Cao Cao.""He is noted for his affection for his mother. His father died young, leaving his mother a widow with one other son. Now that son is dead, and his mother, Lady Xun, has no one to care for her. If you sent and got his mother here and told her to write and summon her son, he would surely come."""
