chinese,english
卻說魯肅領了周瑜言語，逕來舟中相探孔明，孔明接入小舟對坐。肅曰：「連日措辦軍務，有失聽教。」孔明曰：「便是亮亦未與都督賀喜。」肅曰：「何喜？」孔明曰：「公瑾使先生來探亮知也不知，便是這件事可賀喜耳。」諕得魯肅失色問曰：「先生何由知之？」孔明曰：「這條計只好弄蔣幹。曹操雖被一時瞞過，必然便省悟，只是不肯認錯耳。今蔡、張兩人既死，江東無患矣，如何不賀喜？吾聞曹操換毛玠，于禁為水軍都督，在這兩個手裏，好歹送了水軍性命。」,"Lu Su departed on his mission and found Zhuge Liang seated in his little craft.""There has been so much to do that I have not been able to come to listen to your instructions,"" said Lu Su.""That is truly so,"" said Zhuge Liang, ""and I have not yet congratulated the Commander-in-Chief.""""What have you wished to congratulate him upon?""""Why Sir, the matter upon which he sent you to find out whether I knew about it or not. Indeed I can congratulate him on that.""Lu Su turned pale and gasped, saying, ""But how did you know, Master?""""The ruse succeeded well thus played off on Jiang Gan. Cao Cao has been taken in this once, but he will soon rise to it. Only he will not confess his mistake. However, the two men are gone, and the South Land is freed from a grave anxiety. Do you not think that is a matter for congratulation? I hear Mao Jie and Yu Jin are the new admirals, and in their hands lie both good and evil for the fate of the northern fleet."""
魯肅聽了，開口不得，把些言語支吾了半晌，別孔明而回。孔明囑曰：「望子敬在公瑾面前勿言亮先知此事。恐公瑾心懷妒忌，又要尋事害亮。」魯肅應諾而去，回見周瑜，把上項事只得實說了。瑜大驚曰：「此人決不可留！吾決意斬之！」肅勸曰：「若殺孔明，卻被曹操笑也。」瑜曰：「吾自有公道斬之，教他死而無怨。」肅曰：「以何公道斬之？」瑜曰：「子敬休問，來日便見。」,"Lu Su was quite dumbfounded. He stayed a little time longer passing the time in making empty remarks, and then took his leave.As he was going away, Zhuge Liang cautioned him, saying, ""Do not let Zhou Yu know that I know his ruse. If you let him know, he will seek some chance to do me harm.""Lu Su promised. Nevertheless he went straight to his chief and related the whole thing just as it happened.""Really he must be got rid of,"" said Zhou Yu.""I have quite decided to put the man out of the way.""""If you slay him, will not Cao Cao laugh at you?""""Oh, no! I will find a legitimate way of getting rid of him so that he shall go to his death without resentment.""""But how can you find a legitimate way of assassinating him?""""Do not ask too much. You will see presently."""
次日，聚眾將於帳下，教請孔明議事。孔明欣然而至。坐定，瑜問孔明曰：「即日將與曹軍交戰，水路交兵，當以何兵器為先？」孔明曰：「大江之上，以弓箭為先。」瑜曰：「先生之言，甚合吾意。但今軍中正缺箭用，敢煩先生監造十萬枝箭，以為應敵之具。此係公事，先生幸勿推卻。」孔明曰：「都督見委，自當效勞。敢問十萬枝箭，何時要用？」瑜曰：「十日之內，可辦完否？」孔明曰：「操軍即日將至，若候十日，必誤大事。」瑜曰：「先生料幾日可辦完？」孔明曰：「只消三日，便可拜納十萬枝箭。」瑜曰：「軍中無戲言。」孔明曰：「怎敢戲都督！願納軍令狀：三日不辦，甘當重罰。」,"Soon after all the officers were summoned to the main tent, and Zhuge Liang's presence was desired. He went contentedly enough.When all were seated, Zhou Yu suddenly addressed Zhuge Liang, saying, ""I am going to fight a battle with the enemy soon on the water. What weapons are the best?""""On a great river arrows are the best,"" said Zhuge Liang.""Your opinion and mine agree. But at the moment we are short of them. I wish you would undertake to supply about a hundred thousand arrows for the naval fight. As it is for the public service, you will not decline, I hope.""""Whatever task the Commander-in-Chief lays upon me, I must certainly try to perform,"" replied Zhuge Liang. ""May I inquire by what date you require the hundred thousand arrows?""""Could you have them ready in ten days?""""The enemy will be here very soon. Ten days will be too late,"" said Zhuge Liang.""In how many days do you estimate the arrows can be ready?""""Let me have three days. Then you may send for your hundred thousand.""""No joking, remember!"" said Zhou Yu. ""There is no joking in war time.""""Dare I joke with the Commander-in-Chief? Give me a formal military order. If I have not completed the task in three days, I will take my punishment."""
瑜大喜，喚軍政司當面取了文書，置酒相待曰：「待軍事畢後，自有酬勞。」孔明曰：「今日已不及，來日造起。至第三日，可差五百小軍到江邊搬箭。」飲了數杯，辭去。魯肅曰：「此人莫非詐乎？」瑜曰：「他自送死，非我逼他。今明白對眾要了文書，他便兩脅生翅，也飛不去。我只分付軍匠人等，教他故意遲延，凡應用物件，都不與齊備。如此，必然誤了日期。那時定罪，有何理說？公今可去探他虛實，卻來回報。」,"Zhou Yu, secretly delighted, sent for the secretaries and prepared the commission then and there.Then he drank to the success of the undertaking and said, ""I shall have to congratulate you most heartily when this is accomplished.""""This day is too late to count,"" said Zhuge Liang. ""On the third from tomorrow morning send five hundred soldiers to the river side to convey the arrows.""They drank a few more cups together, and then Zhuge Liang took his leave.After he had gone, Lu Su said, ""Do you not think there is some deceit about this?""""Clearly it is not I! It is he who has signed his own death warrant,"" said Zhou Yu. ""Without being pressed in the least, he asked for a formal order in the face of the whole assembly. Even if he grew a pair of wings, he could not escape. Only I will just order the workers to delay him as much as they can, and not supply him with materials, so that he is sure to fail. And then, when the certain penalty is incurred, who can criticize? You can go and inquire about it all and keep me informed."""
肅領命來見孔明。孔明曰：「吾曾告子敬，休對公瑾說，他必要害我。不想子敬不肯為我隱諱，今日果然又弄出事來。三日內如何造得十萬箭？子敬只得救我！」肅曰：「公自取其禍，我如何救得你？」孔明曰：「望子敬借我二十隻船，每船要軍士三十人，船上皆用青布為幔，各束草千餘個，分布兩邊。吾自有妙用。第三日包管有十萬枝箭。只不可又教公瑾得知；若彼知之，吾計敗矣。」,"So off went Lu Su to seek Zhuge Liang, who at once reproached him with having blabbed about the former business.Zhuge Liang said, ""He wants to hurt me, as you know, and I did not think you could not keep my secret. And now there is what you saw today, and how do you think I can get a hundred thousand arrows made in three days? You will simply have to rescue me.""""You brought the misfortune on yourself, and how can I rescue you?"" said Lu Su.""I look to you for the loan of twenty vessels, manned each by thirty people. I want blue cotton screens and bundles of straw lashed to the sides of the boats. I have good use for them. On the third day, I shall undertake to deliver the fixed number of arrows. But on no account must you let Zhou Yu know, or my scheme will be wrecked."""
肅應諾，卻不解其意，回報周瑜，果然不提起借船之事；只言孔明並不用箭竹翎毛膠漆等物，自有道理。瑜大疑曰：「且看他三日後如何回覆我！」,"Lu Su consented, and this time he kept his word. He went to report to his chief as usual, but he said nothing about the boats.He only said, ""Zhuge Liang is not using bamboo or feathers or glue or varnish, but has some other way of getting arrows.""""Let us await the three days' limit,"" said Zhou Yu, puzzled though confident."
卻說魯肅私自撥輕快船二十隻，各船三十餘人，並布幔束草等物，盡皆齊備，候孔明調用。第一日卻不見孔明動靜；第二日亦只不動。至第三日四更時分，孔明密請魯肅到船中。肅問曰：「公召我來何意？」孔明曰：「特請子敬同往取箭。」肅曰：「何處去取？」孔明曰：「子敬休問，前去便見。」遂命將二十隻船，用長索相連，逕望北岸進發。是夜大霧漫天，長江之中，霧氣更甚，對面不相見。孔明促舟前進，果然是好大霧！前人有篇大霧垂江賦曰：大哉長江，西接岷峨，南控三吳，北帶九河。匯百川而入海，歷萬古以揚波。至若龍伯，海若，江妃，水母，長鯨千丈，天蜈九首，鬼怪異類，咸集而有。蓋夫鬼神之所憑依，英雄之所戰守也。時而陰陽既亂，昧爽不分。訝長空之一色，忽大霧之四屯。雖輿薪而莫睹，惟金鼓之可聞。初若溟濛，纔隱南山之豹；漸而充塞，欲迷北海之鯤。然後上接高天，下垂厚地。渺乎蒼茫，浩乎無際。鯨鯢出水而騰波，蛟龍潛淵而吐氣。又如梅霖收溽，春陰釀寒；溟溟濛濛，浩浩漫漫。東失柴桑之岸，南無夏口之山。戢船千艘，俱沈淪於巖壑；漁舟一葉，驚出沒於波瀾。甚則穹昊無光，朝陽失色；返白晝為昏黃，變丹山為水碧。雖大禹之智，不能測其淺深；離婁之明，焉能辨乎咫尺？於是馮夷息浪，屏翳收功；魚鱉遁跡，鳥獸潛蹤。隔斷蓬萊之島，暗圍閶闔之官。恍惚奔騰，如驟雨之將至；紛紜雜沓，若寒雲之欲同。乃復中隱毒蛇，因之而為瘴癘；內藏妖魅，憑之而為禍害。降疾厄於人間，起風塵於塞外。小民遇之失傷，大人觀之感慨。蓋將返元氣於洪荒，混天地為大塊。,"On his side Lu Su quietly prepared a score of light swift boats, each with its crew and the blue screens and bundles of grass complete and, when these were ready, he placed them at Zhuge Liang's disposal. Zhuge Liang did nothing on the first day, nor on the second. On the third day at the middle of the fourth watch, Zhuge Liang sent a private message asking Lu Su to come to his boat.""Why have you sent for me, Sir?"" asked Lu Su.""I want you to go with me to get those arrows.""""Whither are you going?""""Do not ask. You will see.""Then the twenty boats were fastened together by long ropes and moved over to the north bank. The night proved very foggy and the mist was very dense along the river, so that one person could scarcely see another. In spite of the fog, Zhuge Liang urged the boats forward as if into the vast fairy kingdom.There is a poem on these river fogs:Mighty indeed is the Great River!Rising far in the west, in the Emei and Min Mountains,Plowing its way through Wu, east flowing, resistless,Swelled by its nine tributary streams, rolling down from the far north,Aided and helped by a hundred rivulets swirling and foaming,Ocean receives it at last welcoming, joyful, its waters.Therein abide sea nymphs and water gods,Enormous whales a thousand fathoms long,Nine-headed monstrous beasts, reptiles and octopi,Demons and uncouth creatures wondrous strange.In faith it is the home and safe retreatOf devils and sprites, and wondrous growths,And eke the battle ground of valiant humans.At times occur strange strife of elements,When darkness strives on light's domains that encroach,Whereat arises in the vaulted dome of blueWhite wreaths of fog that toward the center roll.Then darkness falls, too dense for any torchIllumine; only clanging sounds can pass.The fog at first appears, a vaporous wreathScarce visible. But thickening fast, it veilsThe Southern Hills, the painted leopard's home.And spreads afar, until the northern seaLeviathans are amazed and lose their course.And denser yet it touches on the sky.And spreads a heavy mantle over the earth.Then, wide as is the high pitched arch of heaven,Therein appears no single rift of blue.Now mighty whales lead up their spouses to sportUpon the waves, the sinuous dragons diveDeep down and, breathing, swell the heaving sea,The earth is moist as with the early rains,And spring's creative energy is chilled.Both far and wide and high the damp fog spreads,Great cities on the eastern bank are hid,Wide ports and mountains in the south are lost,Whole fleets of battle ships, a thousand keels,Hide in the misty depths; frail fishing boatsHigh riding on a wave are seen —-and lost.The gloom increases and the domed skyGrows dark and darker as the sun's light fails.The daylight dies, dim twilight's reign begins,The ruddy hills dissolve and lose their hue.The skill of matchless King Yu would fail to soundThe depth and height; and Li Lou's eye, though keen,Could never pierce this gloom.Now is the time, O sea and river gods, to use your powers.The gliding fish and creeping water folkAre lost; there is no track for bird or beast.Fair Penglai Isles are hidden from our sight,The lofty gates of heaven have disappeared.Nature is blurred and indistinct, as whenA driving rain storm hurries over the earth.And then, perhaps, within the heavy haze,A noisome serpent vents his venom foulAnd plagues descend, or impish demons workTheir wicked wills.Ills fall on humans but do not stay,Heaven's cleansing breath sweeps them sway,But while they last the mean ones cry,The nobler suffer silently.The greatest turmoil is a signOf quick return to state benign."
當夜五更時候，船已近曹操水寨。孔明教把船隻頭西尾東，一帶擺開，就船上擂鼓吶喊。魯肅驚曰：「倘曹兵齊出，如之奈何？」孔明笑曰：「吾料曹操於重霧中必不敢出。吾等只顧酌酒取樂，待霧散便回。」,"The little fleet reached Cao Cao's naval camp about the fifth watch, and Zhuge Liang gave orders to form line lying prows west, and then to beat the drums and shout.""But what shall we do if they attack us?"" exclaimed Lu Su.Zhuge Liang replied with a smile, ""I think their fleet will not venture out in this fog. Go on with your wine, and let us be happy. We will go back when the fog lifts."""
卻說曹操寨中，聽得擂鼓吶喊，毛玠，于禁，二人慌忙飛報曹操。操傳令曰：「重霧迷江，彼軍忽至，必有埋伏，切不可輕動。可撥水軍弓弩手亂射之。」又差人往旱寨內喚張遼，徐晃，各帶弓弩軍三千，火速到江邊助射。比及號令到來，毛玠，于禁，怕南軍搶入水寨，已差弓弩手在寨前放箭。,"As soon as the shouting from the river was heard by those in the camp, the two admirals, Mao Jie and Yu Jin, ran off to report to Cao Cao, who said, ""Coming up in a fog like this means that they have prepared an ambush for us. Do not go out, but get all the force together and shoot at them.""He also sent orders to the ground camps to dispatch six thousand of archers and crossbowmen to aid the marines.The naval forces were then lined up shooting on the bank to prevent a landing."
少頃，旱寨內弓弩手亦到，約一萬餘人，盡皆向江中放箭：箭如雨發。孔明教把船掉轉，頭東尾西，逼近水寨受箭，一面擂鼓吶喊。待至日高霧散，孔明令收船急回。二十隻船兩邊束草上，排滿箭枝。孔明令各船上軍士齊聲叫曰：「謝丞相箭！」比及曹軍寨內報知曹操時，這裏船輕水急，已放回二十餘里，追之不及，曹操懊悔不已。,"Presently the soldiers arrived, and ten thousand and more soldiers were shooting down into the river, where the arrows fell like rain. By and bye Zhuge Liang ordered the boats to turn round so that their prows pointed east and to go closer in so that many arrows might hit them.Zhuge Liang ordered the drums to be kept beating till the sun was high and the fog began to disperse, when the boats got under way and sailed down stream. The whole twenty boats were bristling with arrows on both sides.As they left, Zhuge Liang asked all the crews to shout derisively, ""We thank you, Sir Prime Minister, for the arrows!""They told Cao Cao, but by the time he came, the light boats helped by the swift current were seven miles long down the river and pursuit was impossible. Cao Cao saw that he had been duped and was very sorry, but there was no help for it."
