chinese,english
卻說曹操欲斬劉岱、王忠。孔融諫曰：「二人本非劉備敵手，若斬之，恐失將士之心。」操乃免其死，黜罷爵祿，欲自起兵伐玄德。孔融曰：「方今隆冬盛寒，未可動兵；待來春未為晚也。可先使人招安張繡、劉表，然後再圖徐州。」操然其言，先遣劉曄往說張繡。曄至襄城，先見賈詡，陳說曹公盛德。詡乃留曄於家中。,"At the close of the last chapter the two unsuccessful leaders, Liu Dai and Wang Zhong, were in danger of death.However, Kong Rong remonstrated with Cao Cao, saying, ""You knew these two were no match for Liu Bei, and if you put them to death because they failed, you will lose the hearts of your people.""Wherefore the death sentence was not executed, but they were deprived of rank and status.Cao Cao next proposed to lead an army himself to attack Liu Bei, but Kong Rong advised, ""The weather is too inclement. We must wait the return of spring. In the interval, we better use the time to arrange peace with Zhang Xiu and Liu Biao, before launching an expedition against Xuzhou.""Wherefore Liu Ye was sent to Zhang Xiu and in due time reached Xiangyang. He first had an interview with Jia Xu, Zhang Xiu's adviser, whereat he dwelt upon Cao Cao's virtues so that Jia Xu was impressed. Jia Xu kept Liu Ye as a guest and undertook to smooth his way."
次日來見張繡，說曹公遣劉曄招安之事。正議間，忽報袁紹有使至。繡命入。使者呈上書信。繡覽之，亦是招安之意。詡問來使曰：「近日興兵破曹操，勝負如何？」使曰：「隆冬寒月，權且罷兵。今以將軍與荊州劉表俱有國士之風，故來相請耳。」詡大笑曰：「汝可回見本初，道：『汝兄弟尚不能容，何能容天下國士乎！」』,"Soon after Liu Ye saw Zhang Xiu and spoke of the advantages of coming to terms with Cao Cao. While the discussion was in progress, a messenger from Yuan Shao was announced, and he was called in. He presented letters and, when they also proposed terms of peace, Jia Xu asked what their success had been lately against Cao Cao.""The war had ceased for the moment on account of the winter,"" replied the messenger. ""As you, General, and Liu Biao are both well reputed officers of the state, I have been sent to request your help.""Jia Xu laughed, ""You can return to your master and say that as he could not brook rivalry of his brother, he certainly would be sorely put to it with that of all the officers of the state."""
當面扯碎書，叱退來使。張繡曰：「方今袁強曹弱；今毀書叱使，袁紹若至，當如之何？」詡曰：「不如去從曹操。」繡曰：「吾先與操有讎，安得相容？」詡曰：「從操其便有三：夫曹公奉天子明詔，征伐天下，其宜從一也；紹強盛，我以少從之，必不以我為重，操雖弱，得我必喜，其宜從二也；曹公王霸之志，必釋私怨，以明德於四海，其宜從三也。願將軍無疑焉。」,"The letter was torn into fragments before the messenger's face, and he was angrily bidden be gone.""But his master, Yuan Shao, is stronger than Cao Cao,"" protested Zhang Xiu. ""You have torn up his letter and are dismissing his man. What shall we say about such an insult should Yuan Shao come?""""Better join hands with Cao Cao,"" said Jia Xu.""But there is still between us an unavenged enmity. We could not suffer each other.""Jia Xu said, ""There are three advantages in joining hands with Cao Cao. First, he has a command from the Emperor to restore peace. Second, as Yuan Shao is so strong, our little help to him will be despised, while we shall loom large and be well treated by Cao Cao. Third, Cao Cao is going to be Chief of the Feudal Lords, and he will ignore all private feuds in order to show his magnanimity to all the world. I hope, General, you will see these things clearly and hesitate no longer."""
繡從其言，請劉曄相見。曄盛稱操德，且曰：「丞相若記舊怨，安肯使某來結好將軍乎？」繡大喜，即同賈詡等赴許都投降。繡見操，拜於階下。操忙扶起，執其手曰：「有小過失，勿記於心。」遂封繡為揚武將軍，封賈詡為執金吾使。操即命繡作書招安劉表。賈詡進曰：「劉景升好結納名流，今必得一有文名之士往說之，方可降耳。」操問荀攸曰：「誰人可去？」攸曰：「孔文舉可當其任。」,"Zhang Xiu, now convinced, became more reasonable and recalled Liu Ye, who, at the interview, extolled the many virtues of his master.""If the Prime Minister had any thought of the old quarrel, he would hardly have sent me to make friendly engagements, would he?"" said Liu Ye at the last.So Zhang Xiu and his adviser proceeded to the capital where formal submission was made. At the interview Zhang Xiu bowed low at the steps, but Cao Cao, hastening forward, took him by the hand and raised him, saying, ""Forget that little fault of mine, I pray you, General!""Zhang Xiu received the title of General Who Possesses Prowess, and Jia Xu was appointed Counselor.Cao Cao then directed his secretaries to draft letters inviting the support of Liu Biao.Jia Xu said, ""Liu Biao loves to have to do with famous people. If some famous scholar should be sent to him, he would submit forthwith.""So Cao Cao inquired of Xun You who was the best person to go as a messenger, and he recommended Kong Rong."
操然之。攸出見孔融曰：「丞相欲得一有文名之士，以備行人之選。公可當此任否？」融曰：「吾友禰衡，字正平，其才十倍於我。此人宜在帝左右，不但可備行人而已。我當薦之天子。」於是遂上表奏帝。其文曰：,"Cao Cao agreed and sent Xun You to speak with this officer. Xun You went to Kong Rong, saying, ""A scholar of reputation is required to aid as a messenger of state. Can you undertake this task?""Kong Rong replied, ""I have a certain friend, Mi Heng, whose talents are ten times mine. He ought to be constantly at the court of the Emperor and not merely be sent as a state messenger. I will recommend him to the Emperor.""So Kong Rong wrote the following memorial:"
臣聞洪水橫流，帝思俾刈；旁求四方，以招賢俊。昔世宗繼統，將弘基業；疇咨熙載，群士響臻。陛下叡聖，纂承基緒，遭遇厄運，勞謙日昃；維嶽降神，異人並出。竊見處士平原禰衡：年二十四，字正平，淑質貞亮，英才卓犖；初涉藝文，升堂睹奧。目所一見，輒誦之口；耳所暫聞，不忘於心。性與道合，思若有神。弘羊潛計，安世默識，以衡準之，誠不足怪。忠果正直，志懷霜雪；見善若驚，嫉惡若讎。任座抗行，史魚厲節，殆無以過也。鷙鳥累百，不如一鶚。使衡立朝，必有可觀，飛辯聘詞，溢氣坌涌；解疑釋結，臨敵有餘。,"""In ancient days, when the great waters were abroad, the emperor pondered over their regulation and he sought out people of talent from all directions. In old time, when Emperor Wu of the Hans desired to enlarge his borders, crowds of scholars responded to his call.""Intelligent and holy, Your Majesty ascended the throne. You have fallen upon evil days, but have been diligent, modest, and untiring in your efforts. Now the great mountains have sent forth spirits, and people of genius appear.""I, your humble servant, know of a certain simple scholar, Mi Heng by name, of Pingyuan, a young man of twenty-four. His moral character is excellent, his talents eminent. As a youth he took a high place in study and penetrated the most secret arcane of learning. What he glanced at he could repeat, what he heard once he never forgot. He is naturally high principled, and his thoughts are divine. Sang Hongyang's mental calculations and Zhang Anshi's memorial feats compared with Mi Heng's powers are no longer wonderful. Loyal, sincere, correct, and straight-forward, his ambition is unsullied. He regards the good with trembling respect; he detests the evil with uncompromising hatred. Ren Zuo in unflinching candor, Shi Yu in severe rectitude, never surpassed him.""Hundreds of hawks are not worth one osprey. If Mi Heng be given a court appointment, notable results must follow. Ready in debate, rapid in utterance, his overwhelming intelligence wells up in profusion. In the solution of doubts and the unraveling of difficulties he has no peer."
昔賈誼求試屬國，詭係單于；終軍欲以長纓，牽制勁越；弱冠慷慨，前世美之；近日路粹，嚴象亦用異才擢拜臺郎：衡宜與為比。如龍躍天衢，振翼雲漢，揚聲紫微，垂光虹蜺，足以昭近署之多士，增四門之穆穆。鈞天廣樂，必奇麗之觀；帝室王居，必蓄非常之寶。若衡等輩，不可多得。激楚、陽阿，至妙之容，掌伎者之所貪；飛兔、騕裏，絕足奔放，良、樂之所急也。臣等區區，敢不以聞？陞下篤慎取士，必須效試。乞令衡以褐衣召見。如無可觀釆，臣等受面欺之罪。」,"""In former days of Han, Jia Yi begged to be sent on trial to a vassal state for the control of the Xiongnu tribespeople; Zhong Jun offered to bring back the Prince of Nanyue to do homage to the emperor. The generous conduct of these youths has been much admired.""In our day Lu Cui and Yan Xiang, remarkable for their talents, have been appointed among the secretaries. And Mi Heng is no less capable. Should he be got, then all possibilities may be realized: The dragon may curvet through the celestial streets and soar along the Milky Way; fame will extend to the poles of the universe and hang in the firmament with rainbow glory. He would be the glory of all the present Ministers and enhance the majesty of the Palace itself. The Music will acquire new beauties, and the Palace will contain an excellent treasure. People like Mi Heng are but few. As in the recitation of 'Ji Chu Songs' and the singing of 'Yang E Poems', the most skillful performers are sought; and such fleet horses as 'Fei Tu Broncos' and 'Yao Niao Mustangs' were looked for by the famous judges of horses, Wang Liang and Bo Le.""So I, the humble one, dare not conceal this man. Your Majesty is careful in the selection of servants and should try him. Let him be summoned as he is, simply clad in his serge dress; and should he not appear worthy, then may I be punished for the fault of deception."""
帝覽表，以付曹操。操遂使人召衡至。禮畢，操不命坐。禰衡仰天歎曰：「天地雖闊，何無一人也！」操曰：「吾手下有數十人，皆當世英雄，何謂無人？」衡曰：「願聞。」操曰：「荀彧，荀攸，郭嘉，程昱，機深智遠，雖蕭何，陳平不及也。張遼，許褚，樂進，李典，勇不可當，雖岑彭，馬武不及也。呂虔，滿寵，為從事；于禁，徐晃，為先鋒。夏侯惇，天下奇才；曹子孝，世間福將。安得無人？」衡笑曰：「公言差矣。此等人物，吾盡識之：荀彧可使弔喪問疾，荀攸可使看墳守墓，程昱可使關門閉戶，郭嘉可使白詞念賦，張遼可使擊鼓鳴金，許褚可使牧牛放馬，樂進可使取狀讀詔，李典可使傳書送檄，呂虔可使磨刀鑄劍，滿寵可使飲酒食糟，于禁可使負版築牆，徐晃可使屠豬殺狗。夏侯惇稱為『完體將軍』，曹子孝呼為『要錢太守』。其餘皆是衣架！飯囊！酒桶！肉袋耳！」操怒曰：「汝有何能？」衡曰：「天文地理，無一不通；三教九流，無一不曉；上可以致君為堯、舜，下可以配德於孔、顏。豈與俗子共論乎！」時止有張遼在側，掣劍欲斬之。操曰：「吾正少一鼓吏；早晚朝賀宴享，可令禰衡充此職。」衡不推辭，應聲而去。遼曰：「此人出言不遜，何不殺之？」操曰：「此人素有虛名，遠近所聞。今日殺之，天下必謂我不能容物，彼自以為能，故令為鼓吏以辱之。」,"The Emperor read the memorial and passed it to his Prime Minister, who duly summoned Mi Heng. He came, but after his formal salutations were over, he was left standing and not invited to sit down.Looking up to heaven, Mi Heng sighed deeply, saying, ""Wide as is the universe, it cannot produce the person.""""Under my orders are scores of people whom the world call heroes. What do you mean by saying there is not the person,"" said Cao Cao.""I should be glad to hear who they are,"" said Mi Heng.""Xun Yu, Xun You, Guo Jia, and Cheng Yu are all people of profound skill and long views, superior to Xiao He and Chen Ping. Zhang Liao, Xu Chu, Li Dian, and Yue Jing are bravest of the brave, better than Cen Peng and Ma Wu. Lu Qian and Man Chong are my secretaries; Yu Jin and Xu Huang are my van leaders; Xiahou Dun is one of the world's marvels, Cao Ren is the most successful leader of the age. Now say you there are not the people?""""Sir, you are quite mistaken,"" said Mi Heng with a smile. ""I know all these things you call people. Xun Yu is qualified to pose at a funeral or ask after a sick man; Xun You is fit to be a tomb guardian; Cheng Yu might be sent to shut doors and bolt windows; and Guo Jia is a reciter of poems; Zhang Liao might beat drums and clang gongs; Xu Chu might lead cattle to pasture; Yue Jing would make a fair reader of elegy; Li Dian could carry dispatches and notices; Lu Qian would be a fair armorer; Man Chong could be sent to drink wine and eat brewers' grains; Yu Jin might be of use to carry planks and build walls; Xu Huang might be employed to kill pigs and slay dogs; Xiahou Dun should be styled 'Whole Body General,' and Cao Ren should be called 'Money-grubbing Governor.' As for the remainder, they are mere clothes shelves, rice sacks, wine vases, flesh bags.""""And what special gifts have you?"" said Cao Cao angrily.""I know everything in heaven above and the earth beneath. I am conversant with the Three Religions and the Nine Systems of Philosophy. I could make my prince the rival of Kings Yao and Shun, and I myself could compare in virtue with Confucius and Mencius. Can I discuss on even terms with common people?""Now Zhang Liao was present, and he raised his sword to strike down the impudent visitor who spoke thus to his master, but Cao Cao said, ""I want another drummer boy to play on occasions of congratulation in the court. I will confer this office upon him.""Instead of indignantly declining this, Mi Heng accepted the position and went out.""He spoke very impertinently,"" said Zhang Liao. ""Why did you not put him to death?""""He has something of a reputation; empty, but people have heard of him and so, if I put him to death, they would say I was intolerant. As he thinks he has ability, I have made him a drummer to mortify him."""
來日，操於省廳上大宴賓客，今鼓使撾鼓。舊吏云：「撾鼓必換新衣。」衡穿舊衣而入，遂擊鼓為「漁陽三撾」，音節殊妙，淵淵有金石聲。坐客聽之，莫不慷慨流涕。左右喝曰：「何不更衣！」衡當面脫下舊破衣服，裸體而立，渾身盡露。坐客皆掩面。衡乃徐徐著褲，顏色不變。,"Soon after Cao Cao instituted a banquet in the capital at which the guests were many. The drums were to be played, and the old drummers were ordered to wear new clothes. But the new drummer Mi Heng took his place with the other musicians clad in old and worn garments. The piece chosen was the ""Tolling of Yuyang,"" and from the earliest taps on the drum the effect was exquisite, profound as the notes from metal and stone. The performance stirred deeply the emotions of every guest; some even shed tears.Seeing all eyes turned on the shabby performer, the attendants said, ""Why did you not put on your new uniform?""Mi Heng turned to them, slipped off his frayed and torn robe and stood there in full view, naked as he was born. The assembled guests covered their faces. Then the drummer composedly drew on his nether garments."
操叱曰：「廟堂之上，何太無禮？」衡曰：「欺君罔上乃謂無禮。吾露父母之形，以顯清白之體耳！」操曰：「汝為清白，誰為汙濁？」衡曰：「汝不識賢愚，是眼濁也；不讀詩書，是口濁也；不納忠言，是耳濁也；不通古今，是身濁也；不容諸侯，是腹濁也；常懷篡逆，是心濁也！吾乃天下名士，用為鼓吏，是猶陽貨輕仲尼、臧倉毀孟子耳！欲成霸王之業，而如此輕人耶？」,"""Why do you behave so rudely at court?"" said Cao Cao.""To flout one's prince and insult one's superiors is the real rudeness,"" cried Mi Heng. ""I bare my natural body as an emblem of my purity.""""So you are pure! And who is foul?""""You do not distinguish between the wise and the foolish, which is to have foul vision. You have never read the Odes or the Histories, which is to have foul speech. You are deaf to honest words, which is to have foul ears. You are unable to reconcile antiquity with today, which is to be foul without. You cannot tolerate the vassals, which is to be foul within. You harbor thoughts of rebellion, which is to have a foul heart. I am one of the most famous scholars in the empire, and you make me a drummer boy, that is as Yang Huo belittling Confucius or Zang Cang vilifying Mencius. You desire to be chief and arbitrator of the great nobles, yet you treat me thus!"""
