chinese,english
卻說孫權督眾攻打夏口，黃祖兵敗將亡，情知守把不住，遂棄江夏，望荊州而走。甘寧料得黃祖必走荊州，乃於東門外伏兵等候。祖帶數十騎突出東門，正走之間，一聲喊起，甘寧攔住。祖於馬上謂寧曰：「我向日不曾輕待汝，今何相逼耶？」寧叱曰：「吾昔在江夏，多立功績，汝乃以劫江賊待我，今日尚有何說？」,"Now Sun Quan fought against Xiakou. When Huang Zu recognized that he was beaten and could not maintain his position, he abandoned Jiangxia and took the road to Jingzhou. Gan Ning, foreseeing this, had laid an ambush outside the east gate of Jiangxia. Soon after the fugitive, with a small following, had burst out of the gate, he found his road blocked.From horseback, Huang Zu said, ""I treated you well in the past. Why do you now press me so hard?""Gan Ning angrily shouted, ""I did good service for you, and yet you treated me as a pirate. Now what have you to say?"""
黃祖自知難免，撥馬而走。甘寧衝開士卒，直趕將來，只聽得後面喊聲起處，又有數騎趕來。寧視之，乃程普也。寧恐普來爭功，慌忙拈弓搭箭，背射黃祖，祖中箭翻身落馬，寧梟其首級，回馬與程普合兵一處，回見孫權，獻黃祖首級。權命以木匣盛貯，待回江東祭獻於亡父靈前。重賞三軍，陞甘寧為都尉。商議欲分兵守江夏。張昭曰：「孤城不可守，不如且回江東。劉表知我破黃祖，必來報讎。我以逸待勞，必敗劉表。表敗而後乘勢攻之，荊襄可得也。」權從其言，遂棄江夏，班師回江東。,"There was nothing to be said, and Huang Zu turned his horse to escape. But Gan Ning thrust aside his troops and himself rode in pursuit. Then he heard a shouting in his rear and saw General Cheng Pu coming up. Fearing lest this other pursuer should overpass him and score the success he desired for himself, Gan Ning fitted an arrow to his bow and shot at the fugitive. Huang Zu was hit and fell from his steed. Then Gan Ning cut off his head. After this, joining himself to Cheng Pu, the two returned bearing the ghastly trophy to their lord. Sun Quan ordered them to place it in a box to be taken back home and offered as a sacrifice to the manes of his father. Having rewarded the soldiers for the victory and promoted Gan Ning, Sun Quan next discussed the advisability of sending a force to hold Jiangxia.But his adviser, Zhang Zhao, said, ""It is impossible to try to hold one distant city alone. It is better to return home and prepare for the expedition that Liu Biao will surely send in revenge. We will meet and defeat his worn army, push home the attack, and capture his whole region.""Sun Quan saw the advice was wise, so he left Jiangxia and led his army home to the South Land."
蘇飛在檻車內，密使人告甘寧求救。寧曰：「飛即不言，吾豈忘之？」大軍既至吳會，權命將蘇飛梟首，與黃祖首級一同祭獻。甘寧乃入見權，頓首哭告曰：「某向日若不得蘇飛，則骨填溝壑矣，安能效命將軍麾下哉？今飛罪當誅，某念其昔日之恩情，願納還官爵，以贖飛罪。」權曰：「彼既有恩於君，吾為君赦之；但彼若逃去，奈何？」寧曰：「飛得免誅戮，感恩無地，豈肯走乎？若飛去，寧願將首級獻於階下。」權乃赦蘇飛，止將黃祖首級祭獻。祭畢設宴，大會文武慶功。,"Now Su Fei was still confined, but he got someone to go to Gan Ning to beg him to plead for mercy. Gan Ning had expected this although the prisoner had said no word, and he was averse from leaving his friend and one-time protector to perish.""I should not have forgotten him even if he had said nothing,"" said Gan Ning.When the army had returned, Sun Quan gave orders for Su Fei's execution that his head might be offered with that of Huang Zu.Then Gan Ning went in to his lord and said, weeping, ""Long ago, if it had not been for Su Fei, my bones would have been rotting in some ditch and how then could I have rendered service under your banner? Now he deserves death, but I cannot forget his kindness to me, and I pray you take away the honors you have bestowed on me as a set-off to his crime.""Sun Quan replied, ""Since he once showed kindness to you, I will pardon him for your sake. But what can be done if he run away?""""If he be pardoned and escape death, he will be immeasurably grateful and will not go away. If he should, then will I offer my life in exchange.""So the condemned man escaped death, and only one head was offered in sacrifice. After the sacrificial ceremonies, a great banquet was spread in honor of the victories."
正飲酒間，忽見座上一人大哭而起，拔劍在手，直取甘寧。寧忙舉坐椅以迎之。權驚視其人，乃凌統也，因甘寧在江夏時，射死他父親凌操，今日相見，故欲報讎。權連忙勸住，謂統曰：「興霸射死卿父，彼時各為其主，不容不盡力。今既為一家人，豈可復理舊讎？萬事皆看吾面。」凌統叩頭大哭曰：「不共戴天之讎，豈容不報？」權與眾官再三勸之，凌統只是怒目而視甘寧。權即日命甘寧領兵五千，戰船一百隻，往夏口鎮守，以避凌統。寧拜謝，領兵自往夏口去了。權又加封凌統為承烈都尉，統只得含恨而止。,"As it was proceeding, suddenly one of the guests burst into loud lamentations, drew his sword, and rushed upon Gan Ning. Gan Ning hastily rose and defended himself with the chair on which he had been sitting. The host looked at the assailant and saw it was Ling Tong, whose father Ling Cao had fallen under an arrow shot by Gan Ning. The son was now burning to avenge his father's death.Hastily leaving his place, Sun Quan checked the angry officer, saying, ""If he slew your noble father, then remember each was fighting for his lord for whom he was bound to exert himself to the utmost. But now that you both are under one flag and are of one house, you may not recall an ancient injury. You must regard my interests continually.""Ling Tong beat his head upon the floor and cried, saying, ""But how can I not avenge this? It is a blood feud, and we may not both live under the same sky.""The guests interfered, beseeching the man to forgo his revenge, and at last he ceased from his murderous intention. But he sat glaring wrathfully at his enemy.So soon after Gan Ning was dispatched with five thousand troops and one hundred warships to guard Xiakou, where he was beyond the reach of Ling Tong's wrath. Then Sun Quan promoted Ling Tong, and so he was somewhat appeased."
東吳自此廣造戰船，分兵守把江岸；又命孫靜引一枝軍守吳會；孫權自領大軍，屯柴桑；周瑜日於鄱陽湖教練水軍，以備攻戰。,"From about this time the South Land enlarged her fleets, and soldiers were sent to various points to guard the river banks. The brother of the chieftain, Sun Kuang, was placed in command at Wujun, and Sun Quan himself, with a large army, camped at Chaisang. Zhou Yu, Commander-in-Chief of the army and Supreme Admiral of the navy, was on the Poyang Lake training the naval forces, and general preparations were made for defense and attack."
話分兩頭。卻說玄德差人打探江東消息，回報：「東吳已攻殺黃祖，現今屯兵柴桑。」玄德便請孔明計議。,"By his spies, Liu Bei had tidings of the doings in the lower portion of the Great River, and knew of the death of Huang Zu. So he consulted Zhuge Liang as to his action."
正話間，忽劉表差人來請玄德赴荊州議事。孔明曰：「此必因江東破了黃祖，故請主公商議報讎之策也。」某當與主公同往，相機而行，自有良策。」,"While they were discussing matters, there arrived a messenger from Liu Biao, begging Liu Bei to go to see him.Zhuge Liang advised him to go and said, ""This call is to consult you about avenging Huang Zu. You must take me with you and let me act as the circumstances direct. There are advantages to be got."""
玄德從之，留雲長守新野，令張飛引五百人馬跟隨往荊州來。玄德在馬上謂孔明曰：「今見景升，當若何對答？」孔明曰：「當先謝襄陽之事。他若令主公去征討江東，切不可應允。但說容歸新野，整頓軍馬。」,"Leaving Guan Yu in command at Xinye, Liu Bei set forth, taking Zhang Fei with five hundred soldiers as his escort.On the way he discussed the course of action with his adviser, who said, ""First you must thank Liu Biao for having saved you from the evil that Cai Mao planned against you at Xiangyang. However, you must not undertake any expedition against the South Land but say you must return to Xinye to put your army in good order."""
玄德依言，來到荊州，館驛安下，留張飛屯兵城外。玄德與孔明入城見劉表。禮畢，玄德請罪於階下。表曰：「吾已悉知賢弟被害之事。當時即欲斬蔡瑁之首，以獻賢弟。因眾人告免，故姑恕之。弟幸勿見罪。」玄德曰：「非干蔡將軍之事，想皆下人所為耳。」表曰：「今江夏失守，黃祖遇害，故請賢弟共議報復之策。」玄德曰：「黃祖性暴，不能用人，故致此禍。今若興兵南征，倘曹操北來，又將奈何？」表曰：「吾今年老多病，不能理事，賢弟可來助我。我死之後，弟便為荊州之主也。」玄德曰：「兄何出此言？量備安敢當此重任？」,"With this admonition Liu Bei came to Jingzhou and was lodged in the guest-house. Zhang Fei and the escort camped without the walls. In due course Liu Bei and Zhuge Liang were received, and after the customary salutations, Liu Bei apologized for his conduct at the banquet.The host said, ""Worthy brother, I know you were the victim of a vile plot; and I should have put the prime mover to death for it, had there not been so universal a prayer for mercy. However, I remitted that penalty. I hope you do not consider that I was wrong.""""Cai Mao had little to do with it. I think it was due to his subordinates,"" replied Liu Bei.Liu Biao said, ""Jiangxia is lost, as you know, and Huang Zu is dead. So I have asked you to come that we might take measures of vengeance.""""Huang Zu was harsh and cruel and never used his people in the proper way: That was the real cause of his fall. But have you reflected what Cao Cao may do on the north if we attack the south?""""I am getting old and weak, and I am unable to manage affairs properly. Will you aid me, brother? After I am gone you will have this region.""""Why do you say this, my brother? Think you that I am equal to such a task?"""
孔明以目視玄德。玄德曰：「容徐思良策。」遂辭出，回至館驛。孔明曰：「景升欲以荊州付主公，奈何卻之？」玄德曰：「景升待我，恩禮交至，安忍乘其危而奪之？」孔明嘆曰：「真仁慈之主也！」,"Here Zhuge Liang glanced at Liu Bei who continued, ""But give me a little time to think it over.""And at this point he took his leave.When they had reached their lodging, Zhuge Liang said, ""Why did you decline his offer of the region.""""He has always been most kind and courteous. I could not take advantage of his weakness.""""A perfectly kind and gracious lord,"" sighed Zhuge Liang."
