chinese,english
卻說袁術在淮南，地廣糧多，又有孫策所質玉璽，遂思僭稱帝號；大會群下議曰：「昔漢高祖不過泗上一亭長，而有天下；今歷年四百，氣數已盡，海內鼎沸。吾家四世三公，百姓所歸；吾欲應天順人，正位九五，爾眾人以為如何？」主簿閻象曰：「不可。昔周后稷積德累功，至於文王，三分天下有其二，猶以服事殷。明公家世雖貴，未若有周之盛；漢室雖微，未若殷紂之暴也。此事決不可行。」術怒曰：「吾袁姓出於陳。陳乃大舜之後。以土承火，正應其運。又讖云：「代漢者，當塗高也。」吾字公路，正應其讖。又有傳國玉璽，若不為君，背天道也。吾意已決，多言者斬！」,"The south of River Huai was very fruitful, and Yuan Shu, as governor of such a large territory, was very influential. He was not a little puffed up. The possession of the Imperial Hereditary Seal, pledged by Sun Ce, added to his pride. And he seriously thought of assuming the full style.As a preliminary he assembled all his officers and addressed them thus: ""The Supreme Ancestor, the Founder of Han Dynasty, was only a very minor official, and yet he became ruler of the empire. The dynasty has endured four centuries, and its measure of fortune has run out. It no longer possesses authority; the cauldron is on the point of boiling over. My family has held the highest offices of state for four generations and is universally respected. Wherefore I wish, in response to the will of Heaven and the desire of the people, to assume the Imperial Dignity. What think ye of the proposal, my officers?""Secretary Yan Xiang rose in opposition at once, saying, ""You may not do this. King Wen, the Ancestor of the Zhou, was of distinguished virtue and held many offices. Till the last years of Shang Dynasty, he had two thirds of the empire. Still he served and was loyal to the ruling house. Your house is honorable, but it is not so glorious as that of Zhou. The Hans may be reduced, but they are not so abominably cruel as those of the Shang Dynasty that they are to be overthrown. Indeed this should not be done.""Yuan Shu did not hear this with pleasure.Said he, ""We Yuans came from the Chen family, the same ancestry with King Shun. By the rule of interpreting the signs of fate, the day has come when earth (Chen) receives fire (Liu). Beside there is an oracle saying, 'One who replaces the Hans must wade through deep mire.' My name means 'the high road.' It fits exactly. Further than this, I possess the Imperial Hereditary Seal and must become lord of all, or I turn from Heaven's own way. Finally, I have made up my mind, so if anyone says too much, that person will simply suffer death."""
遂建號仲氏，立臺省等官，乘龍鳳輦，祀南北郊，立馮方女為后，立子為東宮。因命使催取呂布之女為東宮妃。卻聞布已將韓胤解赴許都，為曹操所斬，乃大怒；遂拜張勳為大將軍，統領大軍二十餘萬，分七路征徐州：第一路大將張勳居中，第二路上將橋蕤居左，第三路上將陳紀居右，第四路副將雷薄居左，第五路副將陳蘭居右，第六路降將韓暹居左，第七路降將楊奉居右。各領部下健將，尅日起行。命兗州刺史金尚為太尉，監運七路錢糧。尚不從，術殺之，以紀靈為七路都救應使。術自引軍三萬，使李豐、梁剛、樂就為催進使，接應七路之兵。,"Yuan Shu arrogated himself the insignia of royalty and assigned Second Glory the reign title. He set up officials with titles only given by an emperor, and rode in a chariot decorated with the dragon and phoenix, and offered sacrifices after the manner of an emperor in the north and south suburbs. Also he appointed the daughter of Feng Fang his Empress and his son Heir Apparent, and he pressed for the early wedding of Lu Bu's daughter with his son so that the Palace entourage might be complete.But when Yuan Shu heard of the fate of his marriage ambassador, Han Yin, who was sent to the capital and was executed, Yuan Shu was very angry and began at once to plan for revenge. He made Zhang Xun his Grand Commander and gave Zhang Xun the command of more than two hundred thousand soldiers with the instruction to invade Xuzhou. The army consisted of seven divisions under seven commanders: Zhang Xun led the Center Army; Qiao Rui, the First Left Army; Lei Bo, the Second Left Army; Han Xian, the Third Left Army; Chen Ji, First Right Army; Chen Lan, Second Right Army; and Yang Feng, the Third Right Army. Each commander was instructed to make a certain town his objective.The Imperial Protector of Yangzhou, Jin Shang, was ordered to superintend the commissariat, but he declined the office. And so Yuan Shu put Jin Shang to death. Ji Ling was in command of the reserves to help wherever he was required. Yuan Shu led thirty thousand troops, and he appointed three generals, Li Feng, Liang Gang, and Yue Jiu, to go up and down and coordinate the grand march."
呂布使人探聽得張勳一軍從大路逕取徐州，橋蕤一軍取小沛，陳紀一軍取沂都，雷薄一軍取瑯琊，陳蘭一軍取碣石，韓暹一軍取下邳，楊奉一軍取浚山，七路軍馬，日行五十里，於路劫掠將來，乃急召眾謀士商議，陳宮與陳珪父子俱至。陳宮曰：「徐州之禍，乃陳珪父子所招；媚朝廷以求爵祿，今日移禍於將軍，可斬二人之頭獻袁術，其軍自退。」,"Lu Bu found out from his scouts that his own Xuzhou City was the objective of Zhang Xun; the other towns to be first attacked being Xiaopei, Yidu, Langye, Jieshi, Xiapi, and Junshan. The invading armies were marching twenty miles a day, and plundering the countryside as they advanced.Lu Bu summoned his advisers to a council to which came Chen Gong, Chen Deng, and Chen Gui.When all had assembled, Chen Gong said, ""This misfortune that has come to us is due to the two Chens, who fawned upon the central government in order to obtain ranks and appointments. Now remove the evil by putting these two to death and sending their heads to Yuan Shu. Then he will retire and leave us in peace."""
布聽其言，即命擒下陳珪、陳登。陳登大笑曰：「何如是之懦也？吾觀七路之兵，如七堆腐草，何足介意！」布曰：「汝若有計破敵，免汝死罪。」陳登曰：「將軍若用愚夫之言，徐州可保無虞。」布曰：「試言之。」登曰：「術兵雖眾，皆烏合之師，素不親信；我以正兵守之，出奇兵勝之，無不成功。更有一計，不止保安徐州，並可生擒袁術。」布曰：「計將安出？」登曰：「韓暹、楊奉乃漢舊臣，因懼曹操而走，無家可依，暫歸袁術；術必輕之，彼亦不樂為術用。若憑尺書結為內應，更連劉備為外合，必擒袁術矣。」布曰：「汝須親到韓暹、楊奉處下書。」陳登允諾。,"Lu Bu acquiesced and had the two arrested.But the son, Chen Deng, only laughed, saying, ""What is this anxiety about? These seven armies are no more to me than so many heaps of rotting straw. They are not worth thinking about.""""If you can show us how to overcome them, I will spare your life,"" said Lu Bu.""General, if you will listen to poor me, the region will be perfectly safe.""""Let us hear what you have to say.""""Yuan Shu's troops are numerous but they are only a flock of crows; they are not an army under a leader. There is no mutual confidence. I can keep them at bay with the ordinary guards of the place and could overcome them by some unsuspected stratagem. If I should fail, I have another plan by which I can not only protect the region but capture our enemy.""""Let us have it.""Chen Deng said, ""Han Xian and Yang Feng, two of the leaders of our enemies, are old servants of the Han Dynasty who fled from fear of Cao Cao and, being homeless, sought refuge with Yuan Shu. He despises them, and they are dissatisfied with his service. A little letter from the court will secure their help as our allies, and with Liu Bei to help us on the outside, we can certainly overcome Yuan Shu.""""You shall take the letters yourself,"" said Lu Bu. Chen Deng agreed."
布乃發表上許都，並致書與豫州，然後令陳登引數騎，先於下邳道上候韓暹。暹引兵至，下寨畢，登入見。暹問曰：「汝乃呂布之人，來此何幹？」登笑曰：「某為大漢公卿，何謂呂布之人？若將軍，向為漢臣，今乃為叛賊之臣，使昔日關中保駕之功，化為烏有，竊為將軍不取也。且袁術性最多疑，將軍後必為其所害。今不早圖，悔之無及。」暹歎曰：「吾欲歸漢，恨無門耳。」登乃出布書。暹覽書畢曰：「吾已知之。公先回。吾與楊將軍反戈擊之。但看火起為號，溫侯以兵相應可也。」,"A memorial detailing his intentions was sent to the capital, letters to Yuzhou to Liu Bei, and finally Chen Deng was sent, with a small escort, to wait for Han Xian on the road to Xiapi.When Han Xian's army had halted and pitched camp, Chen Deng went to see Han Xian who said, ""What are you here for? You belong to Lu Bu.""""I am an official of the court of the great Hans. Why do you call me a Lu Bu's man? If you, General, hitherto a minister of state, now serve a traitor, you will nullify the grand services you rendered in protecting the Emperor in the flight from Changan. Beside, the suspicious Yuan Shu will assuredly do you some harm, and you will regret not having taken this opportunity to work against him.""Han Xian sighed, saying, ""I would return to my allegiance if there should be any opportunity.""Thereupon Chen Deng gave him Lu Bu's letter asking for cooperation.Han Xian read it and said, ""Yes, I know. You may return to your master and say General Yang Feng and I will turn our weapons and smite Yuan Shu. Look out for a signal flare, and let your master come to our aid."""
登辭暹，急回報呂布。布乃分兵五路：高順引一軍進小沛，敵橋蕤；陳宮引一軍進沂都，敵陳紀；張遼、臧霸引一軍出瑯琊，敵雷薄；宋憲、魏續引一軍出碣石，敵陳蘭；呂布自引一軍，出大道，敵張勳。各領軍一萬，餘者守城。呂布出城三十里下寨。張勳軍到，料敵呂布不過，且退二十里屯住，待四下兵接應。,"As soon as Chen Deng had got back and reported his success, Lu Bu divided his troops into five divisions, each of ten thousand, and sent them to five threatened towns to meet his enemies. Gao Shun led one army to Xiaopei against Qiao Rui; Chen Gong to Yidu against Chen Ji; Zhang Liao and Zang Ba to Langye against Lei Bo; Song Xian and Wei Xu to Jieshi against Chen Lan. Lu Bu himself led against the main body under Zhang Xun, leaving a small guard in Xuzhou City.Lu Bu camped ten miles from the walls. When the enemy came up, Zhang Xun thought Lu Bu too strong to attack with the force he had, so he retired seven miles to await reinforcements."
是夜二更時分，韓暹、楊奉，分兵到處放火，接應呂家軍入寨。勳軍大亂。呂布乘勢掩殺，張勳敗走。呂布趕到天明，正撞著紀靈接應。兩軍相迎，恰待交鋒，韓暹、楊奉兩路殺來。紀靈大敗而走，呂布引兵追殺，山後一彪軍到。門旗開處，只見一隊軍馬，打龍鳳日月旗旛，四斗五方旌幟，金瓜銀斧，黃銊白旄，黃羅銷金傘蓋之下，袁術身披金甲，腕懸兩刀，立於陣前，大罵呂布：「背主家奴！」,"That night, in the second watch, Han Xian and Yang Feng arrived, and soon the flare was lighted as arranged. Lu Bu's troops were admitted to the camp and caused great confusion. Then Lu Bu gave a full attack, and Zhang Xun was routed and fled. Lu Bu pursued till daylight, when he fell in with one of the other bodies led by Ji Ling. Both sides faced each other; but at the very beginning of the engagement Yang Feng and Han Xian also attacked, and Ji Ling was forced to fly.Lu Bu went in pursuit but soon another force came out from the rear of some hills. These looked very imposing. As the ranks opened Lu Bu saw a leader's guard with flags bearing dragons and phoenixes and representations of the sun and moon, the stars in the four groups of the Great Bear Constellation, the five directions of the Earth, golden gourds, silver axes, yellow halberds, white yaks' tails, all imperial emblems. And beneath a yellow silken parasol sat Yuan Shu on horseback, clad in silver mail with a sword handle showing at each wrist.Standing out in front of the array, Yuan Shu railed at his opponent calling him traitor and bastard."
布怒，挺戟向前。術將李豐挺鎗來迎；戰不三合，被布刺傷其手，豐棄鎗而走。呂布麾兵衝殺，術軍大亂。呂布引軍從後追趕，搶奪馬匹衣甲無數。袁術引著敗軍，走不上數里，山背後一彪軍出，截住去路。當先一將，乃關雲長也。大叫：「反賊！還不受死！」袁術慌走，餘眾四散奔逃，被雲長大殺了一陣。袁術收拾敗軍，奔回淮南去了。,"Lu Bu said nothing but rode forward ready for battle, and Li Feng, one of Yuan Shu's leaders, advanced to take the challenge. They met, but at the third bout, Li Feng was wounded in the hand, whereupon his spear fell to the ground, and he fled. Lu Bu waved on the advance, and his men prevailed. The other side fled, leaving much spoil, clothing, mail, and horses.Yuan Shu's defeated troops had not gone far when a strong army, led by Guan Yu, appeared barring his way.""Traitor! Why have they not slain you?"" cried Guan Yu.Whereat Yuan Shu fled in great trepidation, and his army melted into fugitives in all directions. The new army fell upon them with great slaughter. Yuan Shu and the remnant of his army retreated into the below regions of River Huai."
呂布得勝，邀請雲長並楊奉、韓暹等一行人馬到徐州，大排筵宴款待。軍士都有犒賞。次日，雲長辭歸。布保韓暹為沂都牧。楊奉為瑯琊牧，商議欲留二人在徐州。陳珪曰：「不可。韓、楊二人據山東。不出一年，則山東城郭皆屬將軍也。」布然之，遂送二將暫於沂都、瑯琊二處屯劄，以候恩命。陳登私問父曰：「何不留二人在徐州，為殺呂布之根？」珪曰：「倘二人協助呂布，是反為虎添爪牙也。」登乃服父之高見。,"Victory being now secure, Lu Bu, in company with Guan Yu, Yang Feng, and Han Xian returned to Xuzhou, where there were banquets and feasting and rewards for the soldiers and generals of five divisions. These over, Guan Yu took his leave and returned to Yuzhou, while Han Xian was appointed Governor of Yidu, and Yang Feng Governor of Langye.There had been a question of keeping these two in Xuzhou City, but Chen Gui opposed it, saying, ""Let them hold those places in Huashan Mountains, which will be all yours within a year.""So Han Xian and Yang Feng were sent to these two cities in the meantime to await orders.""Why not retain them here?"" asked Chen Deng secretly of his father. ""They would be a basis for our conspiracy against Lu Bu.""""But if they helped him, on the other hand, we should lengthen the tiger's claws and teeth,"" said Chen Gui.So Chen Deng could only approve of his father's precautions."
卻說袁術敗回淮南，遣人往江東問孫策借兵報讎。策怒曰：「汝賴吾玉璽，僭稱帝號，背反漢室，大逆不道！吾方欲加兵問罪，豈肯反助叛賊乎？」遂作書以絕之。使者齎書回見袁術，術看畢，怒曰：「黃口孺子，何敢乃爾！吾先伐之！」長史楊大將力諫方止。,"Yuan Shu returned home burning to avenge his defeat, so he sent to the South Land to ask a loan of troops from Sun Ce.But Sun Ce said, ""On the strength of holding the State Seal, he secretly calls himself emperor and rebels against the Hans. I would rather punish such a renegade than help him.""So Sun Ce rejected. The letter refusing help added to Yuan Shu's anger.""What next from this callow youth?"" cried Yuan Shu. ""I will smite him before I deal with the others.""But his adviser, Yang Dajiang, dissuaded him from this course."
