chinese,english
卻說袁紹欲斬玄德。玄德從容進曰：「明公只聽一面之詞，而絕向日之情耶？備自徐州失散，二弟雲長未知存否；天下同貌者不少，豈赤面長鬚之人，即為關某也？明公何不察之？」袁紹是個沒主張的人，聞玄德之言，責沮授曰：「誤聽汝言，險殺好人。」遂仍請玄德上帳坐，議報顏良之讎。帳下一人應聲而進曰：「顏良與我如兄弟，今被曹賊所殺，我安得不洩此恨？」,"As the last chapter closed, Liu Bei had been condemned to die.Liu Bei spoke up, however, and said, ""Pray hear one word, Illustrious Sir, before you decide. I have lost sight of my brother since my misfortune at Xuzhou and know not whether Guan Yu be dead or alive. There are many men in the world who resemble him. Is every red-faced man with a beard named Guan Yu? Should you not rather seek some evidence?""Now Yuan Shao was impulsive and facile by nature, and when Liu Bei spoke thus, he suddenly turned upon Ju Shou, saying, ""By wrongly regarding what you said, I nearly killed an innocent person.""Then Yuan Shao requested Liu Bei once more to resume his seat in the tent and give advice on how to avenge Yan Liang.Soon from the lower end a voice was heard, saying, ""Yan Liang and I were as brothers, and can I allow any other to avenge his death?"""
玄德視其人，身長八尺，面如獬豸，乃河北名將文醜也。袁紹大喜曰：「非汝不能報顏良之讎。吾與十萬軍兵，便渡黃河，追殺曹賊！」沮授曰：「不可。今宜留屯延津，分兵官渡，乃為上策。若輕舉渡河，設或有變，眾皆不能還矣。」紹怒曰：「皆是汝等遲緩軍心，遷延日月，有妨大事！豈不聞『兵貴神速』乎？」沮授出，歎曰：「上盈其志，下務其功；悠悠黃河，吾其濟乎！」遂託疾不出議事。,"The speaker was a man of eight-span height with a face like a jilin, a famous leader from the North of Yellow River, named Wen Chou.Yuan Shao was pleased and said, ""You are the only man who can do it. I will give you one hundred thousand troops, and you can cross the Yellow River, and quickly smite that rebel Cao Cao.""You cannot do it. Wen Chou will fail,"" said Ju Shou. ""The proper course is to hold Yanjin and detach a force to Guandu. If you rashly cross the river and anything goes wrong, not a soul will return.""Yuan Shao said, ""That is always the way with you fellows, always delaying and taking the dash out of the army. You put off today and postpone tomorrow till success has become impossible. Do you forget that promptitude is what each soldier honors?""The adviser withdrew sadly, saying, ""Superiors do not curb their ambitions; inferiors crave for achievements; things are undone. Eternal is the course of Yellow River, shall I change it?""Thereafter Ju Shou feigned illness and went no more to the council."
玄德曰：「備蒙大恩，無可報效，意欲與文將軍同行：一者報明公之德，二者就探雲長的實信。」紹喜，喚文醜與玄德同領前部。文醜曰：「劉玄德屢敗之將，於軍不利。既主公要他去時，某分三萬軍，教他為後部。」於是文醜自領七萬軍先行，令玄德引三萬軍隨後。,"Liu Bei said, ""I have received much kindness at your hands and have been unable to show my gratitude. I would accompany General Wen Chou that I may repay your bounty and also that I may hear news of my brother.""Yuan Shao gladly consented and ordered Wen Chou to share his command with Liu Bei.But the former objected, saying, ""Liu Bei has been so often defeated that it will augur ill for success this time. Since you wish, I will give Liu Bei command of the rear guard of thirty thousand soldiers.""And this being approved, three legions were told off under Liu Bei's special command to follow the main body."
且說曹操見雲長斬了顏良，倍加欽敬，表奏朝廷，封雲長為漢壽亭侯，，鑄印貽關公。忽報袁紹又使大將文醜渡黃河，已據延津之上。操乃先使人移徙居民於西河，然後自領兵迎之；傳下將令，以後軍為前軍，以前軍為後軍；糧草先行，軍兵在後。呂虔曰：「糧草在先，軍兵在後，何意也？」操曰：「糧草在後，多被摽掠，故令在前。」虔曰：「倘遇敵軍劫去，如之奈何？」操曰：「且待敵軍到時，卻有理會。」,"The prowess displayed by Guan Yu in the bold attack on Yan Liang redoubled Cao Cao's respect for him, and Cao Cao memorialized the Throne that Guan Yu receive the title of Lord of Hanshou, and a seal was cast for him.Just then came the unexpected news that Yuan Shao's army had moved toward the Yellow River and was in position above Yanjin. Cao Cao first sent to transfer the inhabitants to the west bank and then led out an army to oppose Yuan Shao. He issued an order to face about, thus placing the rear companies in front. The commissariat wagons were also placed in the van.""What is this reversal for?"" asked Lu Qian.Cao Cao replied, ""When the supplies are in rear, they are liable to be plundered. So I have put them first.""""But if you meet the enemy and they steal them?""""Wait till the enemy appears. I shall know what to do."""
虔心疑未決。操令糧食輜重沿河塹至延津。操在後軍，聽得前軍發喊，急教人看時，報說：「河北大將文醜兵至，我軍皆棄糧草，四散奔走。後軍又遠，將如之何？」操以鞭指兩阜曰：「此可暫避。」人馬急奔土阜。操令軍士皆解衣卸甲少歇，盡放其馬。文醜軍掩至。眾將曰：「賊至矣！可急收馬匹，退回白馬！」荀攸急止之曰：「此正可以餌敵，何故反退？」操急以目視荀攸而笑。攸知其意，不復言。,"Lu Qian was much exercised at this new move of the Prime Minister. In the meantime the supply train moved along the river toward Yanjin. Presently the foremost troops raised a great shout, and Cao Cao sent to see what it meant.The messenger came back, saying, ""Wen Chou's army is approaching, and the supply train has been abandoned and is at the mercy of the enemy. The main body is still far behind. What to do next?""Thereupon Cao Cao pointed to two mounds, saying, ""We will take refuge here for the present.""All those near him hastened to the mounds. There Cao Cao ordered them all to loosen their dress, lay aside their breastplates, and rest a time. The horsemen turned their steeds loose.Wen Chou's soldiers approached under cover. As they drew near, the officers told Cao Cao, saying, ""The rebels are near. We ought to catch the horses and go back to Baima.""But Adviser Xun You checked them, saying, ""These are a bait for the enemy. Why retire?""Cao Cao glanced across at him and said, ""He understands. Do not say anything."""
文醜軍既得糧草車仗，又來搶馬。軍士不依隊伍，自相雜亂。曹操卻令軍將一齊下土阜擊之，文醜軍大亂。曹兵圍裏將來，文醜挺身獨戰，軍士自相踐踏。文醜止遏不住，只得撥馬回走。操在土阜上指曰：「文醜為河北名將，誰可擒之？」張遼、徐晃，飛馬齊出，大叫：「文醜休走！」文醜回頭見二將趕上，遂按住鐵槍，拈弓搭箭，正射張遼。徐晃大叫：「賊將休放箭！」張遼低頭急躲，一箭射中頭盔，將簪纓射去。遼奮力再趕，坐下戰馬，又被文醜一箭射中面頰。那馬跪倒前蹄，張遼落地。,"Now having got possession of the supply carts, the enemy next came to seize the horses. By this time they had all broken ranks and were scattered, each soldier going his own way. Then suddenly Cao Cao gave the order to go down from the mounds and smite them.The surprise was complete. Wen Chou's army was in confusion, and Cao Cao's army surrounded them. Wen Chou made a stand, but those about him trampled each other down, and he could do nothing but flee. And he fled.Then standing on the top of a mound Cao Cao pointed to the flying leader, calling out, ""There is one of the most famous generals of the north. Who can capture him?""Zhang Liao and Xu Huang both mounted and dashed after him, crying, ""Wen Chou, do not run away!""Looking round, the fugitive saw two pursuers, and then he set aside his spear, took his bow and adjusted an arrow, which he shot at Zhang Liao.""Cease shooting, you rebel!"" shouted Xu Huang.Zhang Liao ducked his head, and the shaft went harmlessly by, save that it carried away the tassel of his cap. He only pressed harder in pursuit. The next arrow however struck his horse in the head, and the animal stumbled and fell, throwing its rider to the earth."
文醜回馬復來，徐晃急輪大斧，截住廝殺。只見文醜後面軍馬齊到，晃料敵不過，撥馬而回。文醜沿河趕來。忽見十餘騎馬，旗號翩翻，一將當頭提刀飛馬而來，乃關雲長也，大喝：「賊將休走！」與文醜交馬，戰不三合，文醜心怯，撥馬遶河而走。那關公馬快，趕上文醜，腦後一刀，將文醜斬下馬來。曹操在土阜上，見關公砍了文醜，大驅人馬掩殺。河北軍大半落水，糧草馬匹仍被曹操奪回。,"Then Wen Chou turned to come back. Xu Huang, whirling his battle-ax, stood in his way to stop Wen Chou. But Xu Huang saw behind Wen Chou several more horsemen coming to help; and as they would have been too many for him, he fled. Wen Chou pursued along the river bank. Suddenly he saw coming toward him with banners fluttering in the breeze, a small party of horse, and the leader carried a great sword.""Stop!"" cried Guan Yu, for it was he, and he attacked at once.At the third bout Wen Chou's heart failed him, and he wheeled and fled, following the windings of the river. But Guan Yu's steed was fast and soon caught up. One blow, and the hapless Wen Chou fell.When Cao Cao saw from the mound that the leader of the enemy had fallen, he gave the signal for a general onset, and half of the northern army were drowned in the river. And the carts with supplies and all the horses were quickly recovered."
雲長引數騎東衝西突。正殺之間，劉玄德領三萬軍隨後到。前面哨馬探知，報與玄德云：「今番又是紅面長髯的斬了文醜。」玄德慌忙驟馬來看，隔河望見一簇人馬，往來如飛，旗上寫著「漢壽亭侯關雲長」七字。玄德暗謝天地曰：「原來吾弟果然在曹操處！」欲待招呼相見，被曹兵大隊擁來，只得收兵回去。袁紹接應官渡，下定寨柵。郭圖、審配入見袁紹，說：「今番又是關某殺了文醜，劉備佯推不知。」袁紹大怒，罵曰：「大耳賊焉敢如此！」,"Now Guan Yu, at the head of a few horsemen, was thrusting here and striking there at the moment when Liu Bei, with the thirty thousand reserve troops, appeared on the battle field on the other bank of the river. At once they told him that the red-faced, long-bearded warrior was there and had slain Wen Chou. Liu Bei hastily pressed forward to try to get a look at the warrior. He saw across the river a body of horse and the banners bore the words Guan Yu, Lord of Hanshou.""Then it is my brother, and he is really with Cao Cao,"" said Liu Bei, secretly thanking God that Guan Yu was safe.Liu Bei made an attempt to wait about till he could call to Guan Yu, but a great mass of Cao Cao's soldiers came rushing down, and he was forced to retire.Yuan Shao, bringing reinforcements, reached Guandu and built a stockade.Two advisers, Guo Tu and Shen Pei, went in to see him and said, ""Again that fellow Guan Yu has been in the battle. He killed Wen Chou. Liu Bei pretends ignorance of him.""Their master was angry and railed at Liu Bei, ""The long-eared rebel! How dare he do such a thing?"""
少頃，玄德至，紹令推出斬之。玄德曰：「某有何罪？」紹曰：「你故使汝弟又壞我一員大將，如何無罪？」玄德曰：「容伸一言而死。曹操素忌備，今知備在明公處，恐備助公，故特使雲長誅殺二將。公知必怒。此借公之手以殺劉備也，願明公思之。」袁紹曰：「玄德之言是也。汝等幾使我受害賢之名。」喝退左右，請玄德上帳而坐。,"Soon Liu Bei appeared. Again Yuan Shao ordered him out to instant execution.""What crime have I committed?"" asked Liu Bei.""You sent your brother to slay one of my generals. Is that no crime?""""Pray let me explain before I die. Cao Cao hated me and has always done so. Now he has found out where I am and, fearing that I may help you, has got my brother to destroy your two generals, feeling sure that when you heard of it, you would be angry and put me to death. You cannot fail to see this.""""What he says is sense,"" said Yuan Shao, turning to his advisers, ""and you two nearly brought on me the reproach of injuring the good.""Yuan Shao ordered his attendants to retire and asked Liu Bei to come and sit by him."
玄德謝曰：「荷明公寬大之恩，無可補報，欲令一心腹人持密書去見雲長，使知劉備消息，彼必星夜來到，輔佐明公，共誅曹操，以報顏良、文醜之讎，若何？」袁紹大喜曰：「吾得雲長，勝顏良、文醜十倍也。」玄德修下書札，未有人送去。紹令退軍武陽，連營數十里，按兵不動。操乃使夏侯惇領兵守住官渡隘口，自己班師回許都，大宴眾官，賀雲長之功。因謂呂虔曰：「昔日吾以糧草在前者，乃餌敵之計也。惟荀公達知吾心耳。」眾皆歎服。,"Liu Bei came, saying, ""I am deeply thankful, Illustrious Sir, for your great kindness, for which I can never be sufficiently grateful. Now I desire to send some confidential messenger with a secret letter to my brother to tell him where I am, and I am sure he will come without a moment's delay. He will help you to destroy Cao Cao to make up for having destroyed your two officers. Do you approve of this?""""If I got Guan Yu, he would be ten times better than the Yan Liang and Wen Chou that I have lost,"" replied Yuan Shao.So Liu Bei prepared a letter. But there was no one to take it. Yuan Shao ordered the army to withdraw to Wuyang, where they made a large camp. For some time nothing was done.Then Cao Cao sent Xiahou Dun to defend the strategic points at Guandu while he led the bulk of the army back to the capital. There he gave many banquets in honor of the services of Guan Yu, and then he told Lu Qian that putting the supplies in the front of the army had been meant as a bait to draw the enemy to destruction.""Only Xun You understood that,"" said Cao Cao in conclusion. Everyone present praised his ingenuity."
