chinese,english
卻說當夜張遼一箭射黃蓋下水，救得曹操登岸，尋著馬匹走時，軍已大亂。韓當冒煙突火來攻水寨，忽聽得士卒報道：「後梢舵上一人，高叫將軍表字。」韓當細聽，但聞高叫：「公義救我！」當曰：「此黃公覆也！」急教救起。見黃蓋負箭著傷，咬出箭桿，箭頭陷在肉內。韓當急為脫去濕衣，用刀剜出箭頭，扯旗束之，脫自己戰袍與黃蓋穿了，先令別船送回大寨醫治。原來黃蓋深知水性，故大寒之時，和甲墮江，也逃得性命。,"The last chapter closed with Huang Gai in the water wounded, Cao Cao rescued from immediate danger, and confusion rampant among the soldiers. Pressing forward to attack the naval camp, Han Dang was told by his soldiers that someone was clinging to the rudder of his boat and shouting to him by his familiar name. Han Dang listened carefully and in the voice at once he recognized that Huang Gai was calling to him for help.""That is my friend Huang Gai!"" cried he, and they quickly pulled the wounded leader out of the water.Then they saw Huang Gai was wounded for the arrow still stuck. Han Dang bit out the shaft of the arrow but the point was deeply buried in the flesh. They hastily pulled off his wet garments and cut out the metal arrowhead with a dagger, tore up one of the flags, and bound up the wound. Then Han Dang gave Huang Gai his own fighting robe to put on and sent him off in a small boat back to camp.Huang Gai's escape from drowning must be taken as proof of his natural affinity for, or sympathy with, water. Although it was the period of great cold and he was heavy with armor when he fell into the river, yet he escaped with life."
卻說當日滿江火滾，喊聲震地。左邊是韓當，蔣欽，兩軍從赤壁西邊殺來；右邊是周泰，陳武，兩軍從赤壁東邊殺來；正中是周瑜，程普，徐盛，丁奉，大隊船隻都到，火須兵應，兵仗火威。此正是：三江水戰，赤壁鏖兵。曹軍著槍中箭，火焚水溺者，不計其數。後人有詩曰：魏吳爭鬥決雌雄，赤壁樓船一掃空。烈火初張照雲海，周郎曾此破曹公。,"In this great battle at the junction of the three rivers, the Three Gorges, when fire seemed to spread wide over all the wide surface of the water, when the earth quaked with the roar of battle, when land forces closed in on both wings and four battle squadrons advanced on the front, when the ferocity of fire answered the clash of weapons and weapons were aided by fire, under the thrusts of spears and the flights of arrows, burnt by fire and drowned by water, Cao Cao lost an incalculable number of troops. And a poet wrote:When Wei and Wu together stroveFor the mastery,In the Red Cliffs fight the tall shipsVanished from the sea,For there the fierce flames, leaping high.Burned them utterly.So Zhou Yu for his liege lordGot the victory."
又有一絕云：山高月小水茫茫，追歎前朝割據忙。南士無心迎魏武，東風有意便周郎。,"And another poem runs:The hills are high, the moon shines faint.The waters stretch afar;I sigh to think how oft this landHas suffered stress of war;And I recall how southernersShrank from the northern army's might,And how a favoring eastern galeHelped them to win the fight."
不說江中鏖兵。且說甘寧令蔡中引入曹寨深處，寧將蔡中一刀砍於馬下，就草上放起火來。呂蒙遙望中軍火起，也放十數處火，接應甘寧。潘璋，董襲，分頭放火吶喊。四下裏鼓聲大震。曹操與張遼引百餘騎，在火林內走，看前面無一處不著。正走之間，毛玠救得文聘，引十數騎到。操令軍尋路。張遼指道：「只有烏林，地面空闊，可走。」操逕奔烏林。,"While fire was consuming the naval base of Cao Cao, Gan Ning made Cai Zhong guide him into the innermost recesses of Cao Cao's camp. Then Gan Ning slew Cai Zhong with one slash of his sword. After this Gan Ning set fire to the jungle; and at this signal, Lu Meng put fire to the grass in ten places near to each other. Then other fires were started, and the noise of battle was on all sides.Cao Cao and Zhang Liao, with a small party of horsemen, fled through the burning forest. They could see no road in front; all seemed on fire. Presently Mao Jie and Wen Ping, with a few more horsemen, joined them. Cao Cao bade the soldiers seek a way through.Zhang Liao pointed out, saying, ""The only suitable road is through the Black Forest.""And they took it."
正走間，背後一軍趕到，大叫：「曹賊休走！」火光中現出呂蒙旗號。操催軍馬向前，留張遼斷後，抵敵呂蒙。卻見前面火把又起，從山谷中擁出一軍，大叫：「凌統在此！」曹操肝膽皆裂。忽刺斜裏一彪軍到，大叫：「丞相休慌！徐晃在此！」彼此混戰一場，路望北而走。忽見一隊軍馬，屯在山坡前。徐晃出問，乃是袁紹手下降將馬延，張顗，有三千北地軍馬，列寨在彼；當夜見滿天火起，未敢轉動，恰好接著曹操。操教二將引一千軍馬開路，其餘留著護身。操得這枝生力軍馬，心中稍安。馬延，張顗二將，飛騎前行。不到十里，喊聲起處，一彪軍出。為首一將，大呼曰：「吾乃東吳，甘興霸也！」馬延正欲交鋒，早被甘寧一刀斬於馬下。張顗挺槍來迎，寧大喝一聲，顗措手不及，被寧手起一刀，翻身落馬。後軍飛報曹操。,"They had gone but a short distance when they were overtaken by a small party of the enemy, and a voice cried, ""Cao Cao, stop!""It was Lu Meng, whose ensign soon appeared against the fiery background. Cao Cao urged his small party of fugitives forward, bidding Zhang Liao defend him from Lu Meng.Soon after Cao Cao saw the light of torches in front, and from a gorge there rushed out another force. And the leader cried, ""Ling Tong is here!""Cao Cao was scared. His liver and gall both seemed torn from within.But just then on his half right, he saw another company approach and heard a cry, ""Fear not, O Prime Minister, I am here to rescue you!""The speaker was Xu Huang, and he attacked the pursuers and held them off.A move to the north seemed to promise escape, but soon they saw a camp on a hill top. Xu Huang went ahead to reconnoiter and found the officers in command were Cao Cao's Generals Ma Yan and Zhang Zi, who had once been in the service of Yuan Shao. They had three thousand of northern soldiers in camp. They had seen the sky redden with the flames, but knew not what was afoot so dared make no move.This turned out lucky for Cao Cao who now found himself with a fresh force. He sent Ma Yan and Zhang Zi, with a thousand troops, to clear the road ahead while the others remained as guard. And he felt much more secure.The two went forward, but before they had gone very far, they heard a shouting and a party of soldiers came out, the leader of them shouting, ""I am Gan Ning of Wu!""Nothing daunted the two leaders, but the redoubtable Gan Ning cut down Ma Yan. And when his brother warrior Zhang Zi set his spear and dashed forward, he too fell beneath a stroke from the fearsome sword of Gan Ning. Both leaders dead, the soldiers fled to give Cao Cao the bad news."
操此時指望合淝有兵救應，不想孫權在合淝路口，望見江中火光，知是我軍得勝，便教陸遜舉火為號；太史慈見了，與陸遜合兵一處，衝殺將來。操只得望彝陵而走。路上撞見張郃，操令斷後。縱馬加鞭，走至五更，回望火光漸遠，操心方定，問曰：「此是何處？」左右曰：「此是烏林之西，宜都之北。」,"At this time Cao Cao expected aid from Hefei, for he knew not that Sun Quan was barring the road. But when Sun Quan saw the fires and so knew that his soldiers had won the day, he ordered Lu Xun to give the answering signal. Taishi Ci seeing this came down and his force joined up with that of Lu Xun, and they went against Cao Cao.As for Cao Cao, he could only get away toward Yiling. On the road Cao Cao fell in with Zhang He and ordered him to protect the retreat. Cao Cao pressed on as quickly as possible.At the fifth watch he was a long way from the glare and he felt safer. He asked, ""What is this place?""They told him, ""It is west of the Black Forest and north of Yidu."""
操見樹林叢雜，山川險峻，乃於馬上仰面大笑不止。諸將問曰：「丞相何故大笑？」操曰：「吾不笑別人，單笑周瑜無謀，諸葛亮少智。若是吾用兵之時，預先在這裏伏下一軍，如之奈何？」,"Seeing the thickly crowded trees all about him, and the steep hills and narrow passes, Cao Cao threw up his head and laughed.Those about him asked, ""Why are you, Sir, so merry?""And he said, ""I am only laughing at the stupidity of Zhou Yu and the ignorance of Zhuge Liang. If they have only set an ambush there, as I would have done, why, there is no escape."""
說猶未了，兩邊鼓聲震響，火光沖天而起，驚得曹操幾乎墜馬。刺斜裏一彪軍殺出，大叫：「我趙子龍奉軍師將令，在此等候多時了！」操教徐晃，張郃雙敵趙雲，自己冒煙突火而去。子龍不來追趕，只顧搶奪旗幟，曹操得脫。,"Cao Cao had scarcely finished his explanation when from both sides came a deafening roll of drums and flames sprang up to heaven. Cao Cao nearly fell off his horse —-he was so startled.And from the side dashed in a troop, with Zhao Zilong leading, who cried, ""I am Zhao Zilong, and long have I been waiting here!""Cao Cao ordered Xu Huang and Zhang He to engage this new opponent, and he himself rode off into the smoke and fire. Zhao Zilong did not pursue; he only captured the banners, and Cao Cao escaped."
天色微明，黑雲罩地，東南風尚不息。忽然大雨傾盆，濕透衣甲。操與軍士冒雨而行，諸軍皆有飢色。操令軍士往村落中劫掠糧食，尋覓火種。方欲造飯，後面一軍趕到。操心甚慌。原來卻是李典，許褚保謢著眾謀士來到。,"The faint light of dawn showed a great black cloud all around, for the southeast wind had not ceased. Suddenly began a heavy downpour of rain, wetting everyone to the skin, but still Cao Cao maintained his headlong flight till the starved faces of the soldiers made a halt imperative. He told the men to forage in the villages about for grain and the means of making a fire. But when these had been found and they began to cook a meal, another pursuing party came along, and Cao Cao again was terrified. However, these proved to be Li Dian and Xu Chu escorting some of his advisers."
操大喜，令軍馬且行，問：「前面是那裏地面？」,"Cao Cao saw them with joy. When giving the order to advance again, Cao Cao asked, ""What places lay ahead?"""
