chinese,english
卻說周瑜見孔明襲了南郡，又聞他襲了荊襄，如何不氣？氣傷箭瘡，半晌方甦。眾將再三勸解。瑜曰：「若不殺諸葛村夫，怎息我心中怨氣？程德謀可助我攻打南郡，定要奪還東吳。」,"Zhou Yu's anger at seeing that his rival, Zhuge Liang, had surprised Nanjun, and at hearing the same news of Jingzhou and Xiangyang, was but natural. And this sudden fit of rage caused his wound to reopen. However, he soon recovered. All his officers besought him to accept the situation.But he said, ""What but the death of that bumpkin Zhuge Liang will assuage my anger? If Cheng Pu can but aid me in an attack on Nanjun, I can certainly restore it to the South Land."""
正議問，魯肅至。瑜謂之曰：「吾欲起兵與劉備，諸葛亮共決雌雄，復奪城池。子敨幸助我。」魯肅曰：「不可。方今與曹操相持，尚未分成敗；主公現攻合淝不下；如若自家互相吞併，倘曹兵乘虛而來，其勢危矣。況劉玄德舊曾曹操相厚，若逼得緊急，獻了城池，一同攻打東吳，如之奈何？」瑜曰：「吾等用計策，損兵馬，費錢糧，他去圖現成，豈不可恨！」肅曰：「公瑾且耐。容某親見玄德，將理來說他。若說不通，那時動兵未遲。」諸將曰：「子敬之言甚善。」,"Soon Lu Su came in, to whom Zhou Yu said, ""I simply must fight Liu Bei and Zhuge Liang till it is decided which shall have the upper hand. I must also recapture the cities. Perhaps you can assist me.""""It cannot be done,"" replied Lu Su. ""We are now at grips with Cao Cao, and victory or defeat is undecided. Our lord has not been successful in overcoming Hefei. Do not fight near home, or it will be like people of the same household destroying each other. Should Cao Cao take advantage of this position to make a sudden descent, we should be in a parlous condition. Further, you must remember that Liu Bei and Cao Cao are united by the bonds of old friendship. If the pressure becomes too great, Liu Bei may relinquish these cities, offer them to Cao Cao, and join forces with him to attack the south. That would be a real misfortune.""""I cannot help being angry,"" said Zhou Yu, ""to think that we should have used our resources for their benefit. They get all the advantage.""""Well, let me go and see Liu Bei and talk reason to him. If I can arrive at no understanding, then attack at once.""""Excellent proposal!"" cried all present."
於是魯肅引從者徑投南郡來，到城下叫門。趙雲出問。肅曰：「我要見劉玄德有話說。」雲答曰：「吾主與軍師在荊州城中。」肅遂不入南郡，徑奔荊州。見旌旗整列，軍容甚盛，肅暗羨曰：「孔明真非常人也！」軍士報入城中，說魯子敬要見。孔明令大開城門，接肅入衙。講禮畢，分賓主而坐。茶罷，肅曰：「吾主吳侯，與都督公瑾，教某再三申意皇叔。前者，操引百萬之眾，名下江南，實欲來圖皇叔；幸得東吳殺退曹兵，救了皇叔，所有荊州九郡，合當歸於東吳。今皇叔用詭計，奪占荊襄，使江東空費錢糧軍馬，而皇叔安受其利，恐於理未順。」,"So Lu Su, with his escort, went away to Nanjun to carry out his proposal and try to arrange matters. He reached the city wall and summoned the gate, whereat Zhao Zilong came out to speak with him.""I have something to say to Liu Bei,"" said he. ""I wish to see him.""""My lord and Zhuge Liang are in Jingzhou,"" was the reply.Lu Su turned away and hasted to Jingzhou. He found the walls bedecked with flags and everything in excellent order. In his heart he admired the sight, and thought what an able person was the commander of that army.The guards reported his arrival, and Zhuge Liang ordered them to throw wide the gate. Lu Su was led to the government house and, after the usual exchange of salutes, Zhuge Liang and his visitor took their respective seats.Having finished the tea, Lu Su said, ""My master, Marquis Sun Quan, and the commander of his army, Zhou Yu, have sent me to lay before the Imperial Uncle their views. When Cao Cao led his huge host southward, he gave out that it was for the conquest of the South Land. But really his intention was to destroy Liu Bei. Happily our army was able to repulse that mighty host and so saved him. Wherefore Jingzhou with its nine territories of forty-two counties ought to belong to us. But by a treacherous move, your master has occupied Jingzhou and Xiangyang, so that we have spent our treasure in vain and our armies have fought to no purpose. The Imperial Uncle has reaped the benefits to the full. This is not as it should be."""
孔明曰：「子敬乃高明之士，何故亦出此言？常言道：『物必歸主。』荊襄九郡，非東吳之地，乃劉景升之基業。吾主固景升之弟也。景升雖亡，其子尚在。以叔輔姪，而取荊州，有何不可？」肅曰：「若果係公子劉琦占據，尚有可解；今公子在江夏，須不在這裏。」孔明曰：「子敬欲見公子乎？」便命左右請公子出來。只見兩侍者從屏風後扶出劉琦。琦謂肅曰：「病軀不能施禮，子敬勿罪。」魯肅吃了一驚，默然無語，良久言曰：「公子若不在，便如何？」孔明曰：「公子在一日，守一日；若不在，別有商議。」肅曰：「若公子不在，須將城池還我東吳。」孔明曰：「子敬之言是也。」遂設宴相待。,"Zhuge Liang replied, ""Lu Su, you are a man of high intelligence. Why do you hold such language? You know the saying that all things return to their owner. These places have never belonged to the South Land, but were of the patrimony of Liu Biao, and though he is dead, his son remains. Should not the uncle assist the nephew to recover his own? Could my master have refrained?""""If the nephew Liu Qi, the rightful heir, had occupied these cities, there would have been something to say. But he is at Jiangxia and not here.""""Would you like to see him?"" said Zhuge Liang.At the same time he ordered the servants to request Liu Qi to come. Thereupon Liu Qi at once appeared, supported by two attendants.Addressing Lu Su, Liu Qi said, ""I am too weak to perform the correct ceremonies. I pray you pardon me, Lu Su.""Lu Su said not a word. He was too much taken aback. However, he recovered himself presently and said, ""But if the heir had not been here, what then?""""The heir is living but from day to day. Should he go, then —-there will be something to talk about.""""Should he die, then you ought to return these cities to us.""""You state the exact facts,"" said Zhuge Liang.Then a banquet was prepared."
宴罷，肅辭出城，連夜歸寨，具言前事。瑜曰：「劉琦正青春年少，如何便得他死？這荊州何日得還？」肅曰：「都督放心。只在魯肅身上，務要討荊，襄還東吳。」瑜曰：「子敬有何高見？」肅曰：「吾觀劉琦過於酒色，病入膏肓，現今面色羸瘦，氣喘嘔血；不過半年，其人必死。那時往取荊州，劉備須無得推故。」,"The banquet over, Lu Su took his leave. He hastened back to his own camp and gave Zhou Yu an account of his mission.""But what is there for us in the chance of Liu Qi's death?"" said Zhou Yu. ""He is in his very first youth. When will these places fall to us?""""Rest content, General. Let me guarantee the return of these places.""""But how can you?"" asked Zhou Yu.""Liu Qi has indulged too freely in wine and women. He is a wreck and rotten to the core, miserably emaciated and panting for breath. I will not give him half a year's life. Then I will go to Liu Bei, and he will be unable to deny the request."""
周瑜猶自忿氣未消，忽孫權遣使至。瑜令請入。使曰：「主公圍合淝，累戰不捷。特令都督收回大軍，且撥兵赴合淝相助。」周瑜只得班師回柴桑養病，令程普部領戰船士卒，來合淝聽孫權調用。,"But Zhou Yu was still unmollified.Suddenly came a messenger from Sun Quan, who said, ""Our lord is laying siege to Hefei but in several battles has had no victory. He now orders you to withdraw from here and go to Hefei to help him.""Thereupon Zhou Yu marched back to Chaisang. Having reached home, he began to give attention to the recovery of his health. He sent Cheng Pu with the marine and land forces to Hefei ready for Sun Quan's call."
卻說劉玄德自得荊州，南郡，襄陽，心中大喜，商議久遠之計。忽見一人上廳獻策，視之，乃伊籍也。玄德感其舊日之恩，十分相敬，坐而問之。籍曰：「要知荊州久遠之計，何不求賢士以問之？」玄德曰：「賢士安在？」籍曰：「荊，襄馬氏兄弟五人，並有才名。幼者名謖，字幼常。其最賢者，眉間有白毛，名良，字季常。鄉里為之諺曰：『馬氏五常，白眉最良。』公何不求此人而與之謀？」,"Liu Bei was exceedingly well satisfied with the possession of his new region, and his thoughts turned to more ambitious schemes. Then a certain man came to him to suggest a plan. This man was Yi Ji and, remembering the kindly feeling of other days, Liu Bei received him most graciously.When Yi Ji was seated, and his host had asked what he proposed, he said, ""You wish for a plan to accomplish yet greater deeds. Why not seek wise people and ask them?""""Where are these wise people to be found?"" asked Liu Bei.Yi Ji replied, ""In this region there is a certain family named Ma, five brothers, all of whom are known as men of ability. The youngest is called Ma Su. The ablest is Ma Liang, who has white hairs in his eyebrows, and the villagers have a little rhyming couplet that means 'There are five sons in the family Ma, but white eyebrows is the best of them.' You should get this man to draw up a plan for you."""
玄德遂命請之。馬良至，玄德優禮相待，請問保守荊，襄之策。良曰：「荊襄四面受敵之地，恐不可久守。可令公子劉琦於此養病，招諭舊人以守之，就表奏公子為荊州刺史，以安民心；然後南征武陵，長沙，桂陽，零陵四郡，積收錢糧，以為根本。此久遠之計也。」,"So Liu Bei told them to request his presence. Ma Liang came and was received with great respect.He was asked to suggest a plan for the security of the newly acquired region, and he said, ""Attacked as it is on all sides, this region is not one in which one is permanently secure. You should let Liu Qi remain here till he is recovered from his present illness, but the actual protection of the place is to be placed in the hands of trusty friends. Obtain an edict appointing him Imperial Protector of Jingzhou, and the people will be content. Then conquer Wuling, Changsha, Guiyang, and Lingling. And with the resources you will thus acquire, you will have the means for further plans. That should be your policy."""
玄德大喜，遂問：「四郡當先取何郡？」良曰：「湘江之西，零陵最近，可先取之。次取武陵。然後湘江之東取桂陽。長沙為後。」玄德遂用馬良為從事，伊籍副之；請孔明商議送劉琦回襄陽，替雲長回荊州；便調兵取零陵，差張飛為先鋒，趙雲合後，孔明，玄德為中軍，人馬一萬五千；留雲長守荊州；糜竺，劉封守江陵。,"""Which of the four territories should be first taken?"" asked Liu Bei.""The nearest, Lingling, which lies in the west of River Xiang. The next is Wuling, and after these the other two.""Ma Liang was given an appointment as Imperial Protector Assistant, with Yi Ji as his second. Then Liu Bei consulted Zhuge Liang about sending Liu Qi to Xiangyang, so that Guan Yu could be free to return. Next they made preparations to attack Lingling, and Zhang Fei was to lead the van. Zhao Zilong was to guard the rear, while Liu Bei and Zhuge Liang were to command the main body. A fifteen thousand troops were left to hold Jingzhou. Mi Zhu and Liu Feng were left to guard Jiangling."
卻說零陵太守劉度，聞玄德軍馬到來，乃與其子劉賢商議。賢曰：「父親放心。他雖有張飛，趙雲之勇，我本州上那邢道榮，力敵萬人，可以抵對。」劉度遂命劉賢與邢道榮引兵萬餘，離城三十里，依山靠水下寨。探馬報說：「孔明自引一軍到來。」道榮便引軍出戰。兩陣對圓，道榮出馬，手使開山大斧，厲聲高叫：「反賊安敢侵我境界！」只見對陣中，一簇黃旗。門旗開處，推出一輛四輪車。車中端坐一人，頭戴綸巾，身披鶴氅，手執羽扇，用扇招邢道榮曰：「吾乃南陽諸葛孔明也。曹操引百萬之眾，被吾略施小計，殺得片甲不回。汝等豈可與我對敵？我今來招安汝等，何不早降？」,"The Governor of Lingling was Liu Du. When danger thus threatened, he called in his son Liu Xian, and they discussed the case.The son was very self-confident and said to his father, ""Have no anxiety. They may have the known and famous warriors, Zhang Fei and Zhao Zilong, but we have our leader, Xing Daorong, who is match for any number of men. He can withstand them.""So Liu Xian, with the famous leader, was entrusted with the defense. At the head of a full ten thousand troops, they made a camp about ten miles from the city, with the shelter of hills and a river. Their scouts brought news that Zhuge Liang was close at hand with one army. Xing Daorong decided to check his advance and went forth to oppose him. When both sides were arrayed, Xing Daorong rode to the front. In his hand he held a battle-ax called Cleaver of Mountains.In a mighty voice he cried, ""Rebels, how comes it that you have dared to enter our territory?""From the center of the opposing army, where appeared a cluster of yellow flags, there came out a small four-wheeled carriage in which sat, very erect, a certain man dressed in white, with a turban on his head. In one hand he held a feather fan, with which he signed to the warrior to approach.At the same time he said, ""I am Zhuge Liang of Nanyang, whose plans broke up the countless legions of Cao Cao so that nothing of them returned whence they started. How then can you hope to oppose me? I now offer you peace, and it will be well for you to surrender."""
