chinese,english
卻說賈詡料知曹操之意，便欲將計就計而行，乃謂張繡曰：「某在城上，見曹操遶城而觀者三日。他見城東南角磚土之色，新舊不等，鹿角多半毀壞，意將從此處攻進；卻虛去西北上積草，詐為聲勢，欲哄我撤兵守西北，彼乘夜黑，必爬東南角而進也。」繡曰：「然則奈何？」詡曰：「此易事耳。來日可令精壯之兵，飽食輕裝，盡藏於東南房屋內，卻教百姓假扮軍士，虛守西北，夜間任他在東南角上爬城。俟其爬進城時，一聲砲響，伏兵齊起，操可擒矣。」,"Jia Xu, as he had guessed the enemy's intention, had also devised a countermove. So he went to his chief and said, ""I saw Cao Cao very carefully reconnoitering round about the city. He certainly noticed that the southeast corner of the wall had been lately restored with mud bricks of a different kind, and that the fencing barrier is badly out of repair. He will try to effect an entrance there. Wherefore he is making a feint attack at the opposite point. He is piling up straw and making ostentatious preparations whereby to cajole us into withdrawing from the real point of attack to defend the northwest. His troops will scale the walls in the darkness and try to enter at the southeast.""""Supposing your surmise correct, what do you advise?"" asked Zhang Xiu.""The countermove is plain. You issue an order for our best and bravest soldiers to fill their bellies, to take only the lightest outfit and conceal themselves in the houses near the southeast corner. Then disguise the townspeople as soldiers and send them to pretend to defend the northwest. Tonight we will let the enemy climb up the walls and enter the city and, once they are fairly within, give the signal and the concealed soldiers will rush out upon them. We may even capture Cao Cao himself."""
繡喜從其計。早有探馬報曹操，說張繡盡撤兵在西北角上，吶喊守城，東南卻甚空虛。操曰：「中吾計矣！」遂命軍中密備鍬钁，爬城器具，日間只引軍攻西北角；至二更時分，卻領精兵於東南角上爬入濠去，砍開鹿角。城中全無動靜，眾軍一齊擁入。只聽得一聲砲響，伏兵四起。曹軍急退，背後張繡親驅勇壯殺來。曹軍大敗，退出城外，奔走數十里。張繡直殺至天明方收軍入城。曹操計點敗軍，已折五萬餘人，失去輜重無數。呂虔、于禁俱各被傷。,"The stratagem was decided upon. Soon the scouts told Cao Cao: ""The defenders of the city have moved to the northwest where noisy preparations for defense are going on. The opposite corner is left undefended.""""They have fallen into my trap!"" said Cao Cao gleefully. He ordered his troops to prepare shovels and hooks and all the gear needed for scaling walls, and all day they kept up the attack on the northwest angle. But at the second watch they dispatched the veterans to the opposite corner, where they climbed the wall, broke up the fencing barrier, and got into the city apparently without disturbing any of the guards. There was no sign of life anywhere as they entered. But just as they were leaving the wall, suddenly a bomb exploded and they found themselves in an ambush. They turned to retire, but Zhang Xiu immediately fell on the rear and began a slaughter. Cao Cao's troops were totally defeated and fled out of the gate into the country. Zhang Xiu kept up the pursuit till daybreak, when he retired into the city again. Cao Cao then rallied his army and mustered his soldiers. He had lost fifty thousand and much baggage, while two of his generals, Lu Qian and Yu Jin were wounded."
卻說賈詡見操敗走，急勸張繡遺書劉表，使起兵截其後路。表得書，即欲起兵，忽探馬報孫策屯兵湖口。蒯良曰：「策屯兵湖口，乃曹操之計也。今操新敗，若不乘勢擊之，後必有患。」表乃令黃祖堅守隘口，自己統兵至安眾縣截操後路；一面約會張繡。繡知表兵已起，即同賈詡引兵襲操。,"Cao Cao being thus worsted, Jia Xu advised Zhang Xiu to write off to Liu Biao to cut off Cao Cao's retreat so that he might be utterly destroyed. Liu Biao was preparing an army for this purpose, when a scout came to say that Sun Ce had encamped in the river at Hukou. Kuai Liang said, ""This move of Sun Ce in the river is part of Cao Cao's strategy, and there will be never-ending regret if Cao Cao is allowed to escape. An immediate expedition is necessary."" Wherefore Liu Biao moved out with his army to Anzhong to block Cao Cao, leaving Huang Zu to hold Jingzhou's points of vantage. Zhang Xiu, having been informed of the movement of Liu Biao, went with Jia Xu to smite Cao Cao on the rear."
且說操軍緩緩而行，至襄城到淯水，操忽於馬上放聲大哭。眾驚問其故。操曰：「吾思去年於此地折了吾大將典韋，不由不哭耳！」因即下令屯住軍馬，大設祭筵，弔奠典韋亡魂。操親自拈香哭拜，三軍無不感嘆。祭典韋畢，方祭姪曹安民及長子曹昂，并祭陣亡軍士；連那匹射死的大宛馬，也都致祭。,"In the meantime Cao Cao's army, marching very leisurely, had arrived at Xiangyang. Walking one day beside River Yu, he suddenly uttered a great cry, and when his officers asked the reason thereof, he replied, ""I remembered that here, only a year ago, I lost my great general: Dian Wei. Is that not a reason to grieve?""Thereupon Cao Cao gave orders to halt, while he should make a great sacrifice and mourn for his lost leader. At the ceremony he himself burned incense and wailed and prostrated himself. The army was much affected by his devotion. After the sacrifices to the lost hero, he sacrificed to the names of his nephew Cao Amin and his eldest son Cao Ang, both of whom had died at the same time. He also sacrificed to his lost soldiers and even to his Dawan steed which had been killed by an arrow."
次日，忽荀彧差人報說：「劉表助張繡屯兵安眾，截吾歸路。」操答彧書曰：「吾日行數里，非不知賊來追我，然吾計劃已定，若到安眾，破繡必矣。君等勿疑。」便催軍行至安眾縣界。劉表軍已守險要，張繡隨後引軍趕來。操乃令眾軍黑夜鑿險開道，暗伏奇兵。,"Next day Xun Yu wrote to tell Cao Cao that Liu Biao had gone to help Zhang Xiu and was camped at Anzhong, thereby cutting his road of retreat. Cao Cao replied to the letter, saying, ""I have been marching only a short distance each day and of course knew of the pursuit. But my plans are laid and, as I am near Anzhong, my enemy will be broken. You need not have any fears.""Then Cao Cao hastened his march till he came near where Liu Biao had taken position. Zhang Xiu still shortened the distance. Cao Cao ordered his men during the night to open a secret way through a pass, where he laid an ambush."
及天色微明，劉表、張繡軍會合，見操兵少，疑操遁去，俱引兵入險擊之。操縱奇兵出，大破兩家之兵。曹兵出了安眾界口，於隘外下寨。劉表、張繡各整敗兵相見。表曰：「何期反中曹操奸計！」繡曰：「容再圖之！」於是兩軍集於安眾。,"With the first light of dawn Liu Biao and Zhang Xiu met. As Cao Cao's force looked small, they thought he had retired so they boldly advanced into the pass to smite him. Then the ambush was opened, and both the attackers' forces were cut up. The fighting ended; Cao Cao's soldiers went outside the pass and encamped. The two leaders on the other side restored order among their beaten troops and then held a conference.""How could we have foreseen such a wicked ruse?"" said Liu Biao.""Let us try again,"" said Zhang Xiu. Wherefore they joined forces at Anzhong."
且說荀彧探知袁紹欲興兵犯許都，星夜馳書報曹操。操得書心慌，即日回兵。細作報知張繡，繡欲追之。賈詡曰：「不可追也，追之必敗。」劉表曰：「今日不追，坐失機會矣。」力勸繡引軍萬餘同往追之。約行十餘里，趕上曹軍後隊。曹軍奮力接戰，繡、表兩軍大敗而還。繡謂詡曰：「不用公言，果有此敗。」詡曰：「今可整兵再往追之。」繡與表俱曰：「今已敗，奈何復追？」詡曰：「今番追去，必獲大勝，如其不然，請斬吾首。」繡信之。劉表疑慮，不肯同往。繡乃自引一軍往追，操兵果然大敗，軍馬輜重，連路散棄而走。,"But Xun Yu discovered through his spies that Yuan Shao was preparing an attack on Capital Xuchang, so he at once wrote to Cao Cao who, much disturbed by this news, set out homeward right away. When Zhang Xiu heard this through his scouts, he wished to follow the retreating army.Jia Xu opposed it and said, ""It will lead to a defeat.""However, Liu Biao said, ""It is wrong to lose such a chance.""And so finally pursuit was decided upon. They had not marched more than four miles before they came upon Cao Cao's rearguard, who fought with great vigor and bravery so that the pursuers were beaten off and went home discomfited.Zhang Xiu said to Jia Xu, ""This defeat comes from my not following your advice.""""Now set your army in order and pursue,"" said Jia Xu.""But we have just suffered defeat!"" cried both leaders. ""Do you now counsel pursuit?""""Yes, and the result will be a great victory if you go now. I will venture my head on that,"" said Jia Xu.Zhang Xiu had confidence, but Liu Biao was afraid and would not accompany him. So one army only started in pursuit. However, this was enough. Cao Cao's rear-guard was thoroughly routed and abandoned their wagons and their baggage in their hasty flight."
繡正往前追趕，忽山後一彪軍擁出。繡不敢前追，收軍回安眾。劉表問賈詡曰：「前以精兵追退兵，而公曰必敗；後以敗卒擊勝兵，而公曰必克；究竟悉如公言，何其事不同而皆驗也？願公明教我。」詡曰：「此易知耳。將軍雖善用兵，非曹操敵手。操軍雖敗，必有勁將為殿，以防追兵；我兵雖銳，不能敵之也；故知必敗。夫操之急於退兵者，必因許都有事；既破我追軍之後，必輕車速回，不復為備；我乘其不備而更追之，故能勝也。」劉表、張繡俱服其高見。詡勸表回荊州，繡守襄城，以為脣齒，兩軍各散。,"Zhang Xiu pursued, but suddenly a troop came out from the shelter of some hills and checked him. Fearful to try further, he hastened back to Anzhong.The other general, Liu Biao, asked the adviser to explain his apparent inconsistency, saying, ""When our veteran and brave soldiers were going to pursue those who retreated, you said our men would lose the day; and when defeated men pursued the victors, you foretold victory. You were right in both cases, but we wish you would enlighten us.""""It is easy to explain. You, Generals, although skilled leaders, are not a match for our enemy. Though Cao Cao had lost a battle, he had able generals to keep the rear and guard against pursuit. Our soldiers are good, but not a match for them. That is how I knew. For as much as Cao Cao's hurried retreat was due to trouble in the capital, and he had beaten off our attack, I knew he would retire at his utmost speed and not take his usual precautions. I ventured to take advantage of his laxity.""Liu Biao and Zhang Xiu could not but affirm his complete understanding of the conditions. On the advice of Jia Xu then Liu Biao returned to Jingzhou, while Zhang Xiu took up his position at Xiangyang so that each strengthened the other as the lips protect the teeth from cold."
且說曹操正行間，聞報後軍為繡所追，急引眾將回身救應。只見繡軍已退，敗兵回告操曰：「若非山後這一路人馬阻住中路，我等皆被擒矣。」操急問何人，那人綽槍下馬，拜見曹操，乃鎮威中郎將，江夏平春人；姓李，名通，字文達。操問何來。通曰：「近守汝南，聞丞相與張繡、劉表戰，特來接應。」操喜，封通為建功侯，守汝南西界，以防表、繡。李通拜謝而去。,"When Cao Cao, during his retreat, heard that his army was being pursued, he hastily turned back to support the rearguard. Then he saw the pursuing army draw off. The soldiers of the beaten rearguard said, ""Had it not been for the troops that came out of the hills, we should all have been lost.""""What troops?"" asked Cao Cao in surprise.The leader of the troops then advanced, slung his spear and, dismounting, made a low obeisance. He was Li Tong, Imperial Commander, from Jiangxia. Cao Cao asked him why he had come.Li Tong replied, ""I was in command at Runan when I heard of the struggle going on, so I came to lend you any help I could.""To show his gratitude, Cao Cao conferred upon Li Tong the title Lord Who Renders High Services, and confirmed him in his command as the defense of Runan against Liu Biao and Zhang Xiu. Then Li Tong expressed his thanks and took his leave."
操還許都，表奏孫策有功，封為討逆將軍，賜爵吳侯，遣使齎詔江東，諭令防剿劉表。操回府，眾官參見畢。荀彧問曰：「丞相緩行至安眾，何以知必勝賊兵？」操曰：「彼退無歸路，必將死戰，吾緩誘之而暗圖之，是以知其必勝也。」,"On his return to the capital, Cao Cao presented a memorial on the good services rendered by Sun Ce, and the Emperor made him Lord of Wu with the title General Who Destroys Rebels. The messenger bearing the decree bore also the order to repress Liu Biao. Cao Cao went to his palace and there received the ceremonial calls of congratulation. These finished, Xun Yu asked, saying, ""You, Sir, marched very leisurely to Anzhong: How came it that you felt certain of victory?""Cao Cao replied, ""My soldiers, who retire and find their retreat cut off, fight vigorously and desperately. I retired slowly to entice the enemy into following whereby I could do as I wished with them. Basing my movements on these considerations I felt secure."""
