chinese,english
卻說闕澤字德潤，會稽山陰人也。家貧好學，與人傭工，嘗借人書來看。看過一遍，便不遺忘。口才辨給，少有膽氣。孫權召為參謀，與黃蓋最相善。蓋知其能言有膽，故欲使獻詐降書。澤欣然應諾曰：「大丈夫處世，不能立功建業，不幾與草木同腐乎？公既捐軀報主，澤又何惜微生！」黃蓋滾下床來拜而謝之。澤曰：「事不可緩，即今便行。」蓋曰：「書已修下了。」,"Kan Ze was from Shanyin, a son of a humble family. He loved books, but as he was too poor to buy, he used to borrow. He had a wonderfully tenacious memory, was very eloquent and no coward. Sun Quan had employed him among his advisers, and he and Huang Gai were excellent friends.Now Huang Gai had thought of Kan Ze to present the treacherous letter to Cao Cao, as Kan Ze's gifts made him most suitable.Kan Ze accepted with enthusiasm, saying, ""When you, my friend, have suffered so much for our lord, could I spare myself? No! While a person lives, he must go on fulfilling his mission, or he is no better than the herbs that rot in the field.""Huang Gai slipped off the couch and came over to salute him.""However, this matter must speed,"" continued Kan Ze. ""There is no time to lose.""""The letter is already written,"" said Huang Gai."
澤領了書，只就當夜扮作漁翁，駕小舟，望北岸而行。是夜寒星滿天，三更時候，早到曹軍水寨。巡江軍士拏住，連夜報知曹操。操曰：「莫非是奸細麼？」軍士曰：「只一漁翁，自稱是東吳參謀闞澤，有機密事來見。」操便教引將入來。軍士引闞澤至，只見帳上燈燭輝煌，曹操憑几危坐，問曰：「汝既是東吳參謀，來此何幹？」澤曰：「人言曹丞相求賢若渴，今觀此問，甚不相合。──黃公覆，汝又錯尋思了也！」,"Kan Ze received it and left. That night he disguised himself as an old fisherman and started in a small punt for the north shore, under the cold, glittering light of the stars. Soon he drew near the enemy's camp and was captured by the patrol.Without waiting for day, they informed Cao Cao, who said at once, ""Is he not just a spy?""""No,"" said they, ""he is alone, just an old fisherman. And he says he is an adviser in the service of the South Land named Kan Ze, and he has come on secret business.""""Bring him,"" said Cao Cao, and Kan Ze was led in.Cao Cao was seated in a brilliantly lighted tent. He was leaning on a small table, and as soon as he saw the prisoner, he said harshly, ""You are an adviser of East Wu. What then are you doing here?""""People say that you greedily welcome people of ability. I do not think your question a very proper one. O friend Huang Gai, you made a mistake,"" said Kan Ze."
操曰：「吾與東吳旦夕交兵，汝私行到此，如何不問？」澤曰：「黃公覆乃東吳三世舊臣，今被周瑜於眾將之前，無端毒打，不勝忿恨。因欲投降丞相，為報仇之計，特謀之於我。我與公覆，情同骨肉，逕來為獻密書。未知丞相肯容納否？」操曰：「書在何處？」闞澤取書呈上。操拆書，就燈下觀看。書略曰：「蓋受孫氏厚恩，本不當懷二心。然以今日事勢論之：用江東六邵之卒，當中國百萬之師，眾寡不敵，海內所共見也。東吳將吏，無論智愚，皆知其不可。周瑜小子，偏懷淺戇，自負其能，輒欲以卵敵石；兼之擅作威福，無罪受刑，有功不賞。蓋係舊臣，無端為所摧辱，心實恨之！伏聞丞相，誠心待物，虛懷納士，蓋願率眾歸降，以圖建功雪恥。糧草車仗，隨船獻納。泣血拜白，萬勿見疑。」,"""You know I am fighting against East Wu, and you come here privately. Why should I not question you?""""Huang Gai is an old servant of Wu, one who has served three successive rulers. Now he has been cruelly beaten, for no fault, before the face of all the officers in Zhou Yu's camp. He is grievously angry about this and wishes to desert to your side that he may be revenged. He discussed it with me, and as we are inseparable, I have come to give you his letter asking whether you would receive him.""""Where is the letter? said Cao Cao.The missive was produced and presented.Cao Cao opened it and read:""I, Huang Gai, have been generously treated by the Sun family and have served them single-heartedly. Lately they have been discussing an attack with our forces on the enormous army of the central government. Everyone knows our few are no match for such a multitude, and every officer of the South Land, wise or foolish, recognizes that quite well. However, Zhou Yu who, after all, is but a youth and a shallow minded simpleton, maintains that success is possible and rashly desires to smash stones with an egg. Beside, he is arbitrary and tyrannical, punishing for no crime, and leaving meritorious service unrewarded. I am an old servant and for no reason have been shamed in the sight of people. Wherefore I hate him in my heart.""You, O Prime Minister, treat people with sincerity and are ready to welcome ability and so I, and those under my leadership, desire to enter your service whereby to acquire reputation and remove the shameful stigma. The commissariat, weapons, and the supply ships that I am commanding will also come over to you. In perfect sincerity I state these matters. I pray you not to doubt me."""
曹操於几案上翻覆將書看了十餘次，忽然拍案張目大怒曰：「黃蓋用苦肉計，令汝下詐降書，就中取事，卻敢來戲侮我耶！」便教左右推出斬之。左右將闞澤簇下，澤面不改容，仰天大笑。操教牽回，叱曰：「吾已識破奸計，汝何故哂笑？」澤曰：「吾不笑你。吾笑黃公覆不識人耳。」操曰：「何不識人？」澤曰：「殺便殺，何必多問！」操曰：「吾自幼熟讀兵書，深知奸偽之道。汝這條計，只好瞞別人，如何瞞得我！」澤曰：「你且說書中那件事是奸計？」操曰：「我說出你那破綻，教你死而無怨！你既是真心獻書投降，如何不明約幾時？如今你有何理說？」,"Leaning there on the low table by his side, Cao Cao turned this letter over and over and read it again and again.Then he smacked the table, opened his eyes wide with anger, saying, ""Huang Gai is trying to play the personal injury trick on me, is he? And you are in it as the intermediary to present the letter. How dare you come to sport with me?""Cao Cao ordered the lictors to thrust forth the messenger and take off his head. Kan Ze was hustled out, his face untroubled. On the contrary, he laughed aloud.At this Cao Cao told them to bring him back and harshly said to him, ""What do you find to laugh at now that I have foiled you and your ruse has failed?""""I was not laughing at you. I was laughing at my friend's simplicity.""""What do you mean by his simplicity?""""If you want to slay, slay. Do not trouble me with a multitude of questions.""""I have read all the books on the art of war, and I am well versed in all ways of misleading the enemy. This ruse of yours might have succeeded with many, but it will not do for me.""""And so you say that the letter is a vicious trick?"" said Kan Ze.""What I say is that your little slip has sent you to the death you risked. If the thing was real and you were sincere, why does not the letter name a time of coming over? What have you to say to that?"""
闞澤聽罷，大笑曰：「虧汝不惶恐，敢自誇熟讀兵書！還不及早收兵回去！倘若交戰，必被周瑜擒矣！無學之輩！可惜吾屈死汝手！」操曰：「何謂我無學？」澤曰：「汝不識機謀，不明道理，豈非無學？」操曰：「你且說我那幾般不是處？」澤曰：「汝無待賢之禮，吾何必言？但有死而已。」操曰：「汝若說得有理，我自然敬服。」澤曰：「豈不聞『背主作竊，不可定期』？倘今約定日期，急切下不得手，這裏反來接應，事必泄漏。但可覷便而行，豈可預期相訂乎？汝不明此理，欲屈殺好人，真無學之輩也！」,"Kan Ze waited to the end and then laughed louder than ever, saying, ""I am so glad you are not frightened but can still boast of your knowledge of the books of war. Now you will not lead away your soldiers. If you fight, Zhou Yu will certainly capture you. But how sad to think I die at the hand of such an ignorant fellow!""""What mean you? I, ignorant?""""You are ignorant of any strategy and a victim of unreason. Is not that sufficient?""""Well then, tell me where is any fault.""""You treat wise people too badly for me to talk to you. You can finish me and let there be an end of it.""""If you can speak with any show of reason, I will treat you differently.""""Do you not know that when one is going to desert one's master and become a renegade, one cannot say exactly when the chance will occur? If one binds one's self to a fixed moment and the thing cannot be done just then, the secret will be discovered. One must watch for an opportunity and take it when it comes. Think: Is it possible to know exactly when? But you know nothing of common sense. All you know is how to put good people to death. So you really are an ignorant fellow!"""
操聞言，改容下席而謝曰：「某見事不明，誤犯尊威，幸勿掛懷。」澤曰：「吾與黃公覆，傾心投降，如嬰兒之望父母，豈有詐乎？」操大喜曰：「若二人能建大功，他日受爵，必在諸人之上。」澤曰：「某等非為爵祿而來，實應天順人耳。」操取酒待之。,"At this Cao Cao changed his manner, got up, and came over to the prisoner bowing, ""I did not see clearly. That is quite true. I offended you, and I hope you will forget it.""""The fact is that Huang Gai and I are both inclined to desert to you. We even yearn for it as a child desires its parents. Is it possible that we should play you false?""""If you two could render me so great a service, you shall certainly be richly rewarded.""""We do not desire rank or riches. We come because it is the will of Heaven and the plain way of duty.""Then wine was set out, and Kan Ze was treated as an honored guest."
少頃，有人入帳，於操耳邊私語。操曰：「將書來看。」其人以密書呈上。操觀之，顏色頗喜。闞澤暗思：「此必蔡中，蔡和來報黃蓋受刑消息，操故喜我投降之事為真實也。」操曰：「煩先生再回江東，與黃公覆約定，先通消息過江，吾以兵接應。」澤曰：「某已離江東，不可復還。望丞相別遣機密人去。」操曰：「若他人去，事恐泄漏。」澤再三推辭；良久，乃曰：「若去則不敢久停，便當行矣。」,"While they were drinking, someone came in and whispered in Cao Cao's ear.He replied, ""Let me see the letter.""Whereupon the man pulled out and gave him a letter, which evidently pleased him.""That is from the two Cai brothers,"" thought Kan Ze. ""They are reporting the punishment of my friend, and that will be a proof of the sincerity of his letter.""Turning toward Kan Ze, Cao Cao said, ""I must ask you to return to settle the date with your friend. As soon as I know, I will have a force waiting.""""I cannot return. Pray, Sir, send some other one you can trust.""""If someone else should go, the secret would be discovered.""Kan Ze refused again and again but at last gave way, saying, ""If I am to go, I must not wait here. I must be off at once."""
操賜以金帛，澤不受，辭別出營，再駕肩舟，重回江東，來見黃蓋，細說前事。蓋曰：「非公能辯，則蓋徒受苦矣。」澤曰：「吾今去甘寧寨中，探蔡中，蔡和消息。」蓋曰：「甚善。」澤至寧寨，寧接入。澤曰：「將軍昨為救黃公覆，被周公瑾所辱，吾甚不平。」寧笑而不答。,"Cao Cao offered him gold and silks, which were refused. Kan Ze started, left the camp, and reembarked for the south bank, where he related all that had happened to Huang Gai.""If it had not been for your persuasive tongue, then had I undergone this suffering in vain,"" said Huang Gai.""I will now go to get news of the two Cai brothers,"" said Kan Ze.""Excellent,"" said Huang Gai.Kan Ze went to the camp commanded by Gan Ning.When they were seated, Kan Ze said to his host, ""I was much distressed when I saw how disgracefully you were treated for your intercession on behalf of Huang Gai.""Gan Ning smiled."
正話間，蔡和，蔡中至。澤以目送甘寧。寧會意，乃曰：「周公瑾只自恃其能，全不以我等為念。我今被辱，羞見江左諸人！」說罷，咬牙切齒，怕案大叫。澤乃虛與寧耳邊低語，寧低頭不言，長歎數聲。,"Just then the two Cai brothers came, and host and guest exchanged glances.Gan Ning said, ""The truth is Zhou Yu is over confident, and he reckons us as nobody. We count for nothing. Everyone is talking of the way I was insulted.""And he shouted and gritted his teeth and smacked the table in his wrath.Kan Ze leaned over toward his host and said something in a very low voice, at which Gan Ning bent his head and sighed."
蔡和，蔡中見澤寧皆有反意，以言挑之曰：「將軍何故煩惱？先生有何不平？」澤曰：「吾等腹中之苦，汝豈知耶！」蔡和曰：「莫非欲背吳投曹耶？」闞澤失色。甘寧拔劍而起曰：「吾事已為窺破，不可不殺之以滅口！」,"Cai He and Cai Zhong gathered from this scene that both Gan Ning and Kan Ze were ripe for desertion and determined to probe them.""Why, Sir, do you anger him? Why not be silent about your injuries?"" said they.""What know you of our bitterness?"" said Kan Ze.""We think you seem much inclined to go over to Cao Cao,"" said they.Kan Ze at this lost color. Gan Ning started up and drew his sword, crying, ""They have found out. They must die to keep their mouths shut!"""
蔡和，蔡中慌曰：「二公勿憂，吾亦當以心腹之事相告。」寧曰：「可速言之！」蔡和曰：「吾二人乃曹公使來詐降者，二公若有歸順之心，吾當引進。」寧曰：「汝言果真乎？」二人齊聲曰：「安敢相欺？」寧佯喜曰：「若如此，是天賜其便也！」二蔡曰：「黃公覆與將軍被辱之事，吾已報知丞相矣。」澤曰：「吾已為黃公覆獻書丞相，今特來見興霸，相約同降耳。」寧曰：「大丈夫既遇明主，自當傾心相投。」,"""No, no,"" cried the two in a flurry. ""Let us tell you something quite secret!""""Quick, then!"" cried Gan Ning.So Cai He said, ""The truth is that we are only pretended deserters, and if you two gentlemen are of our way of thinking, we can manage things for you.""""But are you speaking the truth?"" said Gan Ning.""Is it likely we should say such a thing if it were untrue?"" cried both at the same moment.Gan Ning put on a pleased look and said, ""Then this is the very heaven-given chance.""""You know we have already told Cao Cao of the Huang Gai affair and how you were insulted.""""The fact is I have given the Prime Minister a letter on behalf of Huang Gai, and he sent me back again to settle the date of Huang Gai's desertion,"" said Kan Ze.""When an honest person happens upon an enlightened master, his heart will always be drawn toward him,"" said Gan Ning."
