chinese,english
曹操正慌走間，正南上一彪軍到，乃夏侯惇引軍來救援，截住呂布大戰。鬥到黃昏時分，大雨如注，各自引軍分散。操回寨，重賞典韋，加為領軍都尉。,"The last chapter closed with Cao Cao in great danger. However, help came. Xiahou Dun with a body of soldiers found his chief, checked the pursuit, and fought with Lu Bu till dusk. Rain fell in torrents swamping everything; and as the daylight waned, they drew off and Cao Cao reached camp. He rewarded Dian Wei generously and advanced him in rank."
卻說呂布到寨，與陳宮商議。宮曰：「濮陽城中有富戶田氏，家僮千百，為一郡之巨室；可令彼密使人往操寨中下書，言呂溫侯殘暴不仁，民心大怨，今欲移兵黎陽，止有高順在城內，可連夜進兵，我為內應。操若來，誘之入城，四門放火，外設伏兵。曹操雖有經天緯地之才，到此安能得脫也？」呂布從其計，密諭田氏使人逕到操寨。操因新敗，正在躊躇，忽報田氏人到，呈上密書云：「呂布已往黎陽，城中空虛。萬望速來，當為內應。城上插白旗，大書『義』字，便是暗號。」操大喜曰：「天使吾得濮陽也！」重賞來人，一面收拾起兵。劉曄曰：「布雖無謀，陳宮多計。只恐其中有詐，不可不防。明公欲去，當分三軍為三隊：兩隊伏城外接應，一隊入城方可。」,"When Lu Bu reached his camp, he called in his adviser Chen Gong. Then Chen Gong proposed a new stratagem.He said, ""In Puyang there is a rich, leading family, Tian by name, who number thousands, enough to populate a whole county in themselves. Make one of these people go to Cao Cao's camp with a pretended secret letter about your ferocity, and the hatred of the people, and their desire to be rid of you. And spread the news that only Gao Shun is left to guard the city, and they would help anyone who would come to save them. Thus our enemy Cao Cao will be inveigled into the city, and we will destroy him either by fire or ambush. His skill may be equal to encompassing the universe, but he will not escape.""Lu Bu thought this trick might be tried, and they arranged for the Tian family letter to be sent.Coming soon after the defeat, when Cao Cao felt uncertain what step to take next, the secret letter was read with joy:""Lu Bu has marched to Liyang. The city's defense is weak: You must attack immediately, and we will render interior help. Follow the sign of a white flag with the word Rectitude written thereon.""""Heaven is going to give me Puyang!"" said Cao Cao joyfully.So he rewarded the messenger very liberally and began to prepare for the expedition.Then came Liu Ye, saying, ""Lu Bu is no strategist, but Chen Gong is full of guile. I fear treachery in this letter, and you must be careful. If you will go, then enter with only one third your army, leaving the others outside the city as a reserve."""
操從其言，分軍三隊，來至濮陽城下。操先往觀之，見城上遍豎旗旛，西門角上，有一「義」字白旗，心中暗喜。是日午牌，城門開處，兩員將引軍出戰：前軍侯成，後軍高順。操即使典韋出馬，直取侯成。侯成抵敵不過，回馬望城中走。韋趕到弔橋邊，高順亦攔擋不住，都退入城中去了。數內有軍人乘勢混過陣來見操，說是田氏之使，呈上密書。約云：「今夜初更時分，城上鳴鑼為號，便可進兵。某當獻門。」操撥夏侯惇引軍在左，曹洪引軍在右，自己引夏侯淵，李典，樂進，典韋四將，率兵入城。李典曰：「主公且在城外，容某等先入城去。」操喝曰：「我不自往，誰肯向前！」遂當先領兵直入。,"Cao Cao agreed to take this precaution, and split the army into three. He went to Puyang, which he found gay with fluttering flags. Looking carefully he saw among them, at the west gate, the white flag with the looked-for inscription. His heart rejoiced.That day, just about noon, the city gates opened, and two bodies of soldiers appeared as if to fight. Gao Shun was the Front Commander, and Hou Cheng the Rear Commander. Cao Cao told off his general, Dian Wei, to oppose them. Neither body, however, came on to full engagement but fell back into the city. By this move Dian Wei and his troops had been drawn close up to the drawbridge. From within the city several soldiers were seen taking any chance of confusion to escape and come outside.To Cao Cao they said, ""We are clients of the Tian family,"" and they gave him secret letters stating:""The signal will be given about the first watch setting by beating a gong. That will be the time to attack. The gates will be opened.""So Cao Cao ordered Xiahou Dun to march to the left and Cao Hong to the right. Cao Cao led the main army —-together with Xiahou Yuan, Li Dian, and Yue Jing —-into the city.Li Dian pressed upon his master the precaution, saying, ""My lord should stay outside the city. Let us go in first.""But Cao Cao bade him be silent, saying, ""If I do not go, who will advance?""And so at the first watch Cao Cao led the way."
時約初更，月光未上。只聽得西門上吹蠃殼聲，喊聲忽起，門上火把燎亂，城門大開，弔橋放落。曹操爭先拍馬而入。直到州衙，路上不見一人。操知是計，忙撥回馬，大叫：「退兵！」州衙中一聲砲響，四門烈火，轟天而起；金鼓齊鳴，喊聲如江翻海沸。東巷內轉出張遼，西巷內轉出臧霸，夾攻掩殺。操走北門，道傍轉出郝萌、曹性，又殺一陣。操急走南門，高順、侯成攔住。典韋怒目咬牙，衝殺出去。高順、侯成倒走出城。,"The moon had not yet arisen. As he drew near the west gate, they heard a crackling sound, then a loud shouting, and then torches moved hither and thither. Next the gates were thrown wide open, and Cao Cao, whipping up his steed, galloped in.But when he reached the state residence, he noticed the streets were quite deserted, and then he knew he had been tricked. Wheeling round his horse, he shouted to his followers to retire. This was the signal for another move. An explosion of a signal bomb was heard close at hand, and it was echoed from every side in a deafening roar. Gongs and drums beat all around with a roar like rivers rushing backward to their source, and the ocean boiling up from its depths. From two sides east and west came bodies of soldiers eager to attack, led by Lu Bu's generals Zhang Liao and Zang Ba.Cao Cao dashed off toward the north only to find his way barred by Hao Meng and Cao Xing. Cao Cao tried for the south gate, but met enemies led by Gao Shun and Hou Cheng. Cao Cao's trusty commander Dian Wei, with fierce eyes and gritting teeth, at last burst through and got out, with the enemy close after him."
典韋殺到弔橋，回頭不見了曹操，翻身復殺入城來，門下撞著李典。典韋問：「主公何在？」典曰：「吾亦尋不見。」韋曰：「汝在城外催救軍，我入去尋主公。」李典去了。典韋殺入城中，尋覓不見；再殺出城壕邊，撞著樂進。進曰：「主公何在？」韋曰：「我往複兩遭，尋覓不見。」進曰：「同殺入去救主！」兩人到門邊，城上火砲滾下，樂進馬不能入，典韋冒煙突火，又殺入去，到處尋覓。,"But when Dian Wei reached the drawbridge, he glanced behind him and missed his master. Immediately Dian Wei turned back and cut an alley inside. Just within he met Li Dian.""Where is our lord?"" cried Dian Wei.""I am looking for him!"" said Li Dian.""Quick! Get help from outside,"" shouted Dian Wei. ""I will seek him!""So Li Dian hastened for aid, and Dian Wei slashed his way in, looking on every side for Cao Cao. He was not to be found. Dashing out of the city, Dian Wei ran up against Yue Jing, who asked where their lord was.""I have entered the city twice in search of him, but cannot find him!"" said Dian Wei.""Let us go in together."" said Yue Jing.They rode up to the gate. But the noise of bombs and the pouring fire from the gate tower frightened Yue Jing's horse so that it refused to pass. Wherefore Dian Wei alone went in, butting through the smoke and dashing through the flames. But he got in and searched on every side."
卻說曹操見典韋殺出去了，四下裏人馬截來，不得出南門；再轉北門，火光裏正撞見呂布挺戟躍馬而來。操以手掩面，加鞭縱馬竟過。呂布從後拍馬趕來，將戟於操盔上一擊，問曰：「曹操何在？」操反指曰：「前面騎黃馬者是他。」,"When Cao Cao saw his sturdy protector Dian Wei cut his way out and disappear leaving him surrounded, he again made an attempt to reach the north gate. On the way, sharply silhouetted against the glow, he saw the figure of Lu Bu coming toward him with his trident halberd ready to kill. Cao Cao covered his face with his hand, whipped up his steed and galloped past.But Lu Bu came galloping up behind him and tapping him on the helmet with the halberd cried, ""Where is Cao Cao?""Cao Cao turned and, pointing to a dun horse well ahead, cried, ""There: On that dun! That is he!"""
呂布聽說，棄了曹操，縱馬向前追趕。曹操撥轉馬頭，望東門而走，正逢典韋。韋擁護曹操，殺條血路，到城門邊，火燄甚盛，城下推下柴草，遍地都是火。韋用戟撥開，飛馬冒煙突火先出。曹操隨後亦出。方到門道邊，城門上崩下一條火梁來，正打著曹操戰馬後胯，那馬撲地倒了。操用手托梁推放地上，手臂鬚髮，盡被燒傷。,"Hearing this Lu Bu left pursuing Cao Cao to gallop after the rider of the dun.Thus relieved Cao Cao set off for the east gate. Then he fell in with Dian Wei, who took him under his protection and fought through the press, leaving a trail of death behind till they reached the gate. Here the fire was raging fiercely, and burning beams were falling on all sides. The earth element seemed to have interchanged with the fire element. Dian Wei warded off the burning pieces of wood with his lance and rode into the smoke making a way for his lord. Just as they were passing through the gate a flaming beam fell from the gate tower. Cao Cao just warded it off with his arm, but it struck his steed on the quarters and knocked the steed down. Cao Cao's hand and arm were badly burned and his hair and beard singed."
典韋回馬來救，恰好夏侯淵亦到。兩個同救起曹操，突火而出。操乘淵馬，典韋殺條大路而走。直混戰到天明，操方回寨。眾將拜伏問安，操仰面笑曰：「誤中匹夫之計，吾必當報之！」郭嘉曰：「計可速發。」操曰：「今只將計就計：詐言我被火傷，火毒攻發，五更已經身死。布必引兵來攻。我伏兵於馬陵山中，候其兵半渡而擊之，布可擒矣。」嘉曰：「真良策也！」於是令軍士挂孝發喪，詐言操死。早有人來濮陽報呂布，說曹操被火燒傷肢體，到寨身死。布隨點起軍馬，殺奔馬陵山來。將到操寨，一聲鼓響，伏兵四起。呂布死戰得脫，折了好些人馬；敗回濮陽，堅守不出。,"Dian Wei turned back to his rescue. Luckily Xiahou Yuan came along just then, and the two raised Cao Cao and set him on Xiahou Yuan's horse. And thus they got him out of the burning city. But they had to go through heavy fighting till daybreak.Cao Cao returned to his camp. His officers crowded about his tent, anxious for news of his health. He soon recovered and laughed when he thought of his escape.""I blundered into that fool's trap, but I will have my revenge,"" said he.""Let us have a new plan soon,"" said Guo Jia.""I will turn his trick to my own use. I will spread the false report that I was burned in the fire, and that I died at the fifth watch. He will come to attack as soon as the news gets abroad, and I will have an ambush ready for him in Maling Hills. I will get him this time.""""Really a fine stratagem!"" said Guo Jia.So the soldiers were put into mourning, and the report went everywhere that Cao Cao was dead. And soon Lu Bu heard it, and he assembled his army at once to make a surprise attack, taking the road by the Maling Hills to his enemy's camp.As he was passing the hills, he heard the drums beating for an advance, and the ambushing soldiers leapt out all round him. Only by desperate fighting did he get out of the melee and with a sadly diminished force returned to his camp at Puyang. There he strengthened the fortifications and could not be tempted forth to battle."
是年蝗蟲忽起，食盡禾稻。關東一境，每榖一斛，值錢五十貫，人民相食。曹操因軍中糧盡，引回鄄城暫往。呂布亦引兵出屯山陽就食。因此二處權且罷兵。,"This year locusts suddenly appeared, and they consumed every green blade. There was a famine, and in the northeast grain rose to fifty strings of copper coins a cart. People even took to cannibalism. Cao Cao's army suffered from want, and he marched them to Juancheng. Lu Bu took his troops to Shanyang. Perforce therefore the fighting ceased."
卻說陶謙在徐州，時年已六十三歲，忽然染病，看看沈重，請糜竺、陳登議事。竺曰：「曹兵之去，止為呂布襲兗州故也。今因歲荒罷兵，來春又必至矣。府君兩番欲讓位於劉玄德，時府君尚強健，故玄德不肯受；今病已沈重，正可就此面與之，玄德必不辭矣。」,"In Xuzhou, Imperial Protector Tao Qian, over sixty years of age, suddenly fell seriously ill, and he summoned his confident, Mi Zhu, to his chamber to make arrangements for the future.As to the situation the adviser said, ""Cao Cao abandoned his attack on this place because of his enemy's seizure of Yanzhou; and now they are both keeping the peace solely because of the famine. But Cao Cao will surely renew the attack in the spring. When Liu Bei refused to allow you to vacate office in his favor, you were in full vigor. Now you are ill and weak, and you can make this a reason for retirement. He will not refuse again."""
