chinese,english
凡世主之患，用兵者不量力，治草萊者不度地。故有地狹而民眾者，民勝其地；地廣而民少者，地勝其民。民勝其地者，務開；地勝其民者，事徠。開則行倍。民過地，則國功寡而兵力少；地過民，則山澤財物不為用。夫棄天物，遂民淫者，世主之務過也，而上下事之，故民眾而兵弱，地大而力小。,"The disasters of the rulers of the world, generally, come from their not measuring their strength in the use of armies, and from their not measuring their territory in managing the grass-fields and uncultivated lands. Therefore, sometimes the territory is narrow and the population numerous, so that the population exceeds the territory; or sometimes the territory is extensive, but the population sparse, so that the territory exceeds the population. If the population exceeds the territory, then one should pay attention to opening up new land; if the territory exceeds the population, then one should set about calling in colonists. By opening up new land, one effects increase. If the population exceeds the territory, then the achievements of the state will be few and the military strength small; if the territory exceeds the population, then the resources of mountains and moors will not be utilized. Now, to neglect natural resources and to pander to the people's dissipations is to fail in one's duty as a ruler, and when high and low act thus, then in spite of a large population, the army will be weak, and in spite of a big territory, its strength will be small."
故為國任地者，山陵居什一，藪澤居什一，谿谷流水居什一，都邑蹊道居什四。此先王之正律也，故為國分田數小。畝五百，足待一役，此地不任也。方土百里，出戰卒萬人者，數小也。此其墾田足以食其民，都邑遂路足以處其民，山陵藪澤谿谷足以供其利，藪澤隄防足以畜。故兵出，糧給而財有餘；兵休，民作而畜長足。此所謂任地待役之律也。,"In administering a state therefore, and in disposing of its territory, to populate the mountains and forests with a tenth of the people, the marshes and moors with a tenth, the valleys, dales and streams with a tenth, cities, towns and highways with four tenths was the correct rule of the former kings. In administering a state, therefore, and in dividing arable land, if a minimum of 500 mu is sufficient to support one soldier, it is not making proper use of the land. But if a territory of 100 square li supports 10,000 soldiers for war as a minimum, then it shows that the cultivated land is sufficient to nourish its population, that cities, towns and highways are sufficient to accommodate their inhabitants, that mountains and forests, marshes and moors, valleys and dales, are sufficient to provide profit, and that marshes and moors, dykes and embankments are sufficient for grazing. Therefore, when the army marches out and grain is given them, there is still a surplus of riches; when the army is resting and the people at work, the cattle are always sufficient. This is said to be the rule for making use of the land and for supporting soldiers."
今世主有地方數千里，食不足以待役實倉，而兵為鄰敵臣，故為世主患之。夫地大而不墾者，與無地者同；民眾而不用者，與無民者同。,"But nowadays, although the rulers of the world have territory of several thousand square li, the produce is not sufficient to support the soldiers and to fill the granaries, and the army is equalled by the neighbours. I regret this state of affairs, therefore, on behalf of the ruler. Indeed, having a large territory and not cultivating it is like having no territory; having a numerous population, but not employing it, is like having no population."
故為國之數，務在墾草；用兵之道，務在一賞。私利塞於外，則民務屬於農；屬於農則樸，樸則畏令。私賞禁於下，則民力摶於敵，摶於敵則勝。奚以知其然也？夫民之情，樸則生勞而易力，窮則生知而權利。易力則輕死而樂用，權利則畏罰而易苦。易苦則地力盡，樂用則兵力盡。,"Therefore, the statistical method of administering a country is to give attention to the cultivation of the grass lands; the way to employ the soldiers is to pay attention to making uniform rewards. If private gain has been debarred in outside occupations, then the people will be concerned with keeping to agriculture. If they keep to agriculture, they will be simple, and if they are simple, they fear the law. If private rewards are forbidden to those below, then the people will take the offensive forcibly against the enemy, and by taking the offensive against him, they conquer. How does one know that it will be thus ? Well, the natural disposition of the people is that if they are simple, they will produce hard work and will exert their strength easily. If they are poor, they will develop common sense and give due consideration to what is profitable. If they exert their strength easily, they will think lightly of death and will enjoy employment in warfare. If they give due consideration to what is profitable, they will fear punishment and will easily suffer hardship; if they easily suffer hardship, then the capacity of the soil will be developed to the full; if they enjoy employment in warfare, military strength will be developed to the utmost."
夫治國者能盡地力而致民死者，名與利交至。民之生，饑而求食，勞而求佚，苦則索樂，辱則求榮，此民之情也。民之求利，失禮之法；求名，失性之常。奚以論其然也？今夫盜賊上犯君上之所禁，下失臣子之禮，故名辱而身危，猶不止者，利也。其上世之士，衣不煖膚，食不滿腸，苦其志意，勞其四肢，傷其五臟，而益裕廣耳，非性之常，而為之者，名也。故曰名利之所湊，則民道之。,"Now, if he who administers a country is able to develop the capacity of the soil to the full and to cause the people to fight to the death, then fame and profit will jointly accrue. It is the nature of the people, when they are hungry, to strive for food; when they are tired, to strive for rest; when they suffer hardship, to seek enjoyment; when they are in a state of humiliation, to strive for honour. Such is the natural disposition of the people. If the people strive for gain, then they lose the rules of polite behaviour; if they strive for fame, they lose the eternal principles of human nature. How can we conclude that it is so ? Well, take now robbers and thieves; they infringe the interdicts of the prince, above, and below they fail in the polite behaviour of subject and son. Therefore, though their reputations are dishonoured and their persons endangered, yet because of the profit they do not desist. Above these are the scholars of the world; their clothes do not warm their skins, their food does not fill their stomachs, they travail their thoughts, fatigue their four limbs and suffer in their five internal organs, and yet they go on increasing their activity. This is not prompted by the eternal principles of human nature, but for the sake of fame. Therefore is it said: 'Where fame and profit meet, that is the way the people will follow.'"
主操名利之柄，而能致功名者，數也。聖人審權以操柄，審數以使民。數者臣主之術，而國之要也。故萬乘失數而不危，臣主失術而不亂者，未之有也。今世主欲辟地治民而不審數，臣欲盡其事而不立術，故國有不服之民，主有不令之臣。,"If the ruler controls the handle of fame and profit, so as to be able to acquire success and fame, it is due to statistical method. A sage examines the weights, in order to control the handle of the scales; he examines the statistical method in order to direct the people. Statistics is the true method of ministers and rulers and the essential of a state. For never yet has it happened but that a state of a thousand chariots that neglected statistics has come into a perilous position, and ministers and rulers that neglected method have experienced disorder. Nowadays, the rulers of the world wish to open up their territory and to govern the population, without examining the statistics, and ministers desire to fulfil their task without establishing a method. Therefore, the country has a disobedient population and the ruler refractory ministers."
故聖人之為國也，入令民以屬農，出令民以計戰。夫農民之所苦；而戰，民之所危也。犯其所苦，行其所危者，計也。故民生則計利，死則慮名。名利之所出，不可不審也。利出於地，則民盡力；名出於戰，則民致死。入使民盡力，則草不荒；出使民致死，則勝敵。勝敵而草不荒，富強之功，可坐而致也。,"A sage, therefore, in organizing a country causes the people in home affairs to adhere to agriculture, and in foreign affairs to scheme for war. Now, agriculture makes the people suffer hardships, and war makes them run dangers, and the means whereby they can be led to encounter hardships and to perform actions that expose them to danger, is calculation. For the people, when alive, scheme for profit, and when in danger of death, are anxious for fame. It is necessary to examine whence fame and profit spring. If the profit comes from the soil, then people will use their strength to the full; if fame results from war, then they will fight to the death. Now if, at home, the people are directed to use their strength to the full, then the fields will not lie fallow; and if, abroad, they are directed to fight to the death, then they conquer their enemies. If enemies are conquered and at the same time fields do not lie fallow, then without moving, the result will be obtained of having both wealth and strength."
今則不然。世主之所以加務者，皆非國之急也。身有堯舜之行，而功不及湯武之略者，此執柄之罪也。臣請語其過。夫治國舍勢而任談說，則身勞而功寡。故事詩書談說之士，則民游而輕其上；事處上，則民遠而非其上；事勇士，則民競而輕其禁；技藝之士用則民剽而易徙；商賈之士佚且利，則民緣而議其上。故五民加於國用，則田荒而兵弱。談說之士，資在於口；處士，資在於意；勇士，資在於氣；技藝之士，資在於手；商賈之士，資在於身。故天下一宅，而圜身資民；資重於身，而偏託勢於外。挾重資，歸偏家，堯舜之所難也；故湯武禁之，則功立而名成。,"But nowadays, it is not thus; that which the rulers of the world are particularly concerned about is not at all that of which the state stands in urgent need. In their persons, they have the conduct of Yao and Shun, but in their results they do not even approximate those of Tang or Wu. The mistake lies with the handle which they hold. Let me be permitted to set forth their error. In administrating the country, they reject power and indulge in talking. By talking, their persons become cultivated, but their success is small. So scholars, full of empty talk about the Odes and the Book of History, are held in esteem, so that people become restless and think lightly of their prince; scholars who are out of office are held in esteem, so that people become estranged and criticize their superiors; braves are held in esteem, so that the people become quarrelsome and think lightly of prohibitions; artisans are used, so that the people become volatile and easily move their places of abode; merchants and retailers, though leisurely, yet make profit, so that the people follow their example and discuss their superiors. Therefore, if these five kinds of people are used in the state, then fields will lie fallow and the army will be weak. The capital of scholars who are full of empty words lies in their mouths; that of scholars who are out of office lies in their ideas; that of braves in their valour, that of artisans in their hands, and that of merchants and retailers in their bodies. Thus, they can carry their personal capital round to any house on earth. If, for the people's capital, importance is attached to physical talents, and for their habitat they are dependent on the outside world, then those who carry considerable capital will become temporary sojourners. This would have caused difficulties even to Yao and Shun; therefore, Tang and Wu prohibited it, with the result that their success was established and their fame made."
聖人非能以世之所易，勝其所難也；必以其所難，勝其所易。故民愚，則知可以勝之；世知，則力可以勝之。民愚，則易力而難巧；世巧，則易知而難力。故神農教耕而王天下，師其知也；湯武致強而征諸侯，服其力也。今世巧而民淫，方倣湯武之時，而行神農之事，以隨世禁，故千乘惑亂。此其所加務者，過也。,"A sage cannot, with what the world thinks easy, overcome that which it thinks difficult, but he must, by means of what it thinks difficult, overcome that which it thinks easy. So, for example, if the people are stupid, he can overcome it by means of knowledge; if the world is educated, he can overcome it by means of force. When people are stupid, they think force easy, but cleverness difficult; but if the world is clever, then it thinks knowledge easy, but force difficult. So, when Shen-nung taught ploughing and attained supreme sway, the leadership was by means of his knowledge. When Tang and Wu made themselves strong and attacked the feudal lords, the subjugation was by means of force. Nowadays, the world is full of cleverness and people are dissolute, and at this juncture, when the times of Tang and Wu are imitated, to practise the actions of Shen-nung... thus a country of a thousand chariots hereby falling into a state of disorder: this is paying particular attention to the wrong things."
民之性，度而取長，稱而取重，權而索利。明君慎觀三者，則國治可立，而民能可得。國之所以求民者少，而民之所以避求者多。入使民屬於農，出使民壹於戰。故聖人之治也，多禁以止能，任力以窮詐，兩者偏用則境內之民壹；民壹則農，農則樸，樸則安居而惡出。故聖人之為國也，民資藏於地，而偏託危於外。,"It is people's nature, when measuring, to take the longest part, when weighing, to take the heaviest, when adjusting the scales, to seek profit. If an intelligent prince watches these three things diligently, order may be established in the country and the capacities of the people may be utilized. If the state makes few demands from the people, then the people will make many evasions from those demands. Direct the people at home to adhere to farming, and abroad to be concentrated in warfare. Therefore, a sage's way of administering a country is to prohibit much, in order to limit the people's capacity, and to rely on force in order to render trickeries powerless. These two methods being used in combination, people within the borders will be single-minded; being single-minded, they will farm; farming, they will be simple and being simple, they will dwell quietly and dislike going out. Therefore, a sage's way of ordering a country is that the people's capital should be stored in the soil, and that dangers should be run abroad by borrowing a temporary habitat."
