chinese,english
凡人主之所以勸民者，官爵也；國之所以興者，農戰也。今民求官爵，皆不以農戰，而以巧言虛道，此謂勞民。勞民者，其國必無力。無力者，其國必削。,"The means whereby a ruler of men encourages the people are office and rank; the means whereby a country is made prosperous are agriculture and war. Now those who seek office and rank, never do so by means of agriculture and war, but by artful words and empty doctrines. That is called ""wearying the people"". The country of those who weary their people will certainly have no strength, and the country of those who have no strength will certainly be dismembered."
善為國者，其教民也，皆從壹空而得官爵。是故不以農戰，則無官爵。國去言則民樸，民樸則不淫。民見上利之從壹空出也，則作壹，作壹則民不偷。民不偷淫則多力，多力則國強。,"Those who are capable in organizing a country teach the people that office and rank can only be acquired through one opening, and thus, there being no rank without office, the state will do away with fine speaking, with the result that the people will be simple; being simple, they will not be licentious. The people, seeing that the highest benefit comes only through one opening, will strive for concentration, and having concentration, will not be negligent in their occupations. When the people are not negligent in their occupations, they will have much strength, and when they have much strength the state will be powerful."
今境內之民，皆曰：「農戰可避，而官爵可得也。」是故豪傑皆可變業，務學詩書，隨從外權，上可以得顯，下可以得官爵；要靡事商賈，為技藝：皆以避農戰。具備，國之危也。民以此為教者，其國必削。,"But now the people within the territory all say that by avoiding agriculture and war, office and rank may be acquired, with the result that eminent men all change their occupations, to apply themselves to the study of the Odes and History and to follow improper standards; on the one hand, they obtain prominence, and on the other, they acquire office and rank. Insignificant individuals will occupy themselves with trade and will practise arts and crafts, all in order to avoid agriculture and war, thus preparing a dangerous condition for the state. Where the people are given to such teachings, it is certain that such a country will be dismembered."
善為國者，倉廩雖滿，不偷於農；國大民眾，不淫於言，則民樸一。民樸一，則官爵不可巧而取也。不可巧取，則姦不生。姦不生則主不惑。,"The way to organize a country well is, even though the granaries are filled, not to be negligent in agriculture, and even though the country is large and its population numerous, to have no licence of speech. (This being so), the people will be simple and have concentration; the people being simple and having concentration, then office arid rank cannot be obtained by artfulness. If these cannot be obtained by artfulness, then wickedness will not originate; and if wickedness does not originate, the ruler will not be suspicious."
今境內之民及處官爵者，見朝廷之可以巧言辯說取官爵也，故官爵不可得而常也。是故進則曲主，退則慮所以實其私，然則下賣權矣。夫曲主慮私，非國利也，而為之者，以其爵祿也。下賣權，非忠臣也，而為之者，以末貨也。,"But now the people within the territory, and those who hold office and rank, see that it is possible to obtain, from the court, office and rank by means of artful speech and sophistry. Therefore, there is no permanency in office and rank, with the result that at court they deceive their ruler and, retiring from court, they think of nothing but of how to realize their selfish interests and thus sell power to their inferiors. Now deceiving the ruler and being concerned for their own interests is not to the advantage of the state, but those who thus act, do so for the sake of rank and emolument; selling power to inferiors is not proper for a loyal minister, but those who thus act do so for the sake of insignificant presents."
然則下官之冀遷者，皆曰：「多貨則上官可得而欲也。」曰：「我不以貨事上而求遷者，則如以狸餌鼠爾，必不冀矣。若以情事上而求遷者，則如引諸絕繩而求乘枉木也，愈不冀矣。之二者不可以得遷，則我焉得無下動眾取貨以事上，而以求遷乎！」,"Consequently all the lower officials, who hope for promotion, say: 'If we send many presents, we may obtain the higher office which we desire.' They say too: 'To strive for promotion, without serving superiors with presents, is like setting a cat as bait for a rat - it is absolutely hopeless. To strive for promotion by serving superiors with sincerity is like wishing to climb a crooked tree by holding on to a broken rope - it is even more hopeless. If, to attain promotion, these two methods are out of the question, what else can we do, in striving for it, but bring the masses below us into action and obtain presents, for the purpose of serving our superiors?"
百姓曰：「我疾農，先實公倉，收餘以事親，為上忘生而戰，以尊主安國也；倉虛，主卑，家貧，然則不如索官！」親戚交游合，則更慮矣。豪傑務學詩書，隨從外權；要靡事商賈，為技藝：皆以避農戰。民以此為教，則粟焉得無少，而兵焉得無弱也！,"The people say: We till diligently, first to fill the public granaries, and then to keep the rest for the nourishment of our parents; for the sake of our superiors we forget our love of life, and fight for the honour of the ruler and for the peace of the country. But if the granaries are empty, the ruler debased and the family poor, then it is best to seek office. Let us then combine relatives and friends and think of other plans. Eminent men will apply themselves to the study of the Odes and History, and pursue these improper standards; insignificant individuals will occupy themselves with trade, and practise arts and crafts, all in order to avoid agriculture and war. Where the people are given to such teachings, how can the grain be anything but scarce, and the soldiers anything but weak?"
善為國者，官法明，故不任知慮；上作壹，故民不偷淫，則國力搏。國力搏者強，國好言談者削。故曰：農戰之民千人，而有詩書辯慧者一人焉，千人者皆怠於農戰矣。農戰之民百人，而有技藝者一人焉，百人者皆怠於農戰矣。,"The way to administer a country well, is for the law for the officials to be clear; therefore one does not rely on intelligent and thoughtful men. The ruler makes the people singleminded, and therefore they will not scheme for selfish profit. Then the strength of the country will be consolidated. A country where the strength has been consolidated, is powerful, but a country that loves talking is dismembered. Therefore is it said: If there are a thousand people engaged in agriculture and war, and only one in the Odes and History, and clever sophistry, then those thousand will all be remiss in agriculture and war; if there are a hundred people engaged in agriculture and war and only one in the arts and crafts, then those hundred will all be remiss in agriculture and war."
國待農戰而安，主待農戰而尊。夫民之不農戰也，上好言而官失常也。常官則國治，壹務則國富，國富而治，王之道也。故曰：王道作，外身作壹而已矣。,"The country depends on agriculture and war for its peace, and likewise the ruler, for his honour. Indeed, if the people are not engaged in agriculture and war, it means that the ruler loves words and that the officials have lost consistency of conduct. If there is consistency of conduct in officials, the country is well-governed; and if single-mindedness is striven after, the country is rich; to have the country both rich and well governed is the way to attain supremacy. Therefore is it said: 'The way to supremacy is no other than by creating single-mindedness!'"
今上論材能知慧而任之，則知慧之人希主好惡使官制物，以適主心。是以官無常，國亂而不壹，辯說之人而無法也。如此，則民務焉得無多，而地焉得無荒？,"However, nowadays, the ruler, in his appointments, takes into consideration talent and ability and cleverness and intelligence, and thus clever and intelligent men watch for the likes and dislikes of the ruler, so that officials are caused to transact their business in a way which is adapted to the ruler's mind. As a result there is no consistency of conduct in the officials, the state is in disorder and there is no concentration. Sophists (are honoured) and there is no law. Under such circumstances, how can the people's affairs be otherwise than many and how can the land be otherwise than fallow?"
