chinese,english
話說周進在省城要看貢院，金有餘見他真切，只得用幾個小錢同他去看。不想纔到天字號，就撞死在地下。眾人多慌了，只道一時中了惡。行主人道：「想是這貢院裏久沒有人到，陰氣重了，故此周客人中了惡。」金有餘道：「賢東，我扶著他，你且去到做工的那裏借口開水來灌他一灌。」行主人應諾，取了水來，三四個客人一齊扶著，灌了下去，喉嚨裏咯咯的響了一聲，吐出一口稠涎來。眾人道：「好了。」扶著立了起來。周進看著號板，又是一頭撞將去。這回不死了，放聲大哭起來。眾人勸著不住。,"When Zhou Jin fell senseless to the ground, his friends were greatly taken aback, thinking he must be ill.「I suppose this place has been shut up so long that the air is bad,」 said the guild head. 「That must be why he has collapsed.」「I'll hold him up,」 said Qin to the guild head, 「while you go and get some hot water from the workmen over there to bring him to.」When the guild head brought back the water, three or four of the others raised Zhou Jin up and poured water down his throat till he gave a gurgle and spat out some phlegm. 「That's better,」 they said, and helped him to his feet. But when Zhou Jin saw the desk he beat his head against it again. Only, instead of falling unconscious, this time he burst into loud sobbing. Not all their entreaties could stop him."
金有餘道：「你看，這不是瘋了麼？好好到貢院來耍，你家又不死了人，為甚麼這『號淘痛』，也是的？」周進也不聽見，只管伏著號板哭個不住；一號哭過，又哭到二號，三號；滿地打滾，哭了又哭，哭的眾人心裏都悽慘起來。金有餘見不是事，同行主人，一左一右，架著他的膀子。他那裏肯起來，哭了一陣，又是一陣，直哭到口裏吐出鮮血來。眾人七手八腳將他扛抬了出來，在貢院前一個茶棚子裏坐下，勸他喫了一碗茶，猶自索鼻涕，彈眼淚，傷心不止。,"「Are you out of your mind?」 demanded Jin. 「We came to the examination school to enjoy a bit of sightseeing. Nobody has died in your family. Why take on like this?」 But Zhou Jin paid no attention. He just leaned his head against the desk and went on crying. After crying in the first room, he rushed over to cry in the second and then the third, rolling over and over on the floor till all his friends felt sorry for him. Seeing the state he was in, Qin and the guild head tried to lift him up, one on each side; but he refused to budge. He cried and cried, until he spat blood. Then all the others lent a hand to carry him out and set him down in a tea-house in front of the examination school. They urged him to drink a bowl of tea. But he just went on sniffing and blinking away his tears, looking quite broken-hearted."
內中一個客人道：「周客人有甚心事？為甚到了這裏，這等大哭起來？卻是哭得利害。」金有餘道：「列位老客有所不知。我這舍舅，本來原不是生意人。因他苦讀了幾十年的書，秀才也不曾做得一個，今日看見貢院，就不覺傷心起來。」自因這一句話道著周進的真心事，於是不顧眾人，又放聲大哭起來。,"「What's your trouble, Mr. Zhou?」 asked one of them. 「What made you cry so bitterly in there?」「I don't think you realize, gentlemen,」 said Qin, 「that my brother-in-law is not really a merchant. He has studied hard for scores of years, but never even passed the prefectural examination. That's why the sight of the provincial examination school today upset him.」Touched on the raw like this, Zhou Jin let himself go and sobbed even more noisily."
又一個客人道：「論這事，只該怪我們金老客。周相父既是斯文人，為甚麼帶他出來做這樣的事？」金有餘道：「也只為赤貧之士，又無館做，沒奈何上了這一條路。」又一個客人道：「看令舅這個光景，畢竟胸中才學是好的；因沒有人識得他，所以受屈到此田地。」金有餘道：「他才學是有的，怎奈時運不濟！」那客人道：「監生也可以進場。周相公既有才學，何不捐他一個監進場？中了，也不枉了今日這一番心事。」金有餘道：「我也是這般想。只是那裏有這一注銀子？」,"「It seems to me you're the one to blame, Old Qin,」 said another merchant. 「If Mr. Zhou is a scholar, why did you bring him on such business?」「Because he was so hard up,」 said Qin. 「He had lost his job as a teacher; there was no other way out for him.」「Judging by your brother-in-law's appearance,」 said another, 「he must be a very learned man. It's because nobody recognizes his worth that he feels so wronged.」「He's learned all right,」 said Jin, 「but he's been unlucky.」「Anybody who buys the rank of scholar of the Imperial College can go in for the examination,」 said the man who had just spoken. 「Since Mr. Zhou is so learned, why not buy him a rank so that he can take the examination? If he passes, that will make up for his unhappiness today.」「I agree with you,」 rejoined Jin. 「But where's the money to come from?」"
此時周進哭的住了。那客人道：「這也不難。現放著我這幾個兄弟在此，每人拿出幾十兩銀子借與周相公納監進場。若中了做官，那在我們這幾兩銀子。就是周相公不還，我們走江湖的人，那裏不破掉了幾兩銀子！何況這是好事。你眾位意下如何？」眾人一齊道：「『君子成人之美。』又道：『見義不為，是為無勇。』俺們有甚麼不肯？只不知周相公可肯俯就？」周進道：「若得如此，便是重生父母，我周進變驢變馬，也要報效！」爬到地下，就磕了幾個頭。眾人還下禮去。金有餘也稱謝了眾人。又喫了幾碗茶，周進再不哭了，同眾人說說笑笑，回到行裏。,"By now Zhou Jin had stopped crying.「That's not difficult,」 said the same merchant. 「We're all friends here. Let's raise some money between us and lend it to Mr. Zhou, so that he can go in for the examination. If he passes and becomes an official, a few taels of silver will mean nothing to him — he can easily repay us. Even if he doesn't pay us back, we merchants always fritter away a few taels one way or another, and this is in a good cause. What do you all say?」The others responded heartily:「A friend in need is a friend indeed!」「A man who knows what is the right thing to do, but doesn't do it, is a coward!」「Of course we'll help. We only wonder if Mr. Zhou will condescend to accept.」「If you do this,」 cried Zhou Jin, 「I shall look on you as my foster-parents. Even if I become a mule or a horse in my next life, 1 I shall repay your kindness.」 Then he knelt down and kowtowed to them all, and they bowed to him in return. Qin thanked them too. They drank a few more bowls of tea, and Zhou Jin no longer cried, but talked and laughed with the others until it was time to return to the guild."
次日，四位客人果然備了二百兩銀子，交與金有餘。一切多的使費，都是金有餘包辦。周進又謝了眾人和金有餘。行主人替周進備一席酒，請了眾位。金有餘將著銀子，上了藩庫，討出庫收來。正直宗師來省錄遺，周進就錄了個貢監首卷。到了八月初八日進頭場，見了自己哭的所在，不覺喜出望外。自古道：「人逢喜事精神爽」，那七篇文字，做的花團錦簇一般。出了場，仍舊住在行裏。金有餘同那幾個客人還不曾買完了貨。直到放榜那日，巍然中了。眾人各各歡喜。,"The next day, sure enough, the four merchants raised two hundred taels of silver between them. This they gave to Jin, who promised to be responsible for any expenses over and above that sum. Zhou Jin thanked them again; and the guild head prepared a feast for the merchants on Zhou Jin's behalf. Meantime Jin had taken the silver to the provincial treasury. As luck would have it, it was just the time for the preliminary test for the provincial examination. Zhou Jin took the test and came first of all the candidates from the Imperial College. On the eighth of the eighth month he went to the examination school for the provincial examination, and the sight of the place where he had cried made him unexpectedly happy. As the proverb says, 「Joy puts heart into a man.」 Thus he wrote seven excellent examination papers, then went back to the guild, for Jin and the others had not yet completed their purchases. When the results were published, Zhou Jin had passed with distinction, and all the merchants were delighted."
一齊回到汶上縣，拜縣父母、學師，典史。那晚生帖子上門來賀，汶上縣的人，不是親的也來認親，不相與的也來認相與。忙了個把月。申祥甫聽見這事，在薛家集斂了分子，買了四隻雞，五十個蛋和些炒米、歡團之類，親自上縣來賀喜。周進留他喫了酒飯去。荀老爹賀禮是不消說了。,"They went back together to Wenshang County, where Zhou Jin paid his respects to the magistrate and the local examiner, and officials sent in their cards and called to congratulate him. Local people who were no relations of his claimed relationship, and perfect strangers claimed acquaintanceship. This kept him busy for over a month. When Shen Xiang-fu heard the news, he got the villagers in Xue Market to contribute to buy four chickens, fifty eggs and some rice balls, then went to the county-seat to congratulate Zhou Jin, who kept him to a feast. Mr. Xun, it goes without saying, came to pay his respects too."
看看上京會試，盤費、衣服，都是金有餘替他設處。到京會試，又中了進士，殿在三甲，授了部屬。荏苒三年，陞了御史，欽點廣東學道。,Soon it was time to go to the examination in the capital. Zhou Jin's travelling expenses and clothes were provided by Jin. He passed the metropolitan examination too; and after the palace examination he was given an official post. In three years he rose to the rank of censor and was appointed commissioner of education for Guangdong Province.
這周學道雖也請了幾個看文章的相公，卻自心裏想道：「我在這裏面喫苦久了，如今自己當權，須要把卷子都要細細看過，不可聽著幕客，屈了真才。」主意定了，到廣州上了任。次日，行香掛牌。先考了兩場生員。,"Now though Zhou Jin engaged several secretaries, he thought, 「I had bad luck myself so long; now that I'm in office I mean to read all the papers carefully. I mustn't leave everything to my secretaries, and suppress real talent.」 Having come to this decision, he went to Guangzhou to take up his post. The day after his arrival he burnt incense, posted up placards, and held two examinations."
第三場是南海、番禺兩縣童生。周學道坐在堂上，見那些童生紛紛進來；也有小的，也有老的，儀表端正的，獐頭鼠目的，衣冠齊楚的，藍縷破爛的。落後點進一個童生來，面黃肌瘦，花白鬍鬚，頭上戴一頂破氈帽。廣東雖是氣溫暖，這時已是十二月上旬，那童生還穿著麻布直裰，凍得乞乞縮縮，接了卷子，下去歸號。周學道看在心裏，封門進去。出來放頭牌的時節，坐在上面，只見那穿麻布的童生上來交卷，那衣服因是朽爛了，在號裏又扯破了幾塊。周學道看看自己身上，緋袍金帶，何等輝煌。因翻一翻點名冊，問那童生道：「你就是范進？」,"The third examination was for candidates from Nanhai and Panyu Counties. Commissioner Zhou sat in the hall and watched the candidates crowding in. There were young and old, handsome and homely, smart and shabby men among them. The last candidate to enter was thin and sallow, had a grizzled beard and was wearing an old felt hat. Guangdong has a warm climate; still, this was the twelfth month, and yet this candidate had on a linen gown only, so he was shivering with cold as he took his paper and went to his cell. Zhou Jin made a mental note of this before sealing up their doors. During the first interval, from his seat at the head of the hall he watched this candidate in the linen gown come up to hand in his paper. The man's clothes were so threadbare that a few more holes had appeared since he went into the cell. Commissioner Zhou looked at his own garments—his magnificent crimson robe and gilt belt—then he referred to the register of names, and asked, 「You are Fan Jin, aren't you?」"
