chinese,english
話說老太太見這些傢伙什物都是自己的，不覺歡喜，痰迷心竅，昏絕於地。家人、媳婦和丫鬟、娘子都慌了，快請老爺進來。范舉人三步作一步走來看時，連叫母親不應，忙將老太太抬放床上，請了醫生來。醫生說：「老太太這病是中了臟，不可治了。」連請了幾個醫生，都是如此說，范舉人越發慌了。夫妻兩個，守著哭泣，一面製備後事。挨到黃昏時分，老太太淹淹一息，歸天去了，。合家忙了一夜。,"When Fan Jin's mother realized that everything in the house was hers, overcome with joy she fell senseless to the ground. The maids and her daughter-in-law, thrown into confusion, hastily summoned their master. Fan Jin hurried in, calling his mother, but she did not answer. At once he had her laid on the bed and sent for a doctor.「The old lady's vital organs have been affected,」 said the doctor. 「She is beyond saving.」Fan Jin called in several more physicians, but their diagnosis was the same, and he was in despair. As he and his wife watched by the bedside, weeping, he gave orders for the funeral; and when evening came the old lady breathed her last, so that the whole household was in a ferment all night."
次日，請將陰陽徐先生來寫了七單，老太太是犯三七，到期該請僧人追薦。大門上掛了白布球；新貼的廳聯都用白紙糊了。合城紳衿都來弔唁。請了同案的魏好古，穿著衣巾，在前廳陪客，胡老爹上不得臺盤，只好在廚房裏，或女兒房裏，幫著量白布、秤肉，亂竄。,"The next day they called in a diviner, and found that the seventh was the old lady's unlucky number. On the third seventh day (the twenty-first), therefore, they must invite monks to say masses. Balls of white cloth were hung over the front gate, and the new scrolls in the halls were pasted over with white paper. All the local gentry came to offer their condolences, and Fan Jin asked his fellow candidate Wei Hao-ku, in scholar's dress, to receive guests in the front hall. Butcher Hu was not up to appearing in public, but he bustled about between the kitchen and his daughter's room, helping to measure the white cloth or weigh meat."
到得二七過了，范舉人念舊，拿了幾兩銀子，交與胡屠戶，託他仍舊到集上庵裏請平日相與的和尚做攬頭，請大寺八眾僧人來念經，拜「梁皇懺」，放焰口，追薦老太太生天。屠戶拿著銀子，一直走到集上庵裏滕和尚家。恰好大寺裏僧官慧敏也在那裏坐著。僧官因有田在左近，所以常在這庵裏起坐。滕和尚請屠戶坐下，言及：「前日新中的范老爺得病在小庵裏，那日貧僧不在家，不曾候得；多虧門口賣藥的陳先生燒了些茶水，替我做個主人。」胡屠戶道：「正是，我也多謝他的膏藥。今日不在這裏？」滕和尚道：「今日不曾來。」又問道：「范老爺那病隨即就好了，卻不想又有老太太這一變。胡老爹這幾十天想總是在那裏忙？不見來集上做生意。」,"When the second seventh day had passed, Fan Jin gave his father-in-law a few taels of silver and told him to go to the temple in the market to ask a monk there whom he knew to invite other monks from the big monastery to recite the Buddhist scriptures, chant intercessions and say masses so that Mrs. Fan's soul might go to heaven.Butcher Hu took the silver and went straight to the temple in the market where Monk Teng lived. There he found Abbot Huei Min from the monastery, too; for the abbot, who owned land nearby, often dropped in at the temple.Monk Teng invited Butcher Hu to sit down, and said, 「Mr. Fan was taken ill in front of my temple just after he passed the examination, but I was out that day and could not do anything for him. Luckily Mr. Chen the apothecary was on hand. He made some tea for him and acted as host in my place.」「That's right,」 said the butcher. 「I also had some of his ointment, and was very grateful for it too. He's not here today, is he?」「He hasn't come today,」 said the monk. 「Mr. Fan soon got over his disorder; but the old lady's seizure was very unexpected. You must have been busy at home recently, Mr. Hu. We haven't seen you doing any business in the market.」"
胡屠戶道：「可不是麼？自從親家母不幸去世，合城鄉紳，那一個不到他家來？就是我主顧張老爺、周老爺，在那裏司賓，大長日子，坐著無聊，只拉著我說閒話，陪著喫酒喫飯；見了客來，又要打躬作揖，累個不了。我是個閑散慣了的人，不耐煩作這些事！欲待躲著些──難道是怕小婿怪！惹紳衿老爺們看喬了，說道：『要至親做甚麼呢？』」說罷，又如此這般把請僧人做齋的話說了。和尚聽了，屁滾尿流，慌忙燒茶，下麵；就在胡老爹面前轉託僧官去約僧眾，並備香、燭、紙馬、寫法等事。胡屠戶喫過麵去。,"「Yes. Since the sad death of Mr. Fan's mother, all the local gentry have called; and my former customers, the honourable Mr. Zhang and Mr. Zhou, have been in charge of the ceremonies. They sit there the whole day long with nothing to do, just making conversation with me, the three of us eating and drinking together. Whenever a guest comes, I have to bow and greet him — I'm sick and tired of it all. I'm an easygoing man, and I've no patience with all that. I'd like to keep out of the way. My son-in-law wouldn't mind, but those gentlemen would probably think it strange. 'What use is a relative like this?' they might say.」Then he told the monk that Mr. Fan wanted to invite him to say masses. The moment the monk heard this, he was beside himself with excitement and bustled officiously off to make tea and prepare noodles for Butcher Hu. And then, in the butcher's presence, he asked the abbot to notify the other monks and to prepare incense, candles, paper horses and all that was necessary. Butcher Hu finished his noodles and left."
僧官接了銀子，纔待進城，走不到一里多路，只聽得後邊一個人叫道：「慧老爺，為甚麼這些時不到莊上來走走？」僧官忙回過頭來看時，是佃戶何美之。何美之道：「你老人家這些時這等財忙！因甚事總不來走走？」僧官道：「不是，我也要來，只因城裏張大房裏想我屋後那一塊田，又不肯出價錢，我幾次回斷了他。若到莊上來，他家那佃戶又走過來嘴嘴舌舌，纏個不清。我在寺裏，他有人來尋我，只回他出門去了。」何美之道：「這也不妨。想不想由他，肯不肯由你。今日無事，且到莊上去坐坐。況且老爺前日煮過的那半隻火腿，吊在灶上，已經走油了；做的酒，也熟了；不如消繳了他罷。今日就在莊上歇了去，怕怎的？」和尚被他說的口裏流涎，那腳由不得自己，跟著他走到莊上。何美之叫渾家煮了一隻母雞，把火腿切了，酒舀出來盪著。和尚走熱了，坐在天井內，把衣服脫了一件，敞著懷，腆著個肚子，走出黑津津一頭一臉的肥油。,"The abbot took the silver and set off for the city. Before he had gone half a mile, however, he heard someone calling: 「Abbot Huei Min! Why don't you come to our village?」 Turning his head, he saw that it was his tenant farmer, He Mei-zhi.「You seem to be very busy nowadays,」 said He. 「Why don't you ever drop in to see us?」「I would like to come,」 said the abbot. 「But Mr. Zhang in the city wants that field behind my house, and won't pay a fair price for it. I have had to refuse him several times. If I go to your village, his tenants there will start making no end of trouble, while if he sends men to the monastery to look for me, I can simply say that I am out.」「Never mind that,」 said He. 「He may want the land, but he can't force you to sell. You're not busy today. Come to the village for a chat. That half leg of ham we cooked the other day is hanging in the kitchen waiting to be eaten, and the wine we brewed is ready too. We might as well finish them up. You can sleep in the village tonight. What are you afraid of?」The abbot's mouth watered at these words, and his legs carried him along of their own volition. When they reached the village, Ho told his wife to cook a chicken, slice the ham and heat the wine. The abbot was warm after his walk, and sitting down in the yard pulled open his clothes to cool his chest and belly. His greasy face was glistening."
須臾，整理停當，何美之捧出盤子，渾家拎著酒，放在桌子上擺下。和尚上坐，渾家下陪，何美之打橫，把酒來斟。喫著，說起三五日內要往范府替老太太做齋。何美之渾家說道：「范家老奶奶，我們自小看見他的，是個和氣不過的老人家；只有他媳婦兒，是莊南頭胡屠戶的女兒，一雙紅鑲邊的眼睛，一窩子黃頭髮。那日在這裏住，鞋也沒有一雙，夏天靸著個蒲窩子，歪腿爛腳的。而今弄兩件『尸皮子』穿起來，聽見說做了夫人，好不體面。你說那裏看人去！」,"Soon the food was ready. He Mei-zhi carried out the dishes and his wife the wine. The abbot sat at the head of the table, Mrs. He at the foot and He at the side to pour out wine. As they ate, the abbot told them how in a few days' time he was going to Mr. Fan's house to say masses for the old lady's soul.「I knew Mr. Fan's mother when I was a child,」 said Mrs. He. 「She was an old dear. But his wife—the daughter of Butcher Hu of the south end of this village—with her dingy hair and red-rimmed eyes was a regular slattern. She never wore proper shoes, just shuffled about in straw sandals all summer. Yet now she will wear furs and be a fine lady. Fancy that!」"
正喫得興頭，聽得外面敲門甚兇，何美之道：「是誰？」和尚道：「美之，你去看一看。」何美之纔開了門，七八個人一齊擁了進來。看見女人、和尚一桌子坐著，齊說道：「好快活，和尚、婦人，大青天白日調情！好僧官老爺！知法犯法！」何美之喝道：「休胡說！這是我田主人！」眾人一頓罵道：「田主人？連你婆子都有主兒了！」不由分說，拿條草繩，把和尚精赤條條，同婦人一繩綑了，將個槓子，穿心抬著，連何美之也帶了。來到南海縣前一個關帝廟前戲臺底下，和尚同婦人拴做一處。候知縣出堂報狀。眾人押著何美之出去，和尚悄悄叫他報與范府。,"They were enjoying their meal when they heard a violent knocking on the gate.「Who is it?」 called He Mei-zhi.「Go and have a look, Mei-zhi,」 said the abbot.But no sooner had He opened the gate when seven or eight men rushed in. At the sight of the woman and the abbot drinking together at one table, they shouted, 「Having a good time, aren't you? A monk carrying on with a woman in broad daylight! A fine abbot you are—knowing the law but breaking it.」「Stow that nonsense!」 cried He Mei-zhi. 「This is my landlord.」Then they all swore at him. 「Your landlord, eh? Does he have the run of your wife as well as your land?」Without listening to the others' protests, they took a hempen rope and tied up the abbot, half-naked as he was, with the woman. Then they haled them off, together with He Mei-zhi, to Nanhai County Court. There, the abbot and the woman, still tied together, were pushed up to a stage in front of a temple to wait for the magistrate, while Ho was thrown out. The abbot, however, had asked him in a whisper to go to Mr. Fan's house to report what had happened."
范舉人因母親做佛事，和尚被人拴了，忍耐不得，隨即拿帖子向知縣說了。知縣差班頭將和尚解放，女人著交美之領了家去；一班光棍帶著，明日早堂發落。眾人慌了，求張鄉紳帖子在知縣處說情，知縣准了，早堂帶進，罵了幾句，扯一個淡，趕了出去。和尚同眾人倒在衙門口用了幾十兩銀子。,"Because the abbot was to say masses for his mother, Fan Jin was impatient of any delay. He immediately wrote a letter to the magistrate, who sent a runner to release the abbot, let He Mei-zhi take his wife home, and order the men who had accused them to appear in court the next day. These men took fright, and asked Mr. Zhang to put in a word for them with the magistrate. Accordingly, the next morning when their case came up, the magistrate simply gave them a brief warning and drove them out. The upshot of the whole matter was that both the abbot and Mr. Zhang's tenants had to bribe the yamen officials with several dozen taels of silver."
僧官先去范府謝了，次日方帶領僧眾來鋪結壇場，掛佛像，兩邊十殿閻君。喫了開經麵，打動鐃鈸、叮噹，念了一卷經，擺上早齋來。八眾僧人，連司賓的魏相公，共九位，坐了兩席。纔喫著，長班報：「有客到！」魏相公丟了碗出去迎接進來，便是張、周兩位鄉紳，烏紗帽，淺色員領，粉底皂靴。魏相公陪著一直拱到靈前去了。,"The abbot went to Fan Jin's house to thank him, and the next day took all the other monks there. They prepared an altar, on it set an image of Buddha, and on each side ranged the Kings of Hell. After eating noodles they clashed cymbals and chanted a chapter of the sutra. Then they sat down to their midday meal. The monks and Wei Hao-ku, who was master of ceremonies, were sitting at two tables eating when a servant announced that guests had arrived. When Wei put down his bowl and went out to welcome them, he found that they were Mr. Zhang and Mr. Zhou, wearing gauze caps, light-coloured gowns and black shoes with white soles. Wei Hao-Gu took them to bow before the shrine, after which they went inside."
內中一個和尚向僧官道：「方纔進去的，就是張大房裏靜齋老爺。他和你是田鄰，你也該過去問訊一聲纔是。」僧官道：「也罷了！張家是甚麼有意思的人！想起我前日這一番是非，那裏是甚麼光棍？就是他的佃戶。商議定了，做鬼做神，來弄送我；不過要簸掉我幾兩銀子，好把屋後的那一塊田賣與他！使心用心，反害了自身！落後縣裏老爺要打他莊戶，一般也慌了，腆著臉，拿帖子去說，惹的縣主不喜歡！」又道：「他沒脊骨的事多哩！就像周三房裏，做過巢縣家的大姑娘，是他的外甥女兒。三房裏曾託我說媒，我替他講西鄉裏封大戶家，好不有錢。張家硬主張著許與方纔這窮不了的小魏相公，因他進個學，又說他會作個甚麼詩詞。前日替這裏作了一個薦亡的疏，我拿了給人看，說是倒別了三個字。像這都是作孽！眼見得二姑娘也要許人家了，又不知撮弄與個甚麼人！」說著，聽見靴底響，眾和尚擠擠眼，僧官就不言語了。兩位鄉紳出來，同和尚拱一拱手，魏相公送了出去。眾和尚喫完了齋，洗了臉和手，吹打拜懺，行香放燈，施食散花，跑五方，整整鬧了三晝夜，方纔散了。光陰彈指，七七之期已過，范舉人出門謝了孝。,"One of the monks said to the abbot, 「That was Mr. Zhang who went in just now. You and he own land next to each other, so you ought to have greeted him.」「Not I,」 said the abbot. 「It's better not to cross Mr. Zhang's path. My trouble the other day wasn't the work of any gang, but of his tenants. Mr. Zhang had put them up to it. It was all a plot to squeeze so much silver out of me that I'd have to sell the land behind my house. But Mr. Zhang, for all his tricks, only injured himself in the end; because when the magistrate wanted to beat his tenants, he lost his head and went, shamefaced, with his visiting card to beg them off. The magistrate was not at all pleased.」「Mr. Zhang has done many unprincipled things,」 the abbot went on. 「For instance, the daughter of Mr. Zhou, who used to be magistrate of Chao County, is Mr. Zhang's niece. The Zhou family asked me to arrange a match for her, and I spoke to the Feng family in the next village—a very wealthy family. But then Mr. Zhang insisted on giving the girl to this penniless young Mr. Wei, just because he had passed the prefectural examination and is supposed to be able to write poems. But a few days ago he wrote an intercession for the departed for Mr. Fan, and when I showed it to people they said he had written three characters wrongly; it was disgraceful. Soon the second daughter is to be married. Heaven knows what kind of husband they will get her.」Just then the monks, hearing footsteps, winked to the abbot to stop talking. The two gentlemen came out, nodded in farewell, and were seen out by Wei Hao-gu. Then the monks finished eating, washed their faces, and all together blew trumpets, clashed cymbals, bowed before Buddha, burnt incense, lit tapers, spread rice, scattered flowers and performed their other rites. They kept this up for three days and three nights. After that the forty-nine days of mourning passed very quickly, and Fan Jin came out to thank those who had taken part."
一日，張靜齋來候問，還有話說。范舉人叫請在靈前一個小書房裏坐下，穿著衰絰，出來相見，先謝了喪事裏諸凡相助的話。張靜齋道：「老伯母的大事，我們做子姪的理應效勞。想老伯母這樣大壽歸天，也罷了；只是誤了世先生此番會試。看來，想是祖塋安葬了？可曾定有日期？」范舉人道：「今年山向不利，只好來秋舉行。但費用尚在不敷。」張靜齋屈指一算：「銘旌是用周學臺的銜。墓志託魏朋友將就做一篇，卻是用誰的名？其餘殯儀、桌席、執事、吹打，以及雜用、飯食、破土、謝風水之類，須三百多銀子。」正算著，捧出飯來喫了。,"One day Mr. Zhang called, and asked to speak to Mr. Fan. He was invited into a small library in front of the shrine. Presently Mr. Fan came out in his mourning clothes, and began by thanking him for all his assistance during the mourning.「Closely connected as we are, it was my duty to attend to your mother's funeral,」 said Mr. Zhang. 「Since your mother had a long life, she must have gone happily to heaven. Only this has delayed you in taking the final examination. No doubt you will have her buried by your ancestral tombs. Have you fixed on a date?」「This year is not propitious,」 said Fan Jin. 「We shall have to wait for next autumn. But I haven't got enough money.」Mr. Zhang reckoned on his fingers. On the funeral banner they could use Commissioner Zhou's name. Wei Hao-Gu could write the epitaph—but whose name should they use for it? Then there would be the cost of the funeral. Feasts, musicians and all the rest, with the food, payment to the gravediggers and geomancer, would mount up to over three hundred taels of silver. While he was still counting, tea was served."
張靜齋又道：「三載居廬，自是正理；但世先生為安葬大事，也要到外邊設法使用，似乎不必拘拘。現今高發之後，並不曾到貴老師處一候。高要地方肥美，或可秋風一二。弟意也要去候敝世叔，何不相約同行？一路上車舟之費，弟自當措辦，不須世先生費心。」范舉人道：「極承老先生厚愛，只不知大禮上可行得？」張靜齋道：「禮有經，亦有權，想沒有甚麼行不得處。」范舉人又謝了。,"Presently Mr. Zhang brought the subject up again. 「Of course, the proper thing is to remain in retirement for three years,」 he said. 「But on account of the funeral expenses, I think you would be justified in trying to raise some money. There is no need to be too scrupulous. Since your great success, you have not yet been to see your honourable patron; and Gaoyao County is extremely rich—we may be able to borrow some money there. I want to visit him too, so why don't we go together? I'll be responsible for all the expenses on the road and see that you're not troubled with them.」「This is exceedingly kind of you,」 said Fan Jin. 「But I am not sure whether it is the correct procedure.」「The correct procedure varies according to circumstances,」 replied Mr. Zhang. 「I see no reason why you shouldn't go.」 Then Fan Jin thanked Mr. Zhang again."
