chinese,english
人生南北多歧路，將相神仙，也要凡人做。百代興亡朝復暮，江風吹倒前朝樹。功名富貴無憑據，費盡心情，總把流光誤。濁酒三杯沉醉去，水流花謝知何處。,"Men in their lives go on different ways;Generals, statesmen, saints and even immortalsBegin as ordinary people. Dynasties rise and fall,Mornings change to evenings; winds from the riverBring down old trees. From a former reign;And fame, riches, rank may vanish without a trace.Then aspire not for these, wasting your days;But drink and be merry, for who knowsWhere the waters carry the blossom cast over them?"
這一首詞，也是個老生常談。不過說人生富貴功名，是身外之物；但世人一見了功名，便捨著性命去求他，及至到手之後，味同嚼蠟。自古及今，那一個是看得破的！,"The idea expressed in this poem is the commonplace one that in human life riches, rank, success and fame are external things. Men will risk their lives in the search for them; yet once they have them within their grasp, the taste is no better than chewed tallow. But from ancient times till now, how many have accepted this?"
雖然如此說，元朝末年，也曾出了一個嶔崎磊落的人。這人姓王名冕，在諸暨縣鄉村裏住。七歲上死了父親，他母親做些針黹，供給他到村學堂裏去讀書。看看三個年頭，王冕已是十歲了。母親喚他到面前來說道：「兒啊，不是我有心要耽誤你。只因你父親亡後，我一個寡婦人家，只有出去的，沒有進來的；年歲不好，柴米又貴；這幾件舊衣服和些舊傢伙，當的當了，賣的賣了；只靠著我替人家做些針黹生活尋來的錢，如何供得你讀書。如今沒奈何，把你僱在間壁人家放牛，每月可以得他幾錢銀子，你又有現成飯喫，只在明日就要去了。」王冕道：「娘說的是。我在學堂裏坐著，心裏也悶；不如往他家放牛，倒快活些。假如我要讀書，依舊可以帶幾本去讀。」當夜商議定了。,"However, at the end of the Yuan Dynasty a really remarkable man was born. His name was Wang Mian, and he lived in a village in Zhuji County in Zhejiang. When he was seven his father died, but his mother took in sewing so that he could study at the village school. Soon three years had passed and Wang Mian was ten. His mother called him to her and said, 「Son, it's not that I want to stand in your way. But since your father died and left me a widow, I have had nothing coming in. Times are hard, and fuel and rice are expensive. Our old clothes and our few sticks of furniture have been pawned or sold. We have nothing to live on but what I make by my sewing. How can I pay for your schooling? There's nothing for it but to set you to work looking after our neighbour's buffalo. You'll be making a little money every month, and you'll get your meals there too. You start tomorrow.」「Yes, mother,」 said Wang Mian. 「I find sitting in school boring anyway. I'd rather look after buffaloes. If I want to study, I can take a few books along to read.」 So that very night the matter was decided."
第二日，母親同他到間壁秦老家。秦老留著他母子兩個喫了早飯，牽出一條水牛來交與王冕，指著門外道：「就在我這大門過去兩箭之地，便是七泖湖，湖邊一帶綠草，各家的牛都在那裏打睡。又有幾十夥合抱的垂楊樹，十分陰涼。牛要渴了，就在湖邊上飲水。小哥，你只在這一帶頑耍，不必遠去。我老漢每日兩餐小菜飯是不少的，每日早上，還折兩個錢與你買點心喫。只是百事勤謹些，休嫌怠慢。」他母親謝了擾要回家去，王冕送出門來。母親替他理理衣服，口裏說道：「你在此須要小心，休惹人說不是；早出晚歸，免我懸望。」王冕應諾，母親含著兩眼眼淚去了。,"The next morning his mother took him to the Qin family next door. Old Qin gave them some breakfast, and when they had finished he led out a water buffalo and made it over to Wang Mian.「Two bow shots from my gate is the lake,」 he said, pointing outside. 「And by the lake is a belt of green where all the buffaloes of the village browse. There are a few dozen big willows there too, so that it is quiet, shady and cool; and if the buffalo is thirsty it can drink at the water's edge. You can play there, son; but don't wander off. I shall see that you get rice and vegetables twice a day; and each morning I shall give you a few coppers to buy a snack to eat while you're out. Only you must work well. I hope you'll find this satisfactory.」Wang Mian's mother thanked Old Qin and turned to go home. Her son saw her to the gate, and there she straightened his clothes for him.「Mind now, don't give them any reason to find fault with you,」 she charged him. 「Go out early and come back at dusk. I don't want to have to worry about you.」Wang Mian nodded assent. Then, with tears in her eyes, she left him."
王冕自此只在秦家放牛，每到黃昏，回家跟著母親歇宿。或遇秦家煮些醃魚、臘肉給他喫，他便拿塊荷葉包了來家，遞與母親。每日點心錢，他也不買了喫，聚到一兩個月，便偷個空，走到村學堂裏，見那闖學堂的書客，就買幾本舊書，日逐把牛栓了，坐在柳蔭樹下看。,"From this time onwards, Wang Mian looked after Old Qin's buffalo; and every evening he went home to sleep. Whenever the Qin family gave him salted fish or meat, he would wrap it up in a lotus leaf and take it to his mother. He also saved the coppers he was given each day to buy a snack with, and every month or so would seize an opportunity to go to the village school to buy some old books from the book-vendor making his rounds. Every day, when he had tethered the buffalo, he would sit down beneath the willows and read."
彈指又過了三四年。王冕看書，心下也著實明白了。那日，正是黃梅時候，天氣煩躁。王冕放牛倦了，在綠草地上坐著。須臾，濃雲密布，一陣大雨過了。那黑雲邊上鑲著白雲，漸漸散去，透出一派日光來，照耀得滿湖通紅。湖邊上山，青一塊，紫一塊，綠一塊。樹枝上都像水洗過一番的，尤其綠得可愛。湖裏有十來枝荷花，苞子上清水滴滴，荷葉上水珠滾來滾去。王冕看了一回，心裏想道：「古人說：『人在畫圖中』，其實不錯。可惜我這裏沒有一個畫工，把這荷花畫他幾枝，也覺有趣。」又心裏想道：「天下那有個學不會的事，我何不自畫他幾枝。」,"So three or four years quickly passed. Wang Mian studied and began to see things clearly. One sultry day in early summer, tired after leading the buffalo to graze, he sat down on the grass. Suddenly dense clouds gathered, and there was a heavy shower of rain. Then the black storm clouds fringed with fleecy white drifted apart, and the sun shone through, bathing the whole lake in crimson light. The hills by the lake were blue, violet and emerald. The trees, freshly washed by the rain, were a lovelier green than ever. Crystal drops were dripping from a dozen lotus buds in the lake, while beads of water rolled about the leaves.As Wang Mian watched, he thought, 「The ancients said, 'In a beautiful scene a man feels he is part of a picture.' How true! What a pity there is no painter here to paint these sprays of lotus. That would be good.」 Then he reflected, 「There's nothing a man can't learn. Why shouldn't I paint them myself?」"
正存想間，只見遠遠的一個夯漢，挑了一擔食盒來，手裏提著一瓶酒，食盒上掛著一塊氈條，來到柳樹下，將氈鋪了，食盒打開。那邊走過三個人來，頭帶方巾，一個穿寶藍夾紗直裰，兩人穿元色直裰，都有四五十歲光景，手搖白紙扇，緩步而來。那穿寶藍直裰的是個胖子，來到樹下，尊那穿元色的一個鬍子坐在上面，那一個瘦子坐在對席；他想是主人了，坐在下面把酒來斟。,"Just then, he saw in the distance a fellow carrying two hampers over his shoulder and a bottle of wine in his hand. Hanging from one hamper was a rug. The man spread the rug under the willows, and opened the hampers. Behind him came three men in scholars' square caps, all some forty to fifty years old. Two were dressed in dark grey, and the third in a blue linen gown. Fanning themselves with white paper fans, they advanced slowly. The one in blue was fat. When he reached the willows he asked one of the men in grey, one with a long beard, to take the seat of honour, and another, a thin one, to sit on the rug opposite. He himself was evidently the host, for he sat in the lowest place and poured the wine. They began eating."
喫了一回，那胖子開口道：「危老先生回來了。新買了住宅，比京裏鐘樓街的房子還大些，值得二千兩銀子。因老先生要買，房主人讓了幾十兩銀賣了，圖個名望體面。前月初十搬家，太尊、縣父母都親自到門來賀，留著喫酒到二三更天。街上的人，那一個不敬。」那瘦子道：「縣尊是壬午舉人，乃危老先生門生，這是該來賀的。」那胖子道：「敝親家也是危老先生門生，而今在河南做知縣。前日小婿來家，帶二斤乾鹿肉來見惠，這一盤就是了。這一回小婿再去，託敝親家寫一封字來，去晉謁晉謁危老先生；他若肯下鄉回拜，也免得這些鄉戶人家，放了驢和豬在你我田裏喫糧食。」那瘦子道：「危老先生要算一個學者了。」那鬍子說道：「聽見前日出京時，皇上親自送出城外，攜著手走了十幾步，危老先生再三打躬辭了，方纔上轎回去。看這光景，莫不是就要做官？」三人你一句，我一句，說個不了。,"After a while, the fat man said, 「Mr. Wei has come back. His new house is even bigger than the one in Bell Tower Street in the capital. The price was two thousand taels of silver, but, because the purchaser was so distinguished, the owner allowed him several dozen taels discount for the sake of the credit he would get from this transaction. On the tenth of last month Mr. Wei moved in. The prefect and the county magistrate called to congratulate him, and stayed there feasting until nearly midnight. There is nobody who does not respect him.」「The magistrate used to be Mr. Wei's pupil,」 said the thin man. 「It was only right for him to pay his respects.」「My son-in-law's father is an old pupil of Mr. Wei's, too,」 said the fat man. 「He has a post as magistrate now in Henan Province. The day before yesterday my son-in-law came to visit me, bringing two catties of dried venison—that's it on this dish. When he goes back, he's going to ask his father to write a letter of introduction so that I can call on Mr. Wei. Then, if Mr. Wei condescends to come to the village to return the visit, the villagers won't dare to turn their donkeys and pigs loose to eat the grain in our fields any more.」「Mr. Wei is a real scholar,」 said the thin man.「Recently, when he left the capital,」 said the man with the beard, 「I heard the emperor himself escorted him out of the city, taking his hand and walking nearly twenty steps with him. It was only after Mr. Wei had repeatedly bowed and entreated him to go no further that the emperor got into his sedan-chair and returned to the city. Judging by this, Mr. Wei will probably soon become a great official.」The three men talked on and on."
王冕見天色晚了，牽了牛回去。自此，聚的錢不買書了，託人向城裏買些胭脂鉛粉之類，學畫荷花。初時畫得不好，畫到三個月之後，那荷花，精神、顏色無一不像，只多著一張紙，就像是湖裏長的；又像纔從湖裏摘下來，貼在紙上的。鄉間人見畫得好，也有拿錢來買的。王冕得了錢，買些好東好西，孝敬母親。一傳兩，兩傳三，諸暨一縣都曉得是一個畫沒骨花卉的名筆，爭著來買。到了十七八歲，不在秦家了，每日畫幾筆畫，讀古人的詩文，漸漸不愁衣食，母親心裏歡喜。,"Wang Mian saw that it was growing late, and led the buffalo back. After that, Wang Mian no longer spent his savings on books, but asked someone to buy paints for him in the city, and learnt to paint lotus flowers. At first he did not do too well, but after three months he succeeded in capturing the very essence and shades of colour of the lotus. Though he painted on paper, his flowers seemed to be growing in the water, or as if freshly plucked from the lake and placed on a scroll. When the villagers saw how well he painted, some even bought his pictures. And when Wang Mian had money he bought good things for his mother. One person told another, until the whole of Zhuji County knew that he was a famous flower painter, and people vied with each other in their eagerness to buy. By the time he was eighteen he had stopped working for Old Qin, and spent every day doing some painting or reading old poems and essays. By degrees he no longer had to worry about his livelihood, and his mother was happy."
這王冕天性聰明，年紀不滿二十歲，就把那天文、地理，經史上的大學問，無一不貫通。但他性情不同：既不求官爵，又不交納朋友，終日閉戶讀書。又在楚辭圖上看見畫的屈原衣冠，他便自造一頂極高的帽子，一件極闊的衣服。遇著花明柳媚的時節，把一乘牛車載了母親，他便戴了高帽，穿了闊衣，執著鞭子，口裏唱著歌曲，在鄉村鎮上，以及湖邊，到處頑耍，惹的鄉下孩子們三五成群跟著他笑，他也不放在意下。只有隔壁秦老，雖然務農，卻是個有意思的人；因自小看見他長大，如此不俗，所以敬他，愛他，時時和他親熱，邀在草堂裏坐著說話兒。,"Wang Mian had genius. While still in his teens, he mastered the whole field of astronomy, geography, the classics and history. He was, however, eccentric. He did not look for an official post, and did not even have any friends. All day he studied behind closed doors; and when he saw in an edition of the poems of Chu Yuan a picture of the poet's costume, he made himself a very high hat and a loose flowing gown. In the fresh and flowering spring he would take his mother out in a buffalo cart, and, dressed in his high hat and loose gown, flourishing the whip and singing songs, would drive all over the countryside and around the lake. Small groups of village children would tag after him, laughing; but he did not mind them. Only his neighbour, Old Qin, realized how remarkable he was; for Old Qin was an intelligent man, though a peasant, and he had seen Wang Mian grow up. He respected and loved Wang Mian, and often asked him to his thatched cottage to talk with him."
