chinese,english
天尊地卑，乾坤定矣。卑高以陳，貴賤位矣。動靜有常，剛柔斷矣。方以類聚，物以群分，吉凶生矣。在天成象，在地成形，變化見矣。,"Heaven is lofty and honourable; earth is low. (Their symbols), Qian and Kun, (with their respective meanings), were determined (in accordance with this). Things low and high appear displayed in a similar relation. The (upper and lower trigrams, and the relative position of individual lines, as) noble and mean, had their places assigned accordingly. Movement and rest are the regular qualities (of their respective subjects). Hence comes the definite distinction (of the several lines) as the strong and the weak. (Affairs) are arranged together according to their tendencies, and things are divided according to their classes. Hence were produced (the interpretations in the Yi, concerning) what is good [or lucky] and evil [or unlucky]. In the heavens there are the (different) figures there completed, and on the earth there are the (different) bodies there formed. (Corresponding to them) were the changes and transformations exhibited (in the Yi)."
是故，剛柔相摩，八卦相盪。鼓之以雷霆，潤之以風雨，日月運行，一寒一暑，乾道成男，坤道成女。乾知大始，坤作成物。乾以易知，坤以簡能。,"After this fashion a strong and a weak line were manipulated together (till there were the eight trigrams), and those eight trigrams were added, each to itself and to all the others, (till the sixty-four hexagrams were formed). We have the exciting forces of thunder and lightning; the fertilising influences of wind and rain; and the revolutions of the sun and moon, which give rise to cold and warmth. The attributes expressed by Qian constitute the male; those expressed by Kun constitute the female. Qian (symbolises Heaven, which) directs the great beginnings of things; Kun (symbolises Earth, which) gives to them their completion. It is by the ease with which it proceeds that Qian directs (as it does), and by its unhesitating response that Kun exhibits such ability."
易則易知，簡則易從。易知則有親，易從則有功。有親則可久，有功則可大。可久則賢人之德，可大則賢人之業。易簡，而天下之理得矣；天下之理得，而成位乎其中矣。,"(He who attains to this) ease (of Heaven) will be easily understood, and (he who attains to this) freedom from laborious effort (of the Earth) will be easily followed. He who is easily understood will have adherents, and he who is easily followed will achieve success. He who has adherents can continue long, and he who achieves success can become great. To be able to continue long shows the virtue of the wise and able man; to be able to become great is the heritage he will acquire. With the attainment of such ease and such freedom from laborious effort, the mastery is got of all principles under the sky. With the attainment of that mastery, (the sage) makes good his position in the middle (between heaven and earth)."
聖人設卦觀象，繫辭焉而明吉凶，剛柔相推而生變化。,"The sages set forth the diagrams, inspected the emblems contained in them, and appended their explanations; - in this way the good fortune and bad (indicated by them) were made clear. The strong and the weak (lines) displace each other, and produce the changes and transformations (in the figures)."
是故，吉凶者，失得之象也。悔吝者，懮虞之象也。變化者，進退之象也。剛柔者，晝夜之象也。六爻之動，三極之道也。是故，君子所居而安者，易之序也。所樂而玩者，爻之辭也。,"Therefore the good fortune and evil (mentioned in the explanations) are the indications of the right and wrong (in men's conduct of affairs), and the repentance and regret (similarly mentioned) are the indications of their sorrow and anxiety. The changes and transformations (of the lines) are the emblems of the advance and retrogression (of the vital force in nature). Thus what we call the strong and the weak (lines) become the emblems of day and night. The movements which take place in the six places (of the hexagram) show the course of the three extremes (i. e. of the three Powers in their perfect operation). Therefore what the superior man rests in, in whatever position he is placed, is the order shown in the Yi; and the study which gives him the greatest pleasure is that of the explanations of the several lines."
是故，君子居則觀其象，而玩其辭；動則觀其變，而玩其占。是以自天祐之，吉无不利。,"Therefore the superior man, when living quietly, contemplates the emblems and studies the explanations of them; when initiating any movement, he contemplates the changes (that are made in divining), and studies the prognostications from them. Thus 'is help extended to him from Heaven; there will be good fortune, and advantage in every movement.'"
彖者，言乎象者也。爻者，言乎變者也。吉凶者，言乎其失得也。悔吝者，言乎其小疵也。无咎者，善補過也。,"The Tuan speak of the emblematic figures (of the complete diagrams). The Yao speak of the changes (taking place: in the several lines). The expressions about good fortune or bad are used with reference to (the figures and lines, as) being right or wrong (according to the conditions of time and place); those about repentance or regret refer to small faults (in the satisfying those conditions); when it is said 'there will be no error,' or 'no blame,' there is reference to (the subject) repairing an error by what is good."
是故，列貴賤者存乎位。齊小大者，存乎卦。辯吉凶者，存乎辭。懮悔吝者，存乎介。震无咎者，存乎悔。是故，卦有小大，辭有險易。辭也者，各指其所之。,"Therefore the distinction of (the upper and lower trigrams and of the individual lines) as noble or mean is decided by the (relative) position (of the lines); the regulations of small and great are found in the diagrams, and the discriminations of good and bad fortune appear in the (subjoined) explanations. Anxiety against (having occasion for) repentance or regret should be felt at the: boundary line (between good and evil). The stirring up the thought of (securing that there shall be) no blame arises from (the feeling of) repentance. Thus of the diagrams some are small, and some are great; and of the explanations some are startling, and some are unexciting. Every one of those explanations has reference to the tendencies (indicated by the symbols)."
易與天地準，故能彌綸天地之道。仰以觀於天文，俯以察於地理，是故知幽明之故。原始反終，故知死生之說。精氣為物，遊魂為變，是故知鬼神之情狀。與天地相似，故不違。知周乎萬物，而道濟天下，故不過。旁行而不流，樂天知命，故不懮。安土敦乎仁，故能愛。範圍天地之化而不過，曲成萬物而不遺，通乎晝夜之道而知，故神无方而易无體。,"The Yi was made on a principle of accordance with heaven and earth, and shows us therefore, without rent or confusion, the course (of things) in heaven and earth. (The sage), in accordance with (the Yi), looking up, contemplates the brilliant phenomena of the heavens, and, looking down, examines the definite arrangements of the earth; - thus he knows the causes of darkness (or, what is obscure) and light (or, what is bright). He traces things to their beginning, and follows them to their end; - thus he knows what can be said about death and life. (He perceives how the union of) essence and breath form things, and the (disappearance or) wandering away of the soul produces the change (of their constitution); - thus he knows the characteristics of the anima and animus. There is a similarity between him and heaven and earth, and hence there is no contrariety in him to them. His knowledge embraces all things, and his course is (intended to be) helpful to all under the sky; - and hence he falls into no error. He acts according to the exigency of circumstances without being carried away by their current; he rejoices in Heaven and knows its ordinations; - and hence he has no anxieties. He rests in his own (present) position, and cherishes (the spirit of) generous benevolence; - and hence he can love (without reserve). (Through the Yi), he comprehends as in a mould or enclosure the transformations of heaven and earth without any error; by an ever-varying adaptation he completes (the nature of) all things without exception; he penetrates to a knowledge of the course of day and night (and all other connected phenomena); - it is thus that his operation is spirit-like, unconditioned by place, while the changes which he produces are not restricted to any form."
一陰一陽之謂道，繼之者善也，成之者性也。仁者見之謂之仁，知者見之謂之知。百姓日用而不知，故君子之道鮮矣。顯諸仁，藏諸用，鼓萬物而不與聖人同懮，盛德大業至矣哉。富有之謂大業，日新之謂盛德。生生之謂易，成象之謂乾，效法之為坤，極數知來之謂占，通變之謂事，陰陽不測之謂神。,"The successive movement of the inactive and active operations constitutes what is called the course (of things). That which ensues as the result (of their movement) is goodness; that which shows it in its completeness is the natures (of men and things).The benevolent see it and call it benevolence. The wise see it and call it wisdom. The common people, acting daily according to it, yet have no knowledge of it. Thus it is that the course (of things), as seen by the superior man, is seen by few. It is manifested in the benevolence (of its operations), and (then again) it conceals and stores up its resources. It gives their stimulus to all things, without having the same anxieties that possess the sage. Complete is its abundant virtue and the greatness of its stores! Its rich possessions is what is intended by 'the greatness of its stores;' the daily renovation which it produces is what is meant by 'the abundance of its virtue.' Production and reproduction is what is called (the process of) change. The formation of the semblances (shadowy forms of things) is what we attribute to Qian; the giving to them their specific forms is what we attribute to Kun. The exhaustive use of the numbers (that turn up in manipulating the stalks), and (thereby) knowing (the character of) coming events, is what we call prognosticating; the comprehension of the changes (indicated leads us to) what we call the business (to be done). That which is unfathomable in (the movement of) the inactive and active operations is (the presence of a) spiritual (power)."
