chinese,english
或問：「吾子少而好賦。」曰：「然。童子雕蟲篆刻。」俄而曰：「壯夫不為也。」或曰：「賦可以諷乎？」曰：「諷乎！諷則已，不已，吾恐不免於勸也。」或曰：「霧縠之組麗。」曰：「女工之蠹矣。」《劍客論》曰：「劍可以愛身。」曰：「狴犴使人多禮乎？」,"Someone asked: When my Master was young, were you good at fu? Yangzi said: Yes. As a youngster I practiced cutting bronze, seal, and tally scripts. After a moment he said: Adults do not do this.The other said: Can fu not be used for remonstration through satire?Yangzi said: Satire! Once it satirizes, then it should stop. When it does not end, I am afraid that it does not avoid becoming encouragement.The other said: Like the silken beauty of misty gauze?Yangzi said: It is the worm in women's work.The other said: The Swordsman's Treatise says: ""The sword can be used to protect the body."" Yangzi said: But can the skills of a swordsman make men more skilled in li?"
或問：「景差、唐勒、宋玉、枚乘之賦也，益乎？」曰：「必也淫。」「淫則奈何？」曰：「詩人之賦麗以則，辭人之賦麗以淫。如孔氏之門用賦也，則賈誼升堂，相如入室矣。如其不用何？」,"Someone asked: Were the fu of Jing Cha, Tang Le, Song Yu, and Mei Cheng not of value?Yangzi said: They were excessive by necessity.The other said: What do you mean by ""excessive?"" Yangzi said: The fu of those who wrote shi style verse achieved beauty by means of standards. The fu of those who wrote ci style verse achieved beauty by means of going to excess. If the Confucian school had used fu, Jia Yi [would have] ascended the hall and Sima Xiangru [would have] entered the inner chambers. How could they have, if not for having used [fu]!"
或問「蒼蠅紅、紫」。曰：「明視。」問「鄭衛之似」。曰：「聰聽。」或曰：「朱、曠不世，如之何？」曰：「亦精之而已矣。」,Someone asked about those who can reverse black and white and dazzle the eyes with unorthodox colors.Yangzi said: Look clearly.The other said: What if I hear music like that of Zheng and Wei?Yangzi said: Listen clearly.The other said: Li Zhu and Music Master Kuang are already dead. What can be done?Yangzi said: Single-mindedly concentrate on seeing and hearing and that's all.
或問：「交五聲、十二律也，或雅或鄭，何也？」曰：「中正則雅，多哇則鄭。」「請問本。」曰：「黃鐘以生之，中正以平之，確乎鄭、衛不能入也！」,"Someone asked: All music is based on the five tones and the twelve note scale, yet some music is ceremonial, and some is [like that of] Zheng and Wei. Why?Yangzi said: If it is proper and correct, then it is ceremonial. If it is excessive and unrestrained, then it is like that of Zheng and Wei.May I ask about the fundamentals of making music?Yangzi said: If the huangzhong is used as the root for producing the twelve note scale, and if one uses moderation and a correct attitude to make the notes of properly equal pitch, then one can insure that the music of Zheng and Wei will not be able to enter into and defile one's music."
或曰：「女有色，書亦有色乎？」曰：「有。女惡華丹之亂窈窕也，書惡淫辭之淈法度也。」,"Someone said: Women have beauty, but do books not also have beauty?Yangzi said: They do. With women, one hates cosmetics that ruin their beauty. With books, one hates excessive words that create chaos in laws and institutions."
或問：「屈原智乎？」曰：「如玉如瑩，爰變丹青。如其智！如其智！」,"Someone asked: Was Qu Yuan wise or not?Yangzi said: Like jade, like chiseled jade—transformed into reds and greens! But such was his wisdom, such was his wisdom!"
或問：「君子尚辭乎？」曰：「君子事之為尚。事勝辭則伉，辭勝事則賦，事、辭稱則經。足言足容，德之藻矣！」,"Someone asked: Does the junzi esteem words?Yangzi said: The junzi esteems reality. When the reality goes beyond the words, it is unrefined. When the words go beyond the reality, then it is exaggerated like fu. When the reality and the words are in balance, then it is a standard. Both words and comportment fully adequate, that is how to embellish de."
或問：「公孫龍詭辭數萬以為法，法與？」曰：「斷木為棋，捖革為鞠，亦皆有法焉。不合乎先王之法者，君子不法也。」,"Someone asked: Gongsun Long took his ten thousand clever words to be a model. Can they be used as a model?Yangzi said: Cutting wood to make chess pieces and scraping hides to make a ball, these kinds of activities all have a model. But as for those things that do not accord with the model of the former kings, the junzi does not take them as a model."
觀書者譬諸觀山及水，升東嶽而知眾山之邐迤也，況介丘乎？浮滄海而知江河之惡沱也，況枯澤乎？舍舟航而濟乎瀆者，末矣；舍五經而濟乎道者，末矣。棄常珍而嗜乎異饌者，惡睹其識味也？委大聖而好乎諸子者，惡睹其識道也？」,"Looking at the the Confucian Books is comparable to looking at mountains and water: Ascending Mt. Tai, one knows the small and winding landscape of the other mountains of the range, how much more that of the little hills. Floating on the blue-green ocean, one knows the muddiness of the rivers, how much more that of the dried up marshes. Throwing away the boat and yet crossing a great river, there has never been anyone who could do this]. Thowing away the Five Classics and yet reaching the Dao, there has never been anyone who could do this either! As for one who rejects the regular delicacies and is fond of strange dishes, how do you know that he can recognize tastes? As for one who abandons the great sage and loves the various philosophers, how do you know that he can recognize the Dao?"
山𡷨之蹊，不可勝由矣；向墻之戶，不可勝入矣。曰：「惡由入？」曰；「孔氏。孔氏者，戶也。」曰：「子戶乎？」曰：「戶哉！戶哉！吾獨有不戶者矣？」,A trail down a mountain ravine cannot be followed to the end; a door facing a wall cannot be entered.The other said: From where can one enter?Yangzi said: Confucius. Confucius is the door.The other said: Have you passed through Confucius's door? Yangzi said: The door! The door! How could I be the only one who has not entered through the door?
