chinese,english
或問「神」。曰：「心。」「請問之。」曰：「潛天而天，潛地而地。天地，神明而不測者也。心之潛也，猶將測之，況於人乎？況於事倫乎？」「敢問潛心於聖。」曰：「昔乎，仲尼潛心於文王矣，達之；顏淵亦潛心於仲尼矣，未達一間耳。神在所潛而已矣。」,"Someone asked about shen.Yangzi said: It is a matter of using the xin.May I ask about it?Yangzi said: Immerse yourself in Heaven, and you will understand Heaven. Immerse yourself in Earth, and you will understand Earth. Heaven and Earth are the unfathomable daimonic, but once the xin is immersed in them, then one may fathom them. How much more so with men? How much more so with the principles of worldly affairs?May I dare ask about immersing the xin in sagehood?Yangzi said: In the past, Confucius immersed himself in King Wen, and he reached him. Yan Yuan also immersed himself in Confucius, and failed to reach him only by a little bit. Shen simply lies in immersion and that's all."
天神天明，照知四方。天精天粹，萬物作類。,"Heaven's daimon, Heaven's clarity—Illuminate and understand the four corners of the world. Heaven's essence, Heaven's purity—The myriad things arise in all their types."
人心其神矣夫？操則存，舍則亡。能常操而存者，其惟聖人乎？,"Is man's xin not daimon-like? If you hold onto it, then it abides. If you let go of it, it is gone. One who is able constantly to hold onto it and allow it to abide, he alone is a sage!"
聖人存神索至，成天下之大順，致天下之大利，和同天人之際，使之無間也。,"The sage preserves shen and seeks out the ultimate, completes the world's great peace, brings about great prosperity for the world, and bridges the division between Tian and mankind, making them without separation."
龍蟠於泥，蚖其肆矣。蚖哉，蚖哉！惡睹龍之誌也與！或曰：「龍必欲飛天乎？」曰：「時飛則飛，時潛則潛，既飛且潛，食其不妄。形其不可得而制也與？」,"When the dragon curls up in the mud, the lizard runs wild. The lizard! The lizard!How can he understand the dragon's intention?The other said: The dragon inevitably wants to fly to Heaven, does he not?Yangzi said: When it's time to fly, then he flies. When it's time to hide, then he hides. Flying and hiding, he does not eat carelessly, and his form cannot be grasped and restrained."
曰：「聖人不制，則何為乎羑裏？」曰：「龍以不制為龍，聖人以不手為聖人。」,"The other said: If the sage cannot be restrained, then how was King Wen imprisoned at Youli?Yangzi said: The dragon is a dragon because he is not restrained. The sage is a sage because he does not grasp onto only one alternative."
或曰：「經可損益與？」曰：「《易》始八卦，而文王六十四，其益可知也。《詩》、《書》、《禮》、《春秋》，或因或作而成於仲尼，其益可知也。故夫道非天然，應時而造者，損益可知也。」,"Someone asked: Can the Classics be edited or added to?Yangzi said: The Yijing began with eight trigrams, and King Wen created the sixty-four hexagrams. What was added can be known. As for the Book of Songs, Book of Documents, Book of Rites, and the Spring and Autumn Annals, some were based on earlier versions, some were original works, but all were completed by Confucius. What was added can be known. Thus, the Dao is not Heaven-so; it is built of responses to the times. Its emendations and additions can be known."
或曰：「《易》損其一也，雖憃知闕焉。至《書》之不備過半矣，而習者不知，惜乎《書》序之不如《易》也。」曰：「彼數也，可數焉故也。如《書》序，雖孔子末如之何矣。」,"Someone said: When the Yijing is missing a single hexagram, even if you are stupid, you know it is missing something. But the Book of Documents does not provide over half the text, and even those who study it do not know what is missing. It's a pity that the preface to the Book of Documents is not as good as that of the Yijing.Yangzi said: The Yijing is for calculations. That is the reason the hexagrams can be counted. If the Yijing's preface were like the preface to the Book of Documents, even Confucius would not know what to do with it."
昔之說《書》者，序以百，而《酒誥》之篇俄空焉。今亡夫！,"Those in the past who transmitted the Book of Documents arranged it in one hundred chapters. And then suddenly the ""Admonition on Wine"" had parts missing. Now they are gone!"
虞、夏之書渾渾爾，《商書》灝灝爾，《周書》噩噩爾。下周者，其書譙乎！」,"The documents of Shun and the Xia are straightforward, the Documents of Shang is broad-minded, and the Documents of Zhou very serious. But as for those who came after the Zhou, their documents were vulgar."
