chinese,english
學，行之，上也；言之，次也；教人，又其次也。咸無焉，為眾人。,"As for learning, putting it into practice is best; putting it into words is second best; instructing others is next. To do none of these is to be a common person."
或曰：「人羨久生，將以學也，可謂好學已乎？」曰：「未之好也。學不羨。」,Someone said: Some people take up study because they covet a long life. Can this be called loving to learn?Yangzi said: This is not loving to learn. One who loves learning does not covet anything else.
天之道，不在仲尼乎？仲尼駕說者也，不在茲儒乎？如將復駕其說，則莫若使諸儒金口而木舌。,"Did Tian's dao not reside in Confucius? Confucius's cart having come unharnessed, does Tian's dao not lie with these ru of today? If they again harnessed up the cart, then nothing could be better than to make all ru to have metal mouths with wooden tongues."
或曰：「學無益也，如質何？」曰：「未之思矣。夫有刀者礲諸，有玉者錯諸，不礲不錯，焉攸用？礲而錯諸，質在其中矣。否則輟。」,"Someone said: Study has no benefits, what can it do for one's zhi? Yangzi said: You have not yet thought about it. If you have a knife, you sharpen it; if you have jade, you polish it. If you do not sharpen and polish them, how are they useful? Sharpening and polishing, their zhi lies in these; if this was not the case, then you might as well stop."
螟蛉之子，殖而逢，蜾蠃祝之曰：「類我，類我。」久則肖之矣！速哉，七十子之肖仲尼也。,"The dying moth larva encountered the wasp. The wasp snatched it away saying, ""Be like me, be like me."" After awhile, they were alike. How quickly the seventy disciples became like Confucius!"
學以治之，思以精之，朋友以磨之，名譽以崇之，不倦以終之，可謂好學也已矣。,"Studying in order to cultivate it, thinking in order to refine it, making friends in order to polish it, achieving fame in order to venerate it, being untiring in order to finish it: this can be referred to as loving to learn."
孔子習周公者也，顏淵習孔子者也。羿、逄蒙分其弓，良舍其策，般投其斧而習諸，孰曰非也？或曰：「此名也，彼名也，處一焉而已矣。」曰：「川有瀆，山有嶽，高而且大者，眾人所不能踰也。」,"Confucius studied the Duke of Zhou, and Yan Yuan studied Confucius. If Hou Yi and Pang Meng had broken their bows, Wang Liang given up the horsewhip, and Gong Shuban thrown away his axes, and if all had studied the Duke of Zhou, Confucius, and Yan Yuan, who could say they were wrong?Someone said: This kind of fame or that kind of fame, a person attains one kind and that's it.Yangzi said: Among streams there are great rivers; among mountains there are great peaks. The high and the great, these are what the common man cannot surpass."
或問：「世言鑄金，金可鑄與？」曰：「吾聞覿君子者，問鑄人，不問鑄金。」或曰：「人可鑄與？」曰：「孔子鑄顏淵矣。」或人踧爾曰：「旨哉！問鑄金，得鑄人。」,"Someone asked: The world speaks of forging gold. Can gold be forged?Yangzi said: I have heard that when one meets a junzi, one asks about ""forging"" men, not about forging gold. The other said: Can men be ""forged""?Yangzi said: Confucius forged Yan Yuan.The other, surprised, said: Excellent! I asked about forging gold and I learn about ""forging"" men."
學者，所以修性也。視、聽、言、貌、思，性所有也。學則正，否則邪。,"Study is the means by which one cultivates the xing. Looking, hearing, speaking, manner, and thought are aspects of the xing. If one studies, then it becomes rectified. Otherwise, it becomes deviant."
師哉！師哉！桐子之命也。務學不如務求師。師者，人之模範也。模不模，範不範，為不少矣。,"A teacher, a teacher! This is the command for a young boy. Devoting attention to study is not as good as devoting attention to finding a teacher. The teacher is a man's mold and pattern. Molds that do not mold and patterns that do not pattern are not rare."
