chinese,english
或問：「淵、騫之徒惡乎在？」曰：「寢。」或曰：「淵、騫曷不寢？」曰：「攀龍鱗，附鳳翼，巽以揚之，勃勃乎其不可及也。如其寢！如其寢！」,"Someone asked: Who are Yan Hui and Min Ziqian's followers?Yangzi said: They remain unknown.The other said: Why did Yan Hui and Min Ziqian not remain unknown?Yangzi said: It is like holding on to the dragon's scales or hanging on to the wings of the phoenix. They rose on the wind, soaring to heights that cannot be reached. How could they remain unknown! How could they remain unknown!"
七十子之於仲尼也，日聞所不聞，見所不見，文章亦不足為矣。,"When the seventy disciples were with Confucius, every day they heard things that they had never heard before and saw things that they had never seen. Indeed, there was not enough time to produce literary works."
君子絕德，小人絕力。或問「絕德」。曰：「舜以孝，禹以功，臯陶以謨，非絕德邪？」「力」。「秦悼武、烏獲、任鄙扛鼎抃牛，非絕力邪？」,"The junzi strives for incomparable de. The petty person strives for incomparable strength.Someone asked: What is incomparable de?Yangzi said: Shun's filial piety, Yu's labors, Gao Yao's planning—are these not examples of incomparable de?The other said: What about strength?Yangzi said: To lift cauldrons on one's shoulders or wrestle oxen like King Dao Wu of Qin, Wu Huo or Ren Bi—are these not examples of incomparable strength?"
或問「勇」。曰：「軻也。」曰：「何軻也？」曰：「軻也者，謂孟軻也。若荊軻，君子盜諸。」「請問孟軻之勇。」曰：「勇於義而果於德，不以貧富、貴賤、死生動其心，於勇也，其庶乎！」,"Someone asked about courage.Yangzi said: Ke had it.The other said: Which Ke?Yangzi said: The Ke I refer to is Meng Ke. As for Jing Ke, a junzi would consider him a bandit.May I ask about Meng Ke's courage?Yangzi said: He was courageous in yi and determined in de. Poverty and wealth, honor and lowliness, and life and death did not move his xin. In terms of courage, was he not almost perfect?"
魯仲連蕩而不制，藺相如制而不蕩。,Lu Zhonglian was unsettled and did not serve in office. Lin Xiangru served in office and was settled.
或問「鄒陽」。曰：「未信而分疑，慷辭免罿，幾矣哉！」,"Someone asked about Zou Yang.Yangzi said: He was not trusted and raised his share of suspicions, but he defended himself with an emotional plea and escaped the bird catcher's net. He was almost perfect!"
或問：「信陵、平原、孟嘗、春申益乎？」曰：「上失其政，奸臣竊國命，何其益乎？」,"Someone asked: Lords Xinling, Ping Yuan, Meng Chang, and Chun Shen were of benefit to their kingdoms, were they not? Yangzi said: When rulers lose control of the government and villainous ministers steal the kingdom's mandate, where is the benefit in this?"
樗里子之知也，使知國如葬，則吾以疾為蓍龜。,"As for Shuli Zi's knowledge of the future—If he had known the fate of his kingdom like that of his tomb, then I would take him to be my milfoil sticks and tortoise shells."
「周之順、赧以成周而西傾，秦之惠文、昭襄，以西山而東並，孰愈？」曰：「周也羊，秦也狼。」「然則狼愈歟？」曰：「羊狼一也。」,"From Cheng Zhou in the East King Shen Jing and King Nan of Zhou looked admiringly at the Qin in the west. From Xishan in the west, King Huiwen and King Zhao Xiang of Qin stood equal to the six kingdoms in the east. Which was better?Yangzi said: The Zhou were like sheep, the Qin were like wolves.The other said: This being so, is the wolf not better?Yangzi said: Sheep, wolves—they are the same."
或問：「蒙恬忠而被誅，忠奚可為也？」曰：「塹山堙谷，起臨洮，擊遼水，力不足而死有餘，忠不足相也。」,"Someone asked: Meng Tian was loyal to the Qin and yet he was executed. What good is loyalty?Yangzi said: In building the Great Wall, he dug trenches through the mountains and dammed up gorges, beginning from Lin Tao and reaching Liao Shui. His accomplishments were not sufficient and the number of corpses was excessive. His loyalty is not worth admiring."
或問：「呂不韋其智矣乎，以人易貨。」曰：「誰謂不韋智者與？以國易宗。不韋之盜，穿窬之雄乎？穿窬也者，吾見擔石矣，未見洛陽也。」,"Someone asked: What about Lü Buwei's wisdom? He traded in people to make his profits.Yangzi said: Who ever said Lü Buwei was wise? He traded in court politics to become ancestor to the short-lived Qin Dynasty. Was Lü Buwei's thievery not like that of a cunning burglar who breaks in through a hole in the wall? I've seen heists as big as three bushels, but never one as big as Luoyang!"
