chinese,english
子墨子怒耕柱子，耕柱子曰：「我毋俞於人乎？」子墨子曰：「我將上大行，駕驥與羊，子將誰敺？」耕柱子曰：「將敺驥也。」子墨子曰：「何故敺驥也？」耕柱子曰：「驥足以責。」子墨子1曰：「我亦以子為足以責。」,"Mozi was angry with Geng Zhuzi. Geng Zhuzi said: Am I not at all better than others?"" Mozi said: Suppose I am starting out for Tai Hang. And a horse and an ox are to pull my cart. Which of them would you urge? Geng Zhuzi said: ""I would urge the horse."" Mozi asked: Why urge the horse? Geng Zhuzi said: ""Because the horse is capable (of better speed)."" Mozi said: I also think you are capable (of better things).1. 墨子 : Inserted. 《墨子閒詁》據《太平御覽》增。"
巫馬子謂子墨子曰：「鬼神孰與聖人明智？」子墨子曰：「鬼神之明智於聖人，猶聰耳明目之與聾瞽也。昔者夏后開使蜚廉折金於山川，而陶鑄之於昆吾；是使翁難雉乙1卜於白若之龜，曰：『鼎成三足而方』，不炊而自烹，不舉而自臧，不遷而自行，以祭於昆吾之虛2，上鄉」！乙3又4言兆之由曰：『饗矣！逢逢白雲，一南一北，一西一東，九鼎既成，遷於三國。』夏后氏失之，殷人受之；殷人失之，周人受之。夏后、殷、周之相受也。數百歲矣。使聖人聚其良臣與其桀相而謀，豈能智數百歲之後哉！而鬼神智之。是故曰，鬼神之明智於聖人也，猶聰耳明目之與聾瞽也。」,"Wu Mazi questioned Mozi ""Which are wiser, the ghosts and spirits or the sages?"" Mozi said: The ghosts and spirits are wiser than the sages by as much as the sharp-eared and keen-sighted surpass the deaf and blind. In ancient times, Emperor Qi of Xia commissioned Fei Lian to dig minerals in mountains and rivers and cast tings at Kun Wu. He ordered Yi to kill the pheasant to invoke the tortoise of Boruo, saying: ""Let the dings, when completed, be four-legged. Let them be able to cook automatically, without fire, to hide themselves without being lifted, and to move themselves without being carried. So that they may be used for the sacrifice at Kun Wu. May our offering be accepted!"" Then the oracle was interpreted as saying: ""I have accepted the offering. Profuse are the white clouds: one to the south, one to the north, one to the west, one to the east. When the nine dings have been completed, they shall be given over to three empires. When the emperor of Xia loses them the man of Yin will possess them; when the man of Yin loses them the man of Zhou will possess them."" Now the transfer from the emperor of Xia to Yin and Zhou took many centuries. Even if the sage planned in counsel with his excellent ministers and superior assistants, could he foresee what would happen after many centuries? Yet the ghosts and spirits can. Therefore we say, the ghosts and spirits are wiser than the sages by as much as the sharp-eared and keen-sighted are than the deaf and blind.1. 雉乙 : Inserted.  孫詒讓《墨子閒詁》2. 虛 : Originally read: ""墟"". Corrected by 孫詒讓《墨子閒詁》3. 乙 : Inserted.  孫詒讓《墨子閒詁》4. 又 : Originally read: ""人"". Corrected by 孫詒讓《墨子閒詁》"
治徒娛、縣子碩問於子墨子曰：「為義孰為大務？」子墨子曰：「譬若築牆然，能築者築，能實壤者實壤，能欣者欣，然後牆成也。為義猶是也。能談辯者談辯，能說書者說書，能從事者從事，然後義事成也。」,"Zhi Tu Yu and Xian Zi Shuo asked Mozi: ""What is the greatest righteousness in conduct?"" Mozi said: It is like the building of a wall. Let those who can lay the bricks lay the bricks, let those who can fill in the mortar fill in the mortar, and let those who can carry up the material carry up the material. Then the wall can be completed. To do righteousness is just like this. Let those who can argue argue, let those who can expound the doctrines expound the doctrines, and let those who can administer, administer. Then righteousness is achieved."
巫馬子謂子墨子曰：「子兼愛天下，未云利也；我不愛天下，未云賊也。功皆未至，子何獨自是而非我哉？」子墨子曰：「今有燎者於此，一人奉水將灌之，一人摻火將益之，功皆未至，子何貴於二人？」巫馬子曰：「我是彼奉水者之意，而非夫摻火者之意。」子墨子1曰：「吾亦是吾意，而非子之意也。」,"Wu Mazi said to Mozi: ""Though you love universally the world cannot be said to be benefited; though I do not love (universally) the world cannot be said to be injured. Since neither of us has accomplished anything, what makes you then praise yourself and blame me?"" Mozi answered: Suppose a conflagration is on. One person is fetching water to extinguish it, and another is holding some fuel to reinforce it. Neither of them has yet accomplished anything, but which one do you value? Wu Mazi answered that he approved of the intention of the person who fetches water and disapproved of the intention of the person who holds fuel. Mozi said: (In the same manner) do I approve of my intention and disapprove of yours.1. 墨子 : Inserted.  孫詒讓《墨子閒詁》"
子墨子游荊耕柱子於楚，二三子過之，食之三升，客之不厚。二三子復於子墨子曰：「耕柱子處楚無益矣。二三子過之，食之三升，客之不厚。」子墨子曰：「未可智也。」毋幾何而遺十金於子墨子，曰：「後生不敢死，有十金於此，願夫子之用也。」子墨子曰：「果未可智也。」,"Mozi had recommended Geng Zhuzi to Chu. Some (other) pupils visited him. They were given only three sheng (of grain) each meal and were not generously entertained. The pupils returned and reported to Mozi, saying: ""Geng Zhuzi is not profited by serving Chu. When we visited him, we were given only three sheng each meal and were not generously entertained."" Mozi said: You cannot tell. Shortly after, (Geng Zhuzi) sent Mozi ten jin of silver, saying: ""Your junior disciple who dare not die sends herewith ten jin, which I hope you will use."" Mozi said: So, indeed, we cannot tell."
巫馬子謂子墨子曰：「子1之為義也，人不見而助2，鬼不見而富，而子為之，有狂疾！」子墨子曰：「今使子有二臣於此，其一人者見子從事，不見子則不從事；其一人者見子亦從事，不見子亦從事，子誰貴於此二人？」巫馬子曰：「我貴其見我亦從事，不見我亦從事者。」子墨子曰：「然則，是子亦貴有狂疾也。」,"Wu Mazi said to Mozi: ""For all the righteousness that you do, men do not help you and ghosts do not bless you. Yet you keep on doing it. You must be demented."" Mozi said: Suppose you have here two employees. One of them works when he sees you but will not work when he does not see you. The other one works whether he sees you or not. Which of the two would you value? Wu Mazi said that he would value him that worked whether he saw him or not. Mozi then said: Then you are valuing him who is demented.1. 曰：「子 : Inserted.  孫詒讓《墨子閒詁》2. 助 : Originally read: ""耶"". Corrected by 孫詒讓《墨子閒詁》"
子夏子徒問於子墨子曰：「君子有鬥乎？」子墨子曰：「君子無鬥。」子夏之徒曰：「狗豨猶有鬥，惡有士而無鬥矣？」子墨子曰：「傷矣哉！言則稱於湯文，行則譬於狗豨，傷矣哉！」,"A pupil of Zi Xia asked Mozi whether there could be any struggle among the superior men. Mozi said: The superior men do not struggle. The pupil of Zi Xia said: ""There is struggle even among the dogs and hogs, how can there be no struggle among men?"" Mozi said: What a shame! Tang and Wu are praised with words; but dogs and hogs are brought into comparison in conduct. What a shame!"
巫馬子謂子墨子曰：「舍今之人而譽先王，是譽槁骨也。譬若匠人然，智槁木也，而不智生木。」子墨子曰：「天下之所以生者，以先王之道教也。今譽先王，是譽天下之所以生也。可譽而不譽，非1仁也。」子墨子曰：「和氏之璧，隋侯之珠，三棘六異，此諸侯之所謂良寶也。可以富國家，眾人民，治刑政，安社稷乎？曰不可。所謂貴良寶者，為其可以利也。而和氏之璧、隋侯之珠、三棘六異不可以利人，是非天下之良寶也。今用義為政於國家，人民必眾，刑政必治，社稷必安。所為貴良寶者，可以利民也，而義可以利人，故曰，義天下之良寶也。」,"Wu Mazi criticized Mozi, saying. ""To leave contemporaries alone and to praise the early kings is to praise rotten bones. It is like the carpenter who knows only the decaying lumber but not the living tree."" Mozi: Now the world lives because of the instructions of the early kings. And to praise the early kings is to praise the source of life to the world. Not to praise what should be praised is not magnanimous. Mozi said: The jade of He, the pearl of Duke Sui, and the nine dings - these are what the feudal lords value as excellent treasures. Can they enrich the country, multiply the people, put the government in order, and place the state in safety? Of course they cannot. Excellent treasures are to be valued for their efficacy. Now since the jade of He, the pearl of Duke Sui, and the nine dings cannot benefit men, then they are not the excellent treasures in the world. On the other hand, if righteousness is employed in the government of the state the population will be increased, the government will be in order, and the state will be secure. The excellent treasures are to be valued for their efficacy. Now righteousness can benefit men. So then righteousness is the excellent treasure of the world.1. 非 : Inserted.  孫詒讓《墨子閒詁》"
葉公子高問政於仲尼曰：「善為政者若之何？」仲尼對曰：「善為政者，遠者近之，而舊者新之。」子墨子聞之曰：「葉公子高未得其問也，仲尼亦未得其所以對也。葉公子高豈不知善為政者之遠者近也，而舊者新是哉？問所以為之若之何也。不以人之所不智告人，以所智告之，故葉公子高未得其問也，仲尼亦未得其所以對也。」,"Lord Zi Gao of She asked Zhongni about government, saying: ""What is a good governor like?"" Zhongni answered him that the good governor will attract those who are distant and renew old friendships. Mozi heard of it and commented: Lord Zi Gao of She did not put the question right, neither did Zhongni give the right answer. For, did not Lord Zi Gao of She understand, to be a good governor is to attract the distant and to renew the old friendships? The question was really how to do this. The answer told only what the inquirer understands but did not tell what he does not understand. Therefore (I say), Lord Zi Gao of She did not put the question right, neither did Zhongni give the right answer."
子墨子謂魯陽文君曰：「大國之攻小國，譬猶童子之為馬也。童子之為馬，足用而勞。今大國之攻小國也，攻者農夫不得耕，婦人不得織，以守為事；攻人者，亦農夫不得耕，婦人不得織，以攻為事。故大國之攻小國也，譬猶童子之為馬也。」,"Mozi said to Prince Wen of Lu Yang: The large states attacking the small states is like the boys playing horse. When the boys play horse, they merely tire out their own feet. Now, when a large state attacks a small state the farmers of the attacked states cannot cultivate the fields and the women cannot weave. They have to go to the defence. And the farmers of the invading states cannot cultivate the fields and the women cannot weave either. They have to take part in the attack. Therefore (I say) the large states attacking the small states is like the boys playing horse."
