chinese,english
公孟子謂子墨子曰：「君子共己以待，問焉則言，不問焉則止。譬若鍾然，扣則鳴，不扣則不鳴。」子墨子曰：「是言有三物焉，子乃今知其一身也，又未知其所謂也。若大人行淫暴於國家，進而諫，則謂之不遜，因左右而獻諫，則謂之言議。此君子之所疑惑也。若大人為政，將因於國家之難，譬若機之將發也然，君子之必以諫，然而大人之利，若此者，雖不扣必鳴者也。若大人舉不義之異行，雖得大巧之經，可行於軍旅之事，欲攻伐無罪之國，有之也，君得之，則必用之矣。以廣辟土地，著稅偽材，出必見辱，所攻者不利，而攻者亦不利，是兩不利也。若此者，雖不扣必鳴者也。且子曰：『君子共己待，問焉則言，不問焉則止，譬若鍾然，扣則鳴，不扣則不鳴。』今未有扣，子而言，是子之謂不扣而鳴邪？是子之所謂非君子邪？」,"Gong Mengzi said to Mozi: ""The gentleman should fold his hands on the breast in waiting. He will speak when consulted he will not speak when not consulted. He is like a bell when struck it sounds, when not struck it does not sound."" Mozi said: This idea covers three phases of which you know but one; so you do not understand what you are talking about. In the case of the ruler's committing violence in the state, to go and warn him will be called insolence, and to offer warning through those around him will be called meddling with counsel. This is where the gentleman hesitates (to speak). Now, if the ruler, in his administration, meets with some difficulty in the state resembling a machine about to shoot,... the gentleman must give warning. So the benefit to the ruler... In such cases although he is not asked he should give counsel. Again, if the lord should launch out on some unrighteous, extraordinary enterprise; and if in possession of clever military schemes, he should attack innocent states with a view to extending his territory, collecting taxes and gathering wealth; and if in taking such a course he meet with humiliation, as it is beneficial neither to the victor nor to the vanquished -- and hence harmful to both - in such a case the gentleman must respond with counsel though he is not asked. Moreover, according to what you have said, the gentleman is to fold his hands on his breast and wait. He will speak when consulted; he will not speak when not consulted. He is like a bell; when struck it sounds, when not struck it does not sound. Now, none had asked you and yet you spoke. Is this what you call sounding without being struck? Is this what you call ungentlemanly?"
公孟子謂子墨子曰：「實為善，人孰不知？譬若良玉，處而不出有餘糈。譬若美女，處而不出，人爭求之。行而自衒，人莫之取也。今子遍從人而說之，何其勞也？」子墨子曰：「今夫世亂，求美女者眾，美女雖不出，人多求之；今求善者寡，不強說人，人莫之知也。且有二生，於此善筮。一行為人筮者，一處而不出者。行為人筮者與處而不出者，其糈孰多？」公孟子曰：「行為人筮者其糈多。」子墨子曰：「仁義鈞。行說人者，其功善亦多，何故不行說人也！」,"Gong Mengzi said to Mozi: ""How is it possible for the people to be ignorant of what is really good? For instance, when the able fortune teller remains at home and does not go abroad, he will have grain in abundance; when the beautful maiden remains at home and does not go abroad, people will compete in obtaining her. On the other hand if she should set forth to sell herself, none would take her. Now you go about, trying to persuade everybody, wherefore all this fuss?"" Mozi said: In the present world of chaos those who seek the beautiful maidens are many. So, though they remain at home most people would take them. But those who seek goodness are few. Without intelligent persuasion people will not understand. Moreover, suppose here are two people good at fortune telling. One travels about to tell people's fortunes, and the other remains at home and does not go abroad. Which of these two will have more grain? Gong Mengzi said that he who travels about and tells people's fortunes will have more grain. Mozi said: So with magnanimity and righteousness. He who travels about and urges the people has more merit also. Why not, then, let us travel about and urge the people?"
公孟子戴章甫，搢忽，儒服，而以見子墨子曰：「君子服然後行乎？其行然後服乎？」子墨子曰：「行不在服。」公孟子曰：「何以知其然也？」子墨子曰：「昔者，齊桓公高冠博帶，金劍木盾，以治其國，其國治。昔者，晉文公大布之衣，牂羊之裘，韋以帶劍，以治其國，其國治。昔者，楚莊王鮮冠組纓，縫衣博袍，以治其國，其國治。昔者，越王句踐剪髮文身，以治其國，其國治。此四君者，其服不同，其行猶一也。翟以是知行之不在服也。」公孟子曰：「善！吾聞之曰『宿善者不祥』，請舍忽，易章甫，復見夫子可乎？」子墨子曰：「請因以相見也。若必將舍忽、易章甫，而後相見，然則行果在服也。」,"Gong Mengzi, wearing a ceremonial hat, carrying the officials' tablet, and in the cloak of the learned, came to see Mozi and asked: ""Does the gentleman dress in appropriate attire before acting. Or does he do his business first and then consider his attire?"" Mozi said: Action does not depend on attire. Gong Mengzi asked how is it possible to know. Mozi said: Formerly, Lord Huan of Qi (685-643 B.C.), wearing a high hat and a wide girdle, with a gold sword and wooden shield, governed his state. And his state became orderly. Lord Wen of Jin (780-746 B.C.), wearing garments of coarse cloth and sheepskin cloak, with the sword in a leather belt, governed his state. And his state became orderly. Lord Zhuang of Chu (671-626 B.C.), wearing a gaudy hat with a tassel, and a red garment and a big gown, governed his state. And his state became orderly. Lord Gou Jian of Yue (496-465 B.C.), had his hair cut short and his body tattooed and governed his state, and his state became orderly. Now, these four lords differed in attire but agreed in action. I therefore know action does not depend on attire. Gong Mengzi said: ""That is fine. I have heard that it is unlucky to keep goodness in darkness. So, let me go and put away the tablet and change the hat and come back to see you. Is this all right?"" Mozi said: Please come out with your errand. If you have to put away the tablet and change the hat before you can see me, then, action does depend on attire."
公孟子曰：「君子必古言服，然後仁。」子墨子曰：「昔者，商王紂，卿士費仲，為天下之暴人，箕子、微子為天下之聖人，此同言而或仁不仁也。周公旦為天下之聖人，關叔為天下之暴人，此同服或仁或不仁。然則不在古服與古言矣。且子法周而未法夏也，子之古非古也。」,"Gong Mengzi said: ""The gentleman has to be ancient in attire and in speech before he can be magnanimous."" Mozi said: In ancient times, minister Fei Zhong of Emperor Zhou of Shang was the terror of the world. While Baron Ji and Baron Wei were the sages of the world. Now these spoke the same dialect, but the latter were magnanimous and the former was wicked. (Later), Duke Dan of Zhou was the sage of the world and Uncle Guan was the villain of the world. Now these wore the same attire but the former was magnanimous and the latter wicked. Then, virtue evidently does not depend on the antiquity of attire and speech. Moreover, you are following only Zhou and not Xia. Your antiquity does not go back far enough."
公孟子謂子墨子曰：「昔者聖王之列也，上聖立為天子，其次立為卿、大夫，今孔子博於詩、書，察於禮樂，詳於萬物，若使孔子當聖王，則豈不以孔子為天子哉？」子墨子曰：「夫知者，必尊天事鬼，愛人節用，合焉為知矣。今子曰：『孔子博於詩書，察於禮樂，詳於萬物』，而曰可以為天子，是數人之齒，而以為富。」,"Gong Mengzi said to Mozi: ""In ancient times, in assigning ranks the sage-kings crowned the most sagacious as emperor, and appointed the others as ministers and secretaries. Now Confucius had an extensive knowledge of poetry and history, a clear understanding of ceremonial and music, and an intimate insight into many things. If it fell upon Confucius to be the sage-king, why should he not make himself emperor?"" Mozi said: The wise man should reverence Heaven and worship the spirits, love the people and economize in expenditures. Combining these we get wisdom. Now, you say, Confucius had an extensive knowledge of poetry and history, a clear understanding of ceremonials and music, and an intimate insight into many things. Therefore, you think, he should be made emperor. This is like estimating one's wealth by counting the number of notches."
公孟子曰：「貧富壽夭，齰然在天，不可損益。」又曰：「君子必學。」子墨子曰：「教人學而執有命，是猶命人葆而去亓冠也。」,"Gong Mengzi said: ""Poverty or wealth, old age or untimely death, all are determined by Heaven and they cannot be altered."" Again, he said: ""The superior man must learn."" Mozi said: To hold fatalism and teach people to learn is like telling him to cover his hair and yet remove his hat."
公孟子謂子墨子曰：「有義不義，無祥不祥。」子墨子曰：「古聖王皆以鬼神為神明，而為禍福，執有祥不祥，是以政治而國安也。自桀紂以下，皆以鬼神為不神明，不能為禍福，執無祥不祥，是以政亂而國危也。故先王之書，子亦有之曰：『亓傲也，出於子，不祥。』此言為不善之有罰，為善之有賞。」,"Gong Mengzi said to Mozi: ""There is only righteousness and unrighteousness, but no such thing as propitiousness or unpropitiousness."" Mozi said: The ancient sage-kings all regarded the ghosts and spirits as intelligent and in control of calamity and blessing. They held there was propitiousness and unpropitiousness and thereby the government was well administered and the country was secure. From Jie and Zhou down they all regarded the ghosts and spirits as unintelligent and not in control of calamity and blessing. They held there was no propitiousness and unpropitiousness, and thereby the government became disorderly and the country in danger. So, the book of the ancient kings ""Jizi"" says, ""Pride brings calamity."" That is to say, the evil act will be punished and the good act will be rewarded."
子墨子謂公孟子曰：「喪禮，君與父母、妻、後子死，三年喪服，伯父、叔父、兄弟期，族人五月，姑、姊、舅、甥皆有數月之喪。或以不喪之閒，誦詩三百，弦詩三百，歌詩三百，舞詩三百。若用子之言，則君子何日以聽治？庶人何日以從事？」公孟子曰：「國亂則治之，國治則為禮樂。國治則從事，國富則為禮樂。子墨子曰：「國之治。治之廢，則國之治亦廢。國之富也，從事，故富也。從事廢，則國之富亦廢。故雖治國，勸之無饜，然後可也。今子曰：『國治，則為禮樂，亂則治之』，是譬猶噎而穿井也，死而求醫也。古者三代暴王桀紂幽厲，薾為聲樂，不顧其民，是以身為刑僇，國為戾虛者，皆從此道也。」,"Mozi said to Gong Mengzi: According to the ceremonial for the death of the ruler, the parents, the wife, and the first-born son, there shall be mourning for three years. For the elder uncle, younger uncle, elder brother, younger brother, one year; and for cousins within the family, five months. And for the aunt, the sister, the uncle on mother's side, and the nephew on sister's side, there will be mourning of several months for each. Many also use the intervals between periods of mourning to read the Three Hundred Poems according to rhymes, to play them on the string instruments, to sing them, and to dance to them. If your counsel should be followed when can the gentleman attend to government, and when can the common man attend to work? Gong Mengzi said: ""When the country is in chaos it should be put in order; when it is in order, ceremonials and music may be pursued. When the country is poor work should be attended to; when it is rich, ceremonials and music may be pursued."" Mozi said: A country may be orderly. But it is because it is being well governed that it is orderly. As soon as good administration is abandoned, order disappears also. A country may be rich. But it is because work is being attended to that it is rich. As soon as work is abandoned, wealth disappears also. Therefore although a country is orderly it is necessary to encourage unceasing attention to administration. Now, you say, when the country is in order, ceremonials and music may be pursued. But put it in order when it becomes disorderly. This is similar to digging a well when some one is choked and to seeking a physician when some one is dead. In ancient times, the wicked kings of the Three Dynasties, Jie, Zhou, You, and Li, revelled in music, and did not remember their people. Therefore they suffered capital punishment and brought calamity to their empire. And it was all from following this idea."
公孟子曰：「無鬼神。」又曰：「君子必學祭祀。」子墨子曰：「執無鬼而學祭禮，是猶無客而學客禮也，是猶無魚而為魚𦊟也。」,"Gong Mengzi said that there were no ghosts and spirits; again, he said that the superior man must learn sacrifice and worship. Mozi said: To hold there are no spirits and learn sacrificial ceremonials is comparable to learning the ceremonials of hospitality while there is no guest or to making fishing nets while there are no fish."
公孟子謂子墨子曰：「子以三年之喪為非，子之三日之喪亦非也。」子墨子曰：「子以三年之喪非三日之喪，是猶裸謂撅者不恭也。」,"Gong Mengzi said to Mozi: ""You think mourning for three years is wrong. Your mourning for three days is also wrong."" Mozi replied: You hold mourning for three years and condemn mourning for three days. This is similar to the naked person condemning the person who lifted up his garments for indecency."
