chinese,english
子墨子言曰：「古者民始生，未有刑政之時，蓋其語『人異義』。是以一人則一義，二人則二義，十人則十義，其人茲眾，其所謂義者亦茲眾。是以人是其義，以非人之義，故文相非也。是以內者父子兄弟作怨惡，離散不能相和合。天下之百姓，皆以水火毒藥相虧害，至有餘力不能以相勞，腐臭1餘財不以相分，隱匿良道不以相教，天下之亂，若禽獸然。,"Mozi said: In the beginning of human life, when there was yet no law and government, the custom was ""everybody according to his own idea."" Accordingly each man had his own idea, two men had two different ideas and ten men had ten different ideas -- the more people the more different notions. And everybody approved of his own view and disapproved the views of others, and so arose mutual disapproval among men. As a result, father and son and elder and younger brothers became enemies and were estranged from each other, since they were unable to reach any agreement. Everybody worked for the disadvantage of the others with water, fire, and poison. Surplus energy was not spent for mutual aid; surplus goods were allowed to rot without sharing; excellent teachings (Dao) were kept secret and not revealed. The disorder in the (human) world could be compared to that among birds and beasts.1. 臭 : Originally read: ""列"". Corrected by 孫詒讓《墨子閒詁》"
夫明虖天下之所以亂者，生於無政長。是故選天下之賢可者，立以為天子。天子立，以其力為未足，又選擇天下之賢可者，置立之以為三公。天子三公既以立，以天下為博大，遠國異土之民，是非利害之辯，不可一二而明知，故畫分萬國，立諸侯國君，諸侯國君既已立，以其力為未足，又選擇其國之賢可者，置立之以為正長。,"Yet all this disorder was due to the want of a ruler. Therefore (Heaven) chose the virtuous in the world and crowned him emperor. Feeling the insufficiency of his capacity, the emperor chose the virtuous in the world and installed them as the three ministers. The emperor and the three ministers, seeing the vastness of the empire and the difficulty of attending to matters of right and wrong and profit and harm among peoples of far countries, divided the empire into feudal states and assigned them to feudal lords. Feeling the insufficiency of their capacity, the feudal lords, in turn, chose the virtuous of their states and appointed them as their officials."
正長既已具，天子發政於天下之百姓，言曰：『聞善而不善，皆以告其上。上之所是，必皆是之，所非必皆非之，上有過則規諫之，下有善則傍薦之。上同而不下比者，此上之所賞，而下之所譽也。意若聞善而不善，不以告其上，上之所是，弗能是，上之所非，弗能非，上有過弗規諫，下有善弗傍薦，下比不能上同者，此上之所罰，而百姓所毀也。』上以此為賞罰，甚明察以審信。,"When the rulers were all installed, the emperor issued a mandate to all the people, saying: ""Upon hearing good or evil one shall report it to a superior. What the superior thinks to be right all shall think to be right; what the superior thinks to be wrong all shall think to be wrong. When the superior is at fault there shall be good counsel, when the subordinates show virtue there shall be popular recommendation. To identify one's self with the superior and not to unite one's self with the subordinates - this is what deserves encouragement from above and praise from below."" On the other hand, if upon hearing good or evil one should not report to a superior; if what the superior thought to be right one should not think to be right; if what the superior thought to be wrong one should not think to be wrong; if when the superior was at fault there should be no good counsel if when the subordinates showed virtue there should be no popular recommendation; if there should be common cause with subordinates and no identification with the superior - this is what deserves punishment from above and condemnation from below."" The superior made this the basis of reward and punishment. He was clear-sighted and won his people's confidence."
是故里長者，里之仁人也。里長發政里之百姓，言曰：『聞善而不善，必以告其鄉長。鄉長之所是，必皆是之，鄉長之所非，必皆非之。去若不善言，學鄉長之善言；去若不善行，學鄉長之善行，則鄉何說以亂哉？』察鄉之所治者何也？鄉長唯能壹同鄉之義，是以鄉治也。,"Now the head of the village was the most high-minded and tender-hearted man of the village. He notified the people of the village, saying: ""Upon hearing good or evil you shall report it to the head of the district. What the head of the district thinks to be right, all shall think to be right. What he thinks to be wrong, all shall think to be wrong. Put away from your speech that which is not good and learn his good speech. Remove from your conduct that which is not good and learn his good conduct. How then can there be disorder in the district?"" Now, how was order brought about in the district? There was order in the district because the head could unify the standards of the district."
鄉長者，鄉之仁人也。鄉長發政鄉之百姓，言曰：『聞善而不善者，必以告國君。國君之所是，必皆是之，國君之所非，必皆非之。去若不善言，學國君之善言，去若不善行，學國君之善行，則國何說以亂哉。』察國之所以治者何也？國君唯能壹同國之義，是以國治也。,"The head of the district was the most high-minded and tender-hearted man of the district. He notified the people of the district, saying ""Upon hearing good or evil you shall report it to the lord. What the lord thinks to be right all shall think to be right, what he thinks to be wrong all shall think to be wrong. Remove from your speech that which is not good and learn his good speech. Take away from your conduct that which is not good and learn his good conduct. How then can there be disorder in the state?"" Now, how was order brought about in the feudal state? There was order in the state because the feudal lord could unify the standards in the state."
國君者，國之仁人也。國君發政國之百姓，言曰：『聞善而不善。必以告天子。天子之所是，皆是之，天子之所非，皆非之。去若不善言，學天子之善言；去若不善行，學天子之善行，則天下何說以亂哉。』察天下之所以治者何也？天子唯能壹同天下之義，是以天下以1治也。,"The lord of the state was the most high-minded and tender-hearted man of the state. He notified the people of the state, saying: ""Upon hearing good or evil you shall report it to the emperor. What the emperor thinks to be right all shall think to be right; what the emperor thinks to be wrong all shall think to be wrong. Take away from your speech that which is not good and learn his good speech. Remove from your conduct that which is not good and learn his good conduct. How then can there be disorder in the empire?"" Now, how is order brought about in the empire? There was order in the empire because the emperor could unify the standards in the empire.1. 以 : Deleted."
天下之百姓皆上同於天子，而不上同於天，則菑猶未去也。今若天飄風苦雨，溱溱而至者，此天之所以罰百姓之不上同於天者也。」,"If, however, the people all identify themselves with the Son of Heaven but not with Heaven itself, then the jungle is still unremoved. Now, the frequent visitations of hurricanes and torrents are just the punishments from Heaven upon the people for their not identifying their standards with the Will of Heaven."
是故子墨子言曰：「古者聖王為五刑，請以治其民。譬若絲縷之有紀，罔罟之有綱，所連收天下之百姓不尚同其上者也。」,"Therefore, Mozi said: The sage-kings of old devised the five punishments to rule the people in order to be able to lay hands on those who did not identify themselves with their superiors - a device of the same nature as threads are tied into skeins and a net is controlled by a main rope."
子墨子曰：「方今之時，復古之民始生，未有正長之時，蓋其語曰『天下之人異義』。是以一人一義，十人十義，百人百義，其人數茲眾，其所謂義者亦茲眾。是以人是其義，而非人之義，故相交非也。內之父子兄弟作怨讎，皆有離散之心，不能相和合。至乎舍餘力不以相勞，隱匿良道不以相教，腐臭餘財不以相分，天下之亂也，至如禽獸然，無君臣上下長幼之節，父子兄弟之禮，是以天下亂焉。,"Mozi said: As we look back to the time when there was yet no ruler, it seems the custom was ""everybody in the world according to his own standard."" Accordingly each man had his own standard, ten men had ten different standards, a hundred men had a hundred different standards - the more people the more standards. And everybody approved of his own view and disapproved those of others, and so arose mutual disapproval. Even father and son and brothers became enemies, since they were unable to reach any agreement. Surplus energy was not employed for mutual help; excellent teachings (Dao) were kept secret; surplus goods were allowed to rot without sharing. The disorder in the (human) world could be compared with that among birds and beasts. The lack of regulations governing the relationships between ruler and subject, between superior and subordinate, and between elder and younger; and the absence of rules governing the relationships between father and son and between older and younger brothers, resulted in disorder in the world."
明乎民之無正長以一同天下之義，而天下亂也。是故選擇天下賢良聖知辯慧之人，立以為天子，使從事乎一同天下之義。天子既以立矣，以為唯其耳目之請，不能獨一同天下之義，是故選擇天下贊閱賢良聖知辯慧之人，置以為三公，與從事乎一同天下之義。天子三公既已立矣，以為天下博大，山林遠土之民，不可得而一也，是故靡分天下，設以為萬諸侯國君，使從事乎一同其國之義。國君既已立矣，又以為唯其耳目之請，不能一同其國之義，是故擇其國之賢者，置以為左右將軍大夫，以遠至乎鄉里之長與從事乎一同其國之義。,"Knowing the cause of the confusion to be in the absence of a ruler who could unify the standards in the world, (Heaven) chose the virtuous, sagacious, and wise in the world and crowned him emperor, charging him with the duty of unifying the wills in the empire. Having been crowned, the emperor, realizing the impossibility of unifying the world just by his own senses of hearing and sight, chose the understanding, virtuous, sagacious, and wise of the world and installed them as the three ministers, sharing with them the duty of unifying the standards in the empire. The emperor and the three ministers being in office, they felt the vastness of the empire and the difficulty of unifying all the peoples in mountains and woods and those far distant. Therefore they systematically divided up the empire, and appointed numerous feudal lords, charging these with the duty of unifying the standards in each state. The feudal lords in turn felt the difficulty of unifying the standards in their states just by their own senses of hearing and sight. Therefore they chose the virtuous of the state to be their ministers and secretaries and all the way down to the heads of districts and villages, sharing with them the duty of unifying the standards in the state."
天子諸侯之君，民之正長，既已定矣，天子為發政施教曰：『凡聞見善者，必以告其上，聞見不善者，亦必以告其上。上之所是，必亦是之，上之所非，必亦非之，已有善傍薦之，上有過規諫之。尚同義其上，而毋有下比之心，上得則賞之，萬民聞則譽之。意若聞見善，不以告其上，聞見不善，亦不以告其上，上之所是不能是，上之所非不能非，己有善不能傍薦之，上有過不能規諫之，下比而非其上者，上得則誅罰之，萬民聞則非毀之』。故古者聖王之為刑政賞譽也，甚明察以審信。,"When the lords of the country and the heads of the people had been appointed, the emperor issued mandates, instructing the people: ""Discovering good you must report it to your superior, discovering evil you must report it to your superior. What the superior thinks to be right all shall think to be right; what the superior thinks to be wrong all shall think to be wrong. When there is virtue among the people there shall be popular recommendation; when the superior is at fault there shall be good counsel. You shall identify yourself with the superior and not associate with your subordinates. So doing, one deserves encouragement from his superiors and praise from the people. ""On the other hand, if upon discovering good you should not report it and upon discovering evil you should not report it; if you should not think to be right what the superior thinks to be right, and wrong what the superior thinks to be wrong; if there should be no recommendation when there is virtue among the people and no good counsel when the superior is at fault; and if you should unite with the subordinates but differ from the superior - you deserve heavy punishment from your superiors and condemnation from the people."" Therefore the sage-kings of old were very judicious and faithful in their punishments and rewards."
是以舉天下之人，皆欲得上之賞譽，而畏上之毀罰。是故里長順天子政，而一同其里之義。里長既同其里之義，率其里之萬民，以尚同乎鄉長，曰：『凡里之萬民，皆尚同乎鄉長，而不敢下比。鄉長之所是，必亦是之，鄉長之所非，必亦非之。去而不善言，學鄉長之善言；去而不善行，學鄉長之善行。鄉長固鄉之賢者也，舉鄉人以法鄉長，夫鄉何說而不治哉？』察鄉長之所以治鄉者何故之以也？曰唯以其能一同其鄉之義，是以鄉治。,"And so all the people aspired to the rewards and commendation from the superior and dreaded his condemnation and punishment. Thereupon, in accord with the policy of the emperor, the village head proceeded to unify the purposes in the village. Having accomplished this, he led the people of the village to identify themselves with the head of the district, saying: ""All you people of the village are to identify yourselves with the head of the district, and are not to unite with the subordinates. What the head of the district thinks to be right all shall think to be right; what he thinks to be wrong all shall think to be wrong. Put away your evil speech and learn his good speech; put away your evil conduct and learn his good conduct. For the head of the district is naturally the (most) virtuous of the district. If all the people in the district follow the example of their head, how then can the district be disorderly?"" Now, how is it that the head of the district was so successfuI in governing the district? It was just because he could unify the purposes of the whole district that the district was so orderly."
鄉長治1其鄉，而鄉既已治矣，有率其鄉萬民，以尚同乎國君，曰：『凡鄉之萬民，皆上同乎國君，而不敢下比。國君之所是，必亦是之，國君之所非，必亦非之。去而不善言，學國君之善言；去而不善行，學國君之善行。國君固國之賢者也，舉國人以法國君，夫國何說而不治哉？』察國君之所以治國，而國治者，何故之以也？曰唯以其能一同其國之義，是以國治。,"Having accomplished this he in turn led the people of his district to identify themselves with the feudal lord, saying: ""All you people of the district shall identify yourselves with the lord of the state, and shall not unite with the subordinates. What the lord thinks to be right all shall think to be right; what he thinks to be wrong all shall think to be wrong. Put away your evil speech and learn his good speech; put away your evil conduct and learn his good conduct. For the lord of the state is naturally the (most) virtuous of the state. If all the people in the state follow the example of their lord, how then can the state be in disorder?"" Now, why was the feudal lord so successful in governing the state? It was just because he could unify the purposes in the state that the state is orderly.1. 鄉長治 : Inserted.  孫詒讓《墨子閒詁》"
國君治其國，而國1既已治矣，有率其國之萬民，以尚同乎天子，曰：『凡國之萬民上同乎天子，而不敢下比。天子之所是，必亦是之，天子之所非，必亦非之。去而不善言，學天子之善言；去而不善行，學天子之善行。天子者，固天下之仁人也，舉天下之萬民以法天子，夫天下何說而不治哉？』察天子之所以治天下者，何故之以也？曰唯以其能一同天下之義，是以天下治。,"Having accomplished this he in turn led the people of his state to identify themselves with the emperor, saying: ""All you people of the state shall identify yourselves with the emperor and shall not unite with the subordinates. What the emperor thinks to be right all shall think to be right; what he thinks to be wrong all shall think to be wrong. Put away your evil speech and learn his good speech; put away your evil conduct and learn his good conduct. For the emperor is naturally the (most) high-minded and tender-hearted man of the empire. If all the people of the empire follow his example, how then can the state be disorderly?"" Now, why was the emperor so successful in governing the empire? It was just because he could unify the purposes in the empire that the empire is orderly.1. 國 : Inserted."
