chinese,english
卻說周瑜聞諸葛瑾之言，轉恨孔明，存心欲謀殺之。次日點齊軍將，入辭孫權。權曰：「卿先行，孤即起兵繼後。」瑜辭出，與程普，魯肅，領兵起行，便邀孔明同往。孔明欣然從之，一同登舟，駕起帆檣，迤邐望夏口而進。離三江口五六十里，船依次第歇定。周瑜在中央下寨，岸上依西山結營，週圍屯住。孔明只在一葉小舟內安身。,"Zhou Yu was very annoyed by the words of Zhuge Jin, and a fierce hatred for Zhuge Liang took root in his heart. He nourished a secret resolve to make away with Zhuge Liang. He continued his preparations for war, and when the troops were all mustered and ready, he went in for a farewell interview with his lord.""You go on first, Noble Sir,"" said Sun Quan. ""I will then march to support you.""Zhou Yu took his leave and then, with Cheng Pu and Lu Su, marched out with the army. He invited Zhuge Liang to accompany the expedition, and when Zhuge Liang cheerfully accepted, the four embarked in the same ship. They set sail, and the fleet made for Xiakou.About twenty miles from Three Gorges the fleet anchored near the shore, and Zhou Yu built a stockade on the bank near the middle of their line with the Western Hills as a support. Other camps were made near his. Zhuge Liang, however, took up his quarters in a small ship."
周瑜分撥已定，使人請孔明議事。孔明至中軍帳，敘禮畢。瑜曰：「昔曹操兵少，袁紹兵多，而操反勝紹者，因用許攸之謀，先斷烏巢之糧也。今操兵八十三萬，我兵只五六萬，安能拒之？亦必須先斷操之糧，然後可破。我已探知操軍糧草，俱屯於聚鐵山。先生久居漢上，熟知地理。敢煩先生與關，張，子龍，輩－吾亦助兵千人－星夜往聚鐵山斷操糧道。彼此各為主人之事，幸勿推調。」,"When the camp dispositions were complete, Zhou Yu sent to request Zhuge Liang to come and give him advice. Zhuge Liang came.After the salutations were ended, Zhou Yu said, ""Cao Cao, though he had fewer troops than Yuan Shao, nevertheless overcame Yuan Shao because he followed the advice given by Xun You to destroy Yuan Shao's supplies at Wuchao. Now Cao Cao has over eight hundred thousand troops while I have but fifty or sixty thousand. In order to defeat him, his supplies must be destroyed first. I have found out that the main depot is at the Iron Pile Mountains. As you have lived hereabout, you know the topography quite well, and I wish to entrust the task of cutting off supplies to you and your colleagues Guan Yu, Zhang Fei, and Zhao Zilong. I will assist you with a thousand soldiers. I wish you to start without delay. In this way we can best serve our masters."""
孔明暗思：「此因說我不動，設計害我。我若推調，必為所笑。不如應之，別有計議。」乃欣然領諾。瑜大喜。孔明辭出。魯肅密謂瑜曰：「公使孔明劫糧，是何意見？」瑜曰：「吾欲殺孔明，恐惹人笑，故借曹操之手殺之，以絕後患耳。」,"Zhuge Liang saw through this at once. He thought to himself, ""This is a ruse in revenge for my not having been persuaded to enter the service of the South Land. If I refuse, I shall be laughed at. So I will do as he asks and trust to find some means of deliverance from the evil he intends.""Therefore Zhuge Liang accepted the task with alacrity, much to the joy of Zhou Yu.After the leader of the expedition had taken his leave, Lu Su went to Zhou Yu secretly and said, ""Why have you set him this task?""""Because I wish to compass his death without appearing ridiculous. I hope to get him killed by the hand of Cao Cao and prevent his doing further mischief."""
肅聞言，乃往見孔明，看他知也不知。只見孔明略無難色，整點軍馬要行。肅不忍，以言挑之曰：「先生此去可成功否？」孔明笑曰：「吾水戰，步戰，馬戰，車戰，各盡其妙，何愁功績不成？非比江東，公與周郎輩止一能也。」肅曰：「吾與公瑾何謂一能？」孔明曰：「吾聞江南小兒謠言云：「伏路把關饒子敬，臨江水戰有周郎。」公等於陸地但能伏路把關；周公瑾但堪水戰，不能陸戰耳。」,"Lu Su left and went to see Zhuge Liang to find out if he suspected anything. Lu Su found him looking quite unconcerned and getting the soldiers ready to march.Unable to let Zhuge Liang go without a warning, however, Lu Su put a tentative question, ""Do you think this expedition will succeed?""Zhuge Liang laughingly replied, ""I am an adept at all sorts of fighting, with foot, horse, and chariots on land and marines on the water. There is no doubt of my success. I am not like you and your friend, only capable in one direction.""""What do you mean by our being capable only in one direction?"" said Lu Su.""I have heard the street children in your country singing:""To lay an ambush, hold a pass,Lu Su is the man to choose;But when you on the water fight,Zhou Yu is the man to use.""You are only fit for ambushes and guarding passes on land, just as Zhou Yu only understands fighting on the water,"" said Zhuge Liang."
肅乃以此言告知周瑜。瑜怒曰：「何欺我不能陸戰耶！不用他去！我自引一萬馬軍，往聚鐵山斷操糧道。」肅又將此言告孔明。孔明笑曰：「公瑾令吾斷糧者，實欲使曹操殺吾耳。吾故以片言戲之，公瑾便容納不下。目今用人之際，只願吳侯與劉使君同心，則功可成；如各相謀害，大事休矣。操賊多謀，他平生慣斷人糧道，今如何不以重兵提備？公瑾若去，必為所擒。今只當先決水戰，挫動北軍銳氣，別尋妙計破之。望子敬善言，以告公瑾為幸。」,"Lu Su carried this story to Zhou Yu, which only incensed him the more against Zhuge Liang.""How dare he flout me, saying I cannot fight a land battle? I will not let him go. I will go myself with ten thousand troops and cut off Cao Cao's supplies.""Lu Su went back and told this to Zhuge Liang, who smiled and said, ""Zhou Yu only wanted me to go on this expedition because he wanted Cao Cao to kill me. And so I teased him a little. But he cannot bear that. Now is the critical moment, and Marquis Sun Quan and my master must act in harmony if we are to succeed. If each one tries to harm the other, the whole scheme will fail. Cao Cao is no fool, and it is he who usually attack enemies through cutting off their supplies. Do you not think Cao Cao has already taken double precautions against any surprise of his own depot? If Zhou Yu tries, he will be taken prisoner. What he ought to do is to bring about a decisive naval battle, whereby to dishearten the northern soldiers, and then find some other means to defeat them utterly. If you could persuade him what his best course was, it would be well."""
魯肅遂連夜回見周瑜，備述孔明之言。瑜搖首頓足曰：「此人見識，勝吾十倍，今不除之，後必為我國之禍！」肅曰：「今用人之際，望以國家為重。且待破曹之後，圖之未晚。」瑜然其說。,"Without loss of time, Lu Su went to Zhou Yu to relate what Zhuge Liang had told him.Zhou Yu shook his head when he heard it and beat the ground with his foot, saying, ""This man is far too clever. He beats me ten to one. He will have to be done away with, or the South Land will suffer.""Said Lu Su, ""This is the moment to use people. You must think of the country's good first of all. When once Cao Cao is defeated, you may do as you please.""Zhou Yu had to confess the reasonableness of this."
卻說玄德分付劉琦守江夏，自領眾將引兵往夏口。遙望江南岸旗旛隱隱，戈戟重重，料是東吳已動兵矣。乃盡移江夏之兵，至樊口屯紮。玄德聚眾曰：「孔明一去東吳，杳無音信，不知事體何如。誰人可去探聽虛實回報？」糜竺曰：「竺願往。」,"Liu Bei had ordered his nephew Liu Qi to hold Jiangxia, while he and the bulk of the army returned to Xiakou. Thence he saw the opposite bank thick with banners and flags and glittering with every kind of arms and armors. He knew then that the expedition from the South Land had started. So he moved all his force from Jiangxia to Fankou.Then he assembled his officers and said to them, ""Zhuge Liang went to Wu some time ago, and no word has come from him, so I know not how the business stands. Will anyone volunteer to go to find out?""""I will go,"" said Mi Zhu."
玄德乃備羊酒禮物，令糜竺至東吳，以犒軍為名，探聽虛實。竺領命，駕小舟順流而下，逕至周瑜大寨前。軍士入報周瑜，瑜召入。竺再拜，致玄德相敬之意，獻上酒禮。瑜受訖，設宴款待糜竺。竺曰：「孔明在此已久，今願與同回。」瑜曰：「孔明方與我同謀破曹，豈可便去？吾亦欲見劉豫州，共議良策；奈身統大軍，不可暫離。若豫州肯枉駕來臨，深慰所望。」,"So presents were prepared and gifts of flesh and wine, and Mi Zhu prepared to journey to the South Land on the pretext of offering a congratulatory feast to the army. He set out in a small ship and went down river. He stopped opposite the camp, and the soldiers reported his arrival to Zhou Yu, who ordered him to be brought in. Mi Zhu bowed low and expressed the respect which Liu Bei had for Zhou Yu and offered the various gifts. The ceremony of reception was followed by a banquet in honor of the guest.Mi Zhu said, ""Zhuge Liang has been here a long time, and I desire that he may return with me.""""Zhuge Liang is making plans with me, and I could not let him return,"" said Zhou Yu. ""I also wish to see Liu Bei that we may make joint plans. But when one is at the head of a great army, one cannot get away even for a moment. If your master would only come here, it would be very gracious on his part."""
竺應諾，拜辭而回。肅問瑜曰：「公欲見玄德，有何計議？」瑜曰：「玄德世之梟雄，不可不除。吾今乘機誘至殺之，實為國家除一後患。」魯肅再三勸諫，瑜只不聽，遂傳密令：「如玄德至，先埋伏刀斧手五十人於壁衣中，看我擲杯為號，便出下手。」,"Mi Zhu agreed that Liu Bei might come and presently took his leave.Then Lu Su asked Zhou Yu, ""What is your reason for desiring Liu Bei to come?""""Liu Bei is the one bold and dangerous man and must be removed. I am taking this opportunity to persuade him to come. When he shall be slain, a great danger will cease to threaten our interests.""Lu Su tried to dissuade him from this scheme, but Zhou Yu was deaf to all Lu Su said.Zhou Yu even issued orders: ""Arrange half a hundred executioners to be ready to hide within the lining of the tent if Liu Bei decides to come; and when I drop a cup, that will be a signal for them to fall on and slay him."""
卻說糜竺回見玄德，具言周瑜欲請主公到彼面會，別有商護。玄德便教收拾快船一隻，只今便行。雲長諫曰：「周瑜多謀之士，又無孔明書信，恐其中有詐，不可輕去。」玄德曰：「我今結東吳以共破曹操，周郎欲見我，我若不往，非同盟之意。兩相猜忌，事不諧矣。」雲長曰：「兄長若堅意要去，弟願同往。」張飛曰：「我也跟去。」玄德曰：「只雲長隨我去。翼德與子龍守寨，簡雍固守鄂縣。我去便回。」,"Mi Zhu returned and told Liu Bei that his presence was desired by Zhou Yu. Suspecting nothing, Liu Bei at once ordered them to prepare a fast vessel to take him without loss of time.Guan Yu was opposed to his going, saying, ""Zhou Yu is artful and treacherous, and there is no news from Zhuge Liang. Pray think more carefully.""Liu Bei replied, ""I have joined my forces to theirs in this attack on our common enemy. If Zhou Yu wishes to see me and I refuse to go, it is a betrayal. Nothing will succeed if both sides nourish suspicions.""""If you have finally decided to go, then will I go with you,"" said Guan Yu.""And I also,"" cried Zhang Fei.But Liu Bei said, ""Let Guan Yu come with me while you and Zhao Zilong keep guard. Jian Yong will hold Exian. I shall not be away long."""
