chinese,english
卻說高順引張遼擊關公寨，呂布自擊張飛寨，關、張各出迎戰，玄德引兵兩路接應。呂布分軍從背後殺來，關，張兩軍皆潰，玄德引數十騎奔回沛城。呂布趕來，玄德急喚城上軍士放下弔橋。呂布隨後也到。城上欲待放箭，又恐射了玄德。被呂布乘勢殺入城門，把門將士，抵敵不住，都四散奔避。呂布招軍入城。玄德見勢已急，到家不及，只得棄了妻小，穿城而過，走出西門，匹馬逃難。,"As was stated before, Gao Shun and Zhang Liao together went to smite Guan Yu, while Lu Bu attacked Zhang Fei. Both brothers went out to give battle, while Liu Bei force was held in reserve. But then Lu Bu suddenly attacked both Guan Yu and Zhang Fei from the rear, and the brothers were forced to flee. Liu Bei with a few score of horsemen rushed back to Xiaopei. As he approached the gate with Lu Bu pressing him close, he shouted to the soldiers on the wall to lower the drawbridge. Lu Bu was so close behind that the archers on the wall feared to shoot lest they should wound their lord, and so Lu Bu got into the gate. The gate guards could not force him back so they scattered in all directions. Lu Bu led his force into the city.Liu Bei saw the position was too desperate for him to reach his residence, and he must abandon all his family. So he hastened through the city and left by the west gate out at which he and his scanty following fled for very life."
呂布趕到玄德家中，糜竺出迎，告布曰：「吾聞大丈夫不廢人之妻子。今與將軍爭天下者，曹公耳。玄德常念轅門射戟之恩，不敢背將軍也。今不得已而投曹公，惟將軍憐之。」布曰：「吾與玄德舊交，豈忍害他妻子？」便令糜竺引玄德妻小，去徐州安置。布自引軍投山東兗州境上，留高順、張遼守小沛。此時孫乾已逃出城外。關、張二人亦各自收得些人馬，往山中住劄。,"When Lu Bu reached the residence, he was met by Mi Zhu who said, ""The hero does not destroy a person's family. Your rival for the empire is Cao Cao, and my master, always mindful of the good turn you did him at the Archery Feast, would not be ungrateful. But he could not help going to Cao Cao, and I think you will pity him.""Lu Bu replied, ""We two are old friends. How could I bear to harm his wives and children?""Whereupon he sent the family to Xuzhou with Mi Zhu to take care of them. Next Lu Bu led his army into Huashan Mountains to Yanzhou, leaving Gao Shun and Zhang Liao to guard Xiaopei.During these troubles Sun Qian had also fled out of the city. Guan Yu and Zhang Fei, each with a handful of soldiers, had got away to the hills."
且說玄德匹馬逃難，正行間，背後一人趕至，視之乃孫乾也。玄德曰：「吾今兩弟不知存亡，妻小失散，為之奈何？」孫乾曰：「不若且投曹操，以圖後計。」玄德依言，尋小路投許都。途次絕糧，嘗往村中求食。但到處，聞劉豫州，皆爭進飲食。,"As Liu Bei with his few horsemen was making the best of their way from the scene of his defeat, he heard someone coming up behind him. When he got closer the person proved to be Sun Qian.""Alas! I know not the fate of my brothers, whether they be alive or dead, and my wife and children are lost to me! What can I do?"" said Liu Bei.Sun Qian replied, ""I see nothing better than getting away to Cao Cao, whence we may be able to plan our future moves.""Liu Bei had no better plan to propose, and the two men directed their way to Xuchang, choosing by-roads rather than highways. When their small supplies ran out, they entered a village to beg. But when the people of any place heard that Liu Bei of Yuzhou was the man who needed help, they vied with each other in offering all that was required."
一日，到一家投宿，其家一少年出拜，問其姓名，乃獵戶劉安也。當下劉安聞豫州牧至，欲尋野味供食，一時不能得，乃殺其妻以食之。玄德曰：「此何肉也？」安曰：「乃狼肉也。」玄德不疑，乃飽食了一頓，天晚就宿。至曉將去，往後院取馬，忽見一婦人殺於廚下，臂上肉已都割去。玄德驚問，方知昨夜食者，乃其妻之肉也。玄德不勝傷感。洒淚上馬。劉安告玄德曰：「本欲相隨使君，因老母在堂，未敢遠行。」,"One day they sought shelter at a house whence a youth came out and made a low obeisance. They asked his name and he gave it as Liu An, of a well known family of hunters. Hearing who the visitor was, the hunter wished to lay before him a dish of game, but though he sought for a long time, nothing could be found for the table. So Liu An came home, killed his wife and prepared a portion for his guest.While eating Liu Bei asked, ""What flesh is it?""Liu An told him: ""Wolf.""Liu Bei knew no better and ate his fill. Next day at daylight, just as Liu Bei was leaving, he went to the stables in the rear to get his horse and passing through the kitchen; he saw the dead body of a woman lying on the table. The flesh of one arm had been cut away. Quite startled he asked what this meant, and then he knew what he had eaten the night before. He was deeply sorry at this proof of his host's regard and the tears rained down as he mounted his steed at the gate.""I wish I could go with you,"" said Liu An, ""but as my mother still lives, I cannot go so far from home."""
玄德稱謝而別，取路出梁城。忽見塵頭蔽日，一彪大軍來到。玄德知是曹操之軍，同孫乾逕至中軍旗下，與曹操相見，具說失沛城，散二弟，陷妻小之事。操亦為之下淚。又說劉安殺妻為食之事，操乃令孫乾以金百兩往賜之。,"Liu Bei thanked him and went his way. The party took the road by Liangcheng, and as they were going out, they saw not far off a thick cloud of dust. When the troop came nearer, they found the troops were of Cao Cao's army, and with them they traveled to the main camp where they found Cao Cao himself. Cao Cao shed tears at the sad story of Liu Bei's distress, the loss of the city, his brothers and wives and children. When Liu Bei told him of the hunter who had sacrificed his wife to feed them, Cao Cao sent the hunter a present of a hundred ounces of silver as a reward."
軍行至濟北，夏侯淵等迎接入寨，備言兄夏侯惇損其一目，臥病未痊。操臨臥處視之，令先回許都調理；一面使人打探呂布現在何處。採馬回報云：「呂布與陳宮，臧霸結連泰山賊寇，共攻兗州諸郡。」操即令曹仁引三千兵打沛城。操親提大軍，與玄德來戰呂布。前至山東，路近蕭關，正遇泰山寇孫觀，吳敦，尹禮，昌豨，領兵三萬餘攔去路。操令許褚迎戰，四將一齊出馬。許褚奮力死戰，四將抵敵不住，各自敗走。操乘勢掩殺，追至蕭關，探馬飛報呂布。,"The march then was continued to Jibei, where Xiahou Yuan welcomed them. They heard that his brother Xiahou Dun was still ill from the wound he had received in the eye. Cao Cao went to the sick man's bedside to see him and had him removed to Xuchang for skilled treatment.Presently scouts, sent out particularly for tidings of Lu Bu, returned, saying, ""Lu Bu has allied himself with the bandits in the east, and they are attacking Yanzhou.""At this Cao Cao dispatched Cao Ren with three thousand soldiers to take Xiaopei, while he, in conjunction with Liu Bei, moved against Lu Bu.They went east. As they reached the Mangdang Hills near Xiao Pass, they met the a band of thirty thousand Taishan Mountains brigands barring their road. The chieftains of the bandits were Sun Guan, Wu Dun, Yin Li, and Chang Xi who rode out with their spears set. However, Xu Chu plunged into the battle and easily beat them back and chased them right up to the pass. The scouts told Lu Bu."
時布已回徐州，欲同陳登往救小沛，令陳珪守徐州，陳登臨行，珪謂之曰：「昔曹公曾言東方事盡付與汝。今布將敗，可便圖之。」登曰：「外面之事，兒自為之；倘布敗回，父親便請糜竺一同守城，休放布入，兒自布脫身之計。」珪曰：「布妻小在，此心腹頗多，為之奈何？」登曰：「兒亦有計了。」乃入見呂布曰：「徐州四面受敵，操必力攻，我當先思退步。可將錢糧移於下邳，倘徐州被圍，下邳有糧可救。主公盍早為計！」布曰：「元龍之言甚善。吾當并妻小移去。」遂令宋憲，魏續保護妻小與錢糧移屯下邳；一面自引軍與陳登住救蕭關。到半路，登曰：「容某先到關探曹兵虛實，主公方可行。」,"Lu Bu was then in Xuzhou, whither he had gone to start an expedition to save Xiaopei. He left the protection of Xuzhou to Chen Gui and set out with Chen Deng.As Chen Deng was starting, Chen Gui said to him, ""Remember the words of Cao Cao, that the business of the east is in our hands. Now is our moment, for Lu Bu is about to suffer defeat.""""Father, I can look after the outside. But when Lu Bu returns beaten, you must arrange with Mi Zhu to keep him out of the city. I shall find a means of escape,"" said Chen Deng.""His family is here, and he has many friends. How about them?""""I also have a scheme to settle them.""Then Chen Deng went to see Lu Bu, to whom he said, ""Xuzhou is surrounded, and this city will be fiercely attacked. We ought to provide for possible retreat, and I advise storing grain and money in Xiapi. We could retreat there if the day went adversely. Why not see about this in good time?""""Your words are indeed wise. I will also send my wives and little ones thither,"" said Lu Bu.The family left under escort of Wei Xu and Song Xian, and with them was sent much grain and treasures and coins.And then the soldiers marched to the relief of the pass. About half way there Chen Deng said, ""Let me go first to reconnoiter so that you, my lord, may advance with confidence."""
布許之，登乃先到關上。陳宮等接見。登曰：「溫侯深怪公等不肯向前，要來責罰。」宮曰：「今曹兵勢大，未可輕敵。吾等緊守關隘，可勸主公深保沛城，乃為上策。」陳登唯唯。至晚上關而望，見曹兵直逼關下，乃乘夜連寫三封書，拴在箭上，射下關去。次日辭了陳宮，飛馬來見呂布曰：「關上孫觀等皆欲獻關，某已留下陳宮守把，將軍可於黃昏時殺去救應。」,"Thus Chen Deng parted company with his chief and preceded him to the pass where he was received by Chen Gong.Chen Deng said, ""The General greatly wonders why you do not advance. He is going to inquire into it.""""The enemy is in great force, and we cannot be too careful,"" said Chen Gong. ""We are holding the pass, and you should persuade our master to take steps to guard Xiaopei.""Chen Deng said, ""Your words are true.""That evening he went up to the heights from which he could see Cao Cao's army, which was quite close to the pass. Then he wrote three notes, tied them to arrows, and shot them into Cao Cao's camp.Next day he left and hastened back to Lu Bu and said, ""Those bandits are about to give up the pass to the enemy, but I have left Chen Gong to hold it. You had better make an attack tonight and hold him."""
布曰：「非公則此關休矣。」便教陳登飛騎先至關，約陳宮為內應，舉火為號。登逕往報宮曰：「曹兵已抄小路到關內，恐徐州有失。公等宜急回。」宮遂引眾棄關而走。登就關上放起火來。呂布乘黑殺至，陳宮軍和呂布軍在黑暗裏自相掩殺。,"""Had it not been for you, the pass would have been lost,"" said Lu Bu.Then he sent Chen Deng back to arrange a fire signal with Chen Gong for simultaneous action.So Chen Deng returned to Chen Gong to whom he said, ""Cao Cao's troops have found a secret way through the pass, and I fear Xuzhou is already lost. You ought to go back at once.""At this the pass was abandoned, and Chen Gong began to retreat. Then Chen Deng gave the prearranged signal.Lu Bu saw the fire and advanced in the darkness to the relief of the pass. Presently he met Chen Gong's army; and as neither recognized the other in the darkness, a fierce battle ensued. Nor was the trick discovered till daylight came."
曹兵望見號火，一齊殺到，乘勢攻擊。孫觀等各自四散逃避去了。呂布直殺到天明，方知是計；急與陳宮回徐州。到得城邊叫門時，城上亂箭射下。糜竺在敵樓上喝曰：「汝奪吾主城池，今當仍還吾主，汝不得復入此城也。」布大怒曰：「陳珪何在？」竺曰：「吾已殺之矣。」布回顧宮曰：「陳登安在？」宮曰：「將軍尚執迷而問此佞賊乎？」,"While these things were going on, Cao Cao had noted the signal and advanced as fast as possible. The bandits, who alone remained to hold the pass, were easily driven out and scattered in all directions.When daylight came and the trick was discovered, Lu Bu and Chen Gong set off together for Xuzhou. But when they arrived and summoned the gate, instead of opening the doors, the guards on the wall saluted them with a thick flight of arrows.At the same time Mi Zhu appeared on the defense tower and shouted, ""You stole our master's city, and now we are going to give it back to him. You will not enter here again!""""Where is Chen Gui?"" cried Lu Bu, angrily.""We have slain him!"" was the reply.""Where is Chen Deng?"" said Lu Bu turning to Chen Gong.""Do you still hold to your delusion, General, that you ask where this specious rogue is?"""
