chinese,english
卻說獻計之人，乃東海朐縣人：姓糜，名竺，字子仲。此人家世富豪。嘗往洛陽買賣，乘車而回，路遇一美婦人，來求同載，竺乃下車步行，讓車與婦人坐。婦人請竺同載。竺上車端坐，目不邪視。行及數里，婦人辭去；臨別對竺曰：「我乃南方火德星君也，奉上帝敕，往燒汝家。感君相待以禮，故明告君。君可速歸，搬出財物。吾當夜來。」言訖不見。竺大驚，飛奔到家，將家中所有，疾忙搬出。是晚果然廚中火起，盡燒其屋。竺因此廣捨家財，濟貧拔苦。後陶謙聘為別駕從事。當日獻計曰：「某願親往北海郡，求孔融起兵救援；更得一人往青州田楷處求救：若二處軍馬齊來，操必退兵矣。」,"It was one Mi Zhu who said he knew how to defeat Cao Cao utterly. Mi Zhu came of a wealthy family of merchants in Donghai and trading in Luoyang. One day traveling homeward from that city in a carriage, he met an exquisitely beautiful lady trudging along the road, who asked him to let her ride. He stopped and yielded his place to her. She invited him to share the seat with her. He mounted, but sat rigidly upright, never even glancing in her direction. They traveled thus for some miles when she thanked him and alighted.Just as she left she said, ""I am the Goddess of Fire from the Southern Land. I am on my way to execute a decree of the Supreme God to burn your dwelling, but your extreme courtesy has so deeply touched me that I now warn you. Hasten homeward, remove your valuables, for I must arrive tonight.""Thereupon she disappeared. Mi Zhu hastily finished his journey and, as soon as he arrived, moved everything out of his house. Sure enough that night a fire started in the kitchen and involved the whole house. After this he devoted his wealth to relieving the poor and comforting the afflicted. Tao Qian gave him the magistracy office he then held.The plan Mi Zhu proposed was this: ""I will go to Beihai and beg Governor Kong Rong to help. Another should go to Qingzhou on a similar mission to get the help from Imperial Protector Tian Kai. If the armies of these two places march on Cao Cao, he will certainly retire."""
謙從之，遂寫書二封，問帳下誰人敢去青州求救。一人應聲願往。眾視之，乃廣陵人：姓陳，名登，字元龍。陶謙先打發陳元龍往青州去訖，然後命糜竺齎書赴北海，自己率眾守城，以備攻擊。,"Tao Qian accepted the plan and wrote two letters. He asked for a volunteer to go to Qingzhou, and a certain Chen Deng of Guangling offered himself and, after he had left, Mi Zhu was formally entrusted with the mission to the north. Meanwhile Tao Qian and his generals would hold the city as they could."
卻說北海孔融，字文舉，魯國曲阜人也；孔子二十世孫，泰山都尉孔宙之子。自小聰明。年十歲時，往謁河南尹李膺，閽人難之，融曰：「我係李相通家。」及入見，膺問曰：「汝祖與吾祖何親？」融曰：「昔孔子曾問禮於老子，融與君豈非累世通家？」膺大奇之。,"Kong Rong was a native of Qufu in the old state of Lu. He was one of the twentieth generation in descent from the great Teacher Confucius (Kong Fuzi). Kong Rong had been noted as a very intelligent lad, somewhat precocious. When ten years old he had gone to see Li Ying, the Governor of Henan, but the doorkeeper demurred to letting him in.But when Kong Rong said, ""I am Minister Li Ying's intimate friend,"" he was admitted.Li Ying asked Kong Rong what relations had existed between their families that might justify the term intimate.The boy replied, ""Of old my ancestor Confucius questioned your ancestor, the Daoist sage Laozi, concerning ceremonies. So our families have known each other for many generations.""Li Ying was astonished at the boy's ready wit."
少頃，太中大夫陳煒至。膺指融曰：「此奇童也。」煒曰：「小時聰明，大時未必聰明。」融即應聲曰：「如君所言，幼時必聰明者。」煒等皆笑曰：「此子長成，必當代之偉器也。」自此得名。後為中郎將，累遷北海太守。極好賓客，常曰：「座上客常滿，樽中酒不空：吾之願也。」在北海六年，甚得民心。,"Presently High Minister Chen Wei visited, to whom Li Ying told the story of his youthful guest. ""He is a wonder, this boy,"" said Li Ying, pointing to Kong Rong.Chen Wei replied, ""It does not follow that a clever boy grows up into a clever man.""The lad took him up at once, saying, ""By what you say, Sir, you were certainly one of the clever boys.""The Minister and the Governor all laughed, saying, ""The boy is going to be a noble vessel.""Thus from boyhood Kong Rong was famous. As a man he rose to be an Imperial Commander and was sent as Governor to Beihai, where he was renowned for hospitality. He used to quote the lines:""Let the rooms be full of friends,And the cups be full of wine.That is what I like.""After six years at Beihai the people were devoted to him."
當日正與客坐，人報徐州糜竺至。融請入見，問其來意，竺出陶謙書，言：「曹操攻圍甚急，望明公垂救。」融曰：「吾與陶恭祖交厚，子仲又親到此，如何不去。只是曹孟德與我無讎，當先遣人送書解和。如其不從，然後起兵。」竺曰：「曹操倚仗兵威，決不肯和。」融教一面點兵，一面差人送書。正商議間，忽報黃巾賊黨管亥部領群寇數萬殺奔前來。孔融大驚，急點本部人馬，出城與賊迎戰。管亥出馬曰：「吾知北海糧廣，可借一萬石，即便退兵；不然，打破城池老幼不留！」孔融叱曰：「吾乃大漢之臣，守大漢之地，豈有糧米與賊耶！」管亥大怒，拍馬舞刀，直取孔融。融將宗寶挺鎗出馬；戰不數合，被管亥一刀，砍宗寶於馬下。孔融兵大亂，奔入城中。管亥分兵四面圍城，孔融心中鬱悶。糜竺懷愁，更不待言。,"The day that Mi Zhu arrived, Kong Rong was, as usual, seated among his guests, and the messenger was ushered in without delay. In reply to a question about the reason of the visit, Mi Zhu presented Tao Qian's letter which said that Cao Cao was pressing on Xuzhou City and the Imperial Protector prayed for help.Then said Kong Rong, ""Your master and I are good friends, and your presence here constrains me to go to his aid. However, I have no quarrel with Cao Cao either, so I will first write to him to try to make peace. If he refuses my offer, then I must set the army in motion.""""Cao Cao will not listen to proposals of peace: He is too certain of his strength,"" said Mi Zhu.Kong Rong wrote his letter and also gave orders to muster his troops. Just at this moment happened another rising of the Yellow Scarves, ten thousand of them, and the ruffians began to rob and murder at Beihai. It was necessary to deal with them first, and Kong Rong led his army outside the city.The rebel leader, Guan Hai, rode out to the front, saying, ""I know this county is fruitful and can well spare ten thousand carts of grain. Give me that and we retire; refuse, and we will batter down the city walls and destroy every soul!""Kong Rong shouted back, ""I am a servant of the great Hans, entrusted with the safety of their land. Think you I will feed rebels?""Guan Hai whipped his steed, whirled his sword around his head, and rode forward. Zong Bao, one of Kong Rong's generals, set his spear and rode out to give battle, but after a very few bouts Zong Bao was cut down. Soon the soldiers fell into panic and rushed pell-mell into the city for protection. The rebels then laid siege to the city on all sides. Kong Rong was very down-hearted; and Mi Zhu, who now saw no hope for the success of his mission, was grieved beyond words."
次日，孔融登城遙望，賊勢浩大，倍添憂惱。忽見城外一人挺鎗躍馬殺入賊陣，左衝右突，如入無人之境，直到城下大叫：「開門！」孔融不識其人，不敢開門。賊眾趕到河邊，那人回身連搠十數人下馬，賊眾倒退，融急命開門引入。其人下馬棄鎗，逕到城上，拜見孔融。融問其姓名對曰：「某東萊黃縣人也：覆姓太史，名慈，字子義。老母重蒙恩顧。某昨自遼東回家省親，知賊寇城，老母說：『屢受府君深恩，汝當往救。』某故單馬而來。」孔融大喜。原來孔融與太史慈，雖未識面，卻曉得他是個英雄。因他遠出，有老母住在離城二十里之外，融常使人遣以粟帛；母感融德，故特使慈來救。,"The sight from the city wall was exceeding sad, for the rebels were there in enormous numbers. One day standing on the wall, Kong Rong saw afar a man armed with a spear riding hard in among the Yellow Scarves and scattering them before him like chaff before the wind.Before long the man had reached the foot of the wall and called out, ""Open the gate!""But the defenders would not open to an unknown man, and in the delay a crowd of rebels gathered round the rider along the edge of the moat. Suddenly wheeling about, the warrior dashed in among them and bowled over a dozen at which the others fell back. At this Kong Rong ordered the wardens to open the gates and let the stranger enter. As soon as he was inside, he dismounted, laid aside his spear, ascended the wall, and made humble obeisance to the Governor.""My name is Taishi Ci, and I am from the county of Laihuang. I only returned home yesterday from the north to see my mother, and then I heard that your city was in danger from a rebel attack. My mother said you had been very kind to her and told me I should try to help. So I set out all alone, and here I am.""This was cheering. Kong Rong already knew Taishi Ci by reputation as a valiant fighting man, although they two had never met. The son being far away from his home, Kong Rong had taken his mother, who dwelt a few miles from the city, under his especial protection and saw that she did not suffer from want. This had won the old lady's heart and she had sent her son to show her gratitude."
當下孔融重待太史慈，贈與衣甲鞍馬。慈曰：「某願借精兵一千，出城殺賊。」融曰：「君雖英勇，然賊勢甚盛，不可輕出。」慈曰：「老母感君厚德，特遣慈來；如不能解圍，慈亦無顏見母矣。願決一死戰。」融曰：「吾聞劉玄德乃當世英雄，若請得他來相救此圍自解；只無人可使耳。」慈曰：「府君修書，某當急往。」融喜，修書付慈。慈擐甲上馬，腰帶弓矢，手時鐵鎗，飽食嚴裝，城門開處，一騎飛出。近河，賊將率眾來戰，慈連搠死數人，透圍而出。管亥知有人出城，料必是請救兵的，便自引數百騎趕來，八面圍定。慈倚住鎗，拈弓搭箭，八面射之，無不應弦落馬。賊眾不敢來追。,"Kong Rong showed his appreciation by treating his guest with the greatest respect, making him presents of clothing and armor, saddles and horses.Presently said Taishi Ci, ""Give me a thousand soldiers, and I will go out and drive off these fellows.""""You are a bold warrior, but they are very numerous. It is a serious matter to go out among them,"" said Kong Rong.""My mother sent me because of your goodness to her. How shall I be able to look her in the face if I do not raise the siege? I would prefer to conquer or perish.""""I have heard Liu Bei is one of the heroes in the world. If we could get his help, there would be no doubt of the result. But there is no one to send.""""I will go as soon as I have received your letter!""So Kong Rong wrote letters and gave them to his helper.Taishi Ci put on his armor, mounted his steed, attached his bow and quiver to his girdle, took his spear in his hand, tied his packed haversack firmly to his saddle bow, and rode out at the city gate. He went quite alone.Along the moat a large party of the besiegers were gathered, and they came to intercept the solitary rider. But Taishi Ci dashed in among them and cut down several and so finally fought his way through.Guan Hai, hearing that a rider had left the city, guessed what his errand would be and followed Taishi Ci with a party of horsemen. Guan Hai spread them out so that the messenger rider was entirely surrounded. Then Taishi Ci laid aside his spear, took his bow, adjusted his arrows one by one and shot all round him. And as a rider fell from his steed with every twang of Taishi Ci's bowstring, the pursuers dared not close in."
太史慈得脫，星夜投平原來見劉玄德。施禮罷，具言孔北海被圍求救之事，呈上書札。玄德看畢，問慈曰：「足下何人？」慈曰：「某太史慈，東海之鄙人也。與孔融親非骨肉，比非鄉黨，特以氣誼相投，有分憂共患之意。今管亥暴亂，北海被圍，孤窮無告，危在旦夕。聞君仁義素著，能救人危急，故特令某冒鋒突圍，前來求救。」玄德斂容答曰：「孔北海知世間有劉備耶？」乃同雲長、翼德點精兵三千，往北海郡進發。,"Thus he got clear away and rode in hot haste to Liu Bei. Taishi Ci reached Pingyuan, and after greeting his host in proper form he told how Kong Rong was surrounded and had sent him for help. Then he presented the letter which Liu Bei read.""And who are you?"" asked Liu Bei.""I am Taishi Ci, a fellow from Laihuang. I am not related by ties of kin to Kong Rong, nor even by ties of neighborhood, but I am by the bonds of sentiment and I share his sorrows and misfortunes. The Yellow Scarves have invested his city, and he is distressed with none to turn to, and destruction is very near. You are known as humane, righteous, and eager to help the distressed. Therefore at his command I have braved all dangers and fought my way through his enemies to pray you save him.""Liu Bei smiled and sighed, saying, ""And does he know there is a Liu Bei in this world?""So Liu Bei, together with Guan Yu and Zhang Fei, told off three thousand troops and set out to help raise the siege."
管亥望見救軍來到，親自引兵迎敵；因見玄德兵少，不以為意。玄德與關、張、太史慈立馬陣前，管亥忿怒直出。太史慈卻待向前，雲長早出，直取管亥。兩馬相交，眾軍大喊；量管亥怎敵得雲長，數十合之間，青龍刀起，劈管亥於馬下。太史慈，張飛，兩騎齊出，雙槍並舉，殺入賊陣。玄德驅兵掩殺。城上孔融望見太史慈與關、張趕殺賊眾，如虎入羊群，縱橫莫當，便驅兵出城。兩下夾攻，大敗群賊，降者無數，餘黨潰散。,"When the rebel leader Guan Hai saw these new forces arriving, he led out his army to fight them, thinking he could easily dispose of so small a force. The brothers and Taishi Ci with them sat on their horses in the forefront of their array. Guan Hai hastened forward. Taishi Ci was ready to fight, but Guan Yu had opened the combat. He rode forth and the two steeds met. The soldiers set up a great noise. After a few bouts Guan Yu's green-dragon saber rose and fell, and with the stroke fell the rebel leader.This was the signal for Zhang Fei and Taishi Ci to take a share, and they advanced side by side. With their spears ready they dashed in, and Liu Bei urged forward his force. The besieged Governor saw his doughty rescuers laying low the rebels as tigers among a flock of sheep. None could withstand them, and he then sent out his own troops to join in the battle so that the rebels were between two armies. The rebels' force was completely broken and many troops surrendered, while the remainder scattered in all directions."
孔融迎接玄德入城，敘禮畢，大設筵宴慶賀。又引糜竺出見玄德，具言張闓殺曹嵩之事：「今曹操縱兵大掠，圍住徐州，特來求救。」玄德曰：「陶恭祖乃仁人君子，不意受此無辜之冤。」孔融曰：「公乃漢室宗親，今曹操殘害百姓，倚強欺弱，何不與融同往救之？」玄德曰：「備非敢推辭，奈兵微將寡，恐難輕動。」孔融曰：「融之欲救陶恭祖，雖因舊誼，亦為大義。公豈獨無仗義之心耶？」玄德曰：「既如此，請文舉先行，容備去公孫瓚處，借三五千人馬，隨後便來。」融曰：「公切勿失信。」玄德曰：「公以備為何如人也？聖人云：『自古皆有死，人無信不立。』劉備借得軍，或借不得軍，必然親至。」,"The victors were welcomed into the city, and as soon as possible a banquet was prepared in their honor. Mi Zhu was presented to Liu Bei. Mi Zhu related the story of the murder of Cao Song by Zhang Kai, Cao Cao's vengeful attack on Xuzhou, and his coming to beg for assistance.Liu Bei said, ""Imperial Protector Tao Qian is a kindly man of high character, and it is a pity that he should suffer this wrong for no fault of his own.""""You are a scion of the imperial family,"" said Governor Kong Rong, ""and this Cao Cao is injuring the people, a strong man abusing his strength. Why not go with me to rescue the sufferers?""""I dare not refuse, but my force is weak and I must act cautiously,"" said Liu Bei.""Though my desire to help arises from an old friendship, yet it is a righteous act as well. I do not think your heart is not inclined toward the right,"" said Kong Rong.Liu Bei said, ""This being so, you go first and give me time to see Gongsun Zan from whom I may borrow more troops and horses. I will come anon.""""You surely will not break your promise?"" said the Governor.""What manner of man think you that I am?"" said Liu Bei. ""The Sage said, 'Death is common to all; the person without truth cannot maintain the self.' Whether I get the troops or not, certainly I shall come myself."""
