chinese,english
卻說李、郭二賊欲弒獻帝。張濟、樊稠諫曰：「不可。今日若便殺之，恐眾人不服；不如仍舊奉之為主，賺諸侯入關，先去其羽翼，然後殺之，天下可圖也。」李、郭二人從其言，按住兵器。帝在樓上宣諭曰：「王允既誅，軍馬何故不退？」李傕、郭汜曰：「臣等有功王室，未蒙賜爵，故不敢退軍。」帝曰：「卿欲封何爵？」,"In the last chapter the two arch rebels, Li Jue and Guo Si, proposed to murder Emperor Xian, but their followers Zhang Ji and Fan Chou opposed this.""No. The people will not approve of his death now. Restore him to power, and get the leaguers inside Changan's control. Remove his supporters, and then we can compass his death. And the empire shall be in our hands.""So they ceased the attack.The Emperor again spoke from the tower, saying, ""Why do you still remain? You have slain Wang Yun: Now withdraw these soldiers.""Then Li Jue and Guo Si replied, ""Your servants desire rank rewards for their good service to the dynasty.""""And what ranks, Sirs?"""
李、郭、張、樊、四人各自寫職銜獻上，勒要如此官品。帝只得從之，封李傕為車騎將軍池陽侯，領司隸校尉，假節鉞；郭汜為後將軍，假節鉞：同秉朝政；樊稠為右將軍萬年侯；張濟為驃騎將軍平陽侯，領兵屯弘農。其餘李蒙、王方等，各為校尉。然後謝恩，領兵出城。又下令追尋董卓屍首，獲得些零碎皮骨，以香木雕成形體，安湊停當，大設祭祀，用王者衣冠棺槨，選擇吉日，遷葬郿塢。臨葬之期，天降大雷雨，平地水深數尺，霹靂震開其棺，屍首提出棺外。李傕候晴再葬，是夜又復如是。三次改葬，皆不能葬。零皮碎骨，悉為雷火消滅。天之怒卓，可謂甚矣！,"All four - Li, Guo, Zhang, and Fan - wrote their wishes and handed them up to the Emperor who had no choice but to accede to the request, and they were created:Li Jue was appointed General of the Flying Chariots, Lord of Chiyang, Commander of Capital District, Court Administrator, and granted Military Insignia.Guo Si was appointed General of the Rear Army, Lord of Meiyang, Court Administrator, and granted Military Insignia.Fan Chou was appointed General of the Right Army and Lord of Wanian.Zhang Ji was appointed General of the Flying Cavalry and Lord of Pingyan.Li Meng and Wang Fang, for opening the city gates, were appointed Imperial Commanders.After receiving ranks of nobility, Li Jue and Guo Si thanked the Emperor, and went away to camp at Xunung, the suburb of Changan. Other rebel leaders also were gratified with ranks. And once more the capital was free of troops.Dong Zhuo's followers, having so far succeeded, did not forget their late leader. They sought his corpse for burial, but only a few fragments were discoverable. Then they had sculptors engrave a statue of fragrant wood in his likeness, laid that out in proper form, and instituted a noble's sacrifices and prayers. The remains were dressed in the robes of a prince, laid in a princely coffin for burial. They selected Meiwo for his tomb and having found an auspicious day conveyed the coffin thither.But a terrific thunder storm came on at the time of inhumation, and the ground was flooded. The coffin was rived asunder, and the poor remains knocked out by thunders. A second time they buried the coffin, but a similar thing happened in the night. And yet a third time in another place but the earth rejected the remains. Meanwhile the thunder-fire had entirely consumed them. So it may be said justly that Heaven was exceedingly angry with Dong Zhuo."
且說李傕、郭汜既掌大權，殘虐百姓，密遣心腹待帝左右，觀其動靜。獻帝此時舉動荊棘。朝廷官員，並由二賊陞降。因採人望，特宣朱雋入朝，封為太僕，同領朝政。一日，人報西涼太守馬騰、并州刺史韓遂二將引軍十餘萬，殺奔長安來，聲言討賊。原來二將先曾使人入長安，結連侍中馬宇、諫議大夫种邵、左中郎將劉範三人為內應，共謀賊黨。三人密奏獻帝，封馬騰為征西將軍、韓遂為鎮西將軍，各受密詔，併力討賊。,"So now Li Jue and Guo Si wielded the real power of the scepter, and they were hard upon the people. They also removed the attendants from the Palace and replaced them by their own creatures, who maintained a most perfect watch over every movement of the Emperor so that he was greatly hampered and embarrassed. All appointments and demotions were made by the two rebels. For the sake of popularity they especially summoned the veteran general Zhu Jun to court, made him Court Administrator and associated him with the government.One day came a report that the Governor of Xiliang, Ma Teng, and the Imperial Protector of Bingzhou, Han Sui, with one hundred thousand troops, were rapidly approaching the capital with the intention of attacking the rebels in the name of the Emperor.Now these leaders from the west had laid careful plans. Ma Teng and Han Sui had sent trusty friends to the capital to find out who would support them. They had conspired with three officials —-Court Counselors Ma Yu and Chong Shao, and Imperial Commander Liu Fan —-to be their inside allies and plot against the rebels. These three obtained from the Throne two secret edicts conferring the ranks of Commander Who Conquers the West on Ma Teng and Commander Who Guards the West on Han Sui. With these powers the two commanders joined forces and began their march."
當下李傕，郭汜，張濟，樊稠聞二軍將至，一同商議禦敵之策。謀士賈詡曰：「二軍遠來，只宜深溝高壘，堅守以拒之。不過百日，彼兵糧盡，必將自退，然後引兵追之，二將可擒矣。」李蒙、王方出曰：「此非好計。願借精兵萬人，立斬馬騰、韓遂之頭，獻於麾下。」賈詡曰：「今若即戰，必當敗績。」李蒙、王方齊聲曰：「若吾二人敗，情願斬首；吾若戰勝，公亦當輸首級與我。」詡謂李傕、郭汜曰：「長安西二百里盩厔山，其路險崚，可使張、樊兩將軍屯兵於此，堅壁守之；待李蒙、王方自引兵迎敵，可也。」李傕、郭汜從其言，點一萬五千人馬與李蒙、王方。二人忻喜而去，離長安二百八十里下寨。西涼兵到，兩個引軍迎去。西涼軍馬攔路擺開陣勢。馬騰、韓遂聯轡而出，指李蒙、王方罵曰：「反國之賊！誰去擒之？」,"The four leaders of the party in power —-Li Jue, Guo Si, Fan Chou, and Zhang Ji —-held a consultation with their generals as to how to meet the attack.Adviser Jia Xu said, ""Since the attackers are coming from a distance, our plan is to fortify and wait till shortage of food shall work for us. In a hundred days their supplies will be consumed, and they must retire. We can pursue, and we shall capture them.""Li Meng and Wang Fang rose and said, ""This plan is bad. Give us ten thousand troops, and we will put an end to both of them and offer their heads before your ensign!""""To fight forthwith means defeat,"" said Jia Xu.Li Meng and Wang Fang cried with one voice, ""If we fail, we are willing to lose our heads! But if we win, then your head is forfeit.""Jia Xu then suggested to Li Jue and Guo Si, saying, ""Seventy miles west of the capital stand the Zhouzhi Hills. The passes are narrow and difficult. Send Generals Zhang Ji and Fan Chou to occupy this point of vantage and fortify themselves so that they may support Li Meng and Wang Fang.""Li Jue and Guo Si accepted this advice. They told off fifteen thousand horse and foot, and Li Meng and Wang Fang left in high spirit. They made a camp ninety miles from Changan.The force from the west arrived. Ma Teng and Han Sui led out their troops to the attack. They found their opponents Li Meng and Wang Fang in battle array.Ma Teng and Han Sui rode to the front side by side. Pointing to the rebel leaders, the commanders abused them, crying, ""Those are traitors! Who will capture them?"""
言未絕，只見一位少年將軍，面如冠玉，眼若流星；虎體猿臂；彪腹狼腰；手執長鎗，坐騎駿馬，從陣中飛出。原來那將即馬騰之子馬超，字孟起，年方十七歲，英勇無敵。王方欺他年幼，躍馬迎戰。戰不到數合，早被馬超一鎗刺於馬下。馬超勒馬便回。李蒙見王方刺死，一騎馬從馬超背後趕來。超只做不知。馬騰在陣門下大叫：「背後有人追趕！」,"Hardly were the words spoken when there came out a youth general with a clear, white complexion as jade, eyes like shooting stars, lithe of body and strong of limb. He was armed with a long spear and bestrode an excellent steed. This young leader was Ma Chao, son of Ma Teng, then seventeen years of age.Though young he was a supreme valiance. Wang Fang, despising him on account of his youth, galloped forth to fight him. Before they had exchanged many passes Wang Fang was disabled and fell to a thrust of Ma Chao's spear. The victor turned to retire into the formation, but Li Meng rode after Ma Chao to avenge his fallen colleague.Ma Chao did not see Li Meng, but his father called out: ""You are followed!"""
聲猶未絕，只見馬超已將李蒙擒在馬上。原來馬超明知李蒙追趕，卻故意俄延；等他馬近，舉鎗刺來，超將身一閃，李蒙搠個空，兩馬相並，被馬超輕舒猿臂，生擒過去。軍士無主，望風奔逃。馬騰、韓遂乘勢追殺，大獲勝捷，直逼隘口下寨，把李蒙斬首號令。,"Hardly had Ma Teng spoken when he saw that the pursuer was a prisoner seated on his son's steed. Now Ma Chao had known he was followed, but pretended not to see, waiting till his enemy should have come close and lifted his spear to strike. Then Ma Chao suddenly wheeled about. The spear thrust met only empty air; and as the horses passed, Ma Chao's powerful arm shot out and pulled Li Meng from the saddle. Thus Li Meng and Wang Fang's soldiers were left leaderless and fled in all directions. The army of Ma Teng and Han Sui dashed in pursuit, and a complete victory was scored. They pressed into one of the passes and made a camp. Then they decapitated Li Meng and exposed his head."
李傕、郭汜聽知李蒙、王方皆被馬超殺了，方信賈詡有先見之明，重用其計，只理會緊守關防，由他搦戰，並不出迎。果然西涼軍未及兩月，糧草俱乏，商議回軍。恰好長安城中馬宇家僮出首家主與劉範、种邵，外連馬騰、韓遂，欲為內應等情。李傕、郭汜大怒，盡收三家少良賤斬於市，把三顆首級，直來門前號令。,"When Li Jue and Guo Si heard that both the boastful generals had fallen under the hand of one young leader, they knew that Jia Xu had given good advice and was gifted with clear prescience. So they valued his plans the more highly and decided to act on the defensive. They refused all challenges to combat.Surely enough after a couple of months the supplies of the Xiliang force were all exhausted and the leaders began to consider retreat.Just at this juncture a household servant of Ma Yu's family betrayed his master and told of the conspiracy of the three court officials to assist the attackers. The two chiefs Li Jue and Guo Si in revenge seized the three conspirators —-Ma Yu, Chong Shao, and Liu Fan —-, with every member of their households, and beheaded them in the market place. The heads of the three were exposed at the front gate of the capital."
馬騰、韓遂見軍糧已盡，內應又泄，只得拔寨退軍。李傕、郭汜令張濟引軍趕馬騰，樊稠引軍趕韓遂，西涼軍大敗。馬超在後死戰，殺退張濟。樊稠去趕韓遂，看看趕上，相近陳倉，韓遂勒馬向樊稠曰：「吾與公乃同鄉之人，今日何太無情？」樊稠也勒住馬答道：「上命不可違！」韓遂曰：「吾此來亦為國家耳，公何相逼之甚也？」樊稠聽罷，撥轉馬頭，收兵回寨，讓韓遂去了。不隄防李傕之姪李別，見樊稠放走韓遂，回報其叔。李傕大怒，便欲興兵討樊稠。賈詡曰：「目今人心未寧，頻動干戈，深為不便；不若設一宴，請張濟、樊稠慶功，就席間擒稠斬之，毫不費力。」,"Being short of food and hearing of the destruction of their three adherents in the city, the only course for Ma Teng and Han Sui was to retreat. At once Zhang Ji went in pursuit of Ma Teng, and Fan Chou followed Han Sui. The retreating army under Ma Teng was beaten, and only by Ma Chao's desperate efforts were the pursuers driven off.Fan Chou pursued the other army. When he had come close, Han Sui rode boldly up and addressed him, saying, ""You and I, Sir, are fellow villagers. Why then behave so unfriendly?""Fan Chou replied, ""I must obey the commands of my chief.""""I am here for the service of the state. Why do you press me so hard?"" said Han Sui.At this Fan Chou turned his horse, called in his troops, and left Han Sui in peace. Unwittingly a nephew of Li Jue had been a witness of this scene; and when he saw the enemy allowed to go free, he returned and told his uncle. Angry that his enemy had escaped, Li Jue would have sent an army to wreak vengeance on his general.But his adviser Jia Xu again came in, saying, ""The people are yet unsettled: It is dangerous to provoke another war. Instead, invite Fan Chou to a banquet and, while the feast was in progress, execute him for dereliction of duty."""
李傕大喜，便設宴請張濟、樊稠。二將忻然赴宴。酒半闌，李傕忽然變色曰：「樊稠何故交通韓遂，欲謀造反？」稠大驚；未及回言，只見刀斧手擁出，早把樊稠斬首於案下。嚇得張濟俯伏於地。李傕扶起曰：「樊稠謀反，故而誅之；公乃吾之心腹，何須驚懼？」將樊稠軍撥與張濟管領。張濟自回弘農去了。,"This seemed good to Li Jue, so the banquet was prepared. Zhang Ji and Fan Chou accepted their invitations and went cheerfully.Toward the latter part of the entertainment a sudden change came over their host Li Jue, and he suddenly asked Fan Chou, ""Why have you been intriguing with Han Sui? You are turning traitor, eh?""The unhappy guest was taken aback. Before he could frame his words to reply, he saw the assassins rush out with swords and axes. In a moment all was over, and Fan Chou's head lay beneath the table.Scared beyond measure, his fellow-guest Zhang Ji groveled on the floor.""Fan Chou was a traitor,"" said the host, raising Zhang Ji by the arm, ""and he has his deserts. You are my friend and need not fear.""Li Jue gave Zhang Ji command of Fan Chou's army with which Zhang Ji returned to his headquarters garrison in Hongnong."
李傕、郭汜自戰敗西涼兵，諸侯莫敢誰何。賈詡屢勸撫安百姓，結納賢豪。自是朝廷微有生意。不想青州黃巾又起，聚眾數十萬，頭目不等，劫掠良民。太僕朱雋，保舉一人，可破群賊。李傕、郭汜問是何人。朱雋曰：「要破山東群賊，非曹孟德不可。」李傕曰：「孟德今在何處？」雋曰：「見為東郡太守，廣有軍兵。若命此人討賊，賊可剋日而破也。」李傕大喜，星夜草詔，差人齎往東郡，命曹操與濟北相鮑信一同破賊。操領了聖旨，會合鮑信，一同興兵，擊賊於壽陽。鮑信殺入重地，為賊所害。操追趕賊兵，直到濟北，降者數萬。操即用賊為前驅，兵馬到處，無不降須。不過百餘日，招安到降兵三十餘萬、男女百餘萬口。操擇精銳者，號為「青州兵」，其餘盡令歸農。操自此威名日重。捷書報到長安，朝廷加曹操為鎮東將軍。,"No one of the leaders among the leaguers dared attempt an attack on the party newly risen from Dong Zhuo's disaffection, while on the other hand Jia Xu never ceased to urge his masters to exert themselves for the welfare of the people and thus to tempt wise people to join them. And by these means the government began to prosper, and the court to reassert its authority.However, a new trouble arose in the shape of a resurgence of Yellow Scarves in Qingzhou. They came, under numerous chieftains, in the number of hundreds of thousand and plundered any place they reached.Court Administrator Zhu Jun said he knew of one who could destroy this sedition, and when asked who was the man he proposed, Zhu Jun said, ""You want to destroy this horde of rebels: You will fail unless you get the service of Cao Cao.""""And where is he?"" asked Li Jue.""He is Governor of Dongjun. He has a large army, and you have only to order him to act. The rising will be broken.""A messenger went post haste with a command for Cao Cao and Bao Xin, Lord of Jibei, to act together in quelling the rebellion. As soon as Cao Cao received the court command, he arranged with his colleagues first to attack the rebels at Shouyang. Bao Xin made a dash right into their midst and inflicting damage wherever he could, but he was killed in battlefield. Cao Cao pursued the rebels as they fled to Jibei. Ten thousand surrendered. Then Cao Cao put his former enemies in the van. When his army reached any place, many more surrendered and joined him. After one hundred days, he had won over three hundred thousand troops and more than one million ordinary folks.Of these new adherents the strongest and boldest were made the Qingzhou Army, and the others were sent home to their fields. In consequence of these successes Cao Cao's prestige and fame became very great and increased daily. He reported his success to Capital Changan and was rewarded with the title of General Who Guards the East.Liu Dai then submitted; he and his officials sent to Dongjun and invited Cao Cao to take over Yanzhou."
