chinese,english
卻說楊大將獻計欲攻劉備。袁術曰：「計將安出？」大將曰：「劉備軍屯小沛，雖然易取，奈呂布虎踞徐州，前次許他金帛糧馬，至今未與，恐其助備；今當令人送與糧食，以結其心，使其按兵不動，則劉備可擒。先擒劉備，後圖呂布，徐州可得也。」術喜，便具粟二十萬斛，令韓胤齎密書往見呂布。呂布甚喜，重待韓胤。胤回告袁術，術遂遣紀靈為大將，雷簿、陳蘭為副將，統兵數萬，進攻小沛。,"Adviser Yang Dajiang knew how to remove Liu Bei.""What is your plan of attack on Liu Bei?"" said Yuan Shu.Yang Dajiang replied, ""Though Liu Bei, now camped at Xiaopei, could easily be taken, yet Lu Bu is strongly posted at the chief city near. And I think Lu Bu would help Liu Bei if it was only for the grudge he bears against you for not having given him the gold and studs, grain and horses you promised. First of all you should send Lu Bu a present whereby to engage his affections and keep him quiet while you deal with Liu Bei. You can see to Lu Bu after this is done, and Xuzhou is yours.""Thereupon two hundred thousand carts of millet was sent, with letters, by the hand of Han Yin. The gift pleased Lu Bu greatly, and he treated the messenger with great cordiality. Feeling sure of no trouble from that quarter, Yuan Shu told off one hundred thousand troops against Xiaopei. The army was led by Ji Ling as commanding general, and Lei Bo and Chen Lan as generals."
玄德聞知此信，聚眾商議。張飛要出戰。孫乾曰：「今小沛糧寡兵微，如何抵敵？可修書告急於呂布。」張飛曰：「那廝如何肯來！」玄德曰：「乾之言善。」送修書與呂布。書略曰。伏自將軍垂念，今備於小沛容身，實拜雲天之德。今袁術欲報私讎，遣紀靈領兵到縣，亡在旦夕，非將軍莫能救。望驅一旅之師，以救倒懸之急，幸甚幸甚！,"When Liu Bei heard these things he called his officers to take counsel. Zhang Fei was for open war forthwith.But Sun Qian said, ""Our resources were too small; therefore, we must lay the position before Lu Bu and ask help.""""Do you think that fellow will do anything?"" said Zhang Fei cynically.Liu Bei decided in favor of Sun Qian's proposal and wrote as follows:""Humbly I venture to remind you that I am here by your orders and enjoy repose as the result of your kindness, extensive as the heavens. Now Yuan Shu, moved by a desire for revenge, is sending a force against this place, and its destruction is imminent unless you intervene to save it. I trust you will send an army quickly to protect the town, and our happiness will be inexpressible."""
呂布看了書，與陳宮計議曰：「前者袁術送糧致書，蓋欲使我不救玄德也。今玄德又來求救，吾想玄德屯軍小沛，未必遂能為我害；若袁術併了玄德，則北連泰山諸將以圖我，我不能安枕矣；不若救玄德。」遂點兵啟程。,"Receiving this Lu Bu called in Chen Gong to whom he said, ""I have just received gifts from Yuan Shu and a letter, with the intent of restraining me from helping Liu Bei. Now comes a letter from Liu Bei asking help. It seems to me that Liu Bei where he is can do me no harm; but if Yuan Shu overcomes Liu Bei and comes to an understanding with the leaders around the Huashan Mountains, then the power of the north is so much nearer, and I should be unable to resist the attacks of so many leaders and should never sleep secure. I will aid Liu Bei: That is the better course for me."""
卻說紀靈起兵長驅大進，已到沛縣東南，劄下營寨。晝列旌旗，遮映山川；夜設火鼓，震崩天地，玄德縣中，止有五千餘人，也只得勉強領兵出縣，布陣安營。忽報呂布引軍離縣一里，西南上劄下營寨。紀靈知呂布領兵來救劉備，急令人致書於呂布，責其無信。布笑曰：「我有一計，使袁、劉兩家都不怨我。」乃發使往紀靈、劉備寨中，請二人飲宴。,"Now Yuan Shu's force sent against Xiaopei went thither as quickly as possible, and soon the country to the southeast fluttered with pennons by day and blazed with watch fires by night, while the rolling of the drums reverberated from heaven to earth.The five thousand troops at Liu Bei's disposal were led out of the city and arranged to make a brave show, but it was good news to him to hear that Lu Bu had arrived and was quite near. Lu Bu camped only half a mile away to the southwest. When Yuan Shu's general, Ji Ling, heard of his arrival, he wrote letters reproaching Lu Bu for his treachery. Lu Bu smiled as he read them.""I know how to make both of them love me,"" said Lu Bu.So he sent invitations to both Liu Bei and Ji Ling to come to a banquet."
玄德聞布相請，即便欲往。關、張曰：「兄長不可去。呂布必有異心。」玄德曰：「我待彼不薄，彼必不害我。」遂上馬而行。關、張隨往。到呂布寨中，入見。布曰：「吾今特解公之危，異日得志，不可相忘。」玄德稱謝。布請玄德坐。關、張按劍於立於背後。人報紀靈到，玄德大驚，欲避之。布曰：「吾特請你二人來會議，勿得生疑。」,"Liu Bei was for accepting the invitation and going, but his brothers dissuaded him, saying, ""There is some treachery in his heart.""""I have treated him too well for him to do me any harm,"" said Liu Bei.So he mounted and rode away, the two brothers following. They came to the camp.The host said, ""Now by a special effort I have got you out of danger. I hope you will not forget that when you come into your own.""Liu Bei thanked him heartily and was invited to take a seat. Guan Yu and Zhang Fei took up their usual place as guards.But when Ji Ling was announced, Liu Bei felt a spasm of fear and got up to go away.""You two are invited for the particular purpose of a discussion,"" said the host. ""Do not take it amiss."""
玄德未知其意，心下不安。紀靈下馬入寨，卻見玄德在帳上坐，大驚，抽身便回，左右留之不住。呂布向前一把扯回，如提童稚。靈曰：「將軍欲殺紀靈耶？」布曰：「非也。」靈曰：「莫非殺大耳兒乎？」布曰：「亦非也」。靈曰：「然則為何？」布曰：「玄德與布乃兄弟也，今為將軍所困，故而救之。」靈曰：「若此則殺靈也？」布曰：「無有此理。布平生不好鬥，惟好解鬥。吾今為兩家解之。」靈曰：「請問今日解之之法。」布曰：「吾有一法，從天所決。」乃拉靈入帳與玄德相見。二人各懷疑忌，布乃居中坐，使靈居左，備居右，且教設宴行酒。,"Liu Bei, being quite ignorant of his intentions, was very uneasy. Presently his fellow guest entered. Seeing Liu Bei in the tent, and in the seat of honor, Ji Ling was puzzled, hesitated and tried to withdraw. But the attendants prevented this and Lu Bu, advancing, laid hold of him and drew him into the tent as if he had been a child.""Do you wish to slay me?"" asked Ji Ling.""Not at all,"" replied Lu Bu.""Then you are going to slay Long-Ears?""""No, not that.""""Then what does it mean?""""Liu Bei and I are brothers. Now, General, you are besieging him, and so I have come to the rescue.""""Then slay me,"" said Ji Ling.""There would be no sense in that. All my life I have disliked fighting and quarrels, but have loved making peace. And now I want to settle the quarrel between you two.""""May I ask how you think of doing so?""""I have a means and one approved of Heaven itself.""Then Lu Bu drew Ji Ling within the tent and led him up to Liu Bei. The two men faced each other, full of mutual suspicion, but their host placed himself between them and they took their seats, Liu Bei on the right hand of the host. The banquet began."
酒行數巡，布曰：「你兩家看我面上，俱各罷兵。」玄德無語。靈曰：「吾奉主公之命，提十萬之兵，專捉劉備，如何罷得？」張飛大怒，拔劍在手，叱曰：「吾雖兵少，覷汝輩如兒戲耳！你比百萬黃巾何如？你敢傷我哥哥！」關公急止之曰：「且看呂將軍如何主意，那時各回營寨廝殺未遲。」呂布曰：「我請你兩家解鬥，須不教你廝殺。」,"After a number of courses almost in silence, Lu Bu spoke, saying, ""I wish you two gentlemen to listen to me and put an end to your strife.""Liu Bei made no reply, but Ji Ling said, ""I have come with an army of one hundred thousand at the express bidding of my master to take Liu Bei. How can I cease the strife? I must fight.""""What!"" exclaimed Zhang Fei drawing his sword. ""Few as we are, we regard you no more than a lot of children. What are you compared with a million Yellow Scarves? You dare hurt our brother!""Guan Yu urged him to be silent, saying, ""Let us see what General Lu Bu has to say first. After that there will be time to go to our tents and fight.""""I beg you both to come to an understanding. I cannot let you fight,"" said Lu Bu."
這邊紀靈不忿，那邊張飛只要廝殺，布大怒，教「左右！取我戟來！」布提畫戟在手。紀靈、玄德、盡皆失色。布曰：「我勸你兩家不要廝殺，盡在天命。」令左右接過畫戟，去轅門外遠遠插定，乃回顧紀靈、玄德曰：「轅門離中軍一百五十步，吾若一箭射中戟上小枝，你兩家罷兵；如射不中時，各自回營，安排廝殺。有不從吾言者，併力拒之。」紀靈私忖：「戟在一百五十步之外，安能便中？且落得應允，待其不中，那時憑我廝殺。」便一口許諾。玄德自無不允。布都教坐，再各飲一杯酒。,"Now on one side Ji Ling was discontented and angry; on the other Zhang Fei was dying for a fight; and neither of the two chiefly concerned would signify assent.Then suddenly the host turned to his attendants, saying, ""Bring my trident halberd!""They did so, and he sat there gripping that graceful but effective weapon in his right hand. Both guests felt very ill at ease and turned pale.Lu Bu went on, saying, ""I have tried to persuade you to make peace, for that is the command of the Most High. It shall be put to the test.""He then bade his servants take the halberd outside beyond the gate and set it up.Then speaking to his two guests, he said, ""That gate is one hundred and fifty paces distant. If I can hit that left branch of the halberd-head with an arrow, you will both withdraw your armies. If I miss, you can go away and prepare for immediate battle. I shall stand against either of you who does not abide by what I say.""Ji Ling thought to himself, ""That small mark at that distance! How could anyone hit it?"" So he assented, thinking he would have plenty of fighting after his host had missed the mark. Of course Liu Bei was willing. They all sat down again and wine was served."
酒畢。布教取弓箭來。玄德暗祝曰：「只願他射得中便好！」只見呂布挽起袍袖，搭上箭，扯滿弓，叫一聲「著！」正是：弓開如秋月行天，箭去似流星落地，一箭正中畫戟小枝。帳上帳下將校，齊聲喝采。後人有詩讚之曰：,"When this had been drunk, the host called for his bow and arrows. Liu Bei silently prayed that Lu Bu would hit the mark.Lu Bu turned back his sleeves, carefully fitted an arrow to the string and pulled the bow to its utmost stretch. A slight exclamation escaped him as the bow curved like the harvest moon sailing through the sky. ""Twang!"" went the bowstring, and the arrow sped like a falling star. And it struck the slender tongue of the halberd head full and square. A roar of acclamation from all sides greeted the exploit.The multitude people often hail their praise:"
溫侯神射世間稀，曾向轅門獨解危。落日果然欺后羿，號猿直欲勝由基。,"O Lu Bu was a wonderful archer,And the arrow he shot sped straight;By hitting the mark he saved his friendThat day at his camp gate.Hou Yi, the archer of ancient days,Brought down each mocking sun,And the apes that gibbered to fright Yang YoujiWere slain by him, one by one."
