chinese,english
卻說曹操見了衣帶詔，與眾謀士商議，欲廢卻獻帝，更擇有德者立之。程昱諫曰：「明公所以能威震四方，號令天下者，以奉漢家名號故也。今諸侯未平，遽行廢立之事，必起兵端矣」操乃止。只將董承等五人，并其全家老小，押送各門處斬。死者共七百餘人。城中官民見者，無不下淚。後人有詩歎董承曰：,"The last chapter closed with the discovery of the ""girdle"" decree and the assembly of Cao Cao's advisers to consider the deposition of Emperor Xian.Cheng Yu spoke strongly against this, saying, ""Illustrious Sir, the means by which you impress the world and direct the government is the command of the House of Han. In these times of turmoil and rivalry among the nobles, such a step as the deposition of the ruler will certainly bring about civil war and is much to be deprecated.""After reflection Cao Cao abandoned the project. But Dong Cheng's plot was not to go unpunished. All five of the conspirators with every member of their households, seven hundred at least, were taken and put to death at one or another of the gates of the city. The people wept at such merciless and wholesale slaughter."
密詔傳衣帶，天言出禁門。當年曾救駕，此日更承恩，憂國成心疾，除奸入夢魂。忠貞千古在，成敗復誰論！,"A secret decree in a girdle sewn,In red blood written, the Emperor's own,To the staunch and faithful Dong Cheng addressed,Who had saved him once when enemies pressed.And who, sore grieved at his Sovereign's fate,Expressed in dreams his ceaseless hate,Carried misfortune and death in its train,But glory to him who died in vain."
又有歎王子服等四人詩曰：,Another poet wrote of the sad fate of Wang Zifu and his friends:
書名尺素矢忠謀，慷慨思將君父酬。赤膽可憐捐百口，丹心自是足千秋。,"Greatheartedly these signed the silken roll,And pledged themselves to save their king from shame.Alas! Black death of them took heavy toll,To write their names upon the roll of fame."
且說曹操既殺了董承等眾人，怒氣未消，遂帶劍入宮，來弒董貴妃。貴妃乃董承之妹，帝幸之，已懷孕五月。當日帝在後宮，正與伏皇后私論董承之事，至今尚無音耗。忽見曹操帶劍入宮，面有怒容，帝大驚失色。操曰：「董承謀反，陛下知否？」帝曰：「董卓已誅矣。」操大聲曰：「不是董卓！是董承！」帝戰慄曰：「朕實不知。」操曰：「忘了破指修詔耶？」帝不能答。操叱武士擒董妃至。帝告曰：「董妃有五月身孕，望丞相相憐。」操曰：「若非天敗，吾已被害。豈得復留此女，為吾後患？」伏后告曰：「貶於冷宮，待分娩了，殺之未遲。」操曰：「欲留此逆種，為母報讎乎？」董妃泣告曰：「乞全屍而死，勿令彰露。」操令取白練至面前。帝泣謂妃曰：「卿於九泉之下，勿怨朕躬！」言訖，淚下如雨。伏后亦大哭。操怒曰：「猶作女兒態耶！」叱武士牽出，勒死於宮門之外。後人有詩歎董妃曰：,"But the slaughter of the conspirators and their whole households did not appease the wrath of the Prime Minister. The Emperor's consort was a sister of Dong Cheng; and, sword in hand, Cao Cao went into the Forbidden City determined to slay her also. The Emperor cherished her tenderly, the more so as she was then in the fifth month of pregnancy. That day, as they often did, the Emperor, Consort Dong, and Empress Fu were sitting in their private apartment secretly talking of the decree entrusted to Dong Cheng and asking each other why nothing seemed to have been done. The sudden appearance of the angry Prime Minister, armed as he was, frightened them greatly.""Does Your Majesty know that Dong Cheng conspired against me?"" said he.""Dong Zhuo died long ago,"" replied the Emperor.""Not Dong Zhuo —-Dong Cheng!"" roared Cao Cao.The Emperor's heart trembled, but he gasped out, ""Really I did not know!""""So the cut finger and the blood written decree are all forgotten, eh?""The Emperor was silent. Cao Cao bade his lictors seize Consort Dong. The Emperor interposed asking pity for her condition.But Cao Cao said, ""If Heaven had not interposed and defeated the plot, I should be a dead man. How could I leave this woman to work evil to me by and by?""Said the Emperor, ""Immure her in one of the palaces till her confinement. Do not harm her now!""""Do you wish me to spare her offspring to avenge the mother?"" said Cao Cao.""I pray that my body may be spared mutilation and not put to shame,"" said Consort Dong.Cao Cao bade his men show her the white silk cord. The Emperor wept bitterly.""Do not hate me in the below realms of the Nine Golden Springs,"" said the Emperor to her.His tears fell like rain. Empress Fu also joined in the lament, but Cao Cao said, ""You are behaving like a lot of children.""And he told the lictors to take Consort Dong away and strangle her in the courtyard."
春殿承恩亦枉然，傷哉龍種並時捐。堂堂帝主難相救，掩面徒看淚湧泉。,"In vain had the fair girl found favor in the sight of her lord.She died, and the fruit of her womb perished.Stern and calm her lord sat, powerless to save.Hiding his face while tears gushed forth."
操諭監宮官曰：「今後但有外戚宗族，不奉吾旨，輒入宮門者斬。守禦不嚴，與同罪。」又撥心腹人三千充御林軍，令曹洪統領，以為防察。操謂程昱曰：「今董承等雖誅，尚有馬騰，劉備，亦在此數，不可不除。」昱曰：「馬騰屯軍西涼，未可輕取；但當以書慰勞，勿使生疑，誘入京師圖之，可也。劉備現在徐州，分布掎角之勢，亦不可輕敵。況今袁紹屯兵官渡，常有圖許都之心。若我一旦東征，劉備勢必求救於紹。紹趁虛來襲，何以當之？」操曰：「非也，備乃人傑也。今若不擊，待其羽翼既成，急難圖矣。袁紹雖強，事多懷疑不決，何足憂乎？」,"When leaving the Palace, Cao Cao gave strict orders to the keepers, saying ""Anyone of the imperial relatives by marriage who enter the Palace will be put to death, and the guards will share the same punishment for lack of zeal.""To make more sure he appointed three thousand Imperial Guards from his own troops and appointed Cao Hong to the command.Then said Cao Cao to his counselor Cheng Yu, ""The conspirators in the capital have been removed, it is true, but there are yet two others, Ma Teng and Liu Bei. These must not be left.""Cheng Yu replied, ""Ma Teng is strong in the west and would not be easily captured. He might be enticed to the capital by suave words and kindly praises, when he would be at your mercy. Liu Bei is at Xuzhou, strongly posted in an ox-horn formation, and not to be lightly attacked. More than this, Yuan Shao is at Guandu, and his one desire is to attack you. Any attempt on the east will send Liu Bei to Yuan Shao for help, and Yuan Shao will come here at once. Then what will you do?""""You are at fault,"" replied Cao Cao. ""Liu Bei is a bold warrior. If we wait till he is fully fledged and winged, he will be more difficult to deal with. Yuan Shao may be strong, but he is not to be feared. He is too undeciding to act."""
正議間，郭嘉自外而入。操問曰：「吾欲東征劉備，奈有袁紹之憂，如何？」嘉曰：「紹性遲而多疑，某謀士各相妒忌，不足憂也。劉備新整軍兵，眾心未服，丞相引兵東征，一戰可定矣。」操大喜曰：「正合吾意。」遂起二十萬大軍，分兵五路下徐州。,"As they were discussing these things, Guo Jia came in, and Cao Cao suddenly referred the matter to him.""If I attack Liu Bei, then Yuan Shao is to be feared. What do you think of it?""Guo Jia said, ""Yuan Shao by nature is dilatory and hesitating, and his various advisers are jealous of each other. He is not to be feared. Liu Bei is getting together a new army and has not yet won their hearts. You could settle the east in one battle.""""This advice is in harmony with my thinking,"" said Cao Cao.And he prepared an army of two hundred thousand troops, to move in five divisions against Xuzhou."
細作探知，報入徐州。孫乾先往下邳報知關公，隨至小沛報知玄德。玄德與孫乾計議曰：「此必求救於袁紹，方可解危。」於是玄德修書一封，遣孫乾至河北。乾乃先見田豐，具言其事，求其引進。,"Scouts took the news of these preparations to Xuzhou. Sun Qian first went to Xiapi to tell Guan Yu and then went to Xiaopei to tell Liu Bei. The two discussed the position and decided that help must be sought. So letters were written to Yuan Shao and given to Sun Qian, who went north, sought Tian Feng, and asked him to arrange an interview with Yuan Shao."
豐即引孫乾入見紹，呈上書信。只見紹形容憔悴，衣冠不整。豐曰：「今日主公何故如此？」紹曰：「我將死矣！」豐曰：「主公何出此言？」紹曰：「吾生五子，惟最幼者，極快吾意。今患疥瘡，命已垂絕。吾有何心更論他事乎？」豐曰：「今曹操東征劉玄德，許昌空虛，若以義兵虛而入，上可以保天子，下可以救萬民。此不易得之機會也，惟明公裁之。,"Sun Qian was introduced and presented his letters. But Yuan Shao was of melancholy countenance, and his dress was all awry. Tian Feng said, ""Why this disarray, my lord?""""I am about to die,"" replied Yuan Shao.""But why do you utter such words?""""I have three sons, but only the youngest is clever enough to understand my ideas. Now he is suffering from scabies which places his life in jeopardy. Think you that I have any heart to talk over any other affairs?""""But,"" said Tian Feng, ""the present combination of circumstances is unparalleled. Cao Cao is going to attack the east, and Xuchang will be empty. You can enter it with a few volunteers and so perform good service to the Emperor and save the people from sorrow. You have only to make up your mind to act."""
