chinese,english
卻說張飛拔劍要自刎，玄德向前抱住，奪劍擲地曰：「古人云：『兄弟如手足，妻子如衣服。衣服破，尚可縫；手足斷，安可續？』吾三人桃園結義，不求同生，但願同死。今雖失了城池家小，安忍教兄弟中道而亡？況城池本非吾有；家眷雖被陷，呂布必不謀害，尚可設計救之。賢弟一時之誤，何至遽欲捐生耶！」說罷大哭。關、張俱感泣。,"In the last chapter it was recorded that Zhang Fei was about to end his life with his own weapon in Xuyi.But Liu Bei rushed forward and caught Zhang Fei in his arms, snatched away the sword, and threw it on the earth.Liu Bei said, ""The ancient had a saying: 'Brothers are as hands and feet; wives and children are as clothing. You may mend your torn dress, but who can reattach a lost limb?' We three, by the Oath of the Peach Garden, swore to seek the same death day. The city is lost, it is true, and my wives and little ones, but I could not bear that we should die ere our course be run. Beside, Xuzhou was not really ours, and Lu Bu will not harm my family but will rather seek to preserve them. You made a mistake, worthy brother, but is it the one deserving of death?""And Liu Bei wept. His brothers were much affected, and their tears fell in sympathy."
且說袁術知呂布襲了徐州，星夜差人至呂布處，許以糧五萬斛，馬五百匹，金銀一萬兩，綵緞一千疋，使夾攻劉備。布喜，令高順領兵五萬襲玄德之後。玄德聞得此信，乘陰雨撤兵，棄盱眙而走，思欲東取廣陵。比及高順軍來，玄德已去。高順與紀靈相見，就索所許之物。靈曰：「公且回軍，容某見主公計之。」高順乃別紀靈回軍，見呂布具述紀靈語。,"As soon as the news of Lu Bu's successful seizure of his protector's region reached Yuan Shu, Yuan Shu sent promises of valuable presents to Lu Bu to induce him to join in a further attack on Liu Bei. The presents are said to have been fifty thousand carts of grain, five hundred horses, ten thousand ounces of gold and silver, and a thousand rolls of colored silk.Lu Bu swallowed the bait and ordered Gao Shun to lead forth fifty thousand troops. But Liu Bei heard of the threatened attack, so he made inclement weather an excuse to moved his few soldiers out of Xuyi for Guangling, before the attacking force came up.However, Gao Shun demanded the promised reward through Ji Ling, who put Gao Shun off, saying, ""My lord has gone away. I will settle this as soon as I can see him and get his decision.""With this answer Gao Shun returned to Lu Bu, who could not decide what to do."
布正在遲疑，忽有袁術書至。書意云：「高順雖來，而劉備未除；且待捉了劉備，那時方以所許之物相送。」布怒罵袁術失信，欲起兵伐之。陳宮曰：「不可。術據壽春，兵多糧廣，不可輕敵。不如請玄德還屯小沛，使為我羽翼。他日令玄德為先鋒，那時先取袁術，後取袁紹，可縱橫天下矣。」布聽其言，令人齎書迎玄德回。,"Then came a letter from Yuan Shu: ""Although Gao Shun had gone to attack Liu Bei, yet Liu Bei had not been destroyed, and no reward could be given till he was actually taken.""Lu Bu railed at what he called the breach of faith and was inclined to attack Yuan Shu himself.However, his adviser, Chen Gong, opposed this course, saying, ""You should not. Yuan Shu is in possession of Shouchun and has a large army, well supplied. You are no match for him. Rather ask Liu Bei to take up his quarters at Xiaopei as one of your wings and, when the time comes, let him lead the attack, both south and north. Then Yuan Shu and Yuan Shao will fall before you, and you will be very powerful.""Finding this advice good, Lu Bu sent letters to Liu Bei asking him to return."
卻說玄德引兵東取廣陵，被袁術劫寨，折兵大半；回來正遇呂布之使，呈上書札，玄德大喜。關、張曰：「呂布乃無義之人，不可信也。」玄德曰：「彼既以好情待我，奈何疑之？」遂來到徐州。布恐玄德疑惑，先令人送還家眷。甘、糜二夫人見玄德，具說呂布令兵把定宅門，禁諸人不得入；又常使侍妾送物，未嘗有缺。玄德謂關、張曰：「我知呂布必不害我家眷也。」乃入城謝呂布。張飛恨呂布，不肯隨往，先奉二嫂往小沛去了。,"After the flight of Liu Bei, Yuan Shu attacked Guangling and reduced Liu Bei's force by half. When the messenger from Lu Bu came, Liu Bei read the letter. He was quite content with the offer, but his brothers were not inclined to trust Lu Bu.""Such a dishonorable man must have a motive,"" said Guan Yu and Zhang Fei.""Since he treats me kindly, I cannot but trust him,"" replied Liu Bei.So Liu Bei went back to Xuzhou. Lu Bu, fearing that Liu Bei might doubt his sincerity, restored Liu Bei's family; and when Lady Gan and Lady Mi saw their lord, they told him that they had been kindly treated and guarded by soldiers against any intrusion, and provisions had never been wanting.""I knew he would not harm my family,"" said Liu Bei to Guan Yu and Zhang Fei.However, Zhang Fei was not pleased and would not accompany his brothers into the city when they went to express their thanks. He went to escort the two ladies to Xiaopei."
玄德入見呂布拜謝。呂布曰：「我非欲奪城；因令弟張飛在此恃酒殺人，恐有失事，故來守之耳。」玄德曰：「備欲讓兄久矣。」布假意仍讓玄德。玄德力辭，還屯小沛住。關、張心中不平。玄德曰：「屈身守分，以待天時，不可與命爭也。」呂布令人送糧米緞疋。自此兩家和好，不在話下。,"At the interview Lu Bu said, ""I did not wish to take the city, but your brother behaved very badly, drinking and flogging the soldiers, and I came to guard it lest some evil should befall.""""But I had long wished to yield it to you,"" said Liu Bei.Thereupon Lu Bu wished to retire in favor of Liu Bei who, however, would not hear of it. Liu Bei returned and took up his quarters in Xiaopei, but his two brothers would not take the situation kindly and were very discontented.Said Liu Bei, ""One must bow to one's lot. It is the will of Heaven, and one cannot struggle against fate.""Lu Bu sent presents of food and stuffs, and peace reigned between the two houses."
卻說袁術大宴將士於壽春。人報孫策征廬江太守陸康，得勝而回。術喚策至，策拜於堂下。問勞已畢，便令侍坐飲宴。原來孫策自父喪之後，退居江南，禮賢下士，後因陶謙與策母舅丹陽太守吳璟不和，策乃移母并家屬居於曲阿，自己卻投袁術。術甚愛之，常歎曰：「使術有子如孫郎，死復何恨！」因使為懷義校尉，引兵攻涇縣，太師祖郎得勝。術見策勇，復使攻陸康，今又得勝而回。,"In Shouchun, Yuan Shu prepared a great banquet for his soldiers when it was announced that Sun Ce had subdued Lu Gang, the Governor of Lujiang. Yuan Shu summoned the victor, who made obeisance at the foot of the hall of audience. Yuan Shu, sitting in state, asked for details of the campaign and then invited Sun Ce to the banquet.After the unhappy death of his father Sun Jian, Sun Ce had returned to the lower region of the Great River, where he had devoted himself to peaceful ends, inviting to his side good people and able scholars. Afterwards, when a quarrel broke out between his mother's brother, Governor Wu Jing of Dangyang, and the late Imperial Protector of Xuzhou, Tao Qian, Sun Ce removed his mother with all the family to Que, he himself taking service under Yuan Shu, who admired and loved him greatly.""If I had a son like Sun Ce,"" said Yuan Shu, ""I should die without regret.""Yuan Shu appointed Sun Ce Commander and sent him on various expeditions, all of which were successful. A banquet was held to celebrate his victory over Lu Kang."
當日筵散，策歸營寨。見術席間相待之禮甚傲，心中鬱悶，乃步月於中庭。因思父孫堅如此英雄，我今淪落至，此不覺於聲大哭。忽見一人自外而入，大笑曰：「伯符何故如此？尊父在日，多曾用我。君若有不決之事，何不問我，乃自哭耶？」策視之，乃丹陽故鄣人：姓朱，名治，字君理；孫堅舊從事官也。策收淚而延之坐曰：「策所哭者，恨不能繼父之志耳。」治曰：「君何不告袁公路，借兵往江東，假名救吳璟，實圖大業，而乃久困於人之下乎？」,"Sun Ce returned to his camp very bitter over the arrogant and patronizing airs of his patron. Instead of retiring to his tent, Sun Ce walked up and down by the light of the moon.""Here am I, a mere nobody, and yet my father was such a hero!""And he cried out and wept in spite of himself.Then suddenly appeared one who said, laughing loudly, ""What is this, Sun Ce? While your noble father enjoyed the light of the sun, he made free use of me. If his son has any difficulty to resolve, why does he not refer it to me also instead of weeping here alone?""Looking at the speaker Sun Ce saw it was Zhu Zhi, a native of Dangyang, who had been in Sun Jian's service. Sun Ce then ceased weeping, and they two sat down.""I was weeping from regret at being unable to continue my father's work,"" said Sun Ce.""Why stay here bound to the service of a master? The Governor of Dangyang is in distress. Why not get command of an army under the pretense of an expedition to relieve Wu Jing? Escape the shadow of Yuan Shu and take control of Dangyang, then you can accomplish great things."""
正商議間，一人忽入曰：「公等所謀，吾已知之。吾手下有精壯百人，暫助伯符一臂之力。」策視其人，乃袁術謀士，汝南細陽人：姓呂，名範，字子衡。策大喜，延坐共議。呂範曰：「只怕袁公路不肯借兵。」策曰：「吾有亡父留下傳國玉璽，以為質當。」範曰：「公路欲得此久矣！以此相質，必肯發兵。」,"While these two were talking, another man suddenly entered, saying, ""I know what you two are planning, Noble Sirs. Under my hand is a band of one hundred bold fellows ready to help Sun Ce in whatever he wishes to do.""The speaker was one of Yuan Shu's advisers named Lu Fan, from Runan. They three then sat and discussed schemes.""The one fear is that Yuan Shu will refuse to give you the troops,"" said Lu Fan.""I still have the Imperial Hereditary Seal that my father left me: That should be good security.""""Yuan Shu earnestly desires that jewel,"" said Zhu Zhi. ""He will certainly lend you troops on that pledge."""
三人計議已定。次日，策入見袁術，哭拜曰：「父讎不能報，今母舅吳璟，又為揚州刺史劉繇所逼；策老母家小，皆在曲阿，必將被害；策敢借雄兵數千，渡江救難省親。恐明公不信，有亡父遺下玉璽，權為質當。」術聞有玉璽，取而視之，大喜曰：「吾非要你玉璽，今且權留在此。我借兵三千、馬五百匹與你。平定之後，可速回來。你職位卑微，難掌大權。我表你為折衝校尉殄寇將軍，剋日領兵便行。」,"The three talked over their plans, gradually settling the details. Not many days after Sun Ce obtained an interview with his patron.Assuming the appearance of deep grief Sun Ce said, ""I have been unable to avenge my father. Now the Imperial Protector of Yangzhou, Liu Yao, is opposing my mother's brother, and my mother and her family are in danger in Que. Wherefore I would borrow a few thousands of fighting men to rescue them. As perhaps, Illustrious Sir, you may lack confidence in me, I am willing to deposit the Imperial Hereditary Seal, left me by my late father, as a pledge.""""Let me see it if you have it,"" said Yuan Shu. ""I do not want the jewel really, but you may as well leave it with me. I will lend you three thousand troops and five hundred horses. Return as soon as peace can be made. As your rank is hardly sufficient for such powers, I will memorialize to obtain for you higher rank with the title of General Who Exterminates Brigands, and you can soon start."""
策拜謝，遂引軍馬，帶領朱治，呂範，舊將程普，黃蓋，韓當等，擇日起兵。行至歷陽，見一軍到。當先一人：姿質風流，儀容秀麗；見了孫策，下馬便拜。策視其人，乃廬江舒城人：姓周，名瑜，字公瑾。原來孫堅討董卓之時，移家舒城，瑜與孫策同年，交情甚密，因結為昆仲。策長瑜兩月，瑜以兄事策。瑜叔周尚，為丹陽太守，今往省親，到此與策相遇。,"Sun Ce thanked his patron most humbly and soon put the army in motion, taking with him his two new advisers and his father's generals —-Zhu Zhi, Lu Fan, Cheng Pu, Huang Gai, Han Dang, and others.When Sun Ce reached Linyang, he saw a body of troops in front of him, at their head a dashing leader of handsome and refined mien. As soon as this commander saw Sun Ce, he dismounted and made obeisance. It was Zhou Yu from Shucheng.When Sun Jian was opposing the tyrant Dong Zhuo, he moved his family to Shucheng where the Zhou family had lived. And as Zhou Yu and Sun Ce were of the same age all but two months, they became exceedingly good friends and sworn brothers, Sun Ce being the elder in virtue of his two months' seniority. Zhou Yu was on his way to visit Sun Ce's uncle, Governor Wu Jing of Dangyang, when the happy meeting took place."
