chinese,english
卻說袁尚自斬史渙之後，自負其勇，不待袁譚等兵至，自引兵數萬出黎陽，與曹軍前隊相迎。張遼當先出馬，袁尚挺槍來戰，不三合，架隔遮攔不住，大敗而走。張遼乘勢掩殺，袁尚不能主張，急急引軍奔回冀州。袁紹聞袁尚敗回，又受了一驚，舊病復發，吐血數斗，昏倒在地。劉夫人慌救入臥內，病勢漸危。劉夫人急請審配、逢紀，直至袁紹榻前，商議後事。紹但以手指而不能言。劉夫人曰：「尚可繼後嗣否？」紹點頭。審配便就榻前寫了遺囑。紹翻身大叫一聲，又吐血斗餘而死。後人有詩曰：,"Yuan Shang was puffed up with pride after his victory over Shi Huan and, without deigning to wait the arrival of his brothers, he marched out with thirty thousand troops to Liyang to meet the army of Cao Cao. Zhang Liao came out to challenge him, and Yuan Shang, accepting the challenge rode out with spear set. But he only lasted to the third bout when he had to give way. Zhang Liao smote with full force and Yuan Shang, quite broken, fled pell-mell to Jizhou. His defeat was a heavy shock to his father Yuan Shao, who had a severe fit of hemorrhage at the news and swooned.Lady Liu, his wife, got him to bed as quickly as possible, but he did not rally; and she soon saw it was necessary to prepare for the end. So she sent for Shen Pei and Peng Ji that the succession might be settled. They came and stood by the sick man's bed, but by this time he could no longer speak. He only made motions with his hands.When his wife put the formal question, ""Is Yuan Shang to succeed?""Yuan Shao nodded his head. Shen Pei at the bedside wrote out the dying man's testament. Presently Yuan Shao uttered a loud moan, a fresh fit of bleeding followed, and he passed away."
累世公卿立大名，少年意氣自縱橫。空招俊傑三千客，漫有英雄百萬兵。羊質虎皮功不就，鳳毛雞膽事難成。更憐一種傷心處，家難徒延兩弟兄。,"Born of a line of nobles famous for generations,He himself in his youth was wayward always and headstrong,Vainly he called to his side generals skilled and courageous,Gathered beneath his banner countless legions of soldiers,For he was timid at heart, a lamb dressed as a tiger,Merely a cowardly chicken, phoenix-feathered but spurless.Pitiful was the fate of his house; for when he departedBrother with brother strove and quarrels arose in the household."
袁紹既死，審配等主持喪事。劉夫人便將袁紹所愛寵妾五人，盡行殺害；又恐其陰魂於九泉之下再與紹相見，乃髡其髮，刺其面，毀其屍：其妒惡如此。袁尚恐寵妾家屬為害，並收而殺之。審配、逢紀立袁尚為大司馬將軍，領冀、青、幽、并四州牧，遣使報喪。此時袁譚已發兵離青州；知父死，便與郭圖、辛評商議。圖曰：「主公不在冀州，審配、逢紀必立顯甫為主矣。當速行。」辛評曰：「審、逢二人，必預定機謀。今若速往，必遭其禍。」袁譚曰：「若當此如何？」郭圖曰：「可屯兵城外，觀其動靜。某當親往察之。」,"Shen Pei and some others set about the mourning ceremonies for the dead man. His wife, Lady Liu, put to death five of his favorite concubines, and such was the bitterness of her jealousy that, not content with this, she shaved off the hair and slashed the faces of their poor corpses lest their spirits should meet and rejoin her late husband in the land of shades beneath the Nine Golden Springs. Her son followed up this piece of cruelty by slaying all the relatives of the unhappy concubines lest they should avenge their deaths.Shen Pei and Peng Ji declared Yuan Shang successor with the titles of Regent Marshal and Supreme Imperial Protector of the four regions of Jizhou, Qingzhou, Youzhou, and Bingzhou and sent in a report of the death of the late Imperial Protector.At this time Yuan Tan, the eldest son, had already marched out his army to oppose Cao Cao. But hearing of his father's death, he called in Guo Tu and Xin Ping to consult as to his course of action.""In your absence, my lord,"" said Guo Tu, ""the two advisers of your younger brother will certainly set him up as lord, wherefore you must act quickly.""""Those two, Shen Pei and Peng Ji, have already laid their plans,"" said Xin Ping. ""If you go, you will meet with some misfortune.""""Then what should I do?"" asked Yuan Tan.Guo Tu replied, ""Go and camp near the city, and watch what is taking place while I enter and inquire."""
譚依言。郭圖遂入冀州，見袁尚。禮畢，尚問：「兄何不至？」圖曰：「因抱病在軍中，不能相見。」尚曰：「吾受父親遺命，立我為主，加兄為車騎將軍。目下曹軍壓境，請兄為前部，吾隨後便調兵接應也。」圖曰：「軍中無人商議良策，願乞審正南、逢元圖二人為輔。」尚曰：「吾亦欲仗此二人早晚畫策，如何離得？」圖曰：「然則於二人內遣一人去，何如？」尚不得已，乃令二人拈鬮，拈著者便去。逢紀拈著，尚即命逢紀齎印緩，同郭圖赴袁譚軍中。紀隨圖至譚軍，見譚無病，心中不安，獻上印緩。譚大怒，欲斬逢紀。郭圖密諫曰：「今曹軍壓境，且只款留逢紀在此，以安尚心。待破曹之後，卻來爭冀州不遲。」,"Accordingly Guo Tu entered the city and sought an interview with the young Imperial Protector.""Why did not my brother come?"" asked Yuan Shang after the usual salutes.Guo Tu said, ""He cannot come as he is in the camp unwell.""""By the command of my late father, I take the lordship. Now I confer upon my brother the rank of General of the Flying Cavalry, and I wish him to go at once to attack Cao Cao, who is pressing on the borders. I will follow as soon as my army is in order.""""There is no one in our camp to give advice,"" said Guo Tu. ""I wish to have the services of Shen Pei and Peng Ji.""""I also need the help of these two,"" said Yuan Shang. ""And as I am always working at schemes, I do not see how I can do without them.""""Then let one of these two go,"" replied Guo Tu.Yuan Shang could do no other than accede to this request, so he bade the two men cast lots who should go. Peng Ji drew the lot and was appointed, receiving a seal of office. Then he accompanied Guo Tu to the camp. But when he arrived and found Yuan Tan in perfect health, he grew suspicious and resigned.Yuan Tan angrily refused to accept his resignation and was disposed to put him to death, but Guo Tu privately dissuaded him, saying, ""Cao Cao is on the borders, and Peng Ji must be kept here to allay your brother's suspicions. After we have beaten Cao Cao, we can at once make an attempt on Jizhou."""
譚從其言。即時拔寨起行，前至黎陽，與曹軍相抵。譚遣大將汪昭出戰，操遣徐晃迎敵。二將戰不數合，徐晃一刀斬汪昭於馬下。曹軍乘勢掩殺，譚軍大敗。譚收敗軍入黎陽，遣人求救於尚。尚與審配計議，只發兵五千餘人相助。曹操探知救軍已到，遣樂進、李典引兵於半路接著，兩頭圍住盡殺之。袁譚知尚止撥兵五千，又被半路坑殺，大怒，乃喚逢紀責罵。紀曰：「容某作書致主公，求其親自來救。」譚即令紀作書，遣人到冀州致袁尚。尚與審配共議。配曰：「郭圖多謀，前次不爭而去者，為曹軍在境也。今若破曹，必來爭冀州矣。不如不發救兵，借操之力以除之。」,"Yuan Tan agreed and forthwith broke up his camp to march against the enemy. He reached Liyang and lost no time in offering battle. He chose for his champion Wang Zhao and, when Wang Zhao rode out, Cao Cao sent Xu Huang to meet him. These two had fought but a few bouts when Wang Zhao was slain. At once Cao Cao's army pressed forward, and Yuan Tan suffered a severe defeat. Yuan Tan drew off his army and retired into Liyang, whence he sent to his brother for reinforcements.Yuan Shang and his adviser Shen Pei discussed the matter and only five thousand troops were sent. Cao Cao hearing of the dispatch of this meager force sent Li Dian and Yue Jing to waylay them, and the half legion was destroyed. When Yuan Tan heard of the inadequate force sent and their destruction, he was very wrath and roundly abused Peng Ji.Peng Ji replied, ""Let me write to my lord and pray him to come himself.""So Peng Ji wrote and the letter was sent. When it arrived, Yuan Shang again consulted Shen Pei.The Counselor said, ""Guo Tu, your elder brother's adviser, is very guileful. Formerly he left without discussion because Cao Cao was on the border. If Cao Cao be defeated, there will certainly be an attempt on you. The better plan is to withhold assistance and use Cao Cao's hand to destroy your rival."""
尚從其言，不肯發兵。使者回報，譚大怒，立斬逢紀，議欲降曹。早有細作密報袁尚。尚與審配議曰：「使譚降曹，並力來攻，則冀州危矣。」乃留審配並大將蘇由固守冀州，自領大軍來黎陽救譚。尚問軍中誰敢為前部，大將呂曠、呂翔兄弟二人願去。尚點兵三萬，使為先鋒，先至黎陽。譚聞尚自來，大喜，遂罷降曹之議。譚屯兵城中，尚屯兵城外，為犄角之勢。,"Yuan Shang took his advice and no help was sent. When the messenger returned to Liyang without success, Yuan Tan was very angry and showed it by putting Peng Ji to death. He also began to talk of surrendering to Cao Cao. Soon spies brought news of this to Yuan Shang, and again Shen Pei was called in.Yuan Shang said, ""If Yuan Tan goes over to Cao Cao, they will both attack Jizhou, and we shall be in great danger.""Finally Shen Pei and General Su You were left to take care of the defense of the city, and Yuan Shang marched his army to the rescue of his brother.""Who dares lead the van?"" said Yuan Shang.Two brothers named Lu Xiang and Lu Kuang volunteered, and thirty thousand troops were given them. They were the first to reach Liyang.Yuan Tan was pleased that Yuan Shang had decided to play a brotherly part and come to his aid, so he at once abandoned all thought of going over to the enemy. He being in the city, Yuan Shang camped outside, making that an ox-horn formation of their strategic position."
不一日，袁熙、高幹皆領軍到城外，屯兵三處，每日出兵與操相持。尚屢敗，操兵屢勝。至建安八年春三月，操分路攻打，袁譚、袁熙、袁尚、高幹皆大敗，棄黎陽而走。操引兵迫至冀州。譚與尚入城堅守，熙與幹離城三十里下寨，虛張聲勢。操兵連日攻打不下。郭嘉進曰：「袁氏廢長立幼，而兄弟之間，權力相併，各自樹黨，急之則相救，緩之則相爭，不如舉兵南向荊州，征討劉表，以候袁氏兄弟之變；變成而後擊之，可一舉而定也。」,"Before long Yuan Xi, the second brother, and their cousin, Gao Gan, arrived with their legions and also camped outside the city.Engagements took place daily, and Yuan Shang suffered many defeats. On the other hand Cao Cao was victorious and elated. In the second month of the eighth year of Rebuilt Tranquillity (AD 203), Cao Cao made separate attacks on all four armies and won the day against each. Then the Yuans abandoned Liyang, and Cao Cao pursued them to Jizhou, where Yuan Tan and Yuan Shang went into the city to defend it, while their brother and cousin camped about ten miles away making a show of great force.When Cao Cao had made many attacks without success, Guo Jia proffered the following plan.He said, ""There is dissension among the Yuans because the elder has been superseded in the succession. The brothers are about equally strong and each has his party. If we oppose them, they unite to assist each other; but if we have patience, they will be weakened by family strife. Wherefore send first a force to reduce Liu Biao in Jingzhou, and let the fraternal quarrels develop. When they have fully developed, we can smite them and settle the matter.""Cao Cao approved of the plan. So leaving Jia Xu as Governor of Liyang and Cao Hong as guard at Guandu, the army went away toward Jingzhou."
操善其言，命賈詡為太守，守黎陽；曹洪引兵守官渡。操引大軍向荊州進兵。譚、尚聽知曹軍自退，遂相慶賀。袁熙、高幹各自辭去。袁譚與郭圖、辛評議曰：「我為長子，反不能承父業；尚乃繼母所生，反承大爵；心實不甘。」圖曰：「主公可勒兵城外，只做請顯甫、審配飲酒，伏刀斧手殺之，大事定矣。」譚從其言。適別駕王修自青州來，譚將此計告之。修曰：「兄弟者，左右手也。今與他人爭鬥，自斷其手，而曰我必勝，安可得乎？夫棄兄弟而不親，天下其誰親之？彼讒人離間骨肉，以求一朝之利，願塞耳勿聽也。」,"The two brothers Yuan Tan and Yuan Shang congratulated each other on the withdrawal of their enemy, and their brother Yuan Xi and their cousin Gao Gan marched their armies back to their own districts.Then the quarrels began. Yuan Tan said to his confidants Guo Tu and Xin Ping, ""I, the eldest, have been prevented from succeeding my father, while the youngest son, born of a second wife, received the main heritage. My heart is bitter.""Said Guo Tu, ""Camp your army outside, invite your brother and Shen Pei to a banquet, and assassinate them. The whole matter is easily settled.""And Yuan Tan agreed. It happened that Adviser Wang Xiu came just then from Qingzhou whom Yuan Tan took into his confidence.Wang Xiu opposed the murder plan, saying, ""Brothers are as one's limbs. How can you possibly succeed if at a moment of conflict with an enemy you cut off one of your hands? If you abandon your brother and sever relationship, whom will you take in all the world as a relation? That fellow Guo Tu is a dangerous mischief-maker, who would sow dissension between brothers for a momentary advantage, and I beg you to shut your ears and not listen to his persuasions."""
譚怒，叱退王修，使人去請袁尚。尚與審配商議。配曰：「此必郭圖之計也。主公若往，必遭奸計；不如乘勢攻之。」袁尚依言，便披挂上馬，引兵五萬出城。袁譚見袁尚引軍來，情知事泄，亦即披挂上馬，與尚交鋒。尚見譚大罵。譚亦罵曰：「汝藥死父親，篡奪爵位，今又來殺兄耶！」二人親自交鋒袁譚大敗。尚親冒矢石，衝突掩殺。譚引敗軍奔平原，尚收兵還。袁譚與郭圖再議進兵，令岑璧為將，領兵前來。尚自引兵出冀州。,"This was displeasing to Yuan Tan, and he angrily dismissed Wang Xiu, while he sent the treacherous invitation to his brother. Yuan Shang and Shen Pei talked over the matter.Shen Pei said, ""I recognize one of Guo Tu's stratagems and if you go, my lord, you will be the victim of their plot. Rather strike at them at once.""Whereupon Yuan Shang rode out to battle. His brother Yuan Tan, seeing him come with fifty thousand troops, knew that his treachery had been discovered, so he also took the field. When the forces were near enough, Yuan Tan opened on Yuan Shang with a volley of abuse.""You poisoned my father and usurped the succession. Now you come out to slay your elder brother?""The battle went against Yuan Tan. Yuan Shang himself took part in the fight, risking the arrows and the stones. He urged on his troops and drove his brother off the field. Yuan Tan took refuge in Pingyuan. Yuan Shang drew off his army to his own city. Yuan Tan and Guo Tu decided upon a new attack, and this time they chose General Cen Bi as Leader of the Van. Yuan Shang went to meet him."
兩陣對圓，旗鼓相望。璧出罵陣，尚欲自戰。大將呂曠，拍馬舞刀，來戰岑璧；二將戰無數合，曠斬岑璧於馬下。譚兵又敗，再奔平原。審配勸尚進兵，追至平原。譚抵當不住，退入平原，堅守不出。尚三面圍城攻打。譚與郭圖計議。圖曰：「今城中糧少，彼軍方銳，勢不相敵。愚意可遣人投降曹操，使操將兵攻冀州，尚必還救。將軍引兵夾擊之，尚可擒矣。若操擊破尚軍，我因而斂其軍實以拒操。操軍遠來，糧食不繼，必自退去；我可以仍據冀州，以圖進取也。」,"When both sides had been arrayed and the banners were flying and the drums beating, Cen Bi rode out to challenge and railed at his opponent. At first Yuan Shang was going to answer the challenge himself, but Lu Kuang had advanced. Lu Kuang and Cen Bi met but had fought only a few bouts when Cen Bi fell. Yuan Tan's soldiers were once more defeated and ran away to Pingyuan. Shen Pei urged his master to press for the advantage, and Yuan Tan was driven into the city, where he fortified himself and would not go out. So the city was besieged on three sides.Yuan Tan asked his strategist what should be done next, and Guo Tu said, ""The city is short of food, the enemy is flushed with victory, and we cannot stand against them. My idea is to send someone to offer surrender to Cao Cao and thus get him to attack Jizhou. Your brother will be forced to return thither, which will leave you free to join in the attack. We may capture Yuan Shang. Should Cao Cao begin to get the better of your brother's army, we will lend our force to help Yuan Shang against Cao Cao; and as Cao Cao's base of supply is distant, we shall drive him off. And we can seize on Jizhou and begin our great design."""
