chinese,english
卻說龐統聞言，吃了一驚；急回視其人，原來卻是徐庶。統見是故人，心下方定；回顧左右無人，乃曰：「你若說破我計，可惜江南八十一州百姓，皆是你送了也！」庶笑曰：「此間八十三萬人馬，性命如何？」統曰：「元直真欲破我計耶？」庶曰：「吾感劉皇叔厚恩，未嘗忘報。曹操逼死吾母，吾已說過終身不設一謀，今安肯破兄良策？只是我亦隨軍在此，兵敗之後，玉石不分，豈能免難？君當教我脫身之術，我即緘口遠避矣。」統笑曰：「元直如此高見遠識，諒此有何難哉！」庶曰：「願先生賜教。」統去徐庶耳邊略說數句。庶大喜，拜謝。龐統別卻徐庶下船，自回江東。,"In the last chapter Pang Tong was brought up with a sudden shock when someone seized him and said of his scheme. Upon turning to look at the man, Pang Tong saw it was Xu Shu, an old friend, and his heart revived.Looking around and seeing no one near, Pang Tong said, ""It would be a pity if you upset my plan. The fate of the people of all the eighty-one southern counties is in your hands.""Xu Shu smiled, saying, ""And what of the fate of these eight hundred thirty thousand soldiers and horse of the north?""""Do you intend to wreck my scheme, Xu Shu?""""I have never forgotten the kindness of Uncle Liu Bei, nor my oath to avenge the death of my mother at Cao Cao's hands. I have said I would never think out a plan for him. So am I likely to wreck yours now, brother? But I have followed Cao Cao's army thus far; and after they shall have been defeated, good and bad will suffer alike and how can I escape? Tell me how I can secure safety, and I sew up my lips and go away.""Pang Tong smiled, ""If you are as high-minded as that, there is no great difficulty.""""Still I wish you would instruct me.""So Pang Tong whispered something in his ear, which seemed to please Xu Shu greatly, for he thanked him most cordially and took his leave. Then Pang Tong betook himself to his boat and left for the southern shore."
且說徐庶當晚密使近人去各寨中暗布謠言。次日，寨中三三五五，交頭接耳而說。早有探事人報知曹操，說：「軍中傳言西涼州韓遂，馬騰謀反，殺奔許都來。」操大驚，急聚眾謀士商議曰：「吾引兵南征，心中所憂者，韓遂，馬騰耳。軍中謠言，雖未辨虛實，然不可不防。」,"His friend gone, Xu Shu mischievously spread certain rumors in the camp, and next day were to be seen everywhere soldiers in small groups, some talking, others listening, heads together and ears stretched out, till the camps seemed to buzz. Some of the officers went to Cao Cao and told him, saying, ""A rumor is running around the camps that Han Sui and Ma Teng are marching from Xiliang to attack the capital.""This troubled Cao Cao, who called together his advisers to council.Said he, ""The only anxiety I have felt in this expedition was about the possible doings of Han Sui and Ma Teng. Now there is a rumor running among the soldiers, and though I know not whether it be true or false, it is necessary to be on one's guard."""
言未畢，徐庶進曰：「庶蒙丞相收錄，恨無寸功報效。請得三千人馬，星夜往散關把住隘口。如有緊急，再行告報。」操喜曰：「若得元直去，吾無憂矣。散關之上，亦有軍兵，公統領之。目下撥三千軍步軍，命臧霸為先鋒，星夜前去，不可稽遲。」徐庶辭了曹操，與臧霸便行。……此便是龐統救徐庶之計。後人有詩曰：曹操征南日日憂，馬騰韓遂起戈矛。鳳雛一語教徐庶，正似游魚脫釣鉤。,"At this point Xu Shu said, ""You have been kind enough to give me an office, Sir, and I have really done nothing in return. If I may have three thousand troops, I will march at once to San Pass and guard this entrance. If there be any pressing matter, I will report at once.""""If you would do this, I should be quite at my ease. There are already troops beyond the Pass, who will be under your command, and now I will give you three thousand of horse and foot, and Zang Ba shall lead the van and march quickly.""Xu Shu took leave of the Prime Minister and left in company with Zang Ba. This was Pang Tong's scheme to secure the safety of Xu Shu.A poem says:Cao Cao marched south, but at his backThere rode the fear of rear attack.Pang Tong's good counsel Xu Shu took,And thus the fish escaped the hook."
曹操自遣徐庶去後，心中稍安，遂上馬先看沿江旱寨，次看水寨。乘大船一隻，於中央上建「帥」字旗號，兩傍皆列水寨，船上埋伏弓弩千張。操居於上。時建安十二年冬十一月十五日，天氣晴明，平風靜浪。操令：「置酒設樂於大船之上，吾今夕欲會諸將」。,"Cao Cao's anxiety diminished after he had thus sent away Xu Shu. Then he rode round all the camps, first the land forces and then the naval. He boarded one of the large ships and thereon set up his standard. The naval camps were arranged along two lines, and every ship carried a thousand bows and crossbows.While Cao Cao remained with the fleet, it occurred the full moon of the eleventh month of the thirteenth year of Rebuilt Tranquillity (AD 208). The sky was clear; there was no wind; and the river lay unruffled. He prepared a great banquet, with music, and thereto invited all his leaders."
天色向晚，東山月上，皎皎如同白日。長江一帶，如橫素練。操坐大船之上，左右侍御者數百人，皆錦衣繡襖，荷戈執戟。文武眾官，各依次而坐。操見南屏山色如畫，東視柴桑之境，西觀夏口之江，南望樊山，北覷烏林，四顧空闊，心中歡喜，謂眾官曰：「吾自起義兵以來，與國家除兇去害，誓願掃清四海，削平天下；所未得者江南也。今吾有百萬雄師，更賴諸公用命，何患不成功耶？收服江南之後，天下無事，與諸公共享富貴，以樂太平。」文武皆起謝曰：「願得早奏凱歌。我等終身皆賴丞相福蔭。」操大喜，命左右行酒。,"As evening drew on, the moon rose over the eastern hills in its immaculate beauty, and beneath it lay the broad belt of the river like a band of pure silk. It was a great assembly, and all the guests were clad in gorgeous silks and embroidered robes, and the arms of the fighting soldiers glittered in the moonlight. The officers, civil and military, were seated in their proper order of precedence.The setting, too, was exquisite. The Southern Hills were outlined as in a picture; the boundaries of Chaisang lay in the east; the river showed west as far as Xiakou; on the south lay the Fan Mountains, on the north was the Black Forest. The view stretched wide on every side.Cao Cao's heart was jubilant, and he harangued the assembly, saying, ""My one aim since I enlisted my first small band of volunteers has been the removal of evil from the state, and I have sworn to cleanse the country and restore tranquillity. Now there is only left this land of the south to withstand me. I am at the head of a hundred legions. I depend upon you, gentlemen, and have no doubt of my final success. After I have subdued the South Land, there will be no trouble in all the country. Then we shall enjoy wealth and honor and revel in peace.""They rose in a body and expressed their appreciation, saying, ""We trust that you may soon report complete victory, and we shall all repose in the shade of your good fortune.""In his elation, Cao Cao bade the servants bring more wine."
飲至半夜，操酒酣，遙指南岸曰：「周瑜，魯肅，不識天時。今幸有投降之人，為彼心腹之患，此天助吾也。」荀攸曰：「丞相勿言，恐有泄漏。」操大笑曰：「座上諸公，與近侍左右，皆吾心腹之人也，，言之何礙？」又指夏口曰：「劉備，諸葛亮，汝不料螻蟻之力，欲撼泰山，何其愚耶！」顧謂諸將曰：「吾今年五十四歲矣。如得江南，竊有所喜。昔日喬公與吾至契，吾知其二女皆有國色。後不料為孫策，周瑜，所娶。吾今新構銅雀臺於漳水之上，如得江南，當娶二喬，置之臺上，以娛暮年，吾願足矣。」言罷大笑。唐人杜牧之有詩曰：折戟沈沙鐵未消，自將磨洗認前朝。東風不與周郎便，銅雀春深鎖二喬。,"They drank till late at night. Warmed and mellowed, the host pointed to the south bank, saying, ""Zhou Yu and Lu Su know not the appointed time. Heaven is aiding me bringing upon them the misfortune of the desertion of their most trusted friends.""""O Prime Minister, say nothing of these things lest they become known to the enemy,"" said Xun You.But the Prime Minister only laughed.""You are all my trusty friends,"" said he, ""both officers and humble attendants. Why should I refrain?""Pointing to Xiakou, he continued, ""You do not reckon for much with your puny force, Liu Bei and Zhuge Liang. How foolish of you to attempt to shake the Taishan Mountains!""Then turning to his officers, he said, ""I am now fifty-four; and if I get the South Land, I shall have the wherewithal to rejoice. In the days of long ago, the Patriarch Duke Qiao in the south and I were great friends, and we came to an agreement on certain matters, for I knew his two daughters —-Elder Qiao and Younger Qiao —-were lovely beyond words. Then by some means, they became wives to Sun Ce and Zhou Yu. But now my palace of rest is built on the River Zhang, and victory over the South Land will mean that I marry these two fair women. I will put them in the Bronze Bird Tower, and they shall rejoice my declining years. My desires will then be completely attained.""He smiled at the anticipation.Du Mu, a famous poet of the Tang Dynasty, in one poem says:A broken halberd buried in the sand,With deep rust eaten,Loud tells of ancient battles on the strand,When Cao Cao was beaten.Had eastern winds Zhou Yu's plan refused to aidAnd fan the blaze,The two fair Qiaos, in the Bronze Bird's shade,Would have been locked at spring age."
曹操正笑談間，忽聞鴉聲望南飛鳴而去。操問曰：「此鴉緣何夜鳴？」左右答曰：「鴉見月明，疑是天曉，故離樹而鳴也。」操又大笑。時操已醉，乃取槊立於船上，以酒奠於江中，滿飲三爵，橫槊謂諸將曰：「我持此槊破黃巾，擒呂布，滅袁術，收袁紹，深入塞北，直抵遼東，縱橫天下：頗不負大丈之志也。今對此景，甚有慷慨。吾當作歌，汝等和之。」歌曰：對酒當歌，人生幾何？譬如朝露，去日苦多。慨當以慷，憂思難忘。何以解憂，惟有杜康。青青子衿，悠悠我心。呦呦鹿鳴，食野之苹。我有嘉賓，鼓瑟吹笙。皎皎如月，何時可輟？憂從中來，不可斷絕。越陌度阡，枉用相存。契闊談讌，心念舊恩。月明星稀，烏鵲南飛，遶樹三匝，無枝可依。山不厭高，水不厭深。周公吐哺，天下歸心。,"But suddenly amid the merriment was heard the hoarse cry of a raven flying toward the south.""Why does the raven thus cry in the night?"" said Cao Cao to those about him.""The moon is so bright that it thinks it is day,"" said they, ""and so it leaves its tree.""Cao Cao laughed. By this time he was quite intoxicated. He set up his spear in the prow of the ship and poured a libation into the river and then drank three brimming goblets.As he lowered the spear, he said, ""This is the spear that broke up the Yellow Scarves, captured Lu Bu, destroyed Yuan Shao, and subdued Yuan Shu, whose armies are now mine. In the north it reached to Liaodong, and it stretched out over the whole south. It has never failed in its task. The present scene moves me to the depths, and I will sing a song in which you shall accompany me.""And so he sang:""When goblets are brimming then sang is near birth,But life is full short and has few days of mirth,Life goes as the dew drops fly swiftly away,Beneath the glance of the glowing hot ruler of day.Human's life may be spent in the noblest enterprise,But sorrowful thoughts in his heart oft arise.Let us wash clean away the sad thoughts that intrude,With bumpers of wine such as Du Kang once brewed.Gone is my day of youthful fireAnd still ungained is my desire.The deer feed on the level plainAnd joyful call, then feed again.My noble guests are gathered round.The air is trilled with joyful sound.Bright my future lies before me.As the moonlight on this plain;But I strive in vain to reach it.When shall I my wish attain?None can answer; and so sadnessGrips my inmost heart again.Far north and south,Wide east and west,We safety seek;Vain is the quest.Human's heart oft yearnsFor converse sweet.And my heart burnsWhen old friends greet.The stars are paled by the full moon's light,The raven wings his southward flight.And thrice he circles round a tree,No place thereon to rest finds he.They weary not the mountains of great height,The waters deep of depth do not complain,Duke Zhou no leisure found by day or nightStern toil is his who would the empire gain."""
歌罷，眾和之，共皆歡笑。忽座間一人進曰：「大軍相當之際，將士用命之時，丞相何故出此不吉之言？」操視之，乃揚州刺史，沛國相人：姓劉，名馥，字元穎。馥起自合淝，創立州治，聚逃散之民，立學校，廣屯田，興治教，久事曹操，多立功績。當下操橫槊問曰：「吾言有何不吉？」馥曰：「『月明星稀，烏鵲南飛，遶樹三匝，無枝可依。』此不吉之言。」操大怒曰：「汝安敢敗吾興！」手起一槊，刺死劉馥。眾皆驚駭，遂罷宴。,"The song made they sang it with him and were all exceedingly merry, save one guest who suddenly said, ""When the great army is on the point of battle and lives are about to be risked, why do you, O Prime Minister, speak such ill words?""Cao Cao turned quickly toward the speaker, who was Liu Fu, Imperial Protector of Yangzhou. This Liu Fu sprang from Hefei. When first appointed to his post, he had gathered in the terrified and frightened people and restored order. He had founded schools and encouraged the people to till the land. He had long served under Cao Cao and rendered valuable service.When Liu Fu spoke, Cao Cao dropped his spear to the level and said, ""What ill-omened words did I use?""""You spoke of the moon paling the stars and the raven flying southward without finding a resting place. These are ill-omened words.""""How dare you try to belittle my endeavor?"" cried Cao Cao, very wrathful. And with that he smote Liu Fu with his spear and slew him.The assembly broke up, and the guests dispersed in fear and confusion."
次日，操酒醒，懊恨不已。馥子劉熙，告請父屍歸葬。操泣曰：「吾昨因醉誤傷汝父，悔之無及。可以三公厚禮葬之。」又撥軍士護送靈柩，即日回葬。,"Next day, when Cao Cao had recovered from his drunken bout, he was very grieved at what he had done. When the murdered man's son, Liu Xi, came to crave the body of his father for burial, Cao Cao wept and expressed his sorrow.""I am guilty of your father's death. I was drunk yesterday. I regret the deed exceedingly. Your father shall be interred with the honors of a minister of the highest rank.""Cao Cao sent an escort of soldiers to take the body to the homeland for burial."
次日，水軍都督毛玠，于禁，詣帳下，請曰：「大小船隻，俱已配搭連鎖停當。旌旗戰具，一一齊備。請丞相調遣，剋日進兵。」,"A few days after, the two leaders of the naval force, Mao Jie and Yu Jin, came to say the ships were all connected together by chains as had been ordered, and all was now ready. They asked for the command to start."
