chinese,english
卻說曹操乘袁紹之敗，整頓軍馬，迤邐追襲。袁紹幅巾單衣，引八百餘騎，奔至黎陽北岸，大將蔣義渠出寨迎接。紹以前事訴與義渠，義渠乃招諭離散之眾。眾聞紹在，又皆蟻聚，軍勢復振，議還冀州。軍行之次，夜宿荒山。紹於帳中聞遠遠有哭聲，遂私往聽之。卻是敗軍相聚，訴說喪兄失弟，棄伴亡親之苦，各各搥胸大哭；皆曰：「若聽田豐之言，我等怎遭此禍！」紹大悔曰：「吾不聽田豐之言，兵敗將亡，今回去，有何面目見之耶！」,"Cao Cao lost no time in taking advantage of Yuan Shao's flight, but smote hard at the retreating army. Yuan Shao without helmet or proper dress, and with few followers, crossed hastily to the north bank at Liyang. He was met by one of his generals, Jiang Yiqu, who took him in and comforted him and listened to the tale of misfortunes. Next Jiang Yiqu called in the scattered remnants of the army, and when the soldiers heard that their old lord was alive they swarmed to him like ants, so that Yuan Shao quickly became strong enough to attempt the march to Jizhou. Soon the army set out and at night halted at Huang Hills.That evening, sitting in his tent, Yuan Shao seemed to hear a far off sound of lamentation. He crept out quietly to listen and found it was his own soldiers telling each other tales of woe. This one lamented an elder brother lost, that one grieved for his younger brother abandoned, a third mourned a companion missing, a fourth, a relative cut off. And each beat his breast and wept.And all said, ""Had he but listened to Tian Feng, we had not met this disaster!""Yuan Shao, very remorseful, said, ""I did not hearken unto Tian Feng, and now my soldiers have been beaten and I was nearly lost. How can I return and look him in the face?"""
次日，上馬正行間，逢紀引軍來接。紹對逢紀曰：「吾不聽田豐之言，致有此敗。吾今歸去，羞見此人。」逢紀因譖曰：「豐在獄中聞主公兵敗，撫掌大笑曰：『固不出吾之料！』」袁紹大怒曰：「豎儒怎敢笑我！我必殺之！」遂命使者齎寶劍先往冀州獄中殺田豐。,"Next day the march was resumed, and Yuan Shao met Peng Ji with reinforcements, to whom he said, ""I disregarded Tian Feng's advice and have brought myself to defeat. Now shall I be greatly ashamed to look him in the face.""This tribute to Tian Feng's prescience roused the jealousy of Peng Ji, who replied, ""Yes. When he heard the news of your defeat, though he was a prisoner, he clapped his hands for joy and said, 'Indeed, just as I foretold!'""""How dare he laugh at me, the blockhead? Assuredly he shall die!"" said Yuan Shao.Whereupon Yuan Shao wrote a letter and sent therewith a sword to slay the prisoner."
卻說田豐在獄中。一日，獄吏來見豐曰：「與別駕賀喜。」豐曰：「何喜可賀？」獄吏曰：「袁將軍大敗而回，君必見重矣。」豐笑曰：「吾今死矣！」獄吏問曰：「人皆為君喜，君何言死也？」豐曰：「袁將軍外寬而內忌，不念忠誠。若勝而喜，猶能赦我；今戰敗則羞，吾不望生矣。」,"Meanwhile Tian Feng's gaoler came to him one day, saying, ""Above all humans I felicitate you.""""What is the joyful occasion and why felicitate?"" said Tian Feng.The gaoler replied, ""Imperial Protector Yuan Shao has been defeated and is on his way back. He will treat you with redoubled respect.""""Now am I a dead man!"" said Tian Feng.""Why say you that, Sir, when all people give you joy?""""The Imperial Protector appears liberal, but he is jealous and forgetful of honest advice. Had he been victorious, he might have pardoned me. Now that he has been defeated and put to shame, I may not hope to live."""
獄吏未信。忽使者齎劍至，傳袁紹命，欲取田豐之首，獄吏方驚。豐曰：「吾固知必死也。」獄吏皆流淚。豐曰：「大丈夫生於天地間，不識其主而事之，是無智也！今日受死，夫何足惜！」乃自刎於獄中。後人有詩曰：,"But the gaoler did not believe Tian Feng. Before long came the letter and the sword with the fatal order.The gaoler was dismayed, but the victim said, ""I knew all too well that I should have to die.""The gaoler wept.Tian Feng said, ""An able person born into this world who does not recognize and serve the right lord is ignorant. Today I die, but I am not deserving of pity.""Whereupon he cut his throat in the prison."
昨朝沮授軍中死，今日田豐獄內亡。河北棟梁皆折斷，本初焉不喪家邦？,"Ju Shou but yesterday was killed,Tian Feng ends his life his fate fulfilled;The Yellow River's main beams break one by one,Mourn ye that Yuan House! Its day is done."
田豐既死，聞者皆為歎惜。袁紹回冀州，心煩意亂，不理政事。其妻劉氏勸立後嗣。紹所生三子，長子袁譚字顯忠，出守青州，次子袁熙字顯奕，出守幽州，三子袁尚字顯甫，是紹後妻劉氏所出，生得形貌俊偉，紹甚愛之，因此留在身邊。自官渡兵敗之後，劉氏勸立尚為後嗣。紹乃與審配、逢紀、辛評、郭圖四人商議。原來審、逢二人，向輔袁尚；辛、郭二人，向輔袁譚。四人各為其主。,"Thus died Tian Feng, pitied of all who heard of his fate.When Yuan Shao came home in Jizhou, he was with troubled mind and distorted thoughts. He could not attend to the business of government and became so ill that his second wife, who came of the Liu family and had replaced the first wife after her death, besought him to make his last dispositions.Now three sons had been born to Yuan Shao: Yuan Tan the eldest, who was the Commander of Qingzhou; Yuan Xi, who ruled over Youzhou; and Yuan Shang, borne to him by Lady Liu. This youngest son was very handsome and noble looking, and his father's favorite. So he was kept at home.After the defeat at Guandu, the lad's mother was constantly urging that her son should be named as successor, and Yuan Shao called together four of his counselors to consider this matter. These four happened to be divided in their sympathies: Shen Pei and Peng Ji being in favor of the youngest son, and Xin Ping and Guo Tu supporters of the eldest."
當下袁紹謂四人曰：「今外患未息，內事不可不早定，吾將議立後嗣。長子譚，為人性剛好殺；次子熙，為人柔懦難成；三子尚，有英雄之表，禮賢敬士，吾欲立之。公等之意若何？」郭圖曰：「三子之中，譚為長，今又居外；主公若廢長立幼，此亂萌也。目下軍威稍挫，敵兵壓境，豈可復使父子兄弟自相爭亂耶？主公且理會拒敵之策，立嗣之事，再容後議。」,"When they met to consult, Yuan Shao said, ""As there is nought but war and trouble outside our borders, it is necessary that tranquillity within be early provided for, and I wish to appoint my successor. My eldest son is hard and cruel, my second is mild and unfit. The third has the outward form of a hero, appreciates the wise, and is courteous to his subordinates. I wish him to succeed, but I wish that you tell me your opinions.""Guo Tu said, ""Yuan Tan is your first born, and he is in a position of authority beyond your control. If you pass over the eldest in favor of the youngest, you sow the seeds of turbulence. The prestige of the army has been somewhat lowered and enemies are on our border. Should you add to our weakness by making strife between father and son, elder and younger brothers? Rather consider how the enemy may be repulsed and turn to the question of the heirship later."""
袁紹躊躇未決。忽報袁熙引兵六萬，自幽州來，袁譚引兵五萬，自青州來，外甥高幹亦引兵五萬，自并州來，各至冀州助戰。紹喜，再整人馬，來戰曹操。時操引得勝之兵，陳列於河上，有土人簞食壺漿以迎之。操見父老數人，鬚髮盡白，乃命入帳中賜坐，問之曰：「老丈多少年紀？」答曰：「皆近百歲矣。」操曰：「吾軍士驚擾汝鄉，吾甚不安。」父老曰：「桓帝時，有黃星見於楚、宋之分，遼東人殷馗善觀天文，夜宿於此，對老漢等言：『黃星見於乾象，正照此間。後五十年，當有真人起於梁、沛之間。』今以年計之，整整五十年。袁本初重斂於民，民皆怨之。丞相興仁義之師，弔民伐罪，官渡一戰，破袁紹百萬之眾，正應當時殷馗之言，兆民可望太平矣。」操笑曰：「何敢當老丈所言？」遂取酒食絹帛賜老人而遣之。號令三軍：如有下鄉殺人家雞犬者，如殺人之罪。,"Then the natural hesitation of Yuan Shao asserted itself, and he could not make up his mind. Soon came news that his sons Yuan Tan was coming from Qingzhou with sixty thousand troops, Yuan Xi coming from Youzhou with fifty thousand troops, and his nephew Gao Gan coming from Bingzhou with fifty thousand troops to help him, and he turned his attention to preparations for fighting Cao Cao.When Cao Cao drew up his victorious army on the banks of Yellow River, the aged natives brought an offering of food and sauce to bid him welcome. Their venerable and hoary appearances led Cao Cao to treat them with the highest respect.He invited them to be seated and said to them, ""Venerable Sirs, what may be your age?""""We are nearly a hundred,"" replied the old villagers.""I should be very sorry if my army had disturbed your village,"" said Cao Cao.One of them said, ""In the days of the Emperor Huan a yellow star was seen over by way of the ancient states of Chu and Song in the southwest. Yin Kui of Liaodong, who was learned in astrology, happened to be passing the night here, and he told us that the star foretold the arrival in these parts, fifty years hence, of a true and honest man here in the Yellow River. Lo! That is exactly fifty years ago. Now Yuan Shao is very hard on the people and they hate him. You, Sir, having raised this army in the cause of humanity and righteousness, out of pity for the people and to punish crimes, and having destroyed the hordes of Yuan Shao at Guandu, just fulfill the prophecy of Yin Kui. The millions of the land may look now for tranquillity.""""How dare I presume that I am he?"" said Cao Cao with a smile.Wine was served and refreshments brought in, and the old gentlemen were sent away with presents of silk stuffs. And an order was issued to the army that if anyone killed so much as a fowl or a dog belonging to the villagers, he should be punished as for murder."
於是軍民震服。操亦心中暗喜人報袁紹聚四州之兵，得二三十萬，前至倉亭下寨。操提兵前進，下寨已定。次日，兩軍相對，各布成陣勢。操引諸將出陣，紹亦引三子一甥及文官武將出到陣前。操曰：「本初計窮力盡，何尚不思投降？直待刀臨項上，悔無及矣！」紹大怒，回顧眾將曰：「誰敢出馬？」袁尚欲於父前逞能，便舞雙刀，揮馬出陣，來往奔馳。操指問眾將曰：「此何人？」有識者答曰：「此袁紹三子袁尚也。」,"And the soldiers obeyed with fear and trembling while Cao Cao rejoiced in his heart.It was told Cao Cao that the total army from the four regions under the Yuan family amounted to two hundred thirty thousand soldiers and they were camped at Cangting. Cao Cao then advanced nearer to them and made a strong camp.Next day the two armies were arrayed over against each other. On one side Cao Cao rode to the front surrounded by his commanders, and on the other appeared Yuan Shao supported by his three sons, his nephew, and his leaders.Cao Cao spoke first, ""Yuan Shao, your schemes are poor, your strength is exhausted, why still refuse to think of surrender? Are you waiting till the sword shall be upon your neck? Then it will be too late.""Yuan Shao turned to those about him, saying, ""Who dares go out?""His son Yuan Shang was anxious to exhibit his prowess in the presence of his father, so he flourished his pair of swords and rode forth.Cao Cao pointed him out to his officers and asked, ""Anyone knows him?""""He is the youngest son of Yuan Shao,"" was the reply."
言未畢，一將挺槍早出。操視之，乃徐晃部將史渙也。兩騎相交，不三合，尚撥馬刺斜而走。史渙趕來，袁尚拈弓搭箭，翻身背射，正中史渙左目，墜馬而死。袁紹見子得勝，揮鞭一指，大隊人馬，擁將過來混戰。大殺一場，各鳴金收軍還寨。操與諸將商議破紹之策。程昱獻「十面埋伏」之計，勸操退軍於河上，伏兵十隊，誘紹追至河上；我軍無退路，必將死戰，可勝紹矣。,"Before they had finished speaking, from their own side rode out Shi Huan, armed with a spear. The two champions fought a little while and suddenly Yuan Shang whipped up his horse, made a feint and fled. His opponent followed. Yuan Shang took his bow, fitted an arrow, turned in his saddle, and shot at Shi Huan, wounding him in the left eye. Shi Huan fell from the saddle and died on the spot.Yuan Shao seeing his son thus get the better of his opponent, gave the signal for attack, and the whole army thundered forward. The onslaught was heavy, but presently the gongs on both sides sounded the retire and the battle ceased.When he had returned to camp, Cao Cao took counsel to find a plan to overcome Yuan Shao. Then Cheng Yu proposed the plan of the ""Ten Ambushes"" and persuaded Cao Cao to retire upon the river, placing troops in ambush as he went. Thus would Yuan Shao be inveigled into pursuit as far as the river, when Cao Cao's army would be forced to make a desperate stand or be driven into the water."
