chinese,english
話說曹操舉劍欲殺張遼，玄德攀住臂膊，雲長跪於面前。玄德曰：「此等赤心之人，正當留用。」雲長曰：「關某素知文遠忠義之士，願以性命保之。」操擲劍笑曰：「我亦知文遠忠義，故戲之耳。」乃親釋其縛，解衣衣之，延之上坐。遼感其意，遂降。操拜遼為中郎將，賜爵關內侯，使招安臧霸。,"The last chapter said that Cao Cao was checked in his angry attack upon Zhang Liao. They were Liu Bei who held his arm and Guan Yu who knelt before him.""A man as generous-hearted as he is should be saved,"" said Liu Bei.Guan Yu said, ""I know him well as loyal and righteous. I will vouch for him with my own life!""Cao Cao threw aside his sword and smiled.""I also know Zhang Liao to be loyal and good. I was just testing him,"" said he.Cao Cao loosed the prisoner's bonds with his own hands, had a change of dress brought in, and clothed him therewith. Then he was led to a seat of honor. This kindly treatment sank deep into Zhang Liao's heart, and he hastened to declare formally that he yielded. And then he was given the rank of Imperial Commander and the title of Lordship."
聞呂布已死，張遼已降，遂亦引本部軍投降。操厚賞之。臧霸又招安孫觀，吳敦，尹禮，來降；獨昌豨未肯歸順。操封臧霸為瑯琊相。孫觀等亦各加官，令守青、徐沿海地面。將呂布妻女載回許都。大犒三軍，拔寨班師。路過徐州，百姓焚香遮道，請留劉使君為牧。操曰：「劉使君功大，且待面君封爵，回來未遲。」百姓叩謝。操喚車騎將軍車冑權領徐州。操軍回許昌，封賞出征人員，留玄德在相府左近宅院歇定。,"Zhang Liao was sent on a mission to win over the bandit leader Zang Ba, who hearing what had happened, came forthwith and gave in his submission. He was graciously received, and his former colleagues —-Sun Guan, Wu Dun, and Yin Li —-also yielded, with the exception of Chang Xi, who remained obdurate. All these former enemies who came over were kindly treated and given posts of responsibility wherein they might prove the reality of their conversion. Lu Bu's family were sent to the capital.After the soldiers had been rewarded with feasting, the camp was broken up and the army moved away to Xuchang. Passing through Xuzhou the people lined the roads and burned incense in honor of the victors. They also petitioned that Liu Bei should be their protector.Cao Cao replied, ""Liu Bei has rendered great services. You must wait till he has been received in audience and obtained his reward. After that he shall be sent here.""The people bowed low to the ground to express their thanks. Che Zhou, General of the Flying Cavalry, was given command of Xuzhou for the moment.After the army had arrived at the capital, rewards were granted to all the officers who had been in the expedition. Liu Bei was retained in the capital, lodging in an annex to the Prime Minister's palace."
次日，獻帝設朝，操表奏玄德軍功，引玄德見帝。玄德具朝服拜於丹墀。帝宣上殿問曰：「卿祖何人？」玄德奏曰：「臣乃中山靖王之後，孝景皇帝閣下玄孫，劉雄之孫，劉弘之子也。」帝教取宗族世譜檢看，令宗正卿宣讀曰：,"Next day a court was held, and Cao Cao memorialized the services of Liu Bei who was presented to Emperor Xian. Dressed in court robes, Liu Bei bowed at the lower end of the audience arena. The Emperor called him to the Hall and asked his ancestry.Liu Bei replied, ""Thy servant is the son of Liu Hong, grandson of Liu Xiong, who was a direct descendant of Prince Sheng of Zhongshan, who was the son of His Majesty the Emperor Jing (reigned BC 157-141).""The Emperor bade them bring forth the Books of the Genealogies, and therefrom a secretary read:"
孝景皇帝生十四子。第七子乃中山靖王劉勝。勝生陸城亭侯劉貞。貞生沛侯劉昂。昂生漳侯劉祿。祿生沂水侯劉戀。戀生欽陽侯劉英。英生安國侯劉建。建生廣陵侯劉哀。哀生膠水侯劉憲。憲生祖邑侯劉舒。舒生祁陽侯劉誼。誼生原澤侯劉必。必生潁川侯劉達。達生豐靈侯劉不疑。不疑生濟川侯劉惠。惠生東郡范令劉雄。雄生劉弘。弘不仕劉備乃劉弘之子也。,"""Liu Jing the Filial Emperor begot fourteen sons of whom the seventh was Liu Sheng, Prince of Zhongshan. Sheng begot Liu Zhen, Lord of Luchang. Zhen begot Liu Ang, Lord of Pei. Ang begot Liu Lu, Lord of Zhang. Lu begot Liu Lian, Lord of Yishui. Lian begot Liu Ying, Lord of Qinyang. Ying begot Liu Jian, Lord of Anguo. Jian begot Liu Ai, Lord of Guangling. Ai begot Liu Xia, Lord of Jiaoshui. Xia begot Liu Shu, Lord of Zuyi. Shu begot Liu Yi, Lord of Qiyang. Yi begot Liu Bi, Lord of Yuanze. Bi begot Liu Da, Lord of Yingchuan. Da begot Liu Buyi, Lord of Fengling. Buyi begot Liu Hui, Lord of Jichuan. Hui begot Liu Xiong, Governor of Zhuo. Xiong begot Liu Hong, who held no office or rank; and Liu Bei is his son."""
帝排世譜，則玄德乃帝之叔也。帝大喜，請入偏殿敘叔姪之禮。帝暗思：「曹操弄權，國事都不由朕主，今得此英雄之叔，朕有助矣！」遂拜玄德為左將軍宜城亭侯。設宴款待畢，玄德謝恩出朝。自此人皆稱為劉皇叔。,"The Emperor compared this with the registers of the Imperial House and found by them that Liu Bei was his uncle by descent. The Emperor seemed greatly pleased and requested Liu Bei to go into one of the side chambers where he might perform the ceremonial obeisance prescribed for a nephew to his uncle. In his heart he rejoiced to have this heroic warrior uncle as a powerful supporter against Cao Cao who really held all the power in his own hands. The Emperor knew himself to be a mere puppet. He conferred upon his uncle the rank of General of the Left Army and the title of Lord of Yicheng.When the banquet was concluded, Liu Bei thanked the Emperor and went out of the Palace. And from this time he was very generally styled the ""Imperial Uncle."""
曹操回府，荀彧等一班謀士入見曰：「天子認劉備為叔，恐無益於明公。」操曰：「彼既認為皇叔，吾以天子之詔令之，彼愈不敢不服矣。況吾留彼在許都，名雖近君，實在吾掌握之內，吾何懼哉？吾所慮者，太尉楊彪係袁術親戚；倘與二袁為內應，為害不淺。當即除之。」乃密使人誣告彪交通袁術，遂收彪下獄，命滿寵按治之。,"When Cao Cao returned to his palace, Xun Yu and his fellow advisers went in to see him.Xun Yu said, ""It is no advantage to you, Illustrious Sir, that the Emperor recognizes Liu Bei as an uncle.""""Liu Bei may be recognized as uncle, but he is under my orders since I control the decrees of the Throne. He will be all the more ready to obey. Beside I will keep him here under the pretense of having him near his sovereign, and he will be entirely in my hands. I have nothing to fear. The man I fear is Yang Biao, who is a relative of the two Yuan brothers. Should Yang Biao conspire with them, he is an enemy within and might do much harm. He will have to be removed.""Hence Cao Cao sent a secret emissary to say that Imperial Guardian Yang Biao was intriguing with Yuan Shu, and on this charge Yang Biao was arrested and imprisoned. And his death would have been compassed had his enemy dared."
時北海太守孔融在許都，因諫操曰：「楊公四世清德，豈可因袁氏而罪之乎？」操曰：「此朝延意也。」融曰：「使成王殺召公，周公可得言不知耶？」操不得已，乃免彪官，放歸田里。議郎趙彥憤操專橫，上疏劾操不奉帝旨、擅收大臣之罪。操大怒，即收趙彥殺之。於是百官無不悚懼。謀士程昱說操曰：「今明公威名日盛，何不乘此時行王霸之事？」操曰：「朝廷股肱尚多，未可輕動。吾當請天子田獵，以觀動靜。」,"But just then the Governor of Beihai, Kong Rong, was at the capital, and he remonstrated with Cao Cao, saying, ""Yang Biao comes from a family famed for virtue for at least four generations. You cannot trump up so foolish a charge as that against him.""""It is the wish of His Majesty!"" retorted Cao Cao.""If the child Emperor Cheng of Zhou Dynasty had put Duke Chao to death, could the people have believed Duke Zhou, the Regent Marshal, had nothing to do with it?""So Cao Cao had to relinquish the attempt, but he took away Yang Biao's offices and banished him to his family estate in the country.Court Counselor Zhao Yan, an opponent of the Prime Minister, sent up a memorial impeaching Cao Cao for having removed a minister of state from office without a decree. Cao Cao's reply to this was the arrest of Zhao Yan and his execution, a bold stroke which terrified the bulk of officers and reduced them to silence.Cheng Yu advised Cao Cao to assume a more definite position. He said, ""Illustrious Sir, your prestige grows daily. Why not seize the opportunity to take the position of Chief of the Feudatory Princes?""""There are still too many supporters of the court,"" was the reply. ""I must be careful. I am going to propose a royal hunt to try to find out the best line to follow."""
於是揀選良馬，名鷹俊犬，弓矢俱備，先聚兵城外，操入請天子田獵。帝曰：「田獵恐非正道。」操曰：「古之帝王，春蒐夏苗，秋獮冬狩，四時出郊，以示武於天下。今四海擾攘之時，正當借田獵以講武。」帝不敢不從，隨即上逍遙馬，帶寶雕弓、金鈚箭，排鑾駕出城。玄德與關、張各彎弓插箭，內穿掩心甲，手持兵器，引數十騎隨駕出許昌。曹操騎爪黃飛電馬，引十萬之眾，與天子獵於許田。軍士排開圍場，週廣二百餘里。操與天子並馬而行，只爭一馬頭。背後都是操之心腹將校。文武百官，遠遠侍從，誰敢近前。,"This expedition being decided upon they got together fleet horses, famous falcons, and pedigree hounds, and prepared bows and arrows in readiness. They mustered a strong force of guards outside the city.When the Prime Minister proposed the hunting expedition, the Emperor said he feared it was an improper thing to do.Cao Cao replied, ""In ancient times rulers made four expeditions yearly at each of the four seasons in order to show their strength. They were called Sou, Miao, Xien, and Shou, in the order of spring, summer, autumn, and winter. Now that the whole country is in confusion, it would be wise to inaugurate a hunt in order to train the army. I am sure Your Majesty will approve.""So the Emperor with the full paraphernalia for an imperial hunt joined the expedition. He rode a saddled horse, carried an inlaid bow, and his quiver was filled with gold-tipped arrows. His chariot followed behind. Liu Bei and his brothers were in the imperial train, each with his bow and quiver. Each party member wore a breastplate under the outer robe and held his especial weapon, while their escort followed them. Cao Cao rode a dun horse called ""Flying-Lightning,"" and the army was one hundred thousand strong.The hunt took place in Xutian, and the legions spread out as guards round the hunting arena which extended over some one hundred square miles. Cao Cao rode even with the Emperor, the horses' heads alternating in the lead. The imperial attendants immediately following were all in Cao Cao's confidence. The other officers, civil and military, lagged behind, for they dared not press forward into the midst of Cao Cao's partisans."
當日獻帝馳馬到許田，劉玄德起居道旁。帝曰：「朕今欲看皇叔射獵。」玄德領命上馬，忽草中趕起一兔。玄德射之，一箭正中那兔。帝喝采。轉過土坡，忽見荊棘中趕出一隻大鹿。帝連射三箭不中，顧謂操曰：「卿射之。」操就討天子寶雕弓、金鈚箭，扣滿一射，正中鹿背，倒於草中。群臣將校，見了金鈚箭，只道天子射中，都踴躍向帝呼萬歲。曹操縱馬直出，遮於天子之前以迎受之。群皆失色。,"One day the Emperor was riding toward the hunting grounds and noticed his newly found uncle respectfully standing by the roadside.""I should like to see my uncle display his hunting skill,"" said the Emperor.Liu Bei mounted his steed at once. Just then a hare started from its form. Liu Bei shot and hit it with the first arrow.The Emperor, much struck by this display, rode away over a slope. Suddenly a deer broke out of the thicket. He shot three arrows at it but all missed.""You try,"" said the Emperor turning to Cao Cao.""Lend me Your Majesty's bow,"" Cao Cao replied.Taking the inlaid bow and the golden-tipped arrows, Cao Cao pulled the bow and hit the deer in the shoulder at the first shot. It fell in the grass and could not run.Now the crowd of officers seeing the golden-barbed arrow sticking in the wound concluded at once that the shot was the Emperor's, so they rushed up and shouted ""Wan sui! O Son of Heaven! Live forever!""Cao Cao rode out pushing past the Emperor and acknowledged the congratulations.They all turned pale."
玄德背後雲長大怒，剔起臥蠶眉，睜開丹鳳眼，提刀拍馬便出，要斬曹操。玄德見了，慌忙搖手送目。關公見兄如此，便不敢動。玄德欠身向操稱賀曰：「丞相神射，世所罕及！」操笑曰：「此天子洪福耳。」乃回馬向天子稱賀，竟不獻還寶雕弓，親自懸帶。,"Guan Yu, who was behind Liu Bei, was especially angry. The silkworm eyebrows stood up fiercely, and the red phoenix eyes glared as, sword in hand, he rode hastily forth to cut down the audacious Prime Minister for his impertinence.However, Liu Bei hastily waved him back and shot at him a meaning glance so that Guan Yu stopped and made no further move.Liu Bei bowing toward Cao Cao said, ""Most sincere felicitations! A truly supernatural shot, such as few have achieved!""""It is only the enormous good fortune of the Son of Heaven!"" said Cao Cao with a smile.Then he turned his steed and felicitated the Emperor. But he did not return the bow; he hung it over his own shoulder instead."
