chinese,english
卻說曹操大破呂布於定陶，布乃收集敗殘軍馬於海濱，眾將皆來會集，欲再與曹操決戰。陳宮曰：「今曹兵勢大，未可與爭；先尋取安身之地，那時再來未遲。」布曰：「吾欲再投袁紹，何如？」宮曰：「先使人往冀州探聽消息，然後可去。」布從之。,"The last chapter told of the defeat of Lu Bu, and his gathering the remnant of his army at Dingtao. When all his generals had joined him, he began to feel strong enough to try conclusions with Cao Cao once again.Said Chen Gong, who was opposed to this course, ""Cao Cao is too strong right now. Seek some place where we can rest a time before trying.""""Suppose I went to Yuan Shao,"" said Lu Bu.""Send first to make inquiries.""Lu Bu agreed."
且說袁紹在冀州，聞知曹操與呂布相持，謀士審配進曰：「呂布，豺虎也：若得兗州，必圖冀州。不若助操攻之，方可無患。」紹遂遣顏良將兵五萬，往助曹操。細作探知這個消息，飛報呂布。布大驚，與陳宮商議。宮曰：「聞劉玄德新領徐州，可往投之。」布從其言，竟投徐州來。,"The news of the fighting between Cao Cao and Lu Bu had reached Jizhou, and one of Yuan Shao's advisers, Shen Pei, warned him, saying, ""Lu Bu is a savage beast. If he gets possession of Yanzhou, he will certainly attempt to add this region to it. For your own safety you should help to crush him.""Wherefore Yuan Shao sent Yan Liang with fifty thousand troops to destroy Lu Bu. The spies heard this and at once told Lu Bu, who was greatly disturbed and called in Chen Gong.""Go over to Liu Bei, who has lately succeeded to Xuzhou,"" said Chen Gong.Hence Lu Bu went thither."
有人報知玄德。玄德曰：「布乃當今英勇之士，可出迎之。」糜竺曰：「呂布乃虎狼之徒，不可收留；收則傷人矣。」玄德曰：「前者非布襲兗州，怎解此郡之禍？今彼窮而投我，豈有他心？」張飛曰：「哥哥心腸忒好。雖然如此，也要準備。」,"Hearing this, Liu Bei said, ""Lu Bu is a hero, and we will receive him with honor.""But Mi Zhu was strongly against receiving him, saying, ""He was a cruel, bloodthirsty beast!""But Liu Bei replied, ""How would misfortune have been averted from Xuzhou, if he had not attacked Yanzhou? He cannot have bad intention, now that he comes seeking an asylum.""""Brother, your heart is really too good. Although it may be as you say, yet it would be well to prepare,"" said Zhang Fei."
玄德領眾出城三十里，接著呂布，並馬入城。都到州衙廳上，講禮畢，坐下。布曰：「某自與王司徒計殺董卓之後，又遭傕、汜之變，飄零關東，諸侯多不能相容。近因曹賊不仁，侵犯徐州蒙使君力救陶謙，布因襲兗州以分其勢；不料反墮奸計，敗兵折將。今投使君，共圖大事，未審尊意如何？」玄德曰：「陶使君新逝，無人管領徐州，因令備權攝州事。今幸將軍至此，合當相讓。」遂將牌印與呂布。呂布卻待要接，只見玄德背後關、張二公各有怒色。布乃佯笑曰：「量呂布一勇夫，何能作州牧乎？」玄德又讓。陳宮曰：「『強賓不壓主』，請使君勿疑。」玄德方止。遂設宴相待，收拾宅院安下。,"Liu Bei with a great following met Lu Bu ten miles outside the city gates, and the two chiefs rode in side by side. They proceeded to the residence and there, after the elaborate ceremonies of reception were over, they sat down to converse.Said Lu Bu, ""After Minister of the Interiror Wang Yun and I plotted to slay Dong Zhuo and my misfortune in the Li Jue and Guo Si's sedition, I drifted about from one place to another, and none of the nobles in the East of Huashan Mountains seemed willing to receive me. When Cao Cao with wicked ambition invaded this region and you, Sir, came to its rescue, I aided you by attacking Yanzhou and thus diverting a portion of his force. I did not think then that I should be the victim of a vile plot and lose my leaders and my soldiers. But now if you will, I offer myself to you that we may together accomplish great designs.""Liu Bei replied, ""When the late Imperial Protector Tao Qian died, there was no one to administer Xuzhou, and so I assumed that task for a time. Now since you are here, General, it is most suitable that I step down in your favor.""Whereupon Liu Bei took the insignia and the seal of authority and handed them to Lu Bu. Lu Bu was on the point of accepting them, when he saw Guan Yu and Zhang Fei, who stood behind Liu Bei, glaring at him with angry eyes.So Lu Bu put on a smile and said, ""I may be something of a fighting man, but I could not rule a great region like this.""Liu Bei repeated his offer.But Chen Gong said, ""The strong guest does not oppress his host. You need not fear, my lord!""Then Liu Bei desisted. Banquets were held and dwelling places prepared for the guest and his retinue."
次日，呂布回席請玄德，玄德乃與關、張同往。飲酒至半酣，布請玄德入後堂。關、張隨入。布令妻女出拜玄德。玄德再三謙讓。布曰：「賢弟不必推讓。」張飛聽了，瞋目大叱曰：「我哥哥是金枝玉葉，你是何等人，敢稱我哥哥為賢弟！你來！我和你鬥三百合！」玄德連忙喝住，關公勸飛出。玄德與呂布陪話曰：「劣弟酒後狂言，兄勿見責。」布默默無語。須臾席散。布送玄德出門，張飛躍馬橫鎗而來，大叫：「呂布！我和你併三百合！」玄德急令關公勸止。,"As soon as convenient, Lu Bu returned the feast. Liu Bei went with his two brothers. Half through the banquet Lu Bu requested Liu Bei to retire to one of the inner private rooms, whither Guan Yu and Zhang Fei followed him. There Lu Bu bade his wife and daughter bow as to their benefactor. Here also Liu Bei showed excessive modesty.Lu Bu said, ""Good younger brother, you need not be so very modest.""Zhang Fei heard what Lu Bu said, and his eyes glared, shouting, ""What sort of a man are you that dares call our brother 'younger brother'? He is one of the ruling family —-a jade leaf on a golden branch. Come out, and I will fight you three hundred bouts for the insult!""Liu Bei hastily checked the impulsive one, and Guan Yu persuaded him to go away.Then Liu Bei apologized, saying, ""My poor brother talks wildly after he has been drinking. I hope you will not blame him.""Lu Bu nodded, but said nothing. Soon after the guests departed. But as the host escorted Liu Bei to his carriage, he saw Zhang Fei galloping up armed as for a fray.""Lu Bu, you and I will fight that duel of three hundred bouts!"" shouted Zhang Fei.Liu Bei bade Guan Yu check him."
次日呂布來辭玄德曰：「蒙使君不棄，但恐令弟輩不能相容。布當別投他處。」玄德曰：「將軍若去，某罪大矣。劣弟冒犯，另日當令陪話。近邑小沛，乃備昔日屯兵之處。將軍不嫌淺狹，權且歇馬，如何？糧食軍需，謹當應付。」呂布謝了玄德，自引軍投小沛安身去了。玄德自去埋怨張飛不題。,"Next day Lu Bu came to take leave of his host. ""You, O Lord, kindly received me, but I fear your brothers and I cannot agree. So I will seek some other asylum.""""General, if you go, the blame is mine. My rude brother has offended and must eventually apologize. In the meantime what think you of a temporary sojourn at the town where I was encamped for some time, Xiaopei? The place is small and mean, but it is near, and I will see to it that you are supplied with all you need.""Lu Bu thanked him and accepted this offer. He led his troops there and took up residence. After he had gone, Liu Bei reproved Zhang Fei for what he did, and Zhang Fei did not again refer to the matter."
卻說曹操平了山東，表奏朝廷，加操為建德將軍費亭侯。其時李傕自為大司馬，郭汜自為大將軍，橫行無忌，朝廷無人敢言。太尉楊彪、大司農朱雋暗奏獻帝曰：「今曹操擁兵二十餘萬，謀臣武將數十員，若得此人扶持社稷，剿除奸黨，天下幸甚。」獻帝泣曰：「朕被二賊欺凌久矣，若得誅之誠為大幸！」彪奏曰：「臣有一計，先令二賊自相殘害；然後詔曹操引兵殺之，掃清賊黨，以安朝廷。」獻帝曰：「計將安出？」彪曰：「聞郭汜之妻最妒，可令人於汜妻處用反間計，則二賊自相害矣。」,"That Cao Cao had subdued the region around Shandong Mountains has been stated before. He memorialized the Throne and was rewarded with the title of General Who Exhibits Firm Virtue and Lord of Feiting.At this time Li Jue and Guo Si were commanding the court. Li Jue had made himself Regent Marshal, and his colleague Guo Si styled himself Grand Commander. Their conduct was abominable but no one dared to criticize them.Imperial Guardian Yang Biao and Minister Zhu Jun privately talked with Emperor Xian and said, ""Cao Cao has over two hundred thousand troops and many capable advisers and leaders. It would be well for the empire if he would lend his support to the imperial family and help to rid the government of this evil party.""His Majesty wept, ""I am weary of the insults and contempt of these wretches and should be very glad to have them removed.""""I have thought of a plan to estrange Li Jue and Guo Si and so make them destroy each other. Then Cao Cao could come and cleanse the court,"" said Yang Biao.""How will you manage it?"" asked the Emperor.""Guo Si's wife, Lady Qiong, is very jealous, and we can take advantage of her weakness to bring about a quarrel."""
帝乃書密詔付楊彪。彪即暗使夫人以他事入郭汜府，乘間告汜妻曰：「聞郭將軍與李司馬夫人有染，其情甚密。倘司馬知之，必遭其害。夫人宜絕其往來為妙。」汜妻訝曰：「怪見他經宿不歸！卻幹出如此無恥之事！非夫人言，妾不知也。當慎防之。」彪妻告歸，汜妻再三稱謝而別。,"So Yang Biao received instruction to act, with a secret edict to support him.So Yang Biao's wife, Lady Kai, made an excuse to visit Lady Qiong at her palace and, in the course of conversation, said ""There is talk of secret liaison between the General, your husband, and the wife of Minister Li Jue. It is a great secret, but if Minister Li Jue knew it, he might try to harm your husband. I think you ought to have very little to do with that family.""Lady Qiong was surprised but said, ""I have wondered why he has been sleeping away from home lately, but I did not think there was anything shameful connected with it. I should never have known if you had not spoken. I must put a stop to it.""By and by, when Lady Kai took her leave, Lady Qiong thanked her warmly for the information she had given."
過了數日郭汜又將往李傕府中飲宴。妻曰：「傕性不測，況今兩雄不並立，倘彼酒後置毒，妾將奈何？」汜不肯聽妻再三勸住。至晚間，傕使人送酒筵至。汜妻乃暗置毒於中，方始獻入。汜便欲食。妻曰：「食自外來，豈可便食？」乃先與犬試之，犬立死。自此汜心懷疑。,"Some days passed, and Guo Si was going over to the dwelling of Li Jue to a dinner.Lady Qiong did not wish him to go and she said, ""This Li Jue is very deep, and one cannot fathom his designs. You two are not of equal rank, and if he made away with you, what would become of your poor handmaid?""Guo Si paid no attention, and his wife could not prevail on him to stay at home. Late in the afternoon some presents arrived from Li Jue's palace, and Lady Qiong secretly put poison into the delicacies before she set them before her lord.Guo Si was going to taste at once but she said, ""It is unwise to consume things that come from outside. Let us try on a dog first.""They did, and the dog died. This incident made Guo Si doubt the kindly intentions of his colleague."
一日朝罷，李傕力邀郭汜赴家飲宴。至夜席散，汜醉而歸，偶然腹痛。妻曰：「必中其毒矣！」急令將糞汁灌之，一吐方定。汜大怒曰：「吾與李傕共圖大事，今無端欲謀害我，我不先發，必遭毒手。」遂密整本部甲兵，欲攻李傕。早有人報知傕。傕亦大怒曰：「郭亞多安敢如此！」遂點本部甲兵，來殺郭汜。城下混戰，乘勢擄掠居民。,"One day, at the close of business at court, Li Jue invited Guo Si to his palace. After Guo Si arrived home in the evening, rather the worse for too much wine, he was seized with a colic. His wife said she suspected poison and hastily administered an emetic, which relieved the pain.Guo Si began to feel angry, saying, ""We did everything together and helped each other always. Now he wants to injure me! If I do not get in the first blow, I shall suffer some injury.""So Guo Si began to prepare his guards for any sudden emergency.This was told to Li Jue, and he in turn grew angry, saying, ""So Guo Si is doing so and so!""Then Li Jue got his guards under way and came to attack Guo Si. Both houses had ten thousand, and the quarrel became so serious that they fought a pitched battle under the city walls. When that was over both sides turned to plunder the people."
