chinese,english
卻說張飛拍馬趕到關下，關上矢石如雨，不得進而回。八路諸侯，同請玄德、關、張賀功，使人去袁紹寨中報捷。紹遂移檄孫堅，令其進兵。堅引程普，黃蓋，至袁術寨中相見。堅以杖畫地曰：「董卓與我，本無讎隙。今我奮不顧身，親冒矢石，來決死戰者：上為國家討賊，下為將軍家門之私；而將軍卻聽讒言，不發糧草，致堅敗績，將軍何安！」,"Zhang Fei rode hard up to the Pass, but the defenders sent down stones and arrows like rain so that he could not enter, and he returned. The eight lords all joined in felicitations to the three brothers for their services, and the story of victory was sent to Yuan Shao, who ordered Sun Jian to make an immediate advance. Thereupon Sun Jian with two trusty generals, Cheng Pu and Huang Gai, went over to the camp of Yuan Shu. Tracing figures on the ground with his staff, Sun Jian said, ""Dong Zhuo and I had no personal quarrel. Yet now I have thrown myself into the battle regardless of consequences, exposed my person to the risk of wounds and fought bloody battles to their bitter end. And why? That I might be the means of ridding my country of a rebel and —-for the private advantage of your family. Yet you, heeding the slanderous tongue of certain counselor, formerly withheld the supplies absolutely necessary to me, and so I suffered defeat. How can you explain, General?"""
術惶恐無言，命斬進讒之人，以謝孫堅。忽人報堅曰：「關上有一將，乘馬來寨中，要見將軍。」堅辭袁術，歸到本寨，喚來問時，乃董卓愛將李傕。堅曰：「汝來何為？」傕曰：「丞相所敬者，惟將軍耳。今特使傕來結親：丞相有女，欲配將軍之子。」堅大怒，叱曰：「董卓逆天無道，蕩覆王室，吾欲夷其九族，以謝天下，安肯與逆賊結親耶！吾不斬汝！汝當速去，早早獻關，饒你性命！倘若遲誤，粉骨碎身！」,"Yuan Shu, confused and frightened, had no word to reply. He ordered the death of the slanderer to placate Sun Jian. Then suddenly they told Sun Jian, ""Some officer has come riding down from the Pass to see you, General. He is in the camp.""Sun Jian therefore took his leave and returned to his own camp, where he found the visitor was Li Jue, one of the much trusted commanders of Dong Zhuo.""Wherefore come you?"" said Sun Jian.Li Jue replied, ""You are the one person for whom my master has respect and admiration, and he sends me to arrange a matrimonial alliance between the two families. He wishes that his daughter may become the wife of your son.""""What! Dong Zhuo, that rebel and renegade, that subverter of the Throne! I wish I could destroy his nine generations as a thank-offering to the empire! Think you I would be willing to have an alliance with such a family? I will not slay you as I ought, but go, and go quickly! Yield the Pass and I may spare your lives. If you delay, I will grind your bones to powder and make mincemeat of your flesh!"""
李傕抱頭鼠竄，回見董卓，說孫堅如此無禮。卓怒，問李儒。儒曰：「溫侯新敗，兵無戰心。不若引兵回洛陽，遷帝於長安，以應童謠。近日街市童謠曰：『西頭一個漢，東頭一個漢。鹿走入長安，方可無斯難。』臣思此言，『西頭一個漢』，乃應高祖旺於西都長安，傳一十二帝；『東頭一個漢』，乃應光武旺於東都洛陽，今亦傳一十二帝。天運合回，丞相遷回長安，方可無虞。」卓大喜曰：「非汝言，吾實不悟。」遂引呂布星夜回洛陽，商議遷都。聚文武於朝堂，卓曰：「漢東都洛陽，二百餘年，氣數已衰。吾觀旺氣實在長安，吾欲奉駕西幸。汝等各宜促裝。」,"Li Jue threw his arms over his head and ran out. He returned to his master and told him what a rude reception he had met with. Dong Zhuo asked his adviser Li Ru how to reply to this. Li Ru said, ""Lu Bu's late defeat had somewhat blunted the edge of our army's desire for battle. It would be well to return to the capital and remove the Emperor to Changan, as the street children had been lately singing:""A Han on the west, a Han on the east.The deer (emperor) in Changan shall worry least.""Li Ru continued, ""If you think out this couplet, it applies to the present juncture. Half the first line refers to the founder of the dynasty, Liu Bang the Supreme Ancestor, who became ruler in the western city of Changan, which was the capital during twelve reigns. The other half corresponds to Liu Xiu the Latter Han Founder who ruled from Luoyang, the eastern capital during twelve latter reigns. The revolution of the heavens brings us back to this starting moment. Thus if you remove to Changan, there will be no need for anxiety.""Dong Zhuo was exceedingly pleased and said, ""Had you not spoken thus, I should not have understood!"" Then taking Lu Bu with him, Dong Zhuo started at once for Capital Luoyang.Here he called all the officials to a great council in the Palace and addressed them, ""After two centuries of rule here, the royal fortune has been exhausted, and I perceive that the aura of rule has migrated to Changan, whither I now desire to move the court. All you had better pack up for the journey."""
司徒楊彪曰：「關中殘破零落。今無故捐宗廟，棄皇陵，恐百姓驚動。天下動之至易，安之至難：望丞相鋻察。」卓怒曰：「汝阻國家大計耶？」太尉黃琬曰：「楊司徒之言是也；往者王莽篡逆，更始赤眉之時，焚燒長安，盡為瓦礫之地；更兼人民流移，百無一二；今棄宮室而就荒地，非所宜也。」卓曰：「關東賊起，天下播亂；長安有崤、函之險；更近隴右，木石磚瓦，剋日可辦，宮室營造，不須月餘。汝等再休亂言。」司徒苟爽諫曰：「丞相若欲遷都，百姓騷動不寧矣。」卓大怒曰：「吾為天下計，豈惜小民哉！」即日罷楊彪、黃琬、荀爽為庶民。,"Yang Biao, Minister of the Interior, said, ""I pray you reflect. The Land Within the Passes is all destruction. There is no reason to renounce the ancestral temples and abandon the imperial tombs here. I fear the people will be alarmed. It is easy to alarm them but difficult to pacify them.""""Do you oppose the state plans?"" said Dong Zhuo angrily.Another official, Grand Commander Huang Wan, supported his colleague, ""In the era of Recommencement (AD 23-25), Fan Chong of the Red Eyebrows rebels burned Changan to the ground and reduced the place to broken tiles. The inhabitants scattered all but a few. It is wrong to abandon these palaces here for a wasteland.""Dong Zhuo replied, ""The East of the Passes is full of sedition, and all the empire is in rebellion. The city of Changan is protected by the Yaohan Mountains and the Hangu Pass. Moreover, it is near Longyou, whence can be easily brought timber, stone, brick, and building materials. In a month or so palaces can be erected. So an end to your wild words!""Yet Minister of Works Xun Shuang raised another protest against disturbing the people, but Dong Zhuo overbore him also.""How can I stop to consider a few common people when my scheme affects the empire?"" said Dong Zhuo.That day the three objectors —-Yang Biao, Huang Wan, and Xun Shuang —-were removed from their offices and reduced to the rank of commoners."
卓出上車，只見二人望車而揖；視之，乃尚書周毖、城門校尉伍瓊也。卓問有何事，毖曰：「今聞丞相欲遷都長安，故來諫耳。」卓大怒曰：「我始初聽你兩個，保用袁紹；今紹已反，是汝等一黨！」叱武士推出都門斬首。遂下令遷都，限來日便行。李儒曰：「今錢糧缺少，洛陽富戶極多，可籍沒入官。但是袁紹等門下，殺其宗黨而抄其家貲，必得巨萬。」,"As Dong Zhuo went out to get into his coach, he met two other officers who made obeisance. They were the Chair of the Secretariat, Zhou Bi, and the Commander of the City Gates, Wu Qiong. Dong Zhuo stopped and asked them what they wanted.Said Zhou Bi, ""We venture to try to dissuade you from moving the capital to Changan.""Dong Zhuo replied, ""You two persuaded me to give Yuan Shao office. Now he has already turned traitor, and you are of the same party!""And without more ado he bade his guards take both outside the city and put them to death. The command to remove to the new capital immediately was issued.Speaking to Dong Zhuo, Li Ru pointed out, ""We are short of money and food, and the rich people of Luoyang could be easily plundered. This is a good occasion to link them to the rebels and to confiscate their properties."""
卓即差鐵騎五千，遍行捉拏洛陽富戶，共數千家，插旗頭上，大書「反臣逆黨」，盡斬於城外，取其金貲。李傕，郭汜，盡驅洛陽之民數百萬口，前赴長安。每百姓一隊，間軍一隊，互相拖押；死於溝壑者，不可勝數。又縱軍士淫人妻女，奪人糧食；啼哭之聲，震動天地。如有行得遲者，背後三千軍催督，軍手執白刃，於路殺人。,"Dong Zhuo sent five thousand troops out to plunder and slay. They captured many thousand wealthy householders and, having stuck flags on their heads saying they were Traitors and Rebels, drove them out of the city and put them to death. Their properties were all seized.The task of driving forth the inhabitants, some millions, was given to two of Dong Zhuo's commanders, Li Jue and Guo Si. The people were sent off in bands, each band between two parties of soldiers, who drove them torward Changan. Enormous numbers fell by the road side and died in the ditches, and the escort plundered the fugitives and defiled the women. A wail of sorrow arose to the very sky."
卓臨行，教諸門放火，焚燒居民房屋，並放火燒宗廟宮府。南北兩宮，火焰相接；洛陽宮庭，盡為焦土。又差呂布發掘先皇及后妃陵寢，取其金寶。軍士乘勢掘官民墳塚殆盡。董卓裝載金珠緞疋好物數千餘車，劫了天子並后妃等，竟望長安去了。,"Dong Zhuo's final orders as he left Capital Luoyang were to burn the whole city: Houses, palaces, temples, and everything were devoured by the flames. The capital became but a patch of scorched earth.Dong Zhuo sent Lu Bu to desecrate the tombs of the emperors and their consorts for the jewels therein, and the common soldiers took the occasion to dig up the graves of officials and plunder the cemeteries of the wealthy. The spoil of the city, gold and silver, pearls and silks, and beautiful ornaments, filled several thousand carts. With these and the persons of the Emperor and his household, Dong Zhuo moved off to the new capital in the first year of Inauguration of Tranquillity (AD 190)."
卻說卓將趙岑，見卓已棄洛陽而去，便獻了汜水關。孫堅驅兵先入，玄德、關、張殺入虎牢關，諸侯各引軍入。,"Luoyang being thus abandoned, the general of Dong Zhuo at River Si Pass, Zhao Cen, evacuated that post of vantage, which Sun Jian at once occupied. Liu Bei and his brothers took Tiger Trap Pass and the confederate lords advanced."
且說孫堅飛奔洛陽，遙望火焰沖天，黑煙鋪地，二三百里，並無雞犬人煙；堅先發兵救滅了火，令眾諸侯各於荒地上屯住軍馬。曹操來見袁紹曰：「今董賊西去，正可乘勢追襲；本初按兵不動，何也？」紹曰：「諸兵疲困，進恐無益。」操曰：「董賊焚燒宮室，劫遷天子，海內震動，不知所歸；此天亡之時也，一戰而天下定矣。諸侯何疑而不進？」眾諸侯皆言不可輕動。操大怒曰：「豎子不足與謀！」遂自引兵萬餘，領夏侯惇，夏侯淵，曹仁，曹洪，李典，樂進，星夜來趕董卓。,"Sun Jian hastened to the late capital which was still in flames. When he arrived, dense smoke hung all over it and spread for miles around. No living thing, not a fowl, or a dog, or a human being, remained. Sun Jian told off his soldiers to extinguish the fires and set out camping places for the confederate lords. Cao Cao went to see Yuan Shao and said, ""Dong Zhuo has gone west. We ought to follow and attack his rear without loss of time. Why do you remain inactive?""""All our colleagues are worn out, and there is nothing to be gained by attack,"" said Yuan Shao.Cao Cao said, ""This moment was most propitious in the utter confusion that reigned —-palaces burned, the Emperor abducted, the whole world upset, and no one knowing whither to turn. The villain will soon be ended, and a single blow could exterminate Dong Zhuo. Why not pursue?""But all the confederate lords seemed of one mind, and that mind was to postpone action. So they did nothing.""Those unworthy people cannot discuss worthy thing!"" cried Cao Cao.Then, he and his six generals —-Xiahou Dun, Xiahou Yuan, Cao Ren, Cao Hong, Li Dian, and Yue Jing —-and ten thousand troops started in pursuit."
且說董卓行至滎陽地方，太守徐榮出接。李儒曰：「丞相新棄洛陽，防有追兵。可教徐榮伏軍滎陽城外山塢之旁：若有兵追來，可竟放過；待我這裏殺敗，然後截住掩殺。令後來者不敢復追。」卓從其計，又令呂布引精兵遏後。布正行間，曹操一軍趕上。呂布大笑曰：「不出李儒所料也」！將軍馬擺開。曹操出馬，大叫：「逆賊！劫遷天子，流徙百姓，將欲何往？」呂布罵曰：「背主懦夫，何得妄言！」夏侯惇挺鎗躍馬，直取呂布。戰不數合，李傕引一軍，從左邊殺來，操急令夏侯淵迎敵。右邊喊聲又起，郭汜引軍殺到，操急令曹仁迎敵。三路軍馬，勢不可當。夏侯惇抵敵呂布不住，飛馬回陣。布引鐵騎掩殺，操軍大敗，回望滎陽而走。走至一荒山腳下，時約二更，月明如晝。方纔聚集殘兵。,"The road to the new capital led through Yingyang. When Dong Zhuo reached it, Governor Xu Rong went to welcome the cavalcade.Li Ru said, ""As there is some danger of pursuit, it would be well to order the Governor of this place to lay an ambush outside the city. He is to let the pursuers pass and be ready to cut off their retreat, when our army beats them off. That will teach any others not to follow.""Then Dong Zhuo ordered Lu Bu to command the rear guard. Very soon they saw Cao Cao coming up, and Lu Bu laughed at his colleague's foresight. He set out his troops in fighting order.Cao Cao rode forward, crying, ""Rebels, abductors, drovers of the people, where are you going?""Lu Bu replied, ""Treacherous simpleton, what mad words are these?""Then from Cao Cao army rode forth Xiahou Dun with his spear set, and Lu Bu and Xiahou Dun engaged. The combat had hardly begun when Li Ru with a cohort came in from the left. Cao Cao bade Xiahou Yuan meet this onslaught. However, on the other side appeared Guo Si and his company. Cao Cao sent Cao Ren against Guo Si. The onrush on three sides was too much to withstand, and Lu Bu's army was overwhelming, so Xiahou Dun had to retire to the main line. Thereupon Lu Bu's armored troops attacked and completed the defeat. The beaten army of Cao Cao turned toward Yingyang. They got as far as the foot of a hill in the evening about the second watch, and the moon made it as light as day. Here they halted to reform."
正欲埋鍋造飯，只聽得四圍喊聲，徐榮伏兵盡出。曹操慌忙策馬，奪路奔逃，正遇徐榮，轉身便走。榮搭上箭，射中操肩膊。操帶箭逃命，轉過山坡。兩個軍士伏於草中，見操馬來，二鎗齊發，操馬中鎗而倒。操翻身落馬，被二卒擒住。只見一將飛馬而來，揮刀砍死兩個步軍，下馬救起曹操。操視之，乃曹洪也。操曰：「吾死於此矣，賢弟可速去！」洪曰：「公急上馬！洪願步行。」操曰：「賊兵趕上，汝將奈何？」洪曰：「天下可無洪，不可無公。」操曰：「吾若再生，汝之力也。」操上馬，洪脫去衣甲，拖刀跟馬而走。約走至四更餘，只見前面一條大河，阻住去路，後面喊聲漸近。操曰：「命已至此，不得復活矣！」洪急扶操下馬，脫去袍鎧，負操渡水。纔過彼岸，追兵已到，隔水放箭。操帶水而走。比及天明，又走三十餘里，土岡下少歇。忽然喊聲起處，一彪人馬趕來，卻是徐榮從上流渡河來追。,"Just as they were burying the boilers to prepare a meal, there arose a great noise of shouting on all sides and out came the troops of Governor Xu Rong from the ambush fresh to attack.Cao Cao, thrown into a flurry, mounted and fled. He ran right in the way of the waiting Xu Rong. Then he dashed off in another direction, but Xu Rong shot an arrow after him which struck him in the shoulder. The arrow still in the wound, Cao Cao fled for his life. As he went over the hill, two soldiers lying in wait among the grass suddenly dashed out and wounded his horse, which fell and rolled over. And as he slipped from the saddle, he was seized and made prisoner.Just then a horseman came, riding at full speed and whirling his sword up, cut down both the captors, and rescued Cao Cao. It was Cao Hong.Cao Cao said, ""I am doomed, good brother. Go and save yourself!""""My lord, mount my horse quickly! I will go afoot,"" said Cao Hong.""If those wretches come up, what then?"" said Cao Cao.""The world can do without Cao Hong, but not without you, my lord!""""If I live, I shall owe you my life,"" said Cao Cao.So he mounted. Cao Hong tore off his own breastplate, gripped his sword, and went on foot after the horse. Thus they proceeded till the fourth watch when they saw before them a broad stream, and behind they still heard the shouts of pursuers drawing nearer and nearer.""This is my fate,"" said Cao Cao. ""I am really doomed!""Cao Hong helped Cao Cao down from his horse. Then taking off his fighting robe and helmet, Cao Hong took the wounded man on his back and waded into the stream. When they reached the further side, the pursuers had already gained the bank whence they shot arrows. Cao Cao all wet pushed on. Dawn was near. They went on another ten miles and then sat down to rest under a precipice. Suddenly loud shouting was heard and a party of horse appeared. It was Governor Xu Rong who had forded the river higher up."
