chinese,english
卻說蒯良曰：「今孫堅已喪，其子皆幼。乘此虛弱之時，火速進軍，江東一鼓可得。若還屍罷兵，容其養成氣力，荊州之患也。」表曰：「吾有黃祖在彼營中，安忍棄之？」良曰：「捨一無謀黃祖而取江東，有何不可？」表曰：「吾與黃祖心腹之交，捨之不義。」遂送桓楷回營，相約以孫堅尸換黃祖。,"This is what Kuai Liang said, ""Sun Jian is now gone, and his children are but youths. Seize this moment of weakness to break into the South Land, and it is yours in one beat of the drum. If you return the corpse and make peace, you give them time to grow powerful, and evil will ensue to Jingzhou.""""How can I leave Huang Zu in their hands?"" said Liu Biao.""Why not sacrifice this blundering warrior for a region?""""But he is my dear friend, and to abandon him is wrong.""So Huan Ji was allowed to return to his own side with the understanding that Sun Jian's dead body should be given in exchange"
劉表換回黃祖，孫策迎接靈柩，罷戰回江東，葬父於曲阿之原。喪事已畢，引軍居江都，招賢納士，屈己待人，四方豪傑，漸漸投之不在話下。,"Sun Ce freed his prisoner, brought away his father's coffin, and the fighting ceased. Sun Jian was interred in the plains of Que. When the ceremonies were over, Sun Ce led his army home again.In Changsha, one of the territories south of the Great River, Sun Ce set himself to the task of ruling well. Being humble and generous, he invited to his side humans of wisdom and valor and so bore himself that all the best and bravest of the country gathered about him."
卻說董卓在長安，聞孫堅已死，乃曰：「吾除卻一心腹之患也！」問：「其子年幾歲矣？」或答曰：「十七歲。」卓遂不以為意。自此愈加驕橫，自號為「尚父」，出入僭天子儀仗；封弟董旻為左將軍鄠侯，姪董璜為待中，總領禁軍。董氏宗族，不問長幼，皆封列侯。離長安城二百五十里，別築郿塢，役民夫二十五萬人築之；其城郭高下厚薄一如長安，內蓋宮室倉庫，屯積二十年糧食。選民間少年美女八百人實其中。金玉、彩帛、珍珠堆積不知其數。家屬都住在內。卓往來長安，或半月一回，或一月一回，公卿皆候送於橫門外。,"Meanwhile, Dong Zhuo at Capital Changan, when he heard of the death of the turbulent Sun Jian, said, ""An evil that pressed hard upon my heart has been removed!""He asked what children Sun Jian had left, and when they told him the eldest was but seventeen, he dismissed all anxiety from his thoughts.From this time forward his arrogance and domineering spirit waxed worse and worse. He styled himself ""Imperial Rector"", a name full of honor, and in all his behavior aped imperial state. He created his younger brother, Dong Min, Lord of Huazhou and made him Commander of the Left Army. A nephew, Dong Huang, was made Court Counselor and placed in command of the Palace Guard, and everyone of his clan, young or old, was ennobled. Eighty miles from the capital Dong Zhuo laid out a city called Meiwo, an exact replica of Changan, with its palaces, granaries, treasuries, and magazines, and employed a quarter of a million people to build it. Here he accumulated supplies sufficient for twenty years. He selected eight hundred of the most beautiful maidens and sent them to dwell in his new city. The stores of wealth in every form were incalculable. All his family and retainers found quarters in this city.Dong Zhuo visited his city at intervals of a month or so, and every visit was like an imperial progress, with booths by the roadside to refresh the officials and courtiers who attended him to the northwest Royal Gate and saw him start."
卓常設帳於路，與公卿聚飲。一日，卓出橫門，百官皆送。卓留宴，適北地招安降卒數百人到。卓即命於座前，或斷其手足，或鑿其眼睛，或割其舌，或以大鍋煮之。哀號之聲震天，百官戰慄失莇，卓飲食談笑自若。,"On one occasion Dong Zhuo spread a great feast for all those assembled to witness his departure; and while it was in progress, there arrived a large number of rebels from the north who had voluntarily surrendered. Dong Zhuo had them brought before him as he sat at table and meted out to them wanton cruelties. The hands of this one were lopped off, the feet of that; one had his eyes gouged out; another lost his tongue. Some were boiled to death. Shrieks of agony arose to the very heavens, and the courtiers were faint with terror. But the author of the misery ate and drank, chatted and smiled as if nothing was going on."
又一日，卓於省臺大會百官，列坐兩行。酒至數巡，呂布逕入，向卓耳邊言不數句，卓笑曰：「原來如此。」命呂布於筵上揪司空張溫下堂。百官失色。不多時，待從將一紅盤，托張溫頭入獻。百官魂不附體。卓笑曰：「諸公勿驚。張溫結連袁術，欲圖害我。因使人寄書來，錯下在吾兒奉先處，故斬之。公等無故，不必驚畏。」眾官唯唯而散。,"Another day Dong Zhuo was presiding at a great gathering of officials who were seated in two long rows. After the wine had gone up and down several times, Lu Bu entered and whispered a few words in his master's ear.Dong Zhuo smiled and said, ""He was always so. Take Minister of Works Zhang Wan outside!""The others all turned pale. In a little time a serving man brought the head of their fellow guest on a red dish and showed it to their host. They nearly died with fright.""Do not fear,"" said Dong Zhuo smiling. ""Minister Zhang Wan was in league with Yuan Shu to assassinate me. A letter he wrote fell by mistake into the hands of my son, so I have had him put to death. You gentlemen, who have no reason, need have no fear.""The officials hastened to disperse."
司徒王允歸到府中，尋思今日席間之事，坐不安席。至夜深月明，策杖步入後園，立於荼蘼架側，仰天垂淚。忽聞有人在牡丹亭畔，長吁短歎。允潛步窺之，乃府中歌伎貂蟬也。其女自幼選入府中，教以歌舞，年方二八，色伎俱佳，允以親女待之。是夜允聽良久，喝曰：「賤人將有私情耶？」貂蟬驚跪答曰：「賤妾安敢有私！」允曰：「無私，何夜深長歎？」蟬曰：「容妾伸肺腑之言。」允曰：「汝勿隱匿，當實告我。」蟬曰：「妾蒙大人恩養，訓習歌舞，優禮相待，妾雖粉身碎骨，莫報萬一。近見大人兩眉愁鎖，必有國家大事，又不敢問。今晚又見行坐不安，因此長歎；不想為大人窺見。倘有用妾之處，萬死不辭。」允以杖擊地曰：「誰想漢天下卻在汝手中耶！隨我到畫閣中來。」,"One of them, Minister of the Interior Wang Yun, who had witnessed all this, returned to his palace very pensive and much distressed. The same evening, a bright moonlight night, he took his staff and went strolling in his private garden. Standing near one of the creeper trellises, he gazed up at the sky and the tears rolled down his cheeks. Suddenly he heard a rustle in the Peony Pavilion and someone sighing deeply. Stealthily creeping near, he saw there one of the household singing girls named Diao Chan.This maiden had been brought up in his palace, where she had been taught to sing and dance. At twenty-one, she was a pretty and clever girl whom Wang Yun regarded more as a daughter than a dependant.After listening for some time, Wang Yun suddenly called out, ""What mischief are you up to there, you naughty girl?""The maiden dropped on her knees in terror, saying, ""Would thy unworthy handmaid dare to do anything wrong?""""Then what are you sighing about out here in the darkness?""""May thy handmaid speak from the bottom of her heart?""""Tell me the whole truth. Do not conceal anything.""And the girl said, ""Thy handmaid has been the recipient of bountiful kindness. She has been taught to sing and dance and been treated so kindly that were she torn in pieces for her lord's sake, it would not repay a thousandth part. She has noticed lately that her lord's brows have been knit in distress and knows it is on account of the state troubles. But she has not dared to ask. This evening he seemed sadder than ever, and she was miserable on her lord's account. But she did not know she would be seen. Could she be of any use, she would not shrink from a myriad deaths.""A sudden idea came to Wang Yun, and he stuck the ground with his staff. And he said, ""Who would think that the fate of Han lay in your palm? Come with me!"""
貂蟬跟允到閣中，允盡叱出婢妾，納貂蟬於坐，叩頭便拜。貂蟬驚伏於地曰：「大人何故如此？」允曰：「汝可憐大漢天下生靈！」言訖，淚如泉湧。貂蟬曰：「適間賤妾曾言：但有使令，萬死不辭。」允跪而言曰：「百姓有倒懸之危，君臣有累卵之急，非汝不能救也。賊臣董卓，將欲篡位；朝中文武，無計可施。董卓有一義兒，姓呂，名布，驍勇異常。我看二人皆好色之徒，今欲用連環計：先將汝許嫁呂布，後獻與董卓；汝於中取便，謀間他父子反顏，令布殺卓，以絕大惡。重扶社稷，再立江山，皆汝之力也。不知汝意若何？」貂蟬曰：「妾許大人萬死不辭，望即獻妾與彼。妾自有道理。」允曰：「事若洩漏，我滅門矣。」貂蟬曰：「大人勿憂。妾若不報大義，死於萬刃之下。」,"The girl followed him into the house. There he dismissed all the waiting attendants, placed Diao Chan on a chair, and bowed before her. She was frightened and threw herself on the ground, asking in terror what it all meant.Said Wang Yun, ""You can sympathize with the people of Han!""And the fount of his tears opened afresh.""My lord, as thy handmaid said just now, use her in any way: Thy handmaid will never shrink,"" said the girl.Wang Yun knelt, saying, ""The people are on the brink of destruction, the prince and his officers are in jeopardy, and you, you are the only savior. That wretch Dong Zhuo wants to depose the Emperor, and not a person among us can find means to stop him. Now he has a son, a bold warrior it is true, but both father and son have a weakness for beauty, and I am going to use what I may call the 'chaining plan'. I shall first propose you in marriage to Lu Bu and then, after you are betrothed, I shall present you to Dong Zhuo, and you will take every opportunity to force them asunder and turn sway their countenances from each other, cause the son to kill his adopted father and so put an end to the great evil. Thus you may restore the altars of the land that it may live again. All this lies within your power: Will you do it?""""Thy handmaid has promised not to recoil from death itself. You may use my poor self in any way, and I must do my best.""""But if this gets abroad then we are all lost!""""Fear not,"" said she. ""If thy handmaid does not show gratitude, may she perish beneath a myriad swords!"""
允拜謝。次日，便將家藏明珠數顆，令良匠嵌造金冠一頂，使人密送呂布。布大喜，親到王允宅致謝。允頂備嘉殽美饌；候呂布至，允出門迎迓，接入後堂，延之上坐。布曰：「呂布乃相府一將，司徒是朝廷大臣，何故錯敬？」允曰：「方今天下別無英雄，惟有將軍耳。允非敬將軍之職，敬將軍之才也。」布大喜。允慇懃敬酒，口稱董太師并布之德不絕。布大笑暢飲。允叱退左右，只留待妾數人勸酒。酒至半酣，允曰：「喚孩兒來。」,"""Thank you, thank you!"" said Wang Yun.Then Wang Yun took from the family treasury many pearls and bade a cunning jeweler make therewith a fine golden headdress, which was sent as a present to Lu Bu. He was delighted and came to thank the donor. When Lu Bu arrived, he was met at the gate by Wang Yun himself and within found a table full of dainties for his delectation. He was conducted into a private apartment and placed in the seat of honor.Lu Bu said, ""I am but a simple officer in the palace of a minister. You are an exalted officer of state. Why am I treated thus?""""Because in the whole land there is no hero your equal. Poor I bow not to an officer's rank; poor I bow to his ability.""This gratified Lu Bu mightily, and his host continued to praise and flatter and ply him with wine and to talk of the virtues of the Prime Minister and his henchman.Lu Bu laughed and drank huge goblets.Presently most of the attendants were sent away, only a few kept to press the guest to drink.When the guest was very mellow, Wang Yun suddenly said, ""Let her come in!"""
少頃，二青衣引貂蟬豔妝而出。布驚問何人。允曰：「小女貂蟬也。允蒙將軍錯愛，不異至親，故令其與將軍相見。」便命貂蟬與呂布把盞。貂蟬送酒與布，兩下眉來眼去。允佯醉曰：「孩兒央及將軍痛飲幾盃。吾一家全靠著將軍哩。」布請貂蟬坐，貂蟬假意欲入。允曰：「將軍吾之至友，孩兒便坐何妨？」貂蟬便坐於允側。呂布目不轉睛的看。,"Soon appeared two attendants, dressed in white, leading between them the exquisite and fascinating Diao Chan.""Who is this?"" said Lu Bu startled into sobriety.""This is my little girl, Diao Chan. You will not be annoyed at my familiarity, will you? But you have been so very friendly, I thought you would like to see her.""Wang Yun bade Diao Chan present a goblet of wine, and her eyes met those of the warrior.Wang Yun feigning intoxication said, ""My child begs you, General, to take a cup or two. We all depend upon you, all our house.""Lu Bu begged Diao Chan to sit down. She pretended to wish to retire.Her master pressed her to remain, saying, ""The General is a dear friend. You may stay.""So she took a seat modestly near her master.Lu Bu kept his gaze fixed upon the maid."
又飲數盃，允指蟬謂布曰：「吾欲將此女送與將軍為妾，還肯納否？」布出席謝曰：「若得如此，布當效犬馬之報。」允曰：「早晚選一良辰，送至府中。」布欣喜無限，頻以目視貂蟬。貂蟬亦以秋波送情。少頃席散，允曰：「本欲留將軍止宿，恐太師見疑。」布再三拜謝而去。,"He swallowed cup after cup of wine.""I should like to present her to you as a handmaid: Would you accept?"" said Wang Yun.The guest started up.""If that is so, you may rely upon my abject gratitude,"" said Lu Bu.""We will choose a propitious day ere long and send her to the palace.""Lu Bu was overjoyed. He could not keep his eyes off Diao Chan, and loving glances flashed from her liquid eyes.However the time came for the guest to leave, and Wang Yun said, ""I would ask you to remain the night, but the Prime Minister might suspect something.""Lu Bu thanked him again and again and departed."
