chinese,english
卻說曹操部下諸將中，自張遼而外，只有徐晃與雲長交厚，其餘亦皆敬服；獨蔡陽不服關公，故今日聞其去，欲住追之。操曰：「不忘故主，來去明白，真丈夫也。汝等皆當效之。」遂叱退蔡陽，不令去趕。程昱曰：「丞相待關某甚厚，今彼不辭而去，亂言片楮，冒瀆鈞威，其罪大矣。若縱之使歸袁紹，是與虎添翼也。不若追而殺之，以絕後患。」,"Now of all the officers in Cao Cao's army, the two friendly toward Guan Yu were Zhang Liao and Xu Huang. The others treated Guan Yu with respect, except Cai Yang who was decidedly inimical. So this Cai Yang was ready to pursue and capture Guan Yu as soon as he heard of his departure. But Cao Cao accepted Guan Yu's going as natural.""He does not forget his old leader, and he was perfectly open in all his actions. He is a gentleman, and you would do well to follow his example,"" said Cao Cao.So Cao Cao bade the would-be pursuer be gone and say no more about pursuit.""You were exceedingly good to Guan Yu,"" said Cheng Yu, ""but he went off very rudely. He certainly left a screed behind with his reasons, but he affronted you, and that is no light matter. Now to let him join Yuan Shao is to add wings to a tiger. You had better catch him and put him to death so as to guard against future evil."""
操曰：「吾昔已許之，豈可失信？彼各為其主，勿追也。」因謂張遼曰：「雲長封金挂印，財賄不足以動其心，爵祿不足以移其志，此等人吾深敬之。想他去此不遠，我一發結識他做個人情。汝可先去請住他，待我與他送行，更以路費征袍贈之，使為後日記念。」張遼領命，單騎先往。曹操引數十騎隨後而來。,"Cao Cao replied, ""But he had my promise, and can I break my word? Each has his master. Do not pursue.""But Cao Cao said to Zhang Liao, ""He has rejected all I gave him, so bribes were powerless with him in whatever shape. I have the greatest respect for such as him. He has not yet gone far, and I will try to strengthen his attachment to me and make one appeal to sentiment. Ride after him and beg him to stop till I can come up and bid farewell and offer him a sum of money for his expenses and a fighting robe, that he may remember me kindly in after days.""So Zhang Liao rode out quite alone. Cao Cao followed him leisurely with an escort of a score or so."
卻說雲長所騎赤馬，日行千里，本是趕不上；因欲護送車仗，不敢縱馬，按轡徐行。忽聽背後有人大叫：「雲長且慢行！」回頭視之，見張遼拍馬而至。關公教車仗從人，只管望大路緊行；自己勒住赤兔馬，按定青龍刀，問曰：「文遠莫非欲追我回乎？」遼曰：「非也。丞相知兄遠行，欲來相送，特先使我請住台駕，別無他意。」關公曰：「便是丞相鐵騎來，吾願決一死戰！」遂立馬於橋上望之。見曹操引數十騎，飛奔前來；背後乃是許褚，徐晃，于禁，李典之輩。,"Now the steed that Guan Yu rode was Red Hare, and it was very fast. No one could have come up with him but that there was the ladies' carriage to escort, and so Red Hare had to be held in and go slow. Suddenly Guan Yu heard a shout behind him, a voice crying, ""Go slowly, Guan Yu!""He turned and made out the person to be Zhang Liao. Ordering the pushers of the carriage to press on along the high road, he reined in his steed, held the green-dragon saber ready for a stroke, and waited for Zhang Liao to come up.""Of course you have come to take me back, Zhang Liao?"" said Guan Yu.""No. The Prime Minister, seeing that you are going a long journey, wishes to see you on your way and told me to hasten forward and beg you to wait till he can come up. That is the only thing.""""Seeing that he is coming along with mailed men, I shall fight to the very last,"" said Guan Yu.And he took up his position on a bridge where he waited the approach of the party, who advanced quickly. Four of Cao Cao's generals, Xu Chu, Xu Huang, Yu Jin, and Li Dian, followed close."
操見關公橫刀立馬於橋上，令諸將勒住馬匹，左右排開。關公見眾人手中皆無軍器，方始放心。操曰：「雲長行何太速？」關公於馬上欠身答曰：「關某前曾稟過丞相，今故主在河北，不由某不急去。累次造府，不得參見，故拜書告辭，封金挂印，納還丞相。望丞相勿忘昔日之言。」操曰：「吾欲取信於天下，安肯有負前言？恐將軍途中乏用，等具路資相送。」一將便從馬上托過黃金一盤。,"Seeing Guan Yu was ready to fight, Cao Cao ordered his escort to open out in two lines, and then it was seen they carried no arms. This relieved his mind, for it proved to Guan Yu they meant no attack.""Why do you go in such haste, Guan Yu?"" asked Cao Cao.Guan Yu inclined his head but did not dismount, saying, ""I informed you in writing that since my lord was in the North of Yellow River, I had to leave at once. I went to your palace again and again but was refused admittance. So I wrote a letter of farewell, sealed up the treasure, resigned my lordship seal, and left everything for you. I hope you recall the promise you once made me.""Cao Cao replied, ""My desire is to keep my troth with all people. I cannot go back on my word. However, you may find the journey expensive, and therefore I have here prepared a sum of money to help you.""Then from horseback Cao Cao held out a packet of gold."
關公曰：「累蒙恩賜，尚有餘資。留此黃金以賞將士。」操曰：「特以少酬大功於萬一，何必推辭？」關公曰：「區區微勞，何足挂齒。」操笑曰：「雲長天下義士，恨吾福薄，不得相留。錦袍一領，略表寸心。」令一將下馬，雙手捧袍過來。雲長恐有他變，不敢下馬，用青龍刀尖挑錦袍披於身上，勒馬回頭稱謝曰：「蒙丞相賜袍，異日更得相會。」遂下橋望北而去。,"Guan Yu said, ""I have sufficient left from your former bounty. Keep that for presents to your soldiers.""""Why should you refuse this? It is but an insignificant return for great services.""""My services have been all trifling, not worth mentioning.""""Really, Guan Yu, you are the most high-principled of humans. I am very sorry my luck is too poor to retain you at my side. Pray accept just this robe to show you I am not quite ungrateful,"" said Cao Cao.And one of his generals, dismounting, held up a silken coat in both hands. Guan Yu even still fearful of what might happen, would not dismount, but he reached down his sword and took the robe on its point. Then he threw it over his shoulders and turned to thank the giver.""I thank you, Sir Prime Minister, for the robe and trust we shall meet again.""So saying, Guan Yu went down from the bridge and bore away to the north."
許褚曰：「此人無禮太甚，何不擒之？」操曰：「彼一人一騎，吾數十餘人，安得不疑？吾言既出，不可追也。」曹操自引眾將回城，於路歎想雲長不已。,"""He is a very rude man,"" said Xu Chu, who was of the escort. ""Why do you not take him prisoner?""Cao Cao replied, ""He was absolutely alone facing scores of us. He was justified in being suspicious. But my word has gone forth, and he is not to be pursued."" Cao Cao and his escort returned, the Prime Minister very sad when he thought of the man who had gone."
不說曹操自回。且說關公來趕車仗，約行三十里，卻只不見。雲長心慌，縱馬四下尋之。忽見山頭一人，高叫：「關將軍且住！」雲長舉目視之，只見一少年，黃巾錦衣，持槍跨馬，馬項下懸著首級一顆，引百餘步卒，飛奔前來。公問曰：「汝何人也？」,"Guan Yu went down from the bridge and started in the wake of the carriage carrying the two ladies, which should have gone about ten miles while this interview had been going on. He could see no signs of it and rode hither and thither looking on all sides.Presently he heard someone shouting from a hill, calling him by name to halt. He saw a youth wearing a yellow turban and dressed in a silk robe. He held a spear in his hand and was mounted on a horse from the neck of which dangled a bloody head. Behind him were a hundred or so men on foot, and they advanced quickly.""Who are you?"" asked Guan Yu."
少年棄鎗下馬，拜伏於地。雲長恐是詐，勒馬持刀問曰：「壯士，願通姓名。」答曰：「吾本襄陽人；姓廖，名化，字元儉。因世亂流落江湖，聚眾五百餘人，劫掠為生。恰纔同伴杜遠下山巡哨，誤將兩夫人劫掠上山。吾問從者，知是大漢劉皇叔夫人。且聞將軍護送在此，吾即欲送下山來。杜遠出言不遜，被某殺之。今獻頭與將軍請罪。」關公曰：「二夫人何在？」化曰：「現在山中。」關公教急取下山。不移時，百餘人簇擁車仗前來。,"The young man dropped his spear, dismounted, and made a low bow. Guan Yu feared this was some ruse, so he only checked his horse and gripped his sword the more firmly, saying, ""Sir, I desire you to tell me your name!""""My name is Liao Hua. I belong to a Xiangyang family. Since these troubled times began I have been an outlaw among the rivers and lakes, and I and my comrades have lived by plunder. We are about five hundred in all. By chance my friend Du Yuan came across two ladies in a carriage just now; and, quite wrongly, he took them prisoners and brought them to the hold in the hills. I questioned the servants and so found out who they were and who was escorting them. So I wished them to be set free to pursue their journey. Du Yuan opposed this and spoke so ill-mannerly that I killed him. And here is his head. I pray you pardon me.""""Where are the two ladies?""""They are among the hills,"" replied Liao Hua.""Bring them down here, at once,"" said Guan Yu.In a short time a party of the brigands pushed the carriage down the hill, and the ladies sat there before him."
關公下馬停刀，叉手於車前問候曰：「二嫂受驚否？」二夫人曰：「若非廖將軍保全，已被杜遠所辱。」關公問左右曰：「廖化怎生救夫人？」左右曰：「杜遠劫上山去，就要與廖化各分一人為妻。廖化問起根由，好生拜敬；杜遠不從，已被廖化殺了。」關公聽言，乃拜謝廖化。廖化欲以部下人送關公。關公尋思此人終是黃巾餘黨，未可作伴，乃謝卻之。廖化又拜送金帛，關公亦不受。廖化拜別，自引人伴山谷中去了。,"Then Guan Yu dismounted, laid aside his sword, and stood respectfully before them with his arms crossed.""Sisters, have you been alarmed?"" asked he.They replied, ""We should have suffered at the hands of Du Yuan had it not been for Liao Hua.""""How did Liao Hua come to save the ladies?"" asked Guan Yu of those who stood by.They said, ""Du Yuan carried off the ladies and proposed that he and Liao Hua should have one each as wife. But Liao Hua had found out they were of gentle birth and worthy, and was for treating them with respect. When Du Yuan disagreed, Liao Hua slew him.""Hearing this Guan Yu bowed to Liao Hua and thanked him. Liao Hua then wanted to join himself and his troop to Guan Yu, but Guan Yu, seeing he was a Yellow Scarf, would have nothing to do with him. So Guan Yu simply thanked him for his kindness to the ladies. Liao Hua offered some presents, but these were also declined.So Liao Hua took his leave and presently disappeared in a valley among the hills."
雲長將曹操贈袍事，告知二嫂，催促車仗前行。至天晚，投一村莊安歇。莊主出迎，鬚髮皆白，問曰：「將軍姓甚名誰？關公施禮曰：「吾乃劉玄德之弟關某也。」老人曰：「莫非斬顏良，文醜的關公否？」公曰：「便是。」老人大喜，便請入莊。關公曰：「車上還有二位夫人。」老人便喚妻女出迎。,"Guan Yu told his sisters the story of his interview with Cao Cao and the gift of a robe, and then he urged the carriage on its way. Towards dark they came to a farm where they would rest. The farmer, an old graybeard, came out to welcome the party and asked who they were. Guan Yu described himself as the brother of Liu Bei, and said his name.""Surely you are no other than the slayer of Yan Liang and Wen Chou,"" said the venerable host.""That is so,"" replied Guan Yu.""Come in,"" said the old man, joyfully.""My two sisters-in-law are in the carriage,"" said Guan Yu. ""Will you let your women folks go out to receive them?"""
