chinese,english
卻說玄德問孔明求拒曹兵之計。孔明曰：「新野小縣，不可久居。近聞劉景升病在危篤，可乘此機會，取彼荊州為安身之地，庶可拒曹操也。」玄德曰：「公言甚善。但備受景升之恩，安忍圖之？」孔明曰：「今若不取，後悔何及？」玄德曰：「吾寧死不忍作負義之事。」孔明曰：「且再作商議。」,"When Liu Bei asked how his adviser hoped to repel Cao Cao, Zhuge Liang replied, ""Xinye is a small city and unfitted for our lengthy occupation. Liu Biao is ill and failing fast, so this is the time to take his region as a base where we may be safe against Cao Cao.""""You speak well, but Liu Biao has shown me great kindness, and I could not bear to serve him an ill turn.""""If you do not take this opportunity, you will regret it ever after,"" said Zhuge Liang.""I would rather perish than do what is wrong.""""We will discuss it again,"" replied Zhuge Liang."
卻說夏侯惇敗回許昌，自縛見曹操，伏地請死。操釋之。惇曰：「惇遭諸葛亮詭計，用火攻破我軍。」操曰：「汝自幼用兵，豈不知狹處須防火攻？」惇曰：「李典、于禁曾言及此，悔之不及！」操乃賞二人。惇曰：「劉備如此猖獗，真腹心之患也，不可不急除。」操曰：「吾所慮者，劉備、孫權耳。餘皆不足介意。今當乘此時掃平江南。」便傳令起大兵五十萬，令曹仁、曹洪，為第一隊；張遼、張郃，為第二隊；夏侯淵、夏侯惇，為第三隊；于禁、李典，為第四隊；操自領諸將為第五隊。每隊各引兵十萬。又令許褚為折衝將軍，引兵三千為先鋒。選定建安十三年秋七月丙午日出師。,"When Xiahou Dun reached the capital, he presented himself to his master in bonds and craved death. But his master loosed him and let him tell his tale.And Xiahou Dun said, ""I was the victim of Zhuge Liang's evil machinations: He attacked with fire.""""As a soldier from your youth, you should have remembered that fire was a likely weapon in narrow roads.""""Li Dian and Yu Jin reminded me. I am sorry enough now.""Cao Cao rewarded Li Dian and Yu Jin who had warned their leader.""Liu Bei as strong as he is now certainly is a menace to our existence, and he must be quickly destroyed,"" said Xiahou Dun.""He is one of my anxieties,"" replied Cao Cao. ""Sun Quan is the other. The rest do not count. We must take this chance to sweep the south clean.""Then orders were issued to prepare an army of five hundred thousand troops, in five divisions of ten legions each. Each division had two leaders: Cao Ren and Cao Hong were in command of the first division; Zhang Liao and Zhang He, the second; Xiahou Dun and Xiahou Yuan, the third; Yu Jin and Li Dian, the fourth. The fifth body was led by Cao Cao himself. The van was commanded by Xu Chu. The ""horse"" day of the seventh moon of the thirteenth year of Rebuilt Tranquillity was fixed for the march (AD 208)."
大中大夫孔融諫曰：「劉備、劉表皆漢室宗親，不可輕伐。孫權虎踞六郡，且有大江之險，亦不易取。今丞相興此無義之師，恐失天下之望。」操怒曰：「劉備、劉表、孫權皆逆命之臣，豈容不討？」遂叱退孔融，下令如有再諫者必斬。孔融出府，仰天歎曰：「以至不仁伐至仁，安得不敗乎！」,"The High Minister, Kong Rong, offered a remonstrance.He said, ""Liu Bei and Liu Biao are both of the Imperial House and should not be attacked without grave reasons. Sun Quan in the six territories of the South Land is terrible as a crouching tiger and, with the Great River as his defense, he is very secure. If, Sir Prime Minister, you undertake this unjustifiable expedition, you will forfeit the respect of the world, I fear.""""All three of them are disobedient ministers and rebels, and how can I fail to punish them?"" replied Cao Cao.Cao Cao was angry, and bade the adviser go from his presence. Presently Cao Cao gave formal orders that he would put to death anyone who remonstrated on the subject of his expedition.Kong Rong went forth from the Palace sadly.Casting his eyes up to heaven, he cried, ""Where is the chance of success when the perfectly inhumane attacks the perfectly humane? He must be defeated!"""
時御史大夫郗慮家客聞此言，報知郗慮。慮常被孔融侮慢，心正恨之，乃以此言入告曹操；且曰：「融平日每每狎侮丞相，又與禰衡相善。衡贊融曰：「仲尼不死。」融贊衡曰：「顏回復生。」向者禰衡之辱丞相，乃融使之也。」操大怒，遂命廷尉捕捉孔融。融有二子，年尚少，時方在家，對坐奕棋。左右急報曰：「尊君被廷尉執去，將斬矣。二公子何不急避？」二子曰：「覆巢之下，安有完卵乎？」,"One of the clients of the Imperial Inspector Chi Lu, whom Kong Rong had always treated contemptuously and disdainfully, happened to hear this apostrophe and told his patron who carried the tale to Cao Cao.Chi Lu also added to it, saying, ""Kong Rong habitually speaks disrespectfully of the Chief Minister and has been very friendly with Mi Heng. In fact the insults that Mi Heng had hurled at you had been deliberately arranged and intrigued by Kong Rong. Kong Rong and Mi Heng seemed to admire each other hugely, and Mi Heng used to say, 'Confucius is not dead, because Kong Rong is he,' and the other used to reply, 'And his treasured disciple, Yan Hui, has risen again, because Mi Heng is he.'""Chi Lu's tale angered Cao Cao, who ordered the execution of the high minister.Now Kong Rong had two sons, both young, who were sitting at home playing chess, when one of their servants ran in and said, ""Your father has just been carried off for execution. Why do you not run away?""The youths replied, ""When the nest is pulled down, are the eggs left unbroken?"""
言未已，廷尉又至，盡收融家小并二子，皆斬之，號令融屍於市。京兆脂習伏屍而哭。操聞之，大怒，欲殺之。荀彧曰：「彧聞脂習常諫融曰：『公剛直太過，乃取禍之道。』今融死而來哭，乃義人也，不可殺。」操乃止。習收融父子屍首，皆葬之。後人有詩讚孔融曰：,"Even at that moment the same executors came and carried off the whole household. The two youths were beheaded. The father's corpse was exposed in the streets.Minister Zhi Xi wept over the corpse. This public exhibition of sympathy rekindled Cao Cao's anger, and he was going to punish it with death.However, this additional punishment was prevented by Adviser Xun Yu, who said, ""You should not slay a righteous man who came to mourn over his friend's corpse. Zhi Xi had often warned Kong Rong against the danger his severe rectitude might lead him into.""Zhi Xi took up the remains of father and sons and buried them."
孔融居北海，豪氣貫長虹。坐上客長滿，樽中酒不空。文章驚世俗，談笑侮王公。史筆褒忠直，存宜紀大中。,"Kong Rong, who dwelt on the north sea shore,A noble reputation bore;With him all guests warm welcome found,And ceaselessly the wine went round.For skill in letters he was famed,In speech, he dukes and princes shamed,Historians his merits tell,Recorders say that he did well."
曹操既殺孔融，傳令五隊軍馬次第起行，只留荀彧等守許昌。,"After wreaking his wrath on Kong Rong, Cao Cao issued the order to march. Xun Yu was left in command of the capital."
卻說荊州劉表病重，使人請玄德來託孤。玄德引關、張至荊州見劉表。表曰：「我病已入膏肓，不久便死矣；特託孤於賢弟。我子無才，恐不能承父業。我死之後，賢弟可自領荊州。」玄德泣拜曰：「備當竭力以輔賢姪，安敢有他意乎？」,"About this time the Imperial Protector of Jingzhou became seriously ill, and he summoned Liu Bei to his chamber. Liu Bei went accompanied by his two brothers, Guan Yu and Zhang Fei, and Directing Instructor Zhuge Liang.Liu Biao said, ""The disease has attacked my very vitals, and my time is short. I confide my orphans to your guardianship. My sons are unfit to succeed to my place, and I pray you, my brother, administer the region after my death.""Liu Bei wept, saying, ""I will do my utmost to help my nephews. What else could I do, indeed?"""
正說間，人報曹操自統大兵至。玄德急辭劉表，星夜回新野。劉表病中聞此信，吃驚不小，商議寫遺囑，令玄德輔佐長子劉琦為荊州之主。蔡夫人聞之大怒，關上內門，使蔡瑁、張允二人把住外門。時劉琦在江夏，知父病危，來至荊州探病。方到外門，蔡瑁當住曰：「公子奉父命鎮守江夏，其任至重。今擅難職守，倘東吳兵至，如之奈何？若入見主公，主公必生嗔怒，病將轉增，非孝也。宜速回。」,"Even at this moment came the news of the march of Cao Cao's armies, and Liu Bei, taking hasty leave of his kinsman, was forced to hurry to his station. The evil tidings aggravated the sick man's condition, and he began to make his last arrangements. In his testament he appointed Liu Bei the guardian of his son Liu Qi, who was to succeed in the lordship.This arrangement greatly angered his wife, Lady Cai. She closed the inner doors against all and confided to her own partisans, of whom Cai Mao and Zhang Yun were her confidants, the keeping of the outer gates.The heir was at Jiangxia, and he came to make filial inquiries as soon as his father's condition became serious.But Cai Mao refused him admittance and said, ""Your father sent you to guard Jiangxia. Such a very responsible post should by no means have been quitted without orders. Suppose it was attacked, what might not happen? If your father sees you, he will be very angry, and it will make him worse. That would be most undutiful, and you should return to your command at once."""
劉琦立於門外，大哭一場，上馬仍回江夏。劉表病勢危篤，望劉琦不來；至八月戊申日，大叫數聲而死。後人有詩歎劉表曰：,"Liu Qi stood out for some time, but admittance was denied him in spite of his tears. So he returned to his post. Meanwhile Liu Biao rapidly grew worse. He anxiously looked for his son, but Liu Qi came not. Suddenly Liu Biao uttered piercing shrieks and then passed away."
