chinese,english
卻說曹操於金光處，掘出一銅雀，問荀攸曰：「此何兆也？」攸曰：「昔舜母夢玉雀入懷而生舜。今得銅雀，亦吉祥之兆也。」操大喜，遂命作高臺以慶之。乃即日破土斷木，燒瓦磨磚，築銅雀臺於漳河上之上。約計一年而工畢。少子曹植進曰：「若建層臺，必立三座：中間高者，名為銅雀；左邊一座，名為玉龍；右邊一座，名為金鳳。更作兩條飛橋，橫空而上，乃為壯觀。」操曰：「吾兒所言甚善。他日臺成，足可娛吾老矣！」原來曹操有五子，惟植性敏慧，善文章，曹操平日最愛之。,"The diggers at the spot whence the golden light proceeded presently unearthed a bronze bird. Looking at it, Cao Cao turned to his companion, saying, ""What is the portent?""""You will remember that the mother of the praiseworthy King Shun dreamed of a jade bird before his birth, so certainly it is a felicitous omen,"" said Xun You.Cao Cao was very pleased, and he ordered forthwith the building of a lofty tower to celebrate the find, and they began to dig foundations and cut timber, to burn tiles and to smooth bricks for the Bronze Bird Tower on the banks of the River Zhang. Cao Cao set a year for the building.His younger son, Cao Zhi, said, ""If you build a terraced tower, you should add two others, one on each side. The center tower as the tallest should be called the Bronze Bird Tower. The side towers named Jade Dragon Tower and Golden Phoenix Tower. Then connect these by flying bridges and the effect will be noble.""""My son, your words are very good; and by and bye when the building is complete, I can solace my old age therein.""Cao Cao had five sons, but this one Cao Zhi was the most clever and his essays were particularly elegant. His father was very fond of him."
於是留曹植與曹丕在鄴郡造臺，使張燕守北寨。操將所得袁紹之兵，共五六十萬，班師回許都，大封功臣；又表贈郭嘉為貞侯，養其子奕於府中。復聚眾謀士商議，欲南征劉表。荀彧曰：「大軍方北征而回，未可復動。且待半年，養精蓄銳，劉表、孫權，可一鼓而下也。」操從之，遂分兵屯田，以候調用。,"Seeing that the young man took an interest in the building, Cao Cao left him with his elder brother Cao Pi at Yejun to superintend the work, while he led a half-a-million army that had recently been captured from the Yuans back to Capital Xuchang. When he arrived, he distributed rewards liberally and memorialized the Throne obtaining the title of the Pure Lord for the late Guo Jia. And he took Guo Jia's son, Guo Ye, to be brought up in his own family.Next Cao Cao began to consider the reduction of Liu Biao's power.Xun You said, ""The Grand Army has only just returned from the north and needs rest. Wait half a year that the soldiers may recover from the fatigue of the campaign, and both Liu Biao and Sun Quan will fall at the first roll of the drums.""Presently Cao Cao approved of this plan. To enrich his troops, he assigned certain lands to them to till while they rested."
卻說玄德自到荊州，劉表待之甚厚。一日，正相聚飲酒，忽報降將張武、陳孫在江夏掠人民，共謀造反。表驚曰：「二賊又反，為禍不小！」玄德曰：「不須兄長憂慮，備請往討之。」表大喜，即點三萬軍，與玄德前去。玄德領命即行，不一日，來到江夏。張武、陳孫引兵來迎。玄德與關、張、趙雲出馬在門旗下。望見張武所騎之馬，極其雄駿。玄德曰：「此必千里馬也。」,"In Jingzhou, Liu Biao had been very generous to Liu Bei ever since he had come as a fugitive seeking shelter. One day at a banquet there came news that two generals, Zhang Wu and Chen Sun, who had tendered their submission, had suddenly begun plundering the people in Jiangxia. They evidently meant rebellion.""If they really rebel, it will cause a lot of trouble,"" said Liu Biao, rather dismayed.""Do not let that trouble you. I will go and settle it,"" said Liu Bei.Pleased with this proposal, Liu Biao told off thirty thousand troops and placed them under his friend, and the army marched as soon as the orders were issued. In a short time it reached the scene, and the two malcontents came out to fight. Liu Bei, Guan Yu, Zhang Fei, and Zhao Zilong took their stand beneath the great banner and looked over at the enemy.Zhang Wu was riding a handsome prancing horse, and Liu Bei said, ""He certainly has a fine steed."""
言未畢，趙雲挺鎗出，徑衝彼陣。張武縱馬來迎，不三合，被趙雲一鎗刺落馬下，隨手扯住轡頭，牽馬回陣。陳孫見了，隨趕來奪。張飛大喝一聲，挺矛直出，將陳孫刺死。眾皆潰散。玄德招安餘黨，平復江夏諸縣，班師而回。表出郭迎接入城，設宴慶功。酒至半酣，表曰：「吾弟如此雄才，荊州有倚賴也。但憂南越不時來寇；張魯、孫權皆足為慮。」玄德曰：「弟有三將，足可委用：使張飛巡南越之境；雲長拒固子城，以鎮張魯；趙雲拒三江，以當孫權；何足慮哉？」,"As he spoke, Zhao Zilong galloped out with his spear set and dashed toward the enemy. Zhang Wu came out to meet him, but the combat was very brief for Zhang Wu was soon killed by a spear thrust. Thereupon Zhao Zilong laid a hand upon the bridle of the fallen man's horse to lead it back to his own side. The slain rebel's companion Chen Sun at once rode after Zhao Zilong, whereupon Zhang Fei uttered a loud shout and rode out to meet him. With one thrust Zhang Fei slew the rebel. Their followers now scattered, and Liu Bei speedily restored order in Jiangxia and returned to Jingzhou City.Liu Biao, grateful for this service, rode out to the boundary to welcome the victors. They reentered the city and grand banquets were instituted, at which they emptied great goblets in congratulations over the victory.At one of these banquets the Imperial Protector said, ""With such heroism as my brother has shown, Jingzhou has one upon whom to rely. But a source of sorrow is the borders with the lands of Yue, Wu, and Shu, from which a raid may come at any time. Zhang Lu of Shu and Sun Quan of Yue and Wu are to be feared.""""But I have three bold generals,"" said Liu Bei, ""quite equal to any task you can set them. Send Zhang Fei to keep ward on the southern border of Yue, Guan Yu to guard the city of Guzi against Zhang Lu in the west, and Zhao Zilong holding the Three Gorges will protect you from Sun Quan. Why need you grieve?"""
表喜，欲從其言。蔡瑁告其姊蔡夫人曰：「劉備遣三將居外，而自居荊州，久必為患。」蔡夫人乃夜對劉表曰：「我聞荊州人多與劉備往來，不可不防之。今容其居住城中，無益，不若遣使他往。」表曰：「玄德仁人也。」蔡氏曰：「只恐他人不似汝心。」,"The scheme appealed strongly to the Imperial Protector, but Cai Mao did not approve.So he spoke to his sister, Liu Biao's wife, saying, ""Liu Bei is putting his troops in such commanding positions all round the region. That is the danger.""Lady Cai, thus influenced by her brother, undertook to remonstrate, and that night began by saying to Liu Biao, ""Some in the Jingzhou army seem to have a great liking for Liu Bei. They are always coming and going. You ought to take precautions. I do not think you should let Liu Bei stay in the city. Why not send him on some mission?""""Liu Bei is a good man,"" replied the Imperial Protector.""I think others differ from you,"" said the lady."
表沈吟不答。次日出城，見玄德所乘之馬極駿，問之，知是張武之馬，表讚不已。玄德遂將此馬送與劉表。表大喜，騎回城中。蒯越見而問之。表曰：「此玄德所送也。」越曰：「昔先兄蒯良，最善相馬；越亦頗曉。此馬眼下有淚槽，額邊生白點，名為的盧，騎則妨主。張武為此馬而亡。主公不可乘之。」,"Liu Biao said nothing but muttered to himself. Soon after he went out of the city to see Liu Bei and noticed he was riding a very handsome horse. They told him it was a prize taken from the recently conquered rebels; and as he praised it very warmly, Liu Bei presented it to him. Liu Biao was delighted and rode it back to the city. Kuai Yue saw it and asked where it had come from. The Imperial Protector told him it was a gift from Liu Bei.Kuai Yue said, ""My passed-away brother, Kuai Liang, knew horses very well, and I am not a bad judge. This horse has tear-tracks running down from its eyes and a white blaze on its forehead. It is called a Dilu horse, and it is a danger to his master. That is why Zhang Wu was killed. I advise you not to ride it."""
表聽其言。次日請玄德飲宴，因言曰：「昨承惠良馬，深感厚意。但賢弟不時征進，可以用之。敬當送還。」玄德起謝。表又曰：「賢弟久居此間，恐廢武事。襄陽屬邑新野縣，頗有錢糧。弟可引本部軍馬於本縣屯紮，何如？」,"Liu Biao began to think.Soon after he asked Liu Bei to a banquet and in the course of it said, ""You kindly presented me with a horse lately, and I am most grateful. But you may need it on some of your expeditions and, if you do not mind, I would like to return it.""Liu Bei rose and thanked him.The Imperial Protector continued, ""You have been here a long time, and I fear I am spoiling your career as a warrior. Now Xinye in Xiangyang is no poverty-stricken town. How would you like to garrison it with your own troops?"""
玄德領諾。次日，謝別劉表，引本部軍馬逕往新野。方出城門，只見一人在馬前長揖曰：「公所騎馬，不可乘也。」玄德視之，乃荊州幕賓伊藉，字機伯，山陽人也。玄德忙下馬問之。籍曰：「昨聞蒯異度對劉荊州云：『此馬名的盧，乘則妨主。』因此還公，公豈可復乘之？」玄德曰：「深感先生見愛。但凡人死生有命，豈馬所能妨哉！」籍深服其高見，自此常與玄德往來。,"Liu Bei naturally took the offer as a command and set out as soon as he could, taking leave of the Imperial Protector the next day. And so he took up his quarters in Xinye.When he left Jingzhou City, he noticed in the gate a person making him emphatic salutations, and the man presently said, ""You should not ride that horse.""Liu Bei looked at the man and recognized in the speaker one of the secretaries of Liu Biao named Yi Ji, a native of Shanyang. So Liu Bei hastily dismounted and asked why.Yi Ji replied, ""Yesterday I heard that Kuai Yue told the Imperial Protector that that horse was a Dilu horse and brought disaster to its owner. That is why it was returned to you. How can you mount it again?""""I am deeply touched by your affection,"" replied Liu Bei, ""but a person's life is governed by fate, and what a horse can interfere with that?""Yi Ji admitted his superior view, and thereafter he kept in touch with Liu Bei wherever he went."
玄德自到新野，軍民皆喜，政治一新。建安十二年春，甘夫人生劉禪。是夜有白鶴一隻，飛來縣衙屋上，高鳴四十餘聲，望西飛去。臨分娩時，異香滿室。甘夫人嘗夜夢仰吞北斗，故乳名阿斗。,"The arrival of Liu Bei in Xinye was a matter of rejoicing to all the inhabitants, and the whole administration was reformed. In the spring of the twelfth year of Rebuilt Tranquillity (AD 207), Liu Bei's wife, Lady Gan, gave birth to a son who was named Liu Shan. The night of his birth a crane settled on the roof of the house, screeched some forty times and then flew away westward.Just at the time of birth a miraculous incense filled the chamber. Lady Gan one night had dreamed that she was looking up at the sky, and the constellation of the Great Bear had fallen down her throat. And she conceived soon after."
此時曹操正統兵北征。玄德乃往荊州，說劉表曰：「今曹操北征，許昌空虛，若以荊、襄之眾，乘間襲之，大事可就也。」表曰：「吾坐據荊州足矣，豈可別圖？」玄德默然。表邀入後堂飲酒。酒至半酣，表忽然長歎。玄德曰：「兄長何故長歎？」表曰：「吾有心事，未易明言。」玄德再欲問時，蔡夫人出立屏後。劉表乃垂頭不語。,"While Cao Cao was absent from the capital on his northern expedition, Liu Bei went to Liu Biao and said to him, ""Why do you not take this opportunity to march against the capital? An empire might follow from that.""""I am well placed here,"" was the reply. ""Why should I attempt other things?""Liu Bei said no more. Then the Imperial Protector invited him into the private apartments to drink. While they were so engaged, Liu Biao suddenly began to sigh despondently.""O brother, why do you sigh thus?"" asked Liu Bei.""I have a secret sorrow that is difficult to speak about,"" said Liu Biao.Liu Bei was on the point of asking what it was when Lady Cai came and stood behind the screen, whereat Liu Biao hung his head and became silent."
